Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Rushing Y/A
2018*,Florida,SEC,FR,TE,11,3,73,24.3,1,6.6,0,0,0,0.0,3,73,24.3,1,,Kyle Pitts,
2019*,Florida,SEC,SO,TE,13,54,649,12.0,5,49.9,0,0,0,0.0,54,649,12.0,5,,Kyle Pitts,
2020*,Florida,SEC,JR,TE,8,43,770,17.9,12,96.3,0,0,0,0.0,43,770,17.9,12,"H-10,AA",Kyle Pitts,
2018*,Penn State,Big Ten,FR,TE,13,26,368,14.2,8,28.3,0,0,0,0.0,26,368,14.2,8,,Pat Freiermuth,
2019*,Penn State,Big Ten,SO,TE,13,43,507,11.8,7,39.0,0,0,0,0.0,43,507,11.8,7,,Pat Freiermuth,
2020,Penn State,Big Ten,JR,TE,4,23,310,13.5,1,77.5,0,0,0,0.0,23,310,13.5,1,,Pat Freiermuth,
2018,Boston College,ACC,FR,TE,12,4,103,25.8,2,8.6,0,0,0,0.0,4,103,25.8,2,,Hunter Long,
2019*,Boston College,ACC,SO,TE,13,28,509,18.2,2,39.2,0,0,0,0.0,28,509,18.2,2,,Hunter Long,
2020,Boston College,ACC,JR,TE,11,57,685,12.0,5,62.3,0,0,0,0.0,57,685,12.0,5,,Hunter Long,
2019*,Notre Dame,Ind,SO,TE,13,16,183,11.4,4,14.1,0,0,0,0.0,16,183,11.4,4,,Tommy Tremble,
2020*,Notre Dame,ACC,JR,TE,12,19,213,11.2,0,17.8,1,4,0,0.3,20,217,10.9,0,,Tommy Tremble,4.0
2017*,Florida State,ACC,FR,TE,11,1,23,23.0,0,2.1,0,0,0,0.0,1,23,23.0,0,,Tre' McKitty,
2018,Florida State,ACC,SO,TE,12,26,256,9.8,2,21.3,0,0,0,0.0,26,256,9.8,2,,Tre' McKitty,
2019*,Florida State,ACC,JR,TE,12,23,241,10.5,0,20.1,0,0,0,0.0,23,241,10.5,0,,Tre' McKitty,
2020*,Georgia,SEC,SR,TE,7,6,108,18.0,1,15.4,0,0,0,0.0,6,108,18.0,1,,Tre' McKitty,
2017*,Boise State,MWC,FR,TE,14,3,34,11.3,0,2.4,0,0,0,0.0,3,34,11.3,0,,John Bates,
2018,Boise State,MWC,SO,TE,13,10,155,15.5,1,11.9,0,0,0,0.0,10,155,15.5,1,,John Bates,
2019*,Boise State,MWC,JR,TE,14,22,273,12.4,1,19.5,0,0,0,0.0,22,273,12.4,1,,John Bates,
2020,Boise State,MWC,SR,TE,5,12,117,9.8,0,23.4,0,0,0,0.0,12,117,9.8,0,,John Bates,
2017*,Ohio State,Big Ten,FR,TE,9,2,19,9.5,0,2.1,0,0,0,0.0,2,19,9.5,0,,Luke Farrell,
2018*,Ohio State,Big Ten,SO,TE,13,20,205,10.3,1,15.8,0,0,0,0.0,20,205,10.3,1,,Luke Farrell,
2019*,Ohio State,Big Ten,JR,TE,14,7,119,17.0,2,8.5,0,0,0,0.0,7,119,17.0,2,,Luke Farrell,
2020*,Ohio State,Big Ten,SR,TE,7,5,37,7.4,1,5.3,0,0,0,0.0,5,37,7.4,1,,Luke Farrell,
2018*,Miami (FL),ACC,FR,TE,12,32,287,9.0,4,23.9,0,0,0,0.0,32,287,9.0,4,,Brevin Jordan,
2019*,Miami (FL),ACC,SO,TE,11,35,495,14.1,2,45.0,1,0,0,0.0,36,495,13.8,2,,Brevin Jordan,0.0
2020*,Miami (FL),ACC,JR,TE,8,38,576,15.2,7,72.0,2,1,0,0.1,40,577,14.4,7,,Brevin Jordan,0.5
2017*,Duke,ACC,FR,TE,13,5,37,7.4,2,2.8,0,0,0,0.0,5,37,7.4,2,,Noah Gray,
2018*,Duke,ACC,SO,TE,13,20,234,11.7,1,18.0,0,0,0,0.0,20,234,11.7,1,,Noah Gray,
2019,Duke,ACC,JR,TE,12,51,392,7.7,3,32.7,0,0,0,0.0,51,392,7.7,3,,Noah Gray,
2020,Duke,ACC,SR,TE,10,29,285,9.8,2,28.5,2,3,0,0.3,31,288,9.3,2,,Noah Gray,1.5
