Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2017*,Alabama,SEC,FR,RB,14,61,370,6.1,3,26.4,6,45,7.5,0,3.2,67,415,6.2,3,,Najee Harris,,,,,,,,,,,,,,
2018*,Alabama,SEC,SO,RB,15,117,783,6.7,4,52.2,4,7,1.8,0,0.5,121,790,6.5,4,,Najee Harris,,,,,,,,,,,,,,
2019*,Alabama,SEC,JR,RB,13,209,1224,5.9,13,94.2,27,304,11.3,7,23.4,236,1528,6.5,20,,Najee Harris,,,,,,,,,,,,,,
2020*,Alabama,SEC,SR,RB,13,251,1466,5.8,26,112.8,43,425,9.9,4,32.7,294,1891,6.4,30,"H-5,AA",Najee Harris,,,,,,,,,,,,,,
2017*,Clemson,ACC,FR,RB,13,107,766,7.2,13,58.9,5,57,11.4,0,4.4,112,823,7.3,13,,Travis Etienne,,,,,,,,,,,,,,
2018*,Clemson,ACC,SO,RB,15,204,1658,8.1,24,110.5,12,78,6.5,2,5.2,216,1736,8.0,26,H-7,Travis Etienne,,,,,,,,,,,,,,
2019*,Clemson,ACC,JR,RB,15,207,1614,7.8,19,107.6,37,432,11.7,4,28.8,244,2046,8.4,23,H-9,Travis Etienne,,,,,,,,,,,,,,
2020*,Clemson,ACC,SR,RB,12,168,914,5.4,14,76.2,48,588,12.3,2,49.0,216,1502,7.0,16,AA,Travis Etienne,,,,,,,,,,,,,,
2018,North Carolina,ACC,FR,RB,11,43,224,5.2,5,20.4,8,58,7.3,0,5.3,51,282,5.5,5,,Javonte Williams,,,,,,,,,,,,,,
2019*,North Carolina,ACC,SO,RB,13,166,933,5.6,5,71.8,17,176,10.4,1,13.5,183,1109,6.1,6,,Javonte Williams,,,,,,,,,,,,,,
2020*,North Carolina,ACC,JR,RB,11,157,1140,7.3,19,103.6,25,305,12.2,3,27.7,182,1445,7.9,22,,Javonte Williams,,,,,,,,,,,,,,
2017*,Oklahoma,Big 12,FR,RB,14,121,744,6.1,5,53.1,16,139,8.7,2,9.9,137,883,6.4,7,,Trey Sermon,,,,,,,,,,,,,,
2018*,Oklahoma,Big 12,SO,RB,14,164,947,5.8,13,67.6,12,181,15.1,0,12.9,176,1128,6.4,13,,Trey Sermon,,,,,,,,,,,,,,
2019*,Oklahoma,Big 12,JR,RB,9,54,385,7.1,4,42.8,8,71,8.9,1,7.9,62,456,7.4,5,,Trey Sermon,,,,,,,,,,,,,,
2020*,Ohio State,Big Ten,SR,RB,8,116,870,7.5,4,108.8,12,95,7.9,0,11.9,128,965,7.5,4,,Trey Sermon,,,,,,,,,,,,,,
2016,UCLA,Pac-12,FR,RB,8,,,,,,,,,,,,,,,,Brandon Stephens,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2017*,UCLA,Pac-12,SO,RB,12,,,,,,,,,,,,,,,,Brandon Stephens,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2018,UCLA,Pac-12,,,2,,,,,,,,,,,,,,,,Brandon Stephens,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2019*,SMU,American,JR,DB,13,,,,,,,,,,,,,,,,Brandon Stephens,38,11,49,3,0.0,0,0,,0,12,0,0,0,0
2020,SMU,American,SR,DB,10,,,,,,,,,,,,,,,,Brandon Stephens,36,7,43,1,0.0,1,0,0.0,0,10,1,0,0,0
2017,North Carolina,ACC,FR,RB,11,97,558,5.8,8,50.7,11,100,9.1,1,9.1,108,658,6.1,9,,Michael Carter,,,,,,,,,,,,,,
2018,North Carolina,ACC,SO,RB,9,84,597,7.1,2,66.3,25,135,5.4,1,15.0,109,732,6.7,3,,Michael Carter,,,,,,,,,,,,,,
2019*,North Carolina,ACC,JR,RB,13,177,1003,5.7,3,77.2,21,154,7.3,2,11.8,198,1157,5.8,5,,Michael Carter,,,,,,,,,,,,,,
2020*,North Carolina,ACC,SR,RB,11,156,1245,8.0,9,113.2,25,267,10.7,2,24.3,181,1512,8.4,11,,Michael Carter,,,,,,,,,,,,,,
2016,Iowa State,Big 12,FR,RB,12,27,133,4.9,0,11.1,1,16,16.0,0,1.3,28,149,5.3,0,,Kene Nwangwu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Kene Nwangwu,,,,,,,,,,,,,,
2018*,Iowa State,Big 12,SO,RB,13,39,157,4.0,0,12.1,2,11,5.5,0,0.8,41,168,4.1,0,,Kene Nwangwu,,,,,,,,,,,,,,
2019*,Iowa State,Big 12,JR,RB,13,16,115,7.2,0,8.8,1,8,8.0,0,0.6,17,123,7.2,0,,Kene Nwangwu,,,,,,,,,,,,,,
2020*,Iowa State,Big 12,SR,RB,12,61,339,5.6,4,28.3,3,22,7.3,0,1.8,64,361,5.6,4,,Kene Nwangwu,,,,,,,,,,,,,,
2019*,Oklahoma,Big 12,JR,RB,13,64,515,8.0,6,39.6,10,87,8.7,0,6.7,74,602,8.1,6,,Rhamondre Stevenson,,,,,,,,,,,,,,
2020*,Oklahoma,Big 12,SR,RB,6,101,665,6.6,7,110.8,18,211,11.7,0,35.2,119,876,7.4,7,,Rhamondre Stevenson,,,,,,,,,,,,,,
2018*,Oklahoma State,Big 12,FR,RB,13,124,740,6.0,7,56.9,22,229,10.4,2,17.6,146,969,6.6,9,,Chuba Hubbard,,,,,,,,,,,,,,
2019*,Oklahoma State,Big 12,SO,RB,13,328,2094,6.4,21,161.1,23,198,8.6,0,15.2,351,2292,6.5,21,"H-8,AA",Chuba Hubbard,,,,,,,,,,,,,,
2020*,Oklahoma State,Big 12,JR,RB,7,133,625,4.7,5,89.3,8,52,6.5,1,7.4,141,677,4.8,6,,Chuba Hubbard,,,,,,,,,,,,,,
2018*,Memphis,American,FR,RB,4,4,91,22.8,1,22.8,6,52,8.7,0,13.0,10,143,14.3,1,,Kenneth Gainwell,,,,,,,,,,,,,,
2019*,Memphis,American,FR,RB,14,231,1459,6.3,13,104.2,51,610,12.0,3,43.6,282,2069,7.3,16,,Kenneth Gainwell,,,,,,,,,,,,,,
2017,Louisiana,Sun Belt,FR,RB,5,42,257,6.1,4,51.4,3,25,8.3,1,5.0,45,282,6.3,5,,Elijah Mitchell,,,,,,,,,,,,,,
2018*,Louisiana,Sun Belt,SO,RB,14,145,977,6.7,13,69.8,20,349,17.5,3,24.9,165,1326,8.0,16,,Elijah Mitchell,,,,,,,,,,,,,,
2019*,Louisiana,Sun Belt,JR,RB,14,198,1147,5.8,16,81.9,10,70,7.0,1,5.0,208,1217,5.9,17,,Elijah Mitchell,,,,,,,,,,,,,,
2020*,Louisiana,Sun Belt,SR,RB,10,141,878,6.2,8,87.8,16,153,9.6,0,15.3,157,1031,6.6,8,,Elijah Mitchell,,,,,,,,,,,,,,
2017*,Arizona,Pac-12,FR,RB,13,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Gary Brightwell,,,,,,,,,,,,,,
2018,Arizona,Pac-12,SO,RB,11,91,525,5.8,3,47.7,2,9,4.5,0,0.8,93,534,5.7,3,,Gary Brightwell,,,,,,,,,,,,,,
2019,Arizona,Pac-12,JR,RB,11,66,390,5.9,5,35.5,4,59,14.8,1,5.4,70,449,6.4,6,,Gary Brightwell,,,,,,,,,,,,,,
2020,Arizona,Pac-12,SR,RB,5,88,390,4.4,1,78.0,13,53,4.1,0,10.6,101,443,4.4,1,,Gary Brightwell,,,,,,,,,,,,,,
2017*,Missouri,SEC,FR,RB,13,126,703,5.6,6,54.1,5,57,11.4,0,4.4,131,760,5.8,6,,Larry Rountree,,,,,,,,,,,,,,
2018*,Missouri,SEC,SO,RB,13,225,1216,5.4,11,93.5,14,62,4.4,0,4.8,239,1278,5.3,11,,Larry Rountree,,,,,,,,,,,,,,
2019,Missouri,SEC,JR,RB,12,186,829,4.5,9,69.1,13,70,5.4,0,5.8,199,899,4.5,9,,Larry Rountree,,,,,,,,,,,,,,
2020,Missouri,SEC,SR,RB,10,209,972,4.7,14,97.2,15,100,6.7,0,10.0,224,1072,4.8,14,,Larry Rountree,,,,,,,,,,,,,,
2016*,Michigan,Big Ten,FR,RB,13,88,614,7.0,4,47.2,6,87,14.5,0,6.7,94,701,7.5,4,,Chris Evans,,,,,,,,,,,,,,
2017*,Michigan,Big Ten,SO,RB,13,135,685,5.1,6,52.7,16,157,9.8,1,12.1,151,842,5.6,7,,Chris Evans,,,,,,,,,,,,,,
2018*,Michigan,Big Ten,JR,RB,11,81,423,5.2,4,38.5,18,148,8.2,1,13.5,99,571,5.8,5,,Chris Evans,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Chris Evans,,,,,,,,,,,,,,
2020,Michigan,Big Ten,SR,RB,6,16,73,4.6,1,12.2,9,87,9.7,0,14.5,25,160,6.4,1,,Chris Evans,,,,,,,,,,,,,,
2016,Kansas,Big 12,FR,RB,8,44,189,4.3,3,23.6,5,38,7.6,0,4.8,49,227,4.6,3,,Khalil Herbert,,,,,,,,,,,,,,
2017,Kansas,Big 12,SO,RB,11,120,663,5.5,4,60.3,8,38,4.8,0,3.5,128,701,5.5,4,,Khalil Herbert,,,,,,,,,,,,,,
2018,Kansas,Big 12,JR,RB,12,113,499,4.4,5,41.6,9,39,4.3,0,3.3,122,538,4.4,5,,Khalil Herbert,,,,,,,,,,,,,,
2019,Kansas,Big 12,SR,RB,4,43,384,8.9,2,96.0,1,-1,-1.0,0,-0.3,44,383,8.7,2,,Khalil Herbert,,,,,,,,,,,,,,
2020,Virginia Tech,ACC,SR,RB,11,154,1182,7.7,8,107.5,10,179,17.9,1,16.3,164,1361,8.3,9,,Khalil Herbert,,,,,,,,,,,,,,
2016*,Maryland,Big Ten,FR,RB,13,29,136,4.7,1,10.5,7,42,6.0,1,3.2,36,178,4.9,2,,Jake Funk,,,,,,,,,,,,,,
2017,Maryland,Big Ten,SO,RB,12,27,145,5.4,4,12.1,1,4,4.0,1,0.3,28,149,5.3,5,,Jake Funk,,,,,,,,,,,,,,
2018,Maryland,Big Ten,JR,RB,3,2,-2,-1.0,0,-0.7,1,4,4.0,0,1.3,3,2,0.7,0,,Jake Funk,,,,,,,,,,,,,,
2019,Maryland,Big Ten,JR,RB,3,17,173,10.2,2,57.7,4,16,4.0,0,5.3,21,189,9.0,2,,Jake Funk,,,,,,,,,,,,,,
2020,Maryland,Big Ten,SR,RB,5,60,516,8.6,3,103.2,10,68,6.8,1,13.6,70,584,8.3,4,,Jake Funk,,,,,,,,,,,,,,
2017,Cincinnati,American,FR,RB,9,87,513,5.9,2,57.0,14,135,9.6,1,15.0,101,648,6.4,3,,Gerrid Doaks,,,,,,,,,,,,,,
2018*,Cincinnati,American,,,1,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Gerrid Doaks,,,,,,,,,,,,,,
2019*,Cincinnati,American,JR,RB,12,100,526,5.3,5,43.8,8,70,8.8,1,5.8,108,596,5.5,6,,Gerrid Doaks,,,,,,,,,,,,,,
2020*,Cincinnati,American,SR,RB,9,144,673,4.7,7,74.8,14,202,14.4,2,22.4,158,875,5.5,9,,Gerrid Doaks,,,,,,,,,,,,,,
2017*,Mississippi State,SEC,FR,RB,13,78,393,5.0,2,30.2,4,38,9.5,0,2.9,82,431,5.3,2,,Kylin Hill,,,,,,,,,,,,,,
