Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2018*,LSU,SEC,FR,WR,13,23,313,13.6,3,24.1,0,0,,0,0.0,23,313,13.6,3,,Ja'Marr Chase,,,,,,,,,,,,,,
2019*,LSU,SEC,SO,WR,14,84,1780,21.2,20,127.1,1,5,5.0,0,0.4,85,1785,21.0,20,AA,Ja'Marr Chase,,,,,,,,,,,,,,
2018*,Alabama,SEC,FR,WR,15,45,848,18.8,7,56.5,0,0,,0,0.0,45,848,18.8,7,,Jaylen Waddle,,,,,,,,,,,,,,
2019*,Alabama,SEC,SO,WR,13,33,560,17.0,6,43.1,1,5,5.0,0,0.4,34,565,16.6,6,,Jaylen Waddle,,,,,,,,,,,,,,
2020*,Alabama,SEC,JR,WR,6,28,591,21.1,4,98.5,3,12,4.0,0,2.0,31,603,19.5,4,,Jaylen Waddle,,,,,,,,,,,,,,
2017*,Alabama,SEC,FR,WR,14,8,160,20.0,3,11.4,0,0,,0,0.0,8,160,20.0,3,,DeVonta Smith,,,,,,,,,,,,,,
2018*,Alabama,SEC,SO,WR,14,42,693,16.5,6,49.5,0,0,,0,0.0,42,693,16.5,6,,DeVonta Smith,,,,,,,,,,,,,,
2019*,Alabama,SEC,JR,WR,13,68,1256,18.5,14,96.6,0,0,,0,0.0,68,1256,18.5,14,,DeVonta Smith,,,,,,,,,,,,,,
2020*,Alabama,SEC,SR,WR,13,117,1856,15.9,23,142.8,4,6,1.5,1,0.5,121,1862,15.4,24,"H-1,Maxwell,AA,Camp",DeVonta Smith,,,,,,,,,,,,,,
2017,Florida,SEC,FR,WR,8,15,152,10.1,0,19.0,14,120,8.6,1,15.0,29,272,9.4,1,,Kadarius Toney,,,,,,,,,,,,,,
2018*,Florida,SEC,SO,WR,12,25,260,10.4,1,21.7,21,240,11.4,0,20.0,46,500,10.9,1,,Kadarius Toney,,,,,,,,,,,,,,
2019*,Florida,SEC,JR,WR,7,10,194,19.4,1,27.7,12,59,4.9,0,8.4,22,253,11.5,1,,Kadarius Toney,,,,,,,,,,,,,,
2020*,Florida,SEC,SR,WR,11,70,984,14.1,10,89.5,19,161,8.5,1,14.6,89,1145,12.9,11,,Kadarius Toney,,,,,,,,,,,,,,
2018*,Minnesota,Big Ten,FR,WR,13,51,704,13.8,6,54.2,0,0,,0,0.0,51,704,13.8,6,,Rashod Bateman,,,,,,,,,,,,,,
2019*,Minnesota,Big Ten,SO,WR,13,60,1219,20.3,11,93.8,0,0,,0,0.0,60,1219,20.3,11,,Rashod Bateman,,,,,,,,,,,,,,
2020,Minnesota,Big Ten,JR,WR,5,36,472,13.1,2,94.4,0,0,,0,0.0,36,472,13.1,2,,Rashod Bateman,,,,,,,,,,,,,,
2018,Ole Miss,SEC,FR,WR,12,36,398,11.1,2,33.2,3,8,2.7,0,0.7,39,406,10.4,2,,Elijah Moore,,,,,,,,,,,,,,
2019,Ole Miss,SEC,SO,WR,12,67,850,12.7,6,70.8,4,-1,-0.3,0,-0.1,71,849,12.0,6,,Elijah Moore,,,,,,,,,,,,,,
2020*,Ole Miss,SEC,JR,WR,8,86,1193,13.9,8,149.1,14,64,4.6,0,8.0,100,1257,12.6,8,AA,Elijah Moore,,,,,,,,,,,,,,
2018*,Purdue,Big Ten,FR,WR,13,114,1258,11.0,12,96.8,21,213,10.1,2,16.4,135,1471,10.9,14,AA,Rondale Moore,,,,,,,,,,,,,,
2019,Purdue,Big Ten,SO,WR,4,29,387,13.3,2,96.8,3,3,1.0,0,0.8,32,390,12.2,2,,Rondale Moore,,,,,,,,,,,,,,
2020,Purdue,Big Ten,SO,WR,3,35,270,7.7,0,90.0,6,32,5.3,1,10.7,41,302,7.4,1,,Rondale Moore,,,,,,,,,,,,,,
2016*,Western Michigan,MAC,FR,WR,12,17,121,7.1,1,10.1,6,60,10.0,0,5.0,23,181,7.9,1,,D'Wayne Eskridge,,,,,,,,,,,,,,
2017,Western Michigan,MAC,SO,WR,12,30,506,16.9,3,42.2,4,13,3.3,0,1.1,34,519,15.3,3,,D'Wayne Eskridge,,,,,,,,,,,,,,
2018*,Western Michigan,MAC,JR,WR,11,38,776,20.4,3,70.5,0,0,,0,0.0,38,776,20.4,3,,D'Wayne Eskridge,,,,,,,,,,,,,,
2019*,Western Michigan,MAC,SR,WR,4,3,73,24.3,0,18.3,0,0,,0,0.0,3,73,24.3,0,,D'Wayne Eskridge,,,,,,,,,,,,,,
2020,Western Michigan,MAC,SR,WR,6,34,784,23.1,8,130.7,1,27,27.0,0,4.5,35,811,23.2,8,,D'Wayne Eskridge,,,,,,,,,,,,,,
2018,Louisville,ACC,FR,WR,12,24,406,16.9,2,33.8,1,-5,-5.0,0,-0.4,25,401,16.0,2,,Tutu Atwell,,,,,,,,,,,,,,
2019*,Louisville,ACC,SO,WR,13,70,1276,18.2,12,98.2,8,29,3.6,0,2.2,78,1305,16.7,12,,Tutu Atwell,,,,,,,,,,,,,,
2020,Louisville,ACC,JR,WR,9,46,625,13.6,7,69.4,2,-2,-1.0,1,-0.2,48,623,13.0,8,,Tutu Atwell,,,,,,,,,,,,,,
2018*,LSU,SEC,FR,WR,13,12,192,16.0,0,14.8,0,0,,0,0.0,12,192,16.0,0,,Terrace Marshall Jr.,,,,,,,,,,,,,,
2019*,LSU,SEC,SO,WR,12,46,671,14.6,13,55.9,0,0,,0,0.0,46,671,14.6,13,,Terrace Marshall Jr.,,,,,,,,,,,,,,
2020,LSU,SEC,JR,WR,7,48,731,15.2,10,104.4,0,0,,0,0.0,48,731,15.2,10,,Terrace Marshall Jr.,,,,,,,,,,,,,,
2017,Tennessee,SEC,FR,WR,12,9,98,10.9,0,8.2,1,6,6.0,0,0.5,10,104,10.4,0,,Josh Palmer,,,,,,,,,,,,,,
2018,Tennessee,SEC,SO,WR,12,23,484,21.0,2,40.3,5,27,5.4,1,2.3,28,511,18.3,3,,Josh Palmer,,,,,,,,,,,,,,
2019*,Tennessee,SEC,JR,WR,13,34,457,13.4,1,35.2,2,4,2.0,0,0.3,36,461,12.8,1,,Josh Palmer,,,,,,,,,,,,,,
2020,Tennessee,SEC,SR,WR,10,33,475,14.4,4,47.5,0,0,,0,0.0,33,475,14.4,4,,Josh Palmer,,,,,,,,,,,,,,
2016*,Virginia Tech,ACC,FR,WR,14,,,,,,,,,,,,,,,,Divine Deablo,2,2,4,0,0.0,0,0,,0,0,0,0,0,1
2017*,Virginia Tech,ACC,SO,DB,4,,,,,,,,,,,,,,,,Divine Deablo,6,2,8,2,0.5,1,0,0.0,0,3,0,0,0,0
2018*,Virginia Tech,ACC,SO,DB,11,,,,,,,,,,,,,,,,Divine Deablo,35,20,55,5,0.0,0,0,,0,2,1,0,0,0
2019*,Virginia Tech,ACC,JR,DB,13,,,,,,,,,,,,,,,,Divine Deablo,42,42,84,5,0.0,1,0,0.0,0,2,1,98,1,1
2020,Virginia Tech,ACC,SR,DB,9,,,,,,,,,,,,,,,,Divine Deablo,32,23,55,2,0.0,4,5,1.3,0,4,0,0,0,1
2018,North Carolina,ACC,FR,WR,10,17,173,10.2,1,17.3,0,0,,0,0.0,17,173,10.2,1,,Dyami Brown,,,,,,,,,,,,,,
2019*,North Carolina,ACC,SO,WR,13,51,1034,20.3,12,79.5,1,2,2.0,0,0.2,52,1036,19.9,12,,Dyami Brown,,,,,,,,,,,,,,
2020*,North Carolina,ACC,JR,WR,11,55,1099,20.0,8,99.9,0,0,,0,0.0,55,1099,20.0,8,,Dyami Brown,,,,,,,,,,,,,,
2017*,Clemson,ACC,FR,WR,14,19,123,6.5,0,8.8,3,-9,-3.0,0,-0.6,22,114,5.2,0,,Amari Rodgers,,,,,,,,,,,,,,
2018*,Clemson,ACC,SO,WR,15,55,575,10.5,4,38.3,1,5,5.0,0,0.3,56,580,10.4,4,,Amari Rodgers,,,,,,,,,,,,,,
2019*,Clemson,ACC,JR,WR,14,30,426,14.2,4,30.4,2,50,25.0,1,3.6,32,476,14.9,5,,Amari Rodgers,,,,,,,,,,,,,,
2020*,Clemson,ACC,SR,WR,12,77,1020,13.2,7,85.0,0,0,,0,0.0,77,1020,13.2,7,,Amari Rodgers,,,,,,,,,,,,,,
2017*,Michigan,Big Ten,FR,WR,4,3,27,9.0,0,6.8,0,0,,0,0.0,3,27,9.0,0,,Nico Collins,,,,,,,,,,,,,,
2018*,Michigan,Big Ten,SO,WR,13,38,632,16.6,6,48.6,0,0,,0,0.0,38,632,16.6,6,,Nico Collins,,,,,,,,,,,,,,
2019*,Michigan,Big Ten,JR,WR,12,37,729,19.7,7,60.8,0,0,,0,0.0,37,729,19.7,7,,Nico Collins,,,,,,,,,,,,,,
2018*,Auburn,SEC,FR,WR,13,22,357,16.2,2,27.5,27,211,7.8,5,16.2,49,568,11.6,7,,Anthony Schwartz,,,,,,,,,,,,,,
2019*,Auburn,SEC,SO,WR,13,41,440,10.7,1,33.8,11,118,10.7,2,9.1,52,558,10.7,3,,Anthony Schwartz,,,,,,,,,,,,,,
2020*,Auburn,SEC,JR,WR,10,54,636,11.8,3,63.6,4,-6,-1.5,0,-0.6,58,630,10.9,3,,Anthony Schwartz,,,,,,,,,,,,,,
2017*,Louisville,ACC,FR,WR,13,45,699,15.5,9,53.8,0,0,,0,0.0,45,699,15.5,9,,Dez Fitzpatrick,,,,,,,,,,,,,,
2018,Louisville,ACC,SO,WR,12,31,422,13.6,3,35.2,0,0,,0,0.0,31,422,13.6,3,,Dez Fitzpatrick,,,,,,,,,,,,,,
2019*,Louisville,ACC,JR,WR,13,35,635,18.1,6,48.8,0,0,,0,0.0,35,635,18.1,6,,Dez Fitzpatrick,,,,,,,,,,,,,,
2020,Louisville,ACC,SR,WR,11,43,833,19.4,3,75.7,0,0,,0,0.0,43,833,19.4,3,,Dez Fitzpatrick,,,,,,,,,,,,,,
2018,USC,Pac-12,FR,WR,12,60,750,12.5,3,62.5,2,9,4.5,0,0.8,62,759,12.2,3,,Amon-Ra St. Brown,,,,,,,,,,,,,,
2019*,USC,Pac-12,SO,WR,13,77,1042,13.5,6,80.2,7,60,8.6,1,4.6,84,1102,13.1,7,,Amon-Ra St. Brown,,,,,,,,,,,,,,
2020,USC,Pac-12,JR,WR,6,41,478,11.7,7,79.7,0,0,,0,0.0,41,478,11.7,7,,Amon-Ra St. Brown,,,,,,,,,,,,,,
2016,Rice,CUSA,FR,WR,7,33,381,11.5,2,54.4,4,41,10.3,0,5.9,37,422,11.4,2,,Kylen Granson,,,,,,,,,,,,,,
2017,Rice,CUSA,SO,WR,9,18,241,13.4,0,26.8,6,51,8.5,0,5.7,24,292,12.2,0,,Kylen Granson,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Kylen Granson,,,,,,,,,,,,,,
2019*,SMU,American,JR,TE,13,43,721,16.8,9,55.5,2,11,5.5,0,0.8,45,732,16.3,9,,Kylen Granson,,,,,,,,,,,,,,
2020,SMU,American,SR,TE,10,35,536,15.3,5,53.6,1,0,0.0,0,0.0,36,536,14.9,5,,Kylen Granson,,,,,,,,,,,,,,
2017*,North Texas,CUSA,FR,WR,14,32,281,8.8,3,20.1,1,1,1.0,0,0.1,33,282,8.5,3,,Jaelon Darden,,,,,,,,,,,,,,
2018*,North Texas,CUSA,SO,WR,13,48,575,12.0,4,44.2,3,16,5.3,0,1.2,51,591,11.6,4,,Jaelon Darden,,,,,,,,,,,,,,
2019,North Texas,CUSA,JR,WR,12,76,736,9.7,12,61.3,2,13,6.5,0,1.1,78,749,9.6,12,,Jaelon Darden,,,,,,,,,,,,,,
2020*,North Texas,CUSA,SR,WR,9,74,1190,16.1,19,132.2,1,-3,-3.0,0,-0.3,75,1187,15.8,19,,Jaelon Darden,,,,,,,,,,,,,,
2017*,Oklahoma State,Big 12,FR,WR,13,7,118,16.9,0,9.1,0,0,,0,0.0,7,118,16.9,0,,Tylan Wallace,,,,,,,,,,,,,,
2018*,Oklahoma State,Big 12,SO,WR,13,86,1491,17.3,12,114.7,1,6,6.0,1,0.5,87,1497,17.2,13,,Tylan Wallace,,,,,,,,,,,,,,
2019*,Oklahoma State,Big 12,JR,WR,9,53,903,17.0,8,100.3,1,0,0.0,0,0.0,54,903,16.7,8,,Tylan Wallace,,,,,,,,,,,,,,
2020*,Oklahoma State,Big 12,SR,WR,10,59,922,15.6,6,92.2,1,7,7.0,0,0.7,60,929,15.5,6,,Tylan Wallace,,,,,,,,,,,,,,
2018*,UCF,American,JR,WR,13,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Jacob Harris,,,,,,,,,,,,,,
2019*,UCF,American,SR,WR,13,19,448,23.6,1,34.5,0,0,,0,0.0,19,448,23.6,1,,Jacob Harris,,,,,,,,,,,,,,
