Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Keenan Allen,WR,California,College Stats,6-2,206,4.58,,,,,,San Diego Chargers / 3rd / 76th pick /2013
C.J. Anderson,RB,California,College Stats,5-8,224,4.60,32.0,17,119,7.15,4.12,
Tavon Austin,WR,West Virginia,College Stats,5-8,174,4.34,32.0,14,120,,4.01,St. Louis Rams / 1st / 8th pick /2013
Stedman Bailey,WR,West Virginia,College Stats,5-10,193,4.52,34.5,11,117,6.81,4.09,St. Louis Rams / 3rd / 92nd pick /2013
Montee Ball,RB,Wisconsin,College Stats,5-10,214,4.66,32.0,15,118,6.88,4.40,Denver Broncos / 2nd / 58th pick /2013
Matt Barkley,QB,USC,College Stats,6-2,227,4.91,,,,,,Philadelphia Eagles / 4th / 98th pick /2013
Kenjon Barner,RB,Oregon,College Stats,5-9,196,4.52,35.5,20,122,6.87,4.20,Carolina Panthers / 6th / 182nd pick /2013
Le'Veon Bell,RB,Michigan State,College Stats,6-1,230,4.60,31.5,24,118,6.75,4.24,Pittsburgh Steelers / 2nd / 48th pick /2013
Giovani Bernard,RB,North Carolina,College Stats,5-8,202,4.53,33.5,19,122,6.91,4.12,Cincinnati Bengals / 2nd / 37th pick /2013
Josh Boyce,WR,TCU,College Stats,5-11,206,4.38,34.0,22,131,6.68,4.10,New England Patriots / 4th / 102nd pick /2013
Tyler Bray,QB,Tennessee,College Stats,6-6,232,5.05,,,100,7.20,4.51,
Marlon Brown,WR,Georgia,College Stats,6-4,213,4.63,,,,,,
Rex Burkhead,RB,Nebraska,College Stats,5-10,214,4.73,39.0,21,125,6.85,4.09,Cincinnati Bengals / 6th / 190th pick /2013
Justice Cunningham,TE,South Carolina,College Stats,6-3,258,4.94,31.5,,116,7.12,4.45,Indianapolis Colts / 7th / 254th pick /2013
Knile Davis,RB,Arkansas,College Stats,5-11,227,4.37,33.5,31,121,6.96,4.38,Kansas City Chiefs / 3rd / 96th pick /2013
Aaron Dobson,WR,Marshall,College Stats,6-3,210,4.37,,,,,,New England Patriots / 2nd / 59th pick /2013
