Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Justyn Ross,WR,Clemson,College Stats,6-4,205,,,11,,,,
Jeremy Ruckert,TE,Ohio St.,College Stats,6-5,250,,,19,,,,New York Jets / 3rd / 101st pick /2022
Braylon Sanders,WR,Mississippi,College Stats,6-0,194,4.48,34.5,,121,,,
Khalil Shakir,WR,Boise St.,College Stats,6-0,196,4.43,34.5,,124,7.28,4.21,Buffalo Bills / 5th / 148th pick /2022
Brandon Smith,LB,Penn St.,College Stats,6-4,250,4.52,37.5,,128,,,Carolina Panthers / 4th / 120th pick /2022
Isaiah Spiller,RB,Texas A&M,College Stats,6-0,217,,30.0,,114,,,Los Angeles Chargers / 4th / 123rd pick /2022
Pierre Strong,RB,South Dakota St.,,5-11,207,4.37,36.0,,124,,,New England Patriots / 4th / 127th pick /2022
Skylar Thompson,QB,Kansas St.,College Stats,6-2,217,4.91,31.0,,112,7.00,4.28,Miami Dolphins / 7th / 247th pick /2022
Tyquan Thornton,WR,Baylor,College Stats,6-2,181,4.28,36.5,,130,,,New England Patriots / 2nd / 50th pick /2022
Jalen Tolbert,WR,South Alabama,College Stats,6-1,194,4.49,36.0,,123,7.08,,Dallas Cowboys / 3rd / 88th pick /2022
Cole Turner,TE,Nevada,College Stats,6-6,246,4.76,27.0,17,120,7.06,4.41,Washington Commanders / 5th / 149th pick /2022
Jaylen Warren,RB,Oklahoma St.,College Stats,5-8,204,4.55,31.5,,119,,,
Christian Watson,WR,North Dakota St.,,6-4,208,4.36,38.5,,136,,,Green Bay Packers / 2nd / 34th pick /2022
Rachaad White,RB,Arizona St.,College Stats,6-0,214,4.48,38.0,,125,,,Tampa Bay Buccaneers / 3rd / 91st pick /2022
Zamir White,RB,Georgia,College Stats,6-0,214,4.40,33.5,,128,,,Las Vegas Raiders / 4th / 122nd pick /2022
Jameson Williams,WR,Alabama,College Stats,6-2,179,,,,,,,Detroit Lions / 1st / 12th pick /2022
Kyren Williams,RB,Notre Dame,College Stats,5-9,194,4.65,32.0,,116,,,Los Angeles Rams / 5th / 164th pick /2022
Malik Willis,QB,Liberty,College Stats,6-1,219,,,,,,,Tennessee Titans / 3rd / 86th pick /2022
Garrett Wilson,WR,Ohio St.,College Stats,6-0,183,4.38,36.0,,123,,4.36,New York Jets / 1st / 10th pick /2022
Jelani Woods,TE,Virginia,College Stats,6-7,259,4.61,,24,,,,Indianapolis Colts / 3rd / 73rd pick /2022
Bailey Zappe,QB,Western Kentucky,College Stats,6-1,215,4.88,30.0,,109,7.19,4.40,New England Patriots / 4th / 137th pick /2022
