Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Chase Allen,TE,Iowa St.,College Stats,6-6,251,,33.5,,117,7.03,4.43,
Tyler Allgeier,RB,BYU,College Stats,5-11,224,4.60,33.0,,120,,,Atlanta Falcons / 5th / 151st pick /2022
Tyler Badie,RB,Missouri,College Stats,5-8,197,4.45,33.5,,121,,,Baltimore Ravens / 6th / 196th pick /2022
David Bell,WR,Purdue,College Stats,6-1,212,4.65,33.0,,118,7.14,4.57,Cleveland Browns / 3rd / 99th pick /2022
Daniel Bellinger,TE,San Diego St.,College Stats,6-5,253,4.63,34.5,22,125,7.05,4.47,New York Giants / 4th / 112th pick /2022
Treylon Burks,WR,Arkansas,College Stats,6-2,225,4.55,33.0,,122,7.28,,Tennessee Titans / 1st / 18th pick /2022
Grant Calcaterra,TE,SMU,College Stats,6-4,241,4.62,,20,,,,Philadelphia Eagles / 6th / 198th pick /2022
Snoop Conner,RB,Mississippi,College Stats,5-10,222,4.59,29.5,25,118,,,Jacksonville Jaguars / 5th / 154th pick /2022
James Cook,RB,Georgia,College Stats,5-11,199,4.42,33.0,,124,,,Buffalo Bills / 2nd / 63rd pick /2022
Jashaun Corbin,RB,Florida St.,College Stats,5-11,202,,,,,,,
Tyrion Davis-Price,RB,LSU,College Stats,6-0,211,4.48,30.0,,117,,,San Francisco 49ers / 3rd / 93rd pick /2022
Jahan Dotson,WR,Penn St.,College Stats,5-11,178,4.43,36.0,,121,7.28,,Washington Commanders / 1st / 16th pick /2022
Romeo Doubs,WR,Nevada,College Stats,6-2,201,,,,,,,Green Bay Packers / 4th / 132nd pick /2022
Greg Dulcich,TE,UCLA,College Stats,6-4,243,4.69,34.0,16,122,7.05,4.37,Denver Broncos / 3rd / 80th pick /2022
Trestan Ebner,RB,Baylor,College Stats,5-11,206,4.43,30.0,,,,,Chicago Bears / 6th / 203rd pick /2022
Erik Ezukanma,WR,Texas Tech,College Stats,6-2,209,,36.5,,126,,4.38,Miami Dolphins / 4th / 125th pick /2022
Jake Ferguson,TE,Wisconsin,College Stats,6-5,250,4.81,31.5,15,118,7.03,4.48,Dallas Cowboys / 4th / 129th pick /2022
Jerome Ford,RB,Cincinnati,College Stats,5-11,210,4.46,31.0,,118,,,Cleveland Browns / 5th / 156th pick /2022
Tyler Goodson,RB,Iowa,College Stats,5-9,197,4.42,36.5,,123,,,
Danny Gray,WR,SMU,College Stats,6-0,186,4.33,34.0,,126,,,San Francisco 49ers / 3rd / 105th pick /2022
Breece Hall,RB,Iowa St.,College Stats,5-11,217,4.39,40.0,,126,,,New York Jets / 2nd / 36th pick /2022
Kevin Harris,RB,South Carolina,College Stats,5-10,221,,38.5,21,126,,,New England Patriots / 6th / 183rd pick /2022
Hassan Haskins,RB,Michigan,College Stats,6-2,228,,,27,,,,Tennessee Titans / 4th / 131st pick /2022
Peyton Hendershot,TE,Indiana,College Stats,6-4,250,4.80,32.5,,117,,4.25,
Connor Heyward,TE,Michigan St.,College Stats,5-11,233,4.72,32.5,,,,,Pittsburgh Steelers / 6th / 208th pick /2022
Sam Howell,QB,North Carolina,College Stats,6-1,218,,,,,,,Washington Commanders / 5th / 144th pick /2022
Keaontay Ingram,RB,USC,College Stats,6-0,221,4.53,34.5,,122,,,Arizona Cardinals / 6th / 201st pick /2022
Josh Johnson,WR,Tulsa,College Stats,5-11,183,,,14,,,,
Zonovan Knight,RB,North Carolina St.,College Stats,5-11,209,4.58,31.0,,114,,,
Charlie Kolar,TE,Iowa St.,College Stats,6-7,252,,,,,,,Baltimore Ravens / 4th / 128th pick /2022
Isaiah Likely,TE,Coastal Carolina,College Stats,6-5,245,,36.0,,,,4.57,Baltimore Ravens / 4th / 139th pick /2022
Drake London,WR,USC,College Stats,6-4,219,,,,,,,Atlanta Falcons / 1st / 8th pick /2022
Trey McBride,TE,Colorado St.,College Stats,6-4,246,,33.0,18,117,,,Arizona Cardinals / 2nd / 55th pick /2022
Sincere McCormick,RB,Texas-San Antonio,College Stats,5-9,205,4.60,33.5,,116,,,
Bo Melton,WR,Rutgers,College Stats,5-11,189,4.34,38.0,,121,6.98,,Seattle Seahawks / 7th / 229th pick /2022
John Metchie,WR,Alabama,College Stats,5-11,187,,,,,,,Houston Texans / 2nd / 44th pick /2022
James Mitchell,TE,Virginia Tech,College Stats,6-4,249,,,,,,,Detroit Lions / 5th / 177th pick /2022
Skyy Moore,WR,Western Michigan,College Stats,5-10,195,4.41,34.5,,125,7.13,4.32,Kansas City Chiefs / 2nd / 54th pick /2022
Jalen Nailor,WR,Michigan St.,College Stats,5-11,186,4.50,38.0,,128,7.03,4.28,Minnesota Vikings / 6th / 191st pick /2022
Chigoziem Okonkwo,TE,Maryland,College Stats,6-3,238,4.52,35.5,,,,,Tennessee Titans / 4th / 143rd pick /2022
Chris Olave,WR,Ohio St.,College Stats,6-0,187,4.39,32.0,,124,,,New Orleans Saints / 1st / 11th pick /2022
Cade Otton,TE,Washington,College Stats,6-5,247,,,,,,,Tampa Bay Buccaneers / 4th / 106th pick /2022
Isiah Pacheco,RB,Rutgers,College Stats,5-10,216,4.37,33.0,,118,,,Kansas City Chiefs / 7th / 251st pick /2022
Kyle Philips,WR,UCLA,College Stats,5-11,189,4.58,33.5,,124,,,Tennessee Titans / 5th / 163rd pick /2022
George Pickens,WR,Georgia,College Stats,6-3,195,4.47,33.0,,125,,,Pittsburgh Steelers / 2nd / 52nd pick /2022
Kenny Pickett,QB,Pittsburgh,College Stats,6-3,217,4.73,33.5,,121,,4.29,Pittsburgh Steelers / 1st / 20th pick /2022
Alec Pierce,WR,Cincinnati,College Stats,6-3,211,4.41,40.5,,129,7.13,4.28,Indianapolis Colts / 2nd / 53rd pick /2022
Dameon Pierce,RB,Florida,College Stats,5-10,218,4.59,34.5,21,119,,,Houston Texans / 4th / 107th pick /2022
Brock Purdy,QB,Iowa St.,College Stats,6-1,212,4.84,27.0,,,7.21,4.45,San Francisco 49ers / 7th / 262nd pick /2022
Teagan Quitoriano,TE,Oregon St.,College Stats,6-6,258,,,22,,,,Houston Texans / 5th / 170th pick /2022
Desmond Ridder,QB,Cincinnati,College Stats,6-3,211,4.52,36.0,,127,7.15,4.29,Atlanta Falcons / 3rd / 74th pick /2022
Ronnie Rivers,RB,Fresno St.,College Stats,5-8,195,4.60,36.5,,119,,,
Wan'Dale Robinson,WR,Kentucky,College Stats,5-8,178,4.44,34.5,,118,,,New York Giants / 2nd / 43rd pick /2022
