Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jerrel Jernigan,WR,Troy,College Stats,5-9,185,4.46,37.5,11,124,7.07,4.25,New York Giants / 3rd / 83rd pick /2011
Greg Jones,ILB,Michigan State,College Stats,6-0,242,4.75,31.5,21,117,7.27,4.27,New York Giants / 6th / 185th pick /2011
Julio Jones,WR,Alabama,College Stats,6-3,220,4.34,38.5,17,135,6.66,4.25,Atlanta Falcons / 1st / 6th pick /2011
Taiwan Jones,RB,East. Washington,,6-0,194,4.33,,13,,,,Oakland Raiders / 4th / 125th pick /2011
Colin Kaepernick,QB,Nevada,College Stats,6-5,233,4.53,32.5,,115,6.85,4.18,San Francisco 49ers / 2nd / 36th pick /2011
Lance Kendricks,TE,Wisconsin,College Stats,6-3,243,4.65,34.5,25,122,6.94,4.15,St. Louis Rams / 2nd / 47th pick /2011
Jeremy Kerley,WR,TCU,College Stats,5-9,189,4.56,34.5,16,120,,,New York Jets / 5th / 153rd pick /2011
Mikel Leshoure,RB,Illinois,College Stats,6-0,227,4.56,38.0,21,122,6.82,4.40,Detroit Lions / 2nd / 57th pick /2011
Dion Lewis,RB,Pittsburgh,College Stats,5-7,193,4.56,34.5,17,112,6.90,4.18,Philadelphia Eagles / 5th / 149th pick /2011
Greg Little,WR,North Carolina,College Stats,6-2,231,4.51,40.5,27,129,6.80,4.21,Cleveland Browns / 2nd / 59th pick /2011
Jake Locker,QB,Washington,College Stats,6-2,231,4.51,35.0,,120,6.77,4.12,Tennessee Titans / 1st / 8th pick /2011
Ricardo Lockette,WR,Fort Valley State,,6-2,211,4.34,35.5,,127,7.15,4.19,
Jeff Maehl,WR,Oregon,College Stats,6-1,190,4.56,33.5,,115,6.42,3.94,
Ryan Mallett,QB,Arkansas,College Stats,6-7,253,5.37,24.0,,103,,,New England Patriots / 3rd / 74th pick /2011
Owen Marecic,FB,Stanford,College Stats,6-0,248,4.87,28.5,22,102,7.10,4.56,Cleveland Browns / 4th / 124th pick /2011
Greg McElroy,QB,Alabama,College Stats,6-2,220,4.84,33.0,,107,7.11,4.45,New York Jets / 7th / 208th pick /2011
Denarius Moore,WR,Tennessee,College Stats,6-0,194,4.43,36.0,13,118,6.78,4.15,Oakland Raiders / 5th / 148th pick /2011
DeMarco Murray,RB,Oklahoma,College Stats,6-0,213,4.37,34.5,21,124,7.28,4.18,Dallas Cowboys / 3rd / 71st pick /2011
Jamar Newsome,WR,Central Florida,College Stats,6-0,200,4.46,38.5,13,129,6.83,4.22,
Cam Newton,QB,Auburn,College Stats,6-5,248,4.56,35.0,,126,6.92,4.18,Carolina Panthers / 1st / 1st pick /2011
Niles Paul,WR,Nebraska,College Stats,6-1,224,4.45,34.5,24,117,6.90,4.14,Washington Redskins / 5th / 155th pick /2011
Austin Pettis,WR,Boise State,College Stats,6-3,209,4.56,33.5,14,120,6.68,3.88,St. Louis Rams / 3rd / 78th pick /2011
Zack Pianalto,TE,North Carolina,College Stats,6-3,256,4.78,32.0,22,108,6.85,4.41,
Kealoha Pilares,WR,Hawaii,College Stats,5-10,199,4.42,,19,,,,Carolina Panthers / 5th / 132nd pick /2011
Christian Ponder,QB,Florida State,College Stats,6-2,229,4.63,34.0,,116,6.85,4.09,Minnesota Vikings / 1st / 12th pick /2011
Bilal Powell,RB,Louisville,College Stats,5-10,207,4.51,,18,,,,New York Jets / 4th / 126th pick /2011
Allen Reisner,FB,Iowa,College Stats,6-2,248,4.90,28.0,14,108,7.31,4.59,
Stevan Ridley,RB,LSU,College Stats,5-11,225,4.65,36.0,18,118,6.78,4.21,New England Patriots / 3rd / 73rd pick /2011
Aldrick Robinson,WR,SMU,College Stats,5-10,184,4.35,40.0,17,126,6.65,4.09,Washington Redskins / 6th / 178th pick /2011
Jacquizz Rodgers,RB,Oregon State,College Stats,5-6,196,4.59,33.0,,113,7.31,4.26,Atlanta Falcons / 5th / 145th pick /2011
Evan Royster,RB,Penn State,College Stats,6-0,212,4.65,34.0,20,113,7.07,4.18,Washington Redskins / 6th / 177th pick /2011
Kyle Rudolph,TE,Notre Dame,College Stats,6-6,259,4.83,,,,,,Minnesota Vikings / 2nd / 43rd pick /2011
Brandon Saine,RB,Ohio State,College Stats,5-11,220,4.40,34.5,22,113,6.98,4.25,
Greg Salas,WR,Hawaii,College Stats,6-1,210,4.53,37.0,15,120,6.65,4.10,St. Louis Rams / 4th / 112th pick /2011
DeMarco Sampson,WR,San Diego State,College Stats,6-2,204,4.41,,14,,,,Arizona Cardinals / 7th / 249th pick /2011
Dane Sanzenbacher,WR,Ohio State,College Stats,5-11,182,4.56,33.5,,118,6.46,3.97,
Weslye Saunders,TE,South Carolina,College Stats,6-5,270,4.93,33.5,19,116,,,
Da'Rel Scott,RB,Maryland,College Stats,5-11,211,4.40,34.0,19,117,7.15,4.20,New York Giants / 7th / 221st pick /2011
Anthony Sherman,FB,Connecticut,College Stats,5-10,242,4.74,32.5,32,111,7.23,4.41,Arizona Cardinals / 5th / 136th pick /2011
Cecil Shorts,WR,Mount Union,,6-0,205,4.50,34.5,21,114,6.50,4.07,Jacksonville Jaguars / 4th / 114th pick /2011
Jimmy Smith,CB,Colorado,College Stats,6-2,211,4.42,36.0,24,123,6.93,4.06,Baltimore Ravens / 1st / 27th pick /2011
Lee Smith,TE,Marshall,College Stats,6-6,266,4.94,29.0,25,108,7.13,4.28,New England Patriots / 5th / 159th pick /2011
Torrey Smith,WR,Maryland,College Stats,6-1,204,4.41,41.0,19,126,6.72,4.13,Baltimore Ravens / 2nd / 58th pick /2011
Luke Stocker,TE,Tennessee,College Stats,6-5,258,4.68,33.0,27,115,7.03,4.40,Tampa Bay Buccaneers / 4th / 104th pick /2011
Tyrod Taylor,QB,Virginia Tech,College Stats,6-1,217,4.47,37.5,,126,6.78,4.09,Baltimore Ravens / 6th / 180th pick /2011
Daniel Thomas,RB,Kansas State,College Stats,6-0,230,4.62,,21,,,,Miami Dolphins / 2nd / 62nd pick /2011
Julius Thomas,TE,Portland State,,6-5,246,4.64,35.5,16,111,6.96,4.31,Denver Broncos / 4th / 129th pick /2011
Jordan Todman,RB,Connecticut,College Stats,5-9,203,4.40,38.0,25,126,7.24,4.18,San Diego Chargers / 6th / 183rd pick /2011
Scott Tolzien,QB,Wisconsin,College Stats,6-2,212,4.92,29.5,,116,6.84,4.12,
Shane Vereen,RB,California,College Stats,5-10,210,4.49,34.0,31,115,6.95,4.28,New England Patriots / 2nd / 56th pick /2011
Ryan Whalen,WR,Stanford,College Stats,6-1,202,4.53,38.5,18,123,6.67,4.09,Cincinnati Bengals / 6th / 167th pick /2011
Johnny White,RB,North Carolina,College Stats,5-10,209,4.50,32.5,,117,7.07,4.31,Buffalo Bills / 5th / 133rd pick /2011
D.J. Williams,TE,Arkansas,College Stats,6-2,245,4.59,33.5,20,111,7.29,4.51,Green Bay Packers / 5th / 141st pick /2011
Ryan Williams,RB,Virginia Tech,College Stats,5-9,212,4.59,40.0,19,123,6.96,4.18,Arizona Cardinals / 2nd / 38th pick /2011
T.J. Yates,QB,North Carolina,College Stats,6-3,219,5.06,29.5,,104,6.96,4.12,Houston Texans / 5th / 152nd pick /2011
Titus Young,WR,Boise State,College Stats,5-11,174,4.43,,,123,,,Detroit Lions / 2nd / 44th pick /2011
