Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Darvin Adams,WR,Auburn,College Stats,6-2,190,4.56,,,,,,
Anthony Allen,RB,Georgia Tech,College Stats,6-1,228,4.56,41.5,24,120,6.79,4.06,Baltimore Ravens / 7th / 225th pick /2011
Armando Allen,RB,Notre Dame,College Stats,5-8,199,4.59,,23,,,,
Armon Binns,WR,Cincinnati,College Stats,6-3,209,4.50,31.5,13,118,6.86,4.31,
Allen Bradford,RB,USC,College Stats,5-11,242,4.53,29.0,28,113,6.97,4.39,Tampa Bay Buccaneers / 6th / 187th pick /2011
Vincent Brown,WR,San Diego State,College Stats,5-11,187,4.68,33.5,12,121,6.64,4.25,San Diego Chargers / 3rd / 82nd pick /2011
Stephen Burton,WR,West Texas A&M,,6-1,221,4.50,34.5,19,117,7.04,4.31,Minnesota Vikings / 7th / 236th pick /2011
Jordan Cameron,TE,USC,College Stats,6-5,254,4.53,37.5,23,119,6.82,4.03,Cleveland Browns / 4th / 102nd pick /2011
Delone Carter,RB,Syracuse,College Stats,5-9,222,4.54,37.0,27,120,6.92,4.07,Indianapolis Colts / 4th / 119th pick /2011
Shaun Chapas,FB,Georgia,College Stats,6-2,247,4.87,35.5,23,116,7.13,4.40,Dallas Cowboys / 7th / 220th pick /2011
Charles Clay,FB,Tulsa,College Stats,6-3,245,4.69,33.5,18,118,7.07,4.15,Miami Dolphins / 6th / 174th pick /2011
John Clay,RB,Wisconsin,College Stats,6-0,230,4.83,29.0,,111,,,
Randall Cobb,WR,Kentucky,College Stats,5-10,191,4.46,33.5,16,115,7.08,4.34,Green Bay Packers / 2nd / 64th pick /2011
Andy Dalton,QB,TCU,College Stats,6-2,215,4.83,29.5,,106,6.93,4.27,Cincinnati Bengals / 2nd / 35th pick /2011
Tandon Doss,WR,Indiana,College Stats,6-2,201,4.62,,14,,,,Baltimore Ravens / 4th / 123rd pick /2011
Shaun Draughn,RB,North Carolina,College Stats,5-11,213,4.73,34.0,21,118,7.15,4.20,
Darren Evans,RB,Virginia Tech,College Stats,6-0,227,4.56,35.0,26,111,6.96,4.46,
Blaine Gabbert,QB,Missouri,College Stats,6-4,234,4.61,33.5,,120,6.84,4.26,Jacksonville Jaguars / 1st / 10th pick /2011
Clyde Gates,WR,Abilene Christian,,6-0,192,4.31,40.0,16,131,,,Miami Dolphins / 4th / 111th pick /2011
A.J. Green,WR,Georgia,College Stats,6-4,211,4.48,34.5,18,126,6.91,4.21,Cincinnati Bengals / 1st / 4th pick /2011
Alex Green,RB,Hawaii,College Stats,6-0,225,4.45,34.0,20,114,6.91,4.15,Green Bay Packers / 3rd / 96th pick /2011
Virgil Green,TE,Nevada,College Stats,6-3,249,4.54,42.5,23,130,6.90,4.40,Denver Broncos / 7th / 204th pick /2011
Tori Gurley,WR,South Carolina,College Stats,6-4,216,4.53,33.5,15,118,7.05,4.25,
Leonard Hankerson,WR,Miami (FL),College Stats,6-1,209,4.40,36.0,14,117,6.94,4.21,Washington Redskins / 3rd / 79th pick /2011
Jamie Harper,RB,Clemson,College Stats,5-11,233,4.53,36.5,24,120,7.16,4.39,Tennessee Titans / 4th / 130th pick /2011
Dwayne Harris,WR,East Carolina,College Stats,5-10,203,4.53,34.0,10,111,6.77,4.21,Dallas Cowboys / 6th / 176th pick /2011
Stanley Havili,FB,USC,College Stats,6-0,227,4.64,,,,,,Philadelphia Eagles / 7th / 240th pick /2011
Roy Helu,RB,Nebraska,College Stats,5-11,219,4.40,36.5,11,119,6.67,4.01,Washington Redskins / 4th / 105th pick /2011
Andre Holmes,WR,Hillsdale,,6-4,210,4.51,35.0,11,130,6.69,4.31,
Rob Housler,TE,Florida Atlantic,College Stats,6-5,248,4.46,37.0,22,117,6.90,4.21,Arizona Cardinals / 3rd / 69th pick /2011
Kendall Hunter,RB,Oklahoma State,College Stats,5-7,199,4.46,35.0,24,122,6.74,4.21,San Francisco 49ers / 4th / 115th pick /2011
Mark Ingram,RB,Alabama,College Stats,5-9,215,4.62,31.5,21,118,7.13,4.62,New Orleans Saints / 1st / 28th pick /2011
Lestar Jean,WR,Florida Atlantic,,6-3,215,4.61,37.5,14,113,7.45,4.43,
