Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Danny Amendola,WR,Texas Tech,College Stats,5-10,183,4.58,27.5,13,103,6.81,4.25,
Adrian Arrington,WR,Michigan,College Stats,6-3,203,4.55,,,,,,New Orleans Saints / 7th / 237th pick /2008
Donnie Avery,WR,Houston,College Stats,5-11,192,4.43,,16,,,,St. Louis Rams / 2nd / 33rd pick /2008
Gary Barnidge,TE,Louisville,College Stats,6-6,243,4.61,31.0,22,117,6.92,4.23,Carolina Panthers / 5th / 141st pick /2008
Earl Bennett,WR,Vanderbilt,College Stats,5-11,209,4.48,26.0,15,110,7.15,4.22,Chicago Bears / 3rd / 70th pick /2008
Martellus Bennett,TE,Texas A&M,College Stats,6-6,259,4.68,34.0,18,118,7.64,4.53,Dallas Cowboys / 2nd / 61st pick /2008
Davone Bess,WR,Hawaii,College Stats,5-10,194,4.64,31.5,12,118,6.97,4.27,
Cory Boyd,RB,South Carolina,College Stats,6-0,213,4.52,33.5,25,118,6.97,4.24,Tampa Bay Buccaneers / 7th / 238th pick /2008
Brian Brohm,QB,Louisville,College Stats,6-3,230,4.81,30.0,,115,7.13,4.55,Green Bay Packers / 2nd / 56th pick /2008
Keenan Burton,WR,Kentucky,College Stats,6-0,201,4.44,38.5,10,125,6.77,4.20,St. Louis Rams / 4th / 128th pick /2008
Andre Caldwell,WR,Florida,College Stats,6-0,204,4.35,33.0,,124,6.75,4.11,Cincinnati Bengals / 3rd / 97th pick /2008
John Carlson,TE,Notre Dame,College Stats,6-5,251,4.88,30.5,20,113,7.12,4.28,Seattle Seahawks / 2nd / 38th pick /2008
Jehuu Caulcrick,FB,Michigan State,College Stats,6-0,254,4.69,33.0,16,109,7.40,4.72,
Jamaal Charles,RB,Texas,College Stats,5-11,200,4.38,30.5,,122,6.80,4.22,Kansas City Chiefs / 3rd / 73rd pick /2008
Tashard Choice,RB,Georgia Tech,College Stats,5-10,215,4.48,34.0,20,119,6.88,,Dallas Cowboys / 4th / 122nd pick /2008
Brad Cottam,TE,Tennessee,College Stats,6-7,270,4.63,33.0,24,,,,Kansas City Chiefs / 3rd / 76th pick /2008
Fred Davis,TE,USC,College Stats,6-3,255,4.68,,24,,,,Washington Redskins / 2nd / 48th pick /2008
Kellen Davis,TE,Michigan State,College Stats,6-6,262,4.59,28.0,22,118,7.25,4.38,Chicago Bears / 5th / 158th pick /2008
Dennis Dixon,QB,Oregon,College Stats,6-3,195,4.58,,,,,,Pittsburgh Steelers / 5th / 156th pick /2008
Early Doucet,WR,LSU,College Stats,6-0,209,4.59,,,,,,Arizona Cardinals / 3rd / 81st pick /2008
Harry Douglas,WR,Louisville,College Stats,5-11,176,4.51,31.0,,120,6.57,4.12,Atlanta Falcons / 3rd / 84th pick /2008
Jerome Felton,FB,Furman,,6-0,241,4.68,32.5,30,110,7.20,4.46,Detroit Lions / 5th / 146th pick /2008
Derek Fine,TE,Kansas,College Stats,6-3,251,4.83,29.0,24,115,6.80,4.19,Buffalo Bills / 4th / 132nd pick /2008
Jermichael Finley,TE,Texas,College Stats,6-4,243,4.82,27.5,20,117,7.15,4.38,Green Bay Packers / 3rd / 91st pick /2008
Joe Flacco,QB,Pittsburgh,College Stats,6-6,236,4.84,28.5,,110,6.82,4.27,Baltimore Ravens / 1st / 18th pick /2008
Matt Flynn,QB,LSU,College Stats,6-2,231,4.79,28.0,,109,7.21,4.34,Green Bay Packers / 7th / 209th pick /2008
Justin Forsett,RB,California,College Stats,5-8,194,4.62,26.5,26,112,6.96,,Seattle Seahawks / 7th / 233rd pick /2008
Matt Forte,RB,Tulane,College Stats,6-1,217,4.44,33.0,23,118,6.84,4.23,Chicago Bears / 2nd / 44th pick /2008
Will Franklin,WR,Missouri,College Stats,6-0,214,4.37,34.5,,,,,Kansas City Chiefs / 4th / 105th pick /2008
Pierre Garcon,WR,Mount Union,,6-0,210,4.42,36.5,20,125,6.90,4.19,Indianapolis Colts / 6th / 205th pick /2008
BenJarvus Green-Ellis,RB,Mississippi,College Stats,5-11,219,4.60,30.5,24,114,,,
James Hardy,WR,Indiana,College Stats,6-5,217,4.45,31.5,18,125,6.84,4.20,Buffalo Bills / 2nd / 41st pick /2008
Justin Harper,WR,Virginia Tech,College Stats,6-3,213,4.56,28.5,,120,7.03,4.43,Baltimore Ravens / 7th / 215th pick /2008
Mike Hart,RB,Michigan,College Stats,5-9,206,4.69,28.0,23,110,,,Indianapolis Colts / 6th / 202nd pick /2008
Lavelle Hawkins,WR,California,College Stats,5-11,187,4.57,,14,117,,,Tennessee Titans / 4th / 126th pick /2008
Joey Haynos,TE,Maryland,College Stats,6-8,259,4.87,30.5,17,123,6.92,4.42,
Chad Henne,QB,Michigan,College Stats,6-3,230,4.92,25.5,,106,7.17,4.40,Miami Dolphins / 2nd / 57th pick /2008
Jacob Hester,FB,LSU,College Stats,5-11,226,4.61,27.5,23,111,6.85,4.24,San Diego Chargers / 3rd / 69th pick /2008
Lex Hilliard,FB,Montana,,5-11,231,4.68,32.0,,122,7.01,4.20,Miami Dolphins / 6th / 204th pick /2008
Peyton Hillis,FB,Arkansas,College Stats,6-1,240,4.64,30.5,26,117,7.15,,Denver Broncos / 7th / 227th pick /2008
Paul Hubbard,WR,Wisconsin,College Stats,6-3,221,4.49,29.5,15,126,,,Cleveland Browns / 6th / 191st pick /2008
DeSean Jackson,WR,California,College Stats,5-10,169,4.35,,,120,,,Philadelphia Eagles / 2nd / 49th pick /2008
Dexter Jackson,WR,Appalachian State,,5-9,182,4.33,29.5,,122,6.81,4.38,Tampa Bay Buccaneers / 2nd / 58th pick /2008
Stevie Johnson,WR,Michigan State,,6-2,210,4.46,32.5,,121,7.07,4.26,
Chris Johnson,RB,East Carolina,College Stats,5-11,197,4.24,35.0,,130,,,Tennessee Titans / 1st / 24th pick /2008
Jaymar Johnson,WR,Jackson State,,5-11,177,4.50,32.0,14,118,6.75,4.18,Minnesota Vikings / 6th / 193rd pick /2008
Josh Johnson,QB,San Diego,,6-3,213,4.53,33.5,,110,7.56,4.42,Tampa Bay Buccaneers / 5th / 160th pick /2008
Felix Jones,RB,Arkansas,College Stats,5-10,207,4.44,33.5,,124,6.90,4.19,Dallas Cowboys / 1st / 22nd pick /2008
Dustin Keller,TE,Purdue,College Stats,6-2,242,4.53,38.0,26,131,6.88,4.14,New York Jets / 1st / 30th pick /2008
Malcolm Kelly,WR,Oklahoma,College Stats,6-4,224,4.68,,,,,,Washington Redskins / 2nd / 51st pick /2008
Kregg Lumpkin,RB,Georgia,College Stats,5-11,226,4.68,28.0,22,111,,,
Mario Manningham,WR,Michigan,College Stats,6-0,181,4.59,32.0,16,117,7.34,4.27,New York Giants / 3rd / 95th pick /2008
Darren McFadden,RB,Arkansas,College Stats,6-1,211,4.33,33.0,,128,,,Oakland Raiders / 1st / 4th pick /2008
Rashard Mendenhall,RB,Illinois,College Stats,5-10,225,4.41,33.5,26,117,,4.18,Pittsburgh Steelers / 1st / 23rd pick /2008
Evan Moore,TE,Stanford,College Stats,6-6,233,4.74,27.0,16,110,7.08,4.43,
Josh Morgan,WR,Virginia Tech,College Stats,6-0,219,4.46,,,,,,San Francisco 49ers / 6th / 174th pick /2008
Jordy Nelson,WR,Kansas State,College Stats,6-3,217,4.51,31.0,,123,7.03,4.35,Green Bay Packers / 2nd / 36th pick /2008
Kevin O'Connell,QB,San Diego State,College Stats,6-5,225,4.61,31.0,,113,7.01,4.38,New England Patriots / 3rd / 94th pick /2008
Xavier Omon,RB,Northwest Missouri State,,5-11,228,4.52,31.0,17,112,,,Buffalo Bills / 6th / 179th pick /2008
Jalen Parmele,RB,Toledo,College Stats,5-11,224,4.47,34.0,19,125,6.96,4.29,Miami Dolphins / 6th / 176th pick /2008
Maurice Purify,WR,Nebraska,College Stats,6-3,224,4.50,28.5,,117,6.95,4.29,
Darius Reynaud,WR,West Virginia,College Stats,5-9,201,4.48,34.5,20,130,6.88,4.32,
Ray Rice,RB,Rutgers,College Stats,5-8,199,4.42,31.5,23,119,6.65,4.20,Baltimore Ravens / 2nd / 55th pick /2008
Kevin Robinson,WR,Utah State,College Stats,5-11,202,4.69,27.5,,115,7.31,4.77,Kansas City Chiefs / 6th / 182nd pick /2008
Eddie Royal,WR,Virginia Tech,College Stats,5-10,184,4.39,36.0,24,124,7.07,4.34,Denver Broncos / 2nd / 42nd pick /2008
Martin Rucker,TE,Missouri,College Stats,6-5,251,4.75,,20,,,,Cleveland Browns / 4th / 111th pick /2008
Matt Ryan,QB,Boston Col.,College Stats,6-5,228,4.89,,,,7.40,4.51,Atlanta Falcons / 1st / 3rd pick /2008
Tom Santi,TE,Virginia,College Stats,6-3,250,4.80,36.0,14,121,7.08,4.27,Indianapolis Colts / 6th / 196th pick /2008
Dantrell Savage,RB,Oklahoma State,College Stats,5-8,187,4.53,32.5,13,117,,,
Owen Schmitt,FB,West Virginia,College Stats,6-2,247,4.73,,26,,,,Seattle Seahawks / 5th / 163rd pick /2008
Chad Simpson,RB,South Florida,College Stats,5-9,216,4.40,32.5,,124,,,
Jerome Simpson,WR,Coastal Carolina,,6-2,199,4.42,37.5,,136,7.08,4.52,Cincinnati Bengals / 2nd / 46th pick /2008
Steve Slaton,RB,West Virginia,College Stats,5-9,197,4.45,33.5,19,118,,,Houston Texans / 3rd / 89th pick /2008
Paul Smith,QB,Tulsa,College Stats,6-1,208,4.95,26.5,,111,7.02,4.29,
Kevin Smith,RB,Central Florida,College Stats,6-1,217,4.53,32.0,,120,6.74,4.49,Detroit Lions / 3rd / 64th pick /2008
Marcus Smith,WR,New Mexico,College Stats,6-1,221,4.51,26.5,20,111,7.10,4.42,Baltimore Ravens / 4th / 106th pick /2008
Taj Smith,WR,Syracuse,College Stats,6-0,187,4.59,35.0,,119,7.15,4.50,
Craig Stevens,TE,California,College Stats,6-3,254,4.59,27.5,27,114,7.07,4.31,Tennessee Titans / 3rd / 85th pick /2008
Jonathan Stewart,RB,Oregon,College Stats,5-10,235,4.46,36.5,28,128,,,Carolina Panthers / 1st / 13th pick /2008
Limas Sweed,WR,Texas,College Stats,6-4,215,4.48,35.0,,,,,Pittsburgh Steelers / 2nd / 53rd pick /2008
Jacob Tamme,TE,Kentucky,College Stats,6-3,236,4.58,30.0,18,109,6.99,4.27,Indianapolis Colts / 4th / 127th pick /2008
Devin Thomas,WR,Michigan State,College Stats,6-2,216,4.41,28.0,,126,7.15,4.26,Washington Redskins / 2nd / 34th pick /2008
