Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Colt McCoy,QB,Texas,College Stats,6-1,216,4.79,,,114,,,Cleveland Browns / 3rd / 85th pick /2010
Joe McKnight,RB,USC,College Stats,5-11,198,4.40,36.5,18,120,,,New York Jets / 4th / 112th pick /2010
Kerry Meier,WR,Kansas,College Stats,6-2,224,4.62,35.0,13,115,,4.23,Atlanta Falcons / 5th / 165th pick /2010
Lonyae Miller,RB,Fresno State,College Stats,5-11,221,4.43,36.5,26,120,7.20,4.54,
Carlton Mitchell,WR,South Florida,College Stats,6-3,215,4.46,36.0,16,122,6.96,4.55,Cleveland Browns / 6th / 177th pick /2010
Tony Moeaki,TE,Iowa,College Stats,6-3,245,4.69,34.0,18,113,7.10,4.42,Kansas City Chiefs / 3rd / 93rd pick /2010
Preston Parker,WR,Florida State,College Stats,5-11,199,4.59,35.0,16,117,,4.16,
Tony Pike,QB,Cincinnati,College Stats,6-6,223,4.90,28.5,,108,7.06,4.53,Carolina Panthers / 6th / 204th pick /2010
Dennis Pitta,TE,BYU,College Stats,6-4,245,4.68,34.0,27,113,6.72,4.17,Baltimore Ravens / 4th / 114th pick /2010
Taylor Price,WR,Ohio,College Stats,6-0,204,4.40,37.0,16,114,6.82,4.34,New England Patriots / 3rd / 90th pick /2010
Andrew Quarless,TE,Penn State,College Stats,6-4,254,4.68,32.0,23,112,,,Green Bay Packers / 5th / 154th pick /2010
David Reed,WR,Utah,College Stats,6-0,191,4.56,37.0,15,114,6.95,4.38,Baltimore Ravens / 5th / 156th pick /2010
Andre Roberts,WR,Citadel,,5-11,195,4.40,36.0,15,120,6.77,4.15,Arizona Cardinals / 3rd / 88th pick /2010
Emmanuel Sanders,WR,SMU,College Stats,5-11,186,4.40,39.5,12,126,6.64,4.10,Pittsburgh Steelers / 3rd / 82nd pick /2010
Jordan Shipley,WR,Texas,College Stats,5-11,193,4.60,36.5,16,116,,,Cincinnati Bengals / 3rd / 84th pick /2010
John Skelton,QB,Fordham,,6-5,243,4.85,33.5,,108,7.17,4.33,Arizona Cardinals / 5th / 155th pick /2010
C.J. Spiller,RB,Clemson,College Stats,5-11,196,4.37,,18,,,,Buffalo Bills / 1st / 9th pick /2010
James Starks,RB,Buffalo,College Stats,6-2,218,4.50,36.0,15,119,6.89,4.23,Green Bay Packers / 6th / 193rd pick /2010
Ben Tate,RB,Auburn,College Stats,5-11,220,4.34,40.5,26,124,6.91,4.12,Houston Texans / 2nd / 58th pick /2010
Golden Tate,WR,Notre Dame,College Stats,5-10,199,4.42,35.0,17,120,7.12,4.34,Seattle Seahawks / 2nd / 60th pick /2010
Tim Tebow,QB,Florida,College Stats,6-3,236,4.71,38.5,,115,6.66,4.17,Denver Broncos / 1st / 25th pick /2010
Demaryius Thomas,WR,Georgia Tech,College Stats,6-3,224,4.52,,,,,,Denver Broncos / 1st / 22nd pick /2010
Keith Toston,RB,Oklahoma State,College Stats,6-0,213,4.66,32.0,22,110,,4.67,
Verran Tucker,WR,California,College Stats,6-2,200,4.65,,,,,,
Tony Washington,OT,Appalachian State,,6-6,311,5.25,29.5,33,114,7.52,4.84,
Chastin West,WR,Fresno State,College Stats,6-0,212,4.59,33.5,15,113,,,
Blair White,WR,Michigan State,College Stats,6-2,209,4.49,33.5,18,115,6.69,4.03,
Damian Williams,WR,USC,College Stats,6-1,197,4.52,38.0,19,118,6.79,4.24,Tennessee Titans / 3rd / 77th pick /2010
Keiland Williams,RB,LSU,College Stats,5-11,233,4.52,,,,,,
Kyle Williams,WR,Arizona State,College Stats,5-10,188,4.40,33.0,11,118,7.00,4.19,San Francisco 49ers / 6th / 206th pick /2010
Mike Williams,WR,Syracuse,College Stats,6-1,221,4.53,33.5,8,116,6.90,4.31,Tampa Bay Buccaneers / 4th / 101st pick /2010
Stephen Williams,WR,Toledo,College Stats,6-4,210,4.50,36.5,15,125,6.81,4.11,
