Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jerell Adams,TE,South Carolina,College Stats,6-5,247,4.64,32.5,,117,7.05,4.31,New York Giants / 6th / 184th pick /2016
Bralon Addison,WR,Oregon,College Stats,5-9,197,4.66,34.5,13,116,6.95,4.14,
Brandon Allen,QB,Arkansas,College Stats,6-1,217,4.84,28.0,,110,7.06,4.33,Jacksonville Jaguars / 6th / 201st pick /2016
Geronimo Allison,WR,Illinois,College Stats,6-3,196,4.67,33.0,,127,7.40,4.28,
Stephen Anderson,TE,California,College Stats,6-2,230,4.59,38.0,16,119,,,
Demarcus Ayers,WR,Houston,College Stats,5-9,182,4.72,33.0,,123,,,Pittsburgh Steelers / 7th / 229th pick /2016
Peyton Barber,RB,Auburn,College Stats,5-10,228,4.64,32.5,20,111,7.00,4.21,
Devontae Booker,RB,Utah,College Stats,5-11,219,4.56,,22,,,,Denver Broncos / 4th / 136th pick /2016
Tyler Boyd,WR,Pittsburgh,College Stats,6-1,197,4.58,34.0,11,119,6.90,4.35,Cincinnati Bengals / 2nd / 55th pick /2016
Trevone Boykin,QB,TCU,College Stats,6-0,212,4.77,32.0,,110,,4.40,
Ben Braunecker,TE,Harvard,,6-3,250,4.73,35.5,20,121,6.90,4.20,
Jacoby Brissett,QB,North Carolina State,College Stats,6-4,231,4.94,31.0,,113,7.17,4.53,New England Patriots / 3rd / 91st pick /2016
Anthony Brown,CB,Purdue,College Stats,5-11,192,4.33,35.0,19,115,7.03,4.19,Dallas Cowboys / 6th / 189th pick /2016
Chris Brown,WR,Notre Dame,College Stats,6-2,194,4.48,,,,,,
Aaron Burbridge,WR,Michigan State,College Stats,6-0,206,4.56,30.5,20,115,7.22,4.31,San Francisco 49ers / 6th / 213th pick /2016
Leonte Carroo,WR,Rutgers,College Stats,6-0,211,4.50,35.5,14,120,,,Miami Dolphins / 3rd / 86th pick /2016
Corey Coleman,WR,Baylor,College Stats,5-11,194,4.42,40.5,17,129,,,Cleveland Browns / 1st / 15th pick /2016
Alex Collins,RB,Arkansas,College Stats,5-10,217,4.59,28.5,18,113,,,Seattle Seahawks / 5th / 171st pick /2016
Connor Cook,QB,Michigan State,College Stats,6-4,217,4.79,33.0,,113,7.21,4.28,Oakland Raiders / 4th / 100th pick /2016
Pharoh Cooper,WR,South Carolina,College Stats,5-11,203,4.52,31.0,15,115,,,Los Angeles Rams / 4th / 117th pick /2016
Cody Core,WR,Mississippi,College Stats,6-3,205,4.47,31.5,14,119,,,Cincinnati Bengals / 6th / 199th pick /2016
Trevor Davis,WR,California,College Stats,6-1,188,4.42,38.5,11,124,6.60,4.22,Green Bay Packers / 5th / 163rd pick /2016
Kenneth Dixon,RB,Louisiana Tech,College Stats,5-10,215,4.56,37.5,18,121,6.97,4.28,Baltimore Ravens / 4th / 134th pick /2016
Josh Doctson,WR,TCU,College Stats,6-2,202,4.50,41.0,14,131,6.84,4.08,Washington Redskins / 1st / 22nd pick /2016
Kenyan Drake,RB,Alabama,College Stats,6-1,210,4.45,34.5,10,123,7.04,4.21,Miami Dolphins / 3rd / 73rd pick /2016
Jeff Driskel,QB,Louisiana Tech,College Stats,6-4,234,4.56,32.0,,122,7.19,4.25,San Francisco 49ers / 6th / 207th pick /2016
Thomas Duarte,TE,UCLA,College Stats,6-2,231,4.72,33.5,12,118,6.97,4.24,Miami Dolphins / 7th / 231st pick /2016
Ezekiel Elliott,RB,Ohio State,College Stats,6-0,225,4.47,32.5,,118,,,Dallas Cowboys / 1st / 4th pick /2016
Tyler Ervin,RB,San Jose State,College Stats,5-10,192,4.41,39.0,17,130,,,Houston Texans / 4th / 119th pick /2016
Josh Ferguson,RB,Illinois,College Stats,5-9,198,4.48,34.5,21,120,,,
D.J. Foster,WR,Arizona State,College Stats,5-10,193,4.57,35.5,14,117,6.75,4.07,
Will Fuller,WR,Notre Dame,College Stats,6-0,186,4.32,33.5,10,126,6.93,4.27,Houston Texans / 1st / 21st pick /2016
Jared Goff,QB,California,College Stats,6-4,215,4.82,27.0,,110,7.17,4.47,Los Angeles Rams / 1st / 1st pick /2016
David Grinnage,TE,North Carolina State,College Stats,6-5,248,4.90,29.5,,106,,,
Temarrick Hemingway,TE,South Carolina State,,6-5,244,4.71,30.5,18,115,6.88,4.31,Los Angeles Rams / 6th / 177th pick /2016
Derrick Henry,RB,Alabama,College Stats,6-3,247,4.54,37.0,22,130,7.20,4.38,Tennessee Titans / 2nd / 45th pick /2016
Hunter Henry,TE,Arkansas,College Stats,6-5,250,4.79,,13,,,,San Diego Chargers / 2nd / 35th pick /2016
Tyler Higbee,TE,Western Kentucky,College Stats,6-6,249,4.77,,,,,,Los Angeles Rams / 4th / 110th pick /2016
Rashard Higgins,WR,Colorado State,College Stats,6-1,196,4.64,32.0,13,116,,,Cleveland Browns / 5th / 172nd pick /2016
Kevin Hogan,QB,Stanford,College Stats,6-3,218,4.78,32.5,,113,6.90,4.31,Kansas City Chiefs / 5th / 162nd pick /2016
Johnny Holton,WR,Cincinnati,College Stats,6-1,190,4.54,31.5,8,123,,,
Austin Hooper,TE,Stanford,College Stats,6-4,254,4.72,33.0,19,117,7.00,4.32,Atlanta Falcons / 3rd / 81st pick /2016
Jordan Howard,RB,Indiana,College Stats,6-0,230,4.57,34.0,16,122,,,Chicago Bears / 5th / 150th pick /2016
Cardale Jones,QB,Ohio State,College Stats,6-5,253,4.81,36.0,,,,,Buffalo Bills / 4th / 139th pick /2016
Cody Kessler,QB,USC,College Stats,6-1,220,4.89,29.5,,104,7.32,4.00,Cleveland Browns / 3rd / 93rd pick /2016
Daniel Lasco,RB,California,College Stats,6-0,209,4.46,41.5,23,135,7.22,4.26,New Orleans Saints / 7th / 237th pick /2016
Roger Lewis,WR,Bowling Green,College Stats,6-0,201,4.57,33.5,8,116,,,
Ricardo Louis,WR,Auburn,College Stats,6-2,215,4.43,38.0,18,132,,,Cleveland Browns / 4th / 114th pick /2016
Paxton Lynch,QB,Memphis,College Stats,6-7,244,4.86,36.0,,118,7.14,4.26,Denver Broncos / 1st / 26th pick /2016
Tre Madden,RB,USC,College Stats,6-0,223,4.53,,24,,,,
Ryan Malleck,TE,Virginia Tech,College Stats,6-4,247,4.77,34.5,18,121,7.00,4.33,
Byron Marshall,WR,Oregon,College Stats,5-9,201,4.42,,17,,,,
Jalin Marshall,WR,Ohio State,College Stats,5-10,200,4.60,37.5,16,125,6.80,4.13,
Braxton Miller,WR,Ohio State,College Stats,6-1,201,4.50,35.0,17,123,6.65,4.07,Houston Texans / 3rd / 85th pick /2016
Malcolm Mitchell,WR,Georgia,College Stats,6-0,198,4.45,36.0,15,129,6.94,4.34,New England Patriots / 4th / 112th pick /2016
Chris Moore,WR,Cincinnati,College Stats,6-1,206,4.53,37.0,10,130,6.76,4.20,Baltimore Ravens / 4th / 107th pick /2016
David Morgan,TE,Texas-San Antonio,College Stats,6-4,262,,,,,,,Minnesota Vikings / 6th / 188th pick /2016
Jordan Payton,WR,UCLA,College Stats,6-1,207,4.47,34.5,,121,7.08,4.33,Cleveland Browns / 5th / 154th pick /2016
Charone Peake,WR,Clemson,College Stats,6-2,209,4.45,35.5,12,122,6.96,4.46,New York Jets / 7th / 241st pick /2016
Paul Perkins,RB,UCLA,College Stats,5-10,208,4.54,32.0,19,124,,,New York Giants / 5th / 149th pick /2016
