Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Tim Massaquoi,TE,Michigan,College Stats,6-3,259,4.85,,32,,,,Tampa Bay Buccaneers / 7th / 244th pick /2006
Reggie McNeal,QB,Texas A&M,College Stats,6-2,198,4.40,32.0,,121,6.96,4.25,Cincinnati Bengals / 6th / 193rd pick /2006
Anthony Mix,WR,Auburn,College Stats,6-4,235,4.48,31.5,,111,,,
Sinorice Moss,WR,Miami (FL),College Stats,5-8,185,4.38,,,,,,New York Giants / 2nd / 44th pick /2006
Martin Nance,WR,Miami (OH),College Stats,6-4,213,4.55,33.5,,112,6.91,4.08,
Jerious Norwood,RB,Mississippi State,College Stats,6-0,210,4.40,36.5,15,122,6.81,4.25,Atlanta Falcons / 3rd / 79th pick /2006
Ben Obomanu,WR,Auburn,College Stats,6-1,205,4.45,38.0,,116,7.17,4.21,Seattle Seahawks / 7th / 249th pick /2006
Jason Pociask,TE,Wisconsin,College Stats,6-3,266,4.84,32.5,23,115,7.31,4.30,New York Jets / 5th / 150th pick /2006
Leonard Pope,TE,Georgia,College Stats,6-8,258,4.62,37.5,22,118,7.47,4.67,Arizona Cardinals / 3rd / 72nd pick /2006
Willie Reid,WR,Florida State,College Stats,5-10,188,4.34,37.5,,117,7.06,4.26,Pittsburgh Steelers / 3rd / 95th pick /2006
Cory Ross,RB,Nebraska,College Stats,5-6,201,4.58,,15,,,,
Derrick Ross,RB,Tarleton State,,5-10,226,4.56,35.0,20,112,7.00,4.35,
Tony Scheffler,TE,West. Michigan,College Stats,6-5,254,4.54,33.5,17,115,6.81,4.01,Denver Broncos / 2nd / 61st pick /2006
Brad Smith,WR,Missouri,College Stats,6-2,213,4.46,39.5,,128,7.00,4.33,New York Jets / 4th / 103rd pick /2006
Maurice Stovall,WR,Notre Dame,College Stats,6-4,217,4.57,35.0,,122,6.81,4.14,Tampa Bay Buccaneers / 3rd / 90th pick /2006
Boone Stutz,LS,Texas A&M,College Stats,6-6,259,5.06,,,,,,
Quinn Sypniewski,TE,Colorado,College Stats,6-6,268,4.77,32.5,20,114,7.09,4.52,Baltimore Ravens / 5th / 166th pick /2006
Naufahu Tahi,FB,BYU,College Stats,6-0,254,4.85,29.0,35,101,7.72,4.70,
David Thomas,TE,Texas,College Stats,6-3,252,4.67,37.5,19,113,7.05,4.34,New England Patriots / 3rd / 86th pick /2006
Delanie Walker,WR,Central Missouri State,,6-1,240,4.49,36.5,,118,,,San Francisco 49ers / 6th / 175th pick /2006
Cooper Wallace,TE,Auburn,College Stats,6-4,261,4.78,29.0,21,105,7.29,4.21,
Leon Washington,RB,Florida State,College Stats,5-8,201,4.42,32.5,17,105,6.94,4.37,New York Jets / 4th / 117th pick /2006
Todd Watkins,WR,BYU,College Stats,6-2,202,4.40,36.0,15,118,7.13,4.24,Arizona Cardinals / 7th / 218th pick /2006
Jeff Webb,WR,San Diego State,College Stats,6-2,211,4.40,37.0,,126,6.81,4.08,Kansas City Chiefs / 6th / 190th pick /2006
LenDale White,RB,USC,College Stats,6-0,238,4.49,,,,,,Tennessee Titans / 2nd / 45th pick /2006
Charlie Whitehurst,QB,Clemson,College Stats,6-5,223,4.75,33.0,,112,7.00,4.11,San Diego Chargers / 3rd / 81st pick /2006
Brandon Williams,WR,Wisconsin,College Stats,5-9,179,4.48,34.5,,115,6.87,4.07,San Francisco 49ers / 3rd / 84th pick /2006
DeAngelo Williams,RB,Memphis,College Stats,5-9,214,4.45,35.5,25,121,,,Carolina Panthers / 1st / 27th pick /2006
Demetrius Williams,WR,Oregon,College Stats,6-2,197,4.52,38.0,,127,6.84,4.08,Baltimore Ravens / 4th / 111th pick /2006
Travis Wilson,WR,Oklahoma,College Stats,6-2,214,4.47,36.5,,120,6.70,3.99,Cleveland Browns / 3rd / 78th pick /2006
Vince Young,QB,Texas,College Stats,6-5,229,4.48,,,,,,Tennessee Titans / 1st / 3rd pick /2006
