Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Joseph Addai,RB,LSU,College Stats,5-11,214,4.40,38.5,18,125,7.09,4.47,Indianapolis Colts / 1st / 30th pick /2006
David Anderson,WR,Colorado State,College Stats,5-10,192,4.57,34.0,,116,6.88,4.20,Houston Texans / 7th / 251st pick /2006
Devin Aromashodu,WR,Auburn,College Stats,6-2,201,4.35,39.0,,120,7.04,4.16,Miami Dolphins / 7th / 233rd pick /2006
Miles Austin,WR,Monmouth (NJ),,6-2,215,4.47,40.5,21,123,7.09,4.14,
Jason Avant,WR,Michigan,College Stats,6-0,212,4.62,37.0,20,118,,,Philadelphia Eagles / 4th / 109th pick /2006
Brett Basanez,QB,Northwestern,College Stats,6-1,220,4.76,34.0,,114,6.75,4.22,
Hank Baskett,WR,New Mexico,College Stats,6-3,224,4.50,35.0,,119,6.79,4.17,
Mike Bell,RB,Arizona,College Stats,6-0,221,4.60,31.5,19,112,7.16,4.21,
Troy Bienemann,TE,Washington State,College Stats,6-5,256,4.80,,,,,,
Reggie Bush,RB,USC,College Stats,5-11,201,4.37,,,,,,New Orleans Saints / 1st / 2nd pick /2006
Dominique Byrd,TE,USC,College Stats,6-3,255,4.79,,,,,,St. Louis Rams / 3rd / 93rd pick /2006
Brian Calhoun,RB,Wisconsin,College Stats,5-9,201,4.57,31.5,18,124,7.05,4.20,Detroit Lions / 3rd / 74th pick /2006
Kellen Clemens,QB,Oregon,College Stats,6-2,224,4.89,,,,,,New York Jets / 2nd / 49th pick /2006
Marques Colston,WR,Hofstra,,6-5,224,4.50,37.0,16,123,6.94,4.43,New Orleans Saints / 7th / 252nd pick /2006
Brodie Croyle,QB,Alabama,College Stats,6-2,205,4.88,30.5,,104,7.34,4.25,Kansas City Chiefs / 3rd / 85th pick /2006
Jay Cutler,QB,Vanderbilt,College Stats,6-3,226,4.77,,23,,7.10,4.26,Denver Broncos / 1st / 11th pick /2006
Owen Daniels,TE,Wisconsin,College Stats,6-3,253,4.65,34.5,23,114,6.87,4.10,Houston Texans / 4th / 98th pick /2006
Vernon Davis,TE,Maryland,College Stats,6-3,254,4.38,42.0,33,128,7.00,4.17,San Francisco 49ers / 1st / 6th pick /2006
Anthony Fasano,TE,Notre Dame,College Stats,6-4,259,4.72,33.5,19,112,6.94,4.34,Dallas Cowboys / 2nd / 53rd pick /2006
Daniel Fells,TE,California-Davis,,6-3,259,4.95,29.5,19,108,7.27,4.46,
Quinton Ganther,RB,Utah,College Stats,5-9,218,4.50,35.0,29,119,7.19,,Tennessee Titans / 7th / 246th pick /2006
Bruce Gradkowski,QB,Toledo,College Stats,6-1,217,4.59,34.0,,107,7.12,4.16,Tampa Bay Buccaneers / 6th / 194th pick /2006
Skyler Green,WR,LSU,College Stats,5-9,192,4.53,34.0,,118,,,Dallas Cowboys / 4th / 125th pick /2006
Derek Hagan,WR,Arizona State,College Stats,6-2,208,4.45,36.0,,124,,4.07,Miami Dolphins / 3rd / 82nd pick /2006
Marques Hagans,RB,Virginia,College Stats,5-9,202,4.67,35.0,,114,7.03,4.38,St. Louis Rams / 5th / 144th pick /2006
Andre Hall,RB,South Florida,College Stats,5-8,208,4.40,33.0,18,113,7.38,,
Gilbert Harris,FB,Arizona,College Stats,6-2,235,4.73,36.0,20,117,7.00,4.38,
Jerome Harrison,RB,Washington State,College Stats,5-9,201,4.47,34.5,19,124,6.77,4.07,Cleveland Browns / 5th / 145th pick /2006
Santonio Holmes,WR,Ohio State,College Stats,5-11,188,4.35,,,,,,Pittsburgh Steelers / 1st / 25th pick /2006
Chad Jackson,WR,Florida,College Stats,6-1,213,4.32,38.5,,122,6.73,3.97,New England Patriots / 2nd / 36th pick /2006
Tarvaris Jackson,QB,Arkansas,College Stats,6-2,226,4.69,31.5,22,107,7.40,4.38,Minnesota Vikings / 2nd / 64th pick /2006
Adam Jennings,WR,Fresno State,College Stats,5-9,181,4.44,37.5,,118,6.88,4.12,Atlanta Falcons / 6th / 184th pick /2006
Greg Jennings,WR,West. Michigan,College Stats,5-11,197,4.42,36.5,,117,6.68,4.16,Green Bay Packers / 2nd / 52nd pick /2006
Brandon Johnson,OLB,Louisville,College Stats,6-5,228,4.44,37.0,11,118,7.17,4.34,Arizona Cardinals / 5th / 142nd pick /2006
Maurice Jones-Drew,RB,UCLA,College Stats,5-7,207,4.39,36.0,18,116,7.08,4.38,Jacksonville Jaguars / 2nd / 60th pick /2006
Jeff King,TE,Virginia Tech,College Stats,6-5,245,4.83,32.5,21,109,6.99,4.09,Carolina Panthers / 5th / 155th pick /2006
Joe Klopfenstein,TE,Colorado,College Stats,6-6,255,4.63,36.0,27,112,7.39,4.21,St. Louis Rams / 2nd / 46th pick /2006
Matt Leinart,QB,USC,College Stats,6-5,223,4.90,,,,,,Arizona Cardinals / 1st / 10th pick /2006
Marcedes Lewis,TE,UCLA,College Stats,6-6,261,4.80,37.0,23,118,7.24,4.82,Jacksonville Jaguars / 1st / 28th pick /2006
Wali Lundy,RB,Virginia,College Stats,5-11,214,4.48,35.0,18,111,6.99,4.36,Houston Texans / 6th / 170th pick /2006
Laurence Maroney,RB,Minnesota,College Stats,6-0,217,4.48,,,,,,New England Patriots / 1st / 21st pick /2006
Brandon Marshall,WR,Central Florida,College Stats,6-4,229,4.52,37.0,,120,,,Denver Broncos / 4th / 119th pick /2006
Ingle Martin,QB,Furman,,6-2,220,4.71,36.0,,111,7.13,4.17,Green Bay Packers / 5th / 148th pick /2006
