Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Israel Abanikanda,RB,Pittsburgh,College Stats,5-10,216,,,,,,,New York Jets / 5th / 143rd pick /2023
Jordan Addison,WR,USC,College Stats,5-11,173,4.49,34.0,,122,,,Minnesota Vikings / 1st / 23rd pick /2023
Davis Allen,TE,Clemson,College Stats,6-6,245,,38.5,,125,,,Los Angeles Rams / 5th / 175th pick /2023
Tyson Bagent,QB,Shepherd,,6-3,213,4.79,36.0,,120,6.95,4.36,
Ronnie Bell,WR,Michigan,College Stats,6-0,191,4.54,38.5,14,120,6.98,4.15,San Francisco 49ers / 7th / 253rd pick /2023
Tank Bigsby,RB,Auburn,College Stats,6-0,210,4.56,32.5,,119,,,Jacksonville Jaguars / 3rd / 88th pick /2023
Jake Bobo,WR,UCLA,College Stats,6-4,206,,,,,,,
Kayshon Boutte,WR,LSU,College Stats,5-11,195,4.50,29.0,,118,,4.25,New England Patriots / 6th / 187th pick /2023
Jalen Brooks,WR,South Carolina,College Stats,6-1,201,4.69,35.0,,130,7.15,4.31,Dallas Cowboys / 7th / 244th pick /2023
Chase Brown,RB,Illinois,College Stats,5-10,209,4.43,40.0,,127,,,Cincinnati Bengals / 5th / 163rd pick /2023
Jason Brownlee,WR,Southern Mississippi,,6-2,198,4.59,39.5,16,131,,,
Zach Charbonnet,RB,UCLA,College Stats,6-0,214,4.53,37.0,,122,,,Seattle Seahawks / 2nd / 52nd pick /2023
Malik Cunningham,QB,Louisville,College Stats,6-0,192,4.53,,,,,,
Derius Davis,WR,TCU,College Stats,5-8,165,4.36,,,,,4.38,Los Angeles Chargers / 4th / 125th pick /2023
Demario Douglas,WR,Liberty,College Stats,5-8,179,4.44,39.5,,134,,4.29,
Josh Downs,WR,North Carolina,College Stats,5-9,171,4.48,38.5,,131,,,Indianapolis Colts / 3rd / 79th pick /2023
Payne Durham,TE,Purdue,College Stats,6-6,253,,34.5,,117,,,Tampa Bay Buccaneers / 5th / 171st pick /2023
Zach Evans,RB,Mississippi,College Stats,5-11,202,,,,,,,Los Angeles Rams / 6th / 215th pick /2023
Zay Flowers,WR,Boston Col.,College Stats,5-9,182,4.42,35.5,,127,,,Baltimore Ravens / 1st / 22nd pick /2023
Bryce Ford-Wheaton,WR,West Virginia,College Stats,6-4,221,4.38,41.0,,129,6.97,4.15,
Jahmyr Gibbs,RB,Alabama,College Stats,5-9,199,4.36,33.5,,,,,Detroit Lions / 1st / 12th pick /2023
Eric Gray,RB,Oklahoma,College Stats,5-10,207,,37.5,,118,,,New York Giants / 5th / 172nd pick /2023
Antoine Green,WR,North Carolina,College Stats,6-2,199,4.47,33.5,,123,6.99,4.27,Detroit Lions / 7th / 219th pick /2023
Jake Haener,QB,Fresno St.,College Stats,6-0,207,,35.0,,114,7.01,,New Orleans Saints / 4th / 127th pick /2023
Jaren Hall,QB,BYU,College Stats,6-0,207,,,,,,,Minnesota Vikings / 5th / 164th pick /2023
Malik Heath,WR,Mississippi,College Stats,6-2,213,4.64,34.0,,124,6.96,4.46,
Elijah Higgins,WR,Stanford,College Stats,6-3,235,4.54,35.0,,126,7.01,,Miami Dolphins / 6th / 197th pick /2023
Hendon Hooker,QB,Tennessee,College Stats,6-3,217,,,,,,,Detroit Lions / 3rd / 68th pick /2023
Evan Hull,RB,Northwestern,College Stats,5-10,209,4.47,37.0,,123,6.90,4.38,
Xavier Hutchinson,WR,Iowa St.,College Stats,6-2,203,4.53,36.0,,116,6.91,4.35,Houston Texans / 6th / 205th pick /2023
Jalin Hyatt,WR,Tennessee,College Stats,6-0,176,4.40,40.0,,135,,,New York Giants / 3rd / 73rd pick /2023
Mohamed Ibrahim,RB,Minnesota,College Stats,5-8,203,,,,,,,
Andrei Iosivas,WR,Princeton,,6-3,205,4.43,39.0,19,128,6.85,4.12,
Kearis Jackson,WR,Georgia,College Stats,5-11,196,4.55,,,126,,,
Rakim Jarrett,WR,Maryland,College Stats,6-0,192,4.44,35.5,13,123,,,
Roschon Johnson,RB,Texas,College Stats,6-0,219,4.58,31.5,,122,,,Chicago Bears / 4th / 115th pick /2023
Quentin Johnston,WR,TCU,College Stats,6-3,208,,40.5,,134,,,Los Angeles Chargers / 1st / 21st pick /2023
Charlie Jones,WR,Purdue,College Stats,5-11,175,4.43,36.5,13,124,,,Cincinnati Bengals / 4th / 131st pick /2023
Dalton Kincaid,TE,Utah,College Stats,6-4,246,,,,,,,Buffalo Bills / 1st / 25th pick /2023
Tucker Kraft,TE,South Dakota St.,,6-5,254,,34.0,23,122,7.08,4.29,
Zack Kuntz,TE,Old Dominion,,6-7,255,,40.0,23,128,6.87,4.12,
Sam LaPorta,TE,Iowa,College Stats,6-3,245,,35.0,,123,6.91,4.25,Detroit Lions / 2nd / 34th pick /2023
Will Levis,QB,Kentucky,College Stats,6-4,229,,34.0,,124,,,Tennessee Titans / 2nd / 33rd pick /2023
Will Mallory,TE,Miami,College Stats,6-5,239,,36.5,20,121,,,Indianapolis Colts / 5th / 162nd pick /2023
Michael Mayer,TE,Notre Dame,College Stats,6-5,249,,32.5,,118,,,Las Vegas Raiders / 2nd / 35th pick /2023
Kenny McIntosh,RB,Georgia,College Stats,6-0,204,4.62,,,,,,Seattle Seahawks / 7th / 237th pick /2023
Tanner McKee,QB,Stanford,College Stats,6-6,231,,33.0,,114,7.22,4.41,Philadelphia Eagles / 6th / 188th pick /2023
Kendre Miller,RB,TCU,College Stats,5-11,215,,,,,,,New Orleans Saints / 3rd / 71st pick /2023
