Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Ameer Abdullah,RB,Nebraska,College Stats,5-9,205,4.60,42.5,24,130,6.79,3.95,Detroit Lions / 2nd / 54th pick /2015
Nelson Agholor,WR,USC,College Stats,6-0,198,4.42,,12,,,,Philadelphia Eagles / 1st / 20th pick /2015
Jay Ajayi,RB,Boise State,College Stats,6-0,221,4.57,39.0,19,121,7.10,4.10,Miami Dolphins / 5th / 149th pick /2015
Mario Alford,WR,West Virginia,College Stats,5-8,180,4.43,34.0,13,121,6.64,4.07,Cincinnati Bengals / 7th / 238th pick /2015
Javorius Allen,RB,USC,College Stats,6-0,221,4.53,35.5,11,121,6.96,4.28,Baltimore Ravens / 4th / 125th pick /2015
Cameron Artis-Payne,RB,Auburn,College Stats,5-10,212,4.53,36.5,,118,7.13,,Carolina Panthers / 5th / 174th pick /2015
Blake Bell,TE,Oklahoma,College Stats,6-6,252,4.80,33.0,14,116,6.85,4.32,San Francisco 49ers / 4th / 117th pick /2015
E.J. Bibbs,TE,Iowa State,College Stats,6-2,258,4.88,,20,,,,
Nick Boyle,TE,Pittsburgh,,6-4,268,5.04,30.5,20,112,7.13,4.23,Baltimore Ravens / 5th / 171st pick /2015
Malcolm Brown,RB,Texas,College Stats,5-11,224,4.62,34.5,19,117,6.86,4.15,
Gerald Christian,TE,Louisville,College Stats,6-3,244,4.87,,28,,7.62,4.70,Arizona Cardinals / 7th / 256th pick /2015
Kaelin Clay,WR,Utah,College Stats,5-10,195,4.51,33.0,10,113,6.97,4.26,Tampa Bay Buccaneers / 6th / 184th pick /2015
Sammie Coates,WR,Auburn,College Stats,6-1,212,4.43,41.0,23,131,6.98,4.06,Pittsburgh Steelers / 3rd / 87th pick /2015
David Cobb,RB,Minnesota,College Stats,5-11,229,4.81,38.5,17,121,,,Tennessee Titans / 5th / 138th pick /2015
Tevin Coleman,RB,Indiana,College Stats,5-11,206,4.40,,22,,,,Atlanta Falcons / 3rd / 73rd pick /2015
Chris Conley,WR,Georgia,College Stats,6-2,213,4.35,45.0,18,139,7.06,4.30,Kansas City Chiefs / 3rd / 76th pick /2015
Amari Cooper,WR,Alabama,College Stats,6-1,211,4.42,33.0,,120,6.71,3.98,Oakland Raiders / 1st / 4th pick /2015
John Crockett,RB,North Dakota State,,6-0,217,4.62,40.0,15,125,7.15,4.25,
Jamison Crowder,WR,Duke,College Stats,5-8,185,4.56,37.0,10,115,7.17,4.32,Washington Redskins / 4th / 105th pick /2015
Geremy Davis,WR,Connecticut,College Stats,6-2,216,4.49,36.5,23,124,6.86,4.18,New York Giants / 6th / 186th pick /2015
Mike Davis,RB,South Carolina,College Stats,5-9,217,4.61,34.0,17,116,7.00,4.18,San Francisco 49ers / 4th / 126th pick /2015
Stefon Diggs,WR,Maryland,College Stats,6-0,195,4.46,35.0,,115,7.03,4.32,Minnesota Vikings / 5th / 146th pick /2015
Phillip Dorsett,WR,Miami (FL),College Stats,5-10,185,4.33,37.0,13,122,6.70,4.11,Indianapolis Colts / 1st / 29th pick /2015
Devin Funchess,WR,Michigan,College Stats,6-4,232,4.70,38.5,17,122,,,Carolina Panthers / 2nd / 41st pick /2015
Melvin Gordon,RB,Wisconsin,College Stats,6-1,215,4.52,35.0,19,126,7.04,4.07,San Diego Chargers / 1st / 15th pick /2015
Dorial Green-Beckham,WR,Oklahoma,College Stats,6-5,237,4.49,33.5,13,119,6.89,4.45,Tennessee Titans / 2nd / 40th pick /2015
Rashad Greene,WR,Florida State,College Stats,5-11,182,4.53,36.5,,122,6.88,4.12,Jacksonville Jaguars / 5th / 139th pick /2015
Todd Gurley,RB,Georgia,College Stats,6-1,222,4.52,,17,,,,St. Louis Rams / 1st / 10th pick /2015
Rannell Hall,WR,Central Florida,College Stats,6-0,198,4.60,41.0,16,132,6.86,4.15,
Justin Hardy,WR,East Carolina,College Stats,5-10,192,4.56,36.5,11,114,6.63,4.21,Atlanta Falcons / 4th / 107th pick /2015
