Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Aundrae Allison,WR,East Carolina,College Stats,6-0,198,4.39,37.0,,127,,,Minnesota Vikings / 5th / 146th pick /2007
Dallas Baker,WR,Florida,College Stats,6-3,208,4.53,36.0,,129,6.69,4.19,Pittsburgh Steelers / 7th / 227th pick /2007
John Beck,QB,BYU,College Stats,6-2,215,4.75,29.5,,111,6.81,4.17,Miami Dolphins / 2nd / 40th pick /2007
Lorenzo Booker,RB,Florida State,College Stats,5-10,191,4.46,35.5,26,121,,,Miami Dolphins / 3rd / 71st pick /2007
Kevin Boss,TE,Western Oregon,,6-6,252,4.78,35.0,,116,6.96,4.41,New York Giants / 5th / 153rd pick /2007
Dwayne Bowe,WR,LSU,College Stats,6-2,221,4.51,33.0,,125,6.81,4.35,Kansas City Chiefs / 1st / 23rd pick /2007
Ahmad Bradshaw,RB,Marshall,College Stats,5-9,198,4.55,34.0,,112,6.70,4.09,New York Giants / 7th / 250th pick /2007
Steve Breaston,WR,Michigan,College Stats,6-0,193,4.46,33.0,,124,6.90,4.29,Arizona Cardinals / 5th / 142nd pick /2007
Levi Brown,OT,Penn State,College Stats,6-5,323,5.40,25.5,31,97,7.87,4.89,Arizona Cardinals / 1st / 5th pick /2007
Eldra Buckley,RB,Tenn-Chattanooga,,5-9,202,4.56,35.5,14,120,7.71,4.43,
Michael Bush,RB,Louisville,College Stats,6-1,243,4.62,,,,,,Oakland Raiders / 4th / 100th pick /2007
Scott Chandler,TE,Iowa,College Stats,6-7,270,4.78,30.0,16,111,7.26,4.32,San Diego Chargers / 4th / 129th pick /2007
Thomas Clayton,RB,Kansas State,College Stats,5-10,218,4.63,36.5,23,121,,,
David Clowney,WR,Virginia Tech,College Stats,6-0,188,4.36,32.5,,123,7.00,4.15,Green Bay Packers / 5th / 157th pick /2007
Daniel Coats,TE,BYU,College Stats,6-3,257,4.94,30.0,34,111,7.07,4.43,
Kenneth Darby,RB,Alabama,College Stats,5-10,211,4.75,30.0,19,108,7.25,4.53,Tampa Bay Buccaneers / 7th / 246th pick /2007
Chris Davis,WR,Florida State,College Stats,5-10,181,4.50,35.5,,115,6.66,4.14,Tennessee Titans / 4th / 128th pick /2007
Trent Edwards,QB,Stanford,College Stats,6-4,231,4.76,,19,,7.14,4.46,Buffalo Bills / 3rd / 92nd pick /2007
Yamon Figurs,WR,Kansas State,College Stats,5-11,174,4.30,,,123,6.85,4.21,Baltimore Ravens / 3rd / 74th pick /2007
Anthony Gonzalez,WR,Ohio State,College Stats,6-0,193,4.44,38.0,,123,6.54,4.08,Indianapolis Colts / 1st / 32nd pick /2007
Matt Gutierrez,QB,Idaho State,College Stats,6-4,232,5.00,29.5,,108,6.99,4.28,
Clark Harris,TE,Rutgers,College Stats,6-5,261,4.80,32.0,21,112,,4.40,Green Bay Packers / 7th / 243rd pick /2007
Chris Henry,RB,Arizona,College Stats,5-11,230,4.40,36.0,26,127,6.96,4.14,Tennessee Titans / 2nd / 50th pick /2007
Johnnie Lee Higgins,WR,Texas-El Paso,,5-11,186,4.48,36.5,,122,6.62,4.32,Oakland Raiders / 3rd / 99th pick /2007
Jason Hill,WR,Washington State,College Stats,6-0,204,4.32,37.0,,123,7.02,4.22,San Francisco 49ers / 3rd / 76th pick /2007
Jonathan Holland,WR,Louisiana Tech,College Stats,6-0,191,4.45,35.5,15,120,7.12,4.40,Oakland Raiders / 7th / 254th pick /2007
Tony Hunt,RB,Penn State,College Stats,6-2,233,4.68,,24,,,,Philadelphia Eagles / 3rd / 90th pick /2007
Brandon Jackson,RB,Nebraska,College Stats,5-10,210,4.54,37.0,21,122,7.00,4.14,Green Bay Packers / 2nd / 63rd pick /2007
Dwayne Jarrett,WR,USC,College Stats,6-4,219,4.62,,,,,,Carolina Panthers / 2nd / 45th pick /2007
Charles Johnson,DE,Georgia,College Stats,6-2,270,4.84,34.0,33,118,7.50,,Carolina Panthers / 3rd / 83rd pick /2007
Jacoby Jones,WR,Lane (TN),,6-3,210,4.50,34.0,,129,7.03,4.31,Houston Texans / 3rd / 73rd pick /2007
James Jones,WR,San Jose State,College Stats,6-1,207,4.54,34.0,22,119,7.06,4.20,Green Bay Packers / 3rd / 78th pick /2007
Jordan Kent,WR,Oregon,College Stats,6-4,217,4.49,,,,,,Seattle Seahawks / 6th / 210th pick /2007
Kevin Kolb,QB,Houston,College Stats,6-3,218,4.85,32.5,,112,6.94,4.44,Philadelphia Eagles / 2nd / 36th pick /2007
Brian Leonard,RB,Rutgers,College Stats,6-1,226,4.52,34.5,28,122,6.88,4.22,St. Louis Rams / 2nd / 52nd pick /2007
Marshawn Lynch,RB,California,College Stats,5-11,215,4.46,35.5,20,125,7.05,4.55,Buffalo Bills / 1st / 12th pick /2007
Robert Meachem,WR,Tennessee,College Stats,6-2,214,4.39,37.5,,121,6.97,4.31,New Orleans Saints / 1st / 27th pick /2007
Zach Miller,TE,Arizona State,College Stats,6-4,256,4.87,34.0,,115,7.01,4.42,Oakland Raiders / 2nd / 38th pick /2007
Martrez Milner,TE,Georgia,College Stats,6-4,252,4.79,34.0,19,117,7.35,4.49,Atlanta Falcons / 4th / 133rd pick /2007
Legedu Naanee,WR,Boise State,College Stats,6-2,225,4.41,40.0,19,119,,,San Diego Chargers / 5th / 172nd pick /2007
Greg Olsen,TE,Miami (FL),College Stats,6-6,254,4.51,35.5,23,114,7.04,4.48,Chicago Bears / 1st / 31st pick /2007
Tyler Palko,QB,Pittsburgh,College Stats,6-1,215,4.83,31.5,,112,7.05,4.36,
Jordan Palmer,QB,Texas-El Paso,College Stats,6-6,231,4.98,30.5,,104,7.32,4.58,Washington Redskins / 6th / 205th pick /2007
Ben Patrick,TE,Duke,College Stats,6-3,252,4.74,34.5,,111,7.21,4.31,Arizona Cardinals / 7th / 215th pick /2007
Adrian Peterson,RB,Oklahoma,College Stats,6-1,217,4.40,38.5,,127,7.09,4.40,Minnesota Vikings / 1st / 7th pick /2007
Antonio Pittman,RB,Ohio State,College Stats,5-11,207,4.40,35.5,16,123,6.84,4.16,New Orleans Saints / 4th / 107th pick /2007
Brady Quinn,QB,Notre Dame,College Stats,6-4,232,4.73,,24,,,,Cleveland Browns / 1st / 22nd pick /2007
Sidney Rice,WR,South Carolina,College Stats,6-3,200,4.51,39.5,,119,7.09,4.34,Minnesota Vikings / 2nd / 44th pick /2007
Gijon Robinson,FB,Missouri Western State,,6-1,255,4.71,33.0,21,116,7.23,4.43,
Laurent Robinson,WR,Illinois State,,6-2,199,4.38,39.0,19,127,6.83,4.28,Atlanta Falcons / 3rd / 75th pick /2007
Ryne Robinson,WR,Miami (OH),College Stats,5-9,179,4.47,35.0,,123,6.71,4.21,Carolina Panthers / 4th / 118th pick /2007
Dante Rosario,TE,Oregon,College Stats,6-3,244,4.78,36.0,20,115,6.96,4.47,Carolina Panthers / 5th / 155th pick /2007
Gary Russell,RB,Minnesota,College Stats,5-10,229,4.77,31.5,9,113,,4.54,
JaMarcus Russell,QB,LSU,College Stats,6-5,265,4.83,,,,,,Oakland Raiders / 1st / 1st pick /2007
