Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Tutu Atwell,WR,Louisville,College Stats,5-8,155,4.42,33.0,,117,6.89,4.14,Los Angeles Rams / 2nd / 57th pick /2021
Kawaan Baker,WR,South Alabama,College Stats,6-0,210,4.44,39.5,21,129,7.42,4.41,
Rashod Bateman,WR,Minnesota,College Stats,6-0,190,4.39,36.0,,123,,,Baltimore Ravens / 1st / 27th pick /2021
John Bates,TE,Boise St.,College Stats,6-5,250,4.84,31.5,19,120,6.85,4.35,
Tarik Black,WR,Texas,College Stats,6-2,213,4.54,40.0,15,132,6.91,4.26,
Ian Book,QB,Notre Dame,College Stats,6-0,211,4.65,32.5,,115,6.99,4.19,New Orleans Saints / 4th / 133rd pick /2021
Gary Brightwell,RB,Arizona,College Stats,5-10,218,4.62,34.5,17,118,7.51,4.48,New York Giants / 6th / 196th pick /2021
Chris Brown,DB,Texas,College Stats,5-10,191,4.55,36.0,15,118,6.85,4.18,
Dyami Brown,WR,North Carolina,College Stats,6-0,189,4.46,35.0,18,128,6.87,4.35,Washington Football Team / 3rd / 82nd pick /2021
Amon-Ra St. Brown,WR,USC,College Stats,5-11,197,4.51,38.5,20,127,6.88,4.17,Detroit Lions / 4th / 112th pick /2021
Jalen Camp,WR,Georgia Tech,College Stats,6-1,226,4.48,39.5,29,125,7.00,4.14,
Michael Carter,RB,North Carolina,College Stats,5-7,201,4.50,34.0,16,119,6.81,3.98,New York Jets / 4th / 107th pick /2021
Ja'Marr Chase,WR,LSU,College Stats,6-0,201,4.34,41.0,,132,6.96,3.99,Cincinnati Bengals / 1st / 5th pick /2021
Nico Collins,WR,Michigan,College Stats,6-4,215,4.43,37.5,14,125,6.78,4.29,Houston Texans / 3rd / 89th pick /2021
Frank Darby,WR,Arizona St.,College Stats,6-0,201,4.56,34.5,19,117,7.05,4.25,Atlanta Falcons / 6th / 187th pick /2021
Jaelon Darden,WR,North Texas,College Stats,5-7,174,4.47,35.5,,122,6.66,3.98,Tampa Bay Buccaneers / 4th / 129th pick /2021
