Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2014*,North Carolina,ACC,SO,QB,12,42,78,53.8,459,5,6.4,4,5.1,5.9,4.86,10.9,38.3,114.2,,Mitchell Trubisky
2015*,North Carolina,ACC,SO,QB,9,40,47,85.1,555,6,12.8,0,0.0,11.8,14.36,13.9,61.7,226.4,,Mitchell Trubisky
2016*,North Carolina,ACC,JR,QB,13,304,447,68.0,3748,30,6.7,6,1.3,8.4,9.12,12.3,288.3,157.9,,Mitchell Trubisky
2014,Texas Tech,Big 12,FR,QB,7,105,185,56.8,1547,16,8.6,4,2.2,8.4,9.12,14.7,221.0,151.2,,Patrick Mahomes
2015*,Texas Tech,Big 12,SO,QB,13,364,573,63.5,4653,36,6.3,15,2.6,8.1,8.20,12.8,357.9,147.2,,Patrick Mahomes
2016,Texas Tech,Big 12,JR,QB,12,388,591,65.7,5052,41,6.9,10,1.7,8.5,9.17,13.0,421.0,157.0,,Patrick Mahomes
2014*,Clemson,ACC,FR,QB,8,93,137,67.9,1466,14,10.2,2,1.5,10.7,12.09,15.8,183.3,188.6,,Deshaun Watson
2015*,Clemson,ACC,SO,QB,15,333,491,67.8,4104,35,7.1,13,2.6,8.4,8.59,12.3,273.6,156.3,"H-3,AA",Deshaun Watson
2016*,Clemson,ACC,JR,QB,15,388,579,67.0,4593,41,7.1,17,2.9,7.9,8.03,11.8,306.2,151.1,H-2,Deshaun Watson
2015*,Notre Dame,Ind,SO,QB,13,211,335,63.0,2884,21,6.3,10,3.0,8.6,8.52,13.7,221.8,150.0,,DeShone Kizer
2016,Notre Dame,Ind,JR,QB,12,212,361,58.7,2925,26,7.2,9,2.5,8.1,8.42,13.8,243.8,145.6,,DeShone Kizer
2013*,Texas Tech,Big 12,FR,QB,10,226,361,62.6,2718,20,5.5,9,2.5,7.5,7.52,12.0,271.8,139.1,,Davis Webb
2014,Texas Tech,Big 12,SO,QB,8,211,345,61.2,2539,24,7.0,13,3.8,7.4,7.06,12.0,317.4,138.4,,Davis Webb
2015*,Texas Tech,Big 12,JR,QB,5,22,41,53.7,300,2,4.9,0,0.0,7.3,8.29,13.6,60.0,131.2,,Davis Webb
2016,California,Pac-12,SR,QB,12,382,620,61.6,4295,37,6.0,12,1.9,6.9,7.25,11.2,357.9,135.6,,Davis Webb
2013*,Iowa,Big Ten,FR,QB,5,9,27,33.3,179,1,3.7,2,7.4,6.6,4.04,19.9,35.8,86.4,,C.J. Beathard
2014*,Iowa,Big Ten,SO,QB,9,52,92,56.5,645,5,5.4,2,2.2,7.0,7.12,12.4,71.7,129.0,,C.J. Beathard
2015*,Iowa,Big Ten,JR,QB,14,223,362,61.6,2809,17,4.7,5,1.4,7.8,8.08,12.6,200.6,139.5,,C.J. Beathard
2016*,Iowa,Big Ten,SR,QB,13,170,301,56.5,1929,17,5.6,10,3.3,6.4,6.04,11.3,148.4,122.3,,C.J. Beathard
2013,Tennessee,SEC,FR,QB,5,72,121,59.5,695,2,1.7,6,5.0,5.7,3.84,9.7,139.0,103.3,,Joshua Dobbs
2014*,Tennessee,SEC,SO,QB,6,112,177,63.3,1206,9,5.1,6,3.4,6.8,6.31,10.8,201.0,130.5,,Joshua Dobbs
2015*,Tennessee,SEC,JR,QB,13,205,344,59.6,2291,15,4.4,5,1.5,6.7,6.88,11.2,176.2,127.0,,Joshua Dobbs
2016*,Tennessee,SEC,SR,QB,13,225,357,63.0,2946,27,7.6,12,3.4,8.3,8.25,13.1,226.6,150.6,,Joshua Dobbs
2013,Tennessee,SEC,FR,QB,3,10,23,43.5,45,0,0.0,2,8.7,2.0,-1.96,4.5,15.0,42.5,,Nathan Peterman
2014*,Tennessee,SEC,SO,QB,7,10,20,50.0,49,0,0.0,0,0.0,2.5,2.45,4.9,7.0,70.6,,Nathan Peterman
2015*,Pitt,ACC,JR,QB,13,193,314,61.5,2287,20,6.4,8,2.5,7.3,7.41,11.8,175.9,138.6,,Nathan Peterman
2016*,Pitt,ACC,SR,QB,13,185,306,60.5,2855,27,8.8,7,2.3,9.3,10.07,15.4,219.6,163.4,,Nathan Peterman
2014*,Miami (FL),ACC,FR,QB,13,221,378,58.5,3198,26,6.9,12,3.2,8.5,8.41,14.5,246.0,145.9,,Brad Kaaya
2015*,Miami (FL),ACC,SO,QB,12,239,390,61.3,3242,16,4.1,5,1.3,8.3,8.56,13.6,270.2,142.1,,Brad Kaaya
2016*,Miami (FL),ACC,JR,QB,13,261,421,62.0,3532,27,6.4,7,1.7,8.4,8.92,13.5,271.7,150.3,,Brad Kaaya
2013*,Clemson,ACC,FR,QB,5,10,17,58.8,58,0,0.0,0,0.0,3.4,3.41,5.8,11.6,87.5,,Chad Kelly
,,,,,,,,,,,,,,,,,,,,Chad Kelly
2015*,Ole Miss,SEC,JR,QB,13,298,458,65.1,4042,31,6.8,13,2.8,8.8,8.90,13.6,310.9,155.9,,Chad Kelly
2016,Ole Miss,SEC,SR,QB,9,205,328,62.5,2758,19,5.8,8,2.4,8.4,8.47,13.5,306.4,147.4,,Chad Kelly
