Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2014*,LSU,SEC,FR,RB,13,187,1034,5.5,10,79.5,7,127,18.1,0,9.8,194,1161,6.0,10,,Leonard Fournette,,,,,,,,,,,,,,
2015*,LSU,SEC,SO,RB,12,300,1953,6.5,22,162.8,19,253,13.3,1,21.1,319,2206,6.9,23,"H-6,AA",Leonard Fournette,,,,,,,,,,,,,,
2016*,LSU,SEC,JR,RB,7,129,843,6.5,8,120.4,15,146,9.7,0,20.9,144,989,6.9,8,,Leonard Fournette,,,,,,,,,,,,,,
2014*,Stanford,Pac-12,FR,RB,13,42,300,7.1,0,23.1,17,251,14.8,2,19.3,59,551,9.3,2,,Christian McCaffrey,,,,,,,,,,,,,,
2015*,Stanford,Pac-12,SO,RB,14,337,2019,6.0,8,144.2,45,645,14.3,5,46.1,382,2664,7.0,13,"H-2,AA",Christian McCaffrey,,,,,,,,,,,,,,
2016*,Stanford,Pac-12,JR,RB,11,253,1603,6.3,13,145.7,37,310,8.4,3,28.2,290,1913,6.6,16,H-9,Christian McCaffrey,,,,,,,,,,,,,,
2014*,Ohio State,Big Ten,FR,RB,15,58,383,6.6,6,25.5,11,95,8.6,0,6.3,69,478,6.9,6,,Curtis Samuel,,,,,,,,,,,,,,
2015*,Ohio State,Big Ten,SO,RB,13,17,132,7.8,1,10.2,22,289,13.1,2,22.2,39,421,10.8,3,,Curtis Samuel,,,,,,,,,,,,,,
2016*,Ohio State,Big Ten,JR,RB,13,97,771,7.9,8,59.3,74,865,11.7,7,66.5,171,1636,9.6,15,,Curtis Samuel,,,,,,,,,,,,,,
2014*,Florida State,ACC,FR,RB,13,170,1008,5.9,8,77.5,22,203,9.2,0,15.6,192,1211,6.3,8,,Dalvin Cook,,,,,,,,,,,,,,
2015*,Florida State,ACC,SO,RB,12,229,1691,7.4,19,140.9,24,244,10.2,1,20.3,253,1935,7.6,20,H-7,Dalvin Cook,,,,,,,,,,,,,,
