Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2013,Western Michigan,MAC,FR,WR,11,67,941,14.0,6,85.5,1,2,2.0,0,0.2,68,943,13.9,6,,Corey Davis,,,,,,,,,,,,,,
2014*,Western Michigan,MAC,SO,WR,12,78,1408,18.1,15,117.3,0,0,,0,0.0,78,1408,18.1,15,,Corey Davis,,,,,,,,,,,,,,
2015*,Western Michigan,MAC,JR,WR,13,90,1436,16.0,12,110.5,1,11,11.0,0,0.8,91,1447,15.9,12,,Corey Davis,,,,,,,,,,,,,,
2016*,Western Michigan,MAC,SR,WR,14,97,1500,15.5,19,107.1,1,0,0.0,0,0.0,98,1500,15.3,19,AA,Corey Davis,,,,,,,,,,,,,,
2013*,Clemson,ACC,FR,WR,10,20,316,15.8,3,31.6,0,0,,0,0.0,20,316,15.8,3,,Mike Williams,,,,,,,,,,,,,,
2014*,Clemson,ACC,SO,WR,13,57,1030,18.1,6,79.2,0,0,,0,0.0,57,1030,18.1,6,,Mike Williams,,,,,,,,,,,,,,
2015*,Clemson,ACC,JR,WR,1,2,20,10.0,1,20.0,0,0,,0,0.0,2,20,10.0,1,,Mike Williams,,,,,,,,,,,,,,
2016*,Clemson,ACC,JR,WR,15,98,1361,13.9,11,90.7,0,0,,0,0.0,98,1361,13.9,11,,Mike Williams,,,,,,,,,,,,,,
2013*,Washington,Pac-12,FR,WR,13,16,208,13.0,1,16.0,6,39,6.5,0,3.0,22,247,11.2,1,,John Ross,,,,,,,,,,,,,,
2014*,Washington,Pac-12,SO,WR,13,17,371,21.8,4,28.5,6,54,9.0,1,4.2,23,425,18.5,5,,John Ross,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,John Ross,,,,,,,,,,,,,,
2016*,Washington,Pac-12,JR,WR,14,81,1150,14.2,17,82.1,8,102,12.8,1,7.3,89,1252,14.1,18,,John Ross,,,,,,,,,,,,,,
2015*,Miami (FL),ACC,FR,WR,13,21,362,17.2,1,27.8,0,0,,0,0.0,21,362,17.2,1,,David Njoku,,,,,,,,,,,,,,
2016*,Miami (FL),ACC,JR,TE,13,43,698,16.2,8,53.7,0,0,,0,0.0,43,698,16.2,8,,David Njoku,,,,,,,,,,,,,,
2013*,East Carolina,CUSA,FR,WR,12,62,604,9.7,5,50.3,0,0,,0,0.0,62,604,9.7,5,,Zay Jones,,,,,,,,,,,,,,
2014*,East Carolina,American,SO,WR,13,81,830,10.2,5,63.8,0,0,,0,0.0,81,830,10.2,5,,Zay Jones,,,,,,,,,,,,,,
2015,East Carolina,American,JR,WR,12,98,1099,11.2,5,91.6,1,-6,-6.0,0,-0.5,99,1093,11.0,5,,Zay Jones,,,,,,,,,,,,,,
2016,East Carolina,American,SR,WR,12,158,1746,11.1,8,145.5,4,24,6.0,0,2.0,162,1770,10.9,8,,Zay Jones,,,,,,,,,,,,,,
2014*,USC,Pac-12,FR,WR,13,54,724,13.4,5,55.7,2,3,1.5,0,0.2,56,727,13.0,5,,JuJu Smith-Schuster,,,,,,,,,,,,,,
2015*,USC,Pac-12,SO,WR,14,89,1454,16.3,10,103.9,1,4,4.0,0,0.3,90,1458,16.2,10,,JuJu Smith-Schuster,,,,,,,,,,,,,,
2016*,USC,Pac-12,JR,WR,13,70,914,13.1,10,70.3,5,27,5.4,0,2.1,75,941,12.5,10,,JuJu Smith-Schuster,,,,,,,,,,,,,,
2013,Western Kentucky,Sun Belt,,WR,10,24,270,11.3,0,27.0,0,0,,0,0.0,24,270,11.3,0,,Taywan Taylor,,,,,,,,,,,,,,
