Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Rushing Y/A
2013*,Alabama,SEC,FR,TE,10,14,269,19.2,2,26.9,0,0,0,0.0,14,269,19.2,2,,O.J. Howard,
2014*,Alabama,SEC,SO,TE,14,17,260,15.3,0,18.6,0,0,0,0.0,17,260,15.3,0,,O.J. Howard,
2015*,Alabama,SEC,JR,TE,15,38,602,15.8,2,40.1,0,0,0,0.0,38,602,15.8,2,,O.J. Howard,
2016*,Alabama,SEC,SR,TE,15,45,595,13.2,3,39.7,0,0,0,0.0,45,595,13.2,3,,O.J. Howard,
2013*,Ole Miss,SEC,FR,TE,8,21,268,12.8,3,33.5,0,0,0,0.0,21,268,12.8,3,,Evan Engram,
2014*,Ole Miss,SEC,SO,TE,13,38,662,17.4,2,50.9,0,0,0,0.0,38,662,17.4,2,,Evan Engram,
2015*,Ole Miss,SEC,JR,TE,13,38,464,12.2,2,35.7,0,0,0,0.0,38,464,12.2,2,,Evan Engram,
2016,Ole Miss,SEC,SR,TE,11,65,926,14.2,8,84.2,0,0,0,0.0,65,926,14.2,8,,Evan Engram,
2014,UAB,CUSA,JR,TE,12,17,292,17.2,1,24.3,0,0,0,0.0,17,292,17.2,1,,Gerald Everett,
2015,South Alabama,Sun Belt,SR,TE,12,41,575,14.0,8,47.9,8,7,4,0.6,49,582,11.9,12,,Gerald Everett,0.9
2016*,South Alabama,Sun Belt,SR,TE,13,49,717,14.6,4,55.2,0,0,0,0.0,49,717,14.6,4,,Gerald Everett,
2013,Florida International,CUSA,FR,TE,12,39,388,9.9,2,32.3,0,0,0,0.0,39,388,9.9,2,,Jonnu Smith,
2014,Florida International,CUSA,SO,TE,12,61,710,11.6,8,59.2,0,0,0,0.0,61,710,11.6,8,,Jonnu Smith,
2015,Florida International,CUSA,JR,TE,8,36,397,11.0,4,49.6,0,0,0,0.0,36,397,11.0,4,,Jonnu Smith,
2016,Florida International,CUSA,SR,TE,11,42,506,12.0,4,46.0,1,5,0,0.5,43,511,11.9,4,,Jonnu Smith,5.0
2013,Toledo,MAC,FR,TE,1,0,0,,0,0.0,0,0,0,0.0,0,0,,0,,Michael Roberts,
2014*,Toledo,MAC,SO,TE,9,4,65,16.3,2,7.2,0,0,0,0.0,4,65,16.3,2,,Michael Roberts,
2015*,Toledo,MAC,JR,TE,12,21,234,11.1,4,19.5,0,0,0,0.0,21,234,11.1,4,,Michael Roberts,
2016*,Toledo,MAC,SR,TE,13,45,533,11.8,16,41.0,0,0,0,0.0,45,533,11.8,16,,Michael Roberts,
2013*,Michigan,Big Ten,FR,TE,9,20,235,11.8,2,26.1,0,0,0,0.0,20,235,11.8,2,,Jake Butt,
2014,Michigan,Big Ten,SO,TE,10,21,211,10.0,2,21.1,0,0,0,0.0,21,211,10.0,2,,Jake Butt,
2015*,Michigan,Big Ten,JR,TE,13,51,654,12.8,3,50.3,0,2,0,0.2,51,656,12.9,3,,Jake Butt,
2016*,Michigan,Big Ten,SR,TE,13,46,546,11.9,4,42.0,0,0,0,0.0,46,546,11.9,4,AA,Jake Butt,
2013*,Iowa,Big Ten,FR,TE,3,5,108,21.6,0,36.0,0,0,0,0.0,5,108,21.6,0,,George Kittle,
2014*,Iowa,Big Ten,SO,TE,12,1,25,25.0,0,2.1,0,0,0,0.0,1,25,25.0,0,,George Kittle,
2015*,Iowa,Big Ten,JR,TE,14,20,290,14.5,6,20.7,0,0,0,0.0,20,290,14.5,6,,George Kittle,
2016*,Iowa,Big Ten,SR,TE,11,22,314,14.3,4,28.5,0,0,0,0.0,22,314,14.3,4,,George Kittle,
2013*,Clemson,ACC,FR,TE,7,12,176,14.7,2,25.1,0,0,0,0.0,12,176,14.7,2,,Jordan Leggett,
2014*,Clemson,ACC,SO,TE,11,14,161,11.5,1,14.6,0,0,0,0.0,14,161,11.5,1,,Jordan Leggett,
2015*,Clemson,ACC,JR,TE,15,40,525,13.1,8,35.0,0,0,0,0.0,40,525,13.1,8,,Jordan Leggett,
2016*,Clemson,ACC,SR,TE,15,46,736,16.0,7,49.1,0,0,0,0.0,46,736,16.0,7,,Jordan Leggett,
2013,Arkansas,SEC,FR,TE,4,4,68,17.0,0,17.0,1,1,0,0.3,5,69,13.8,0,,Jeremy Sprinkle,1.0
2014*,Arkansas,SEC,SO,TE,13,7,84,12.0,1,6.5,0,0,0,0.0,7,84,12.0,1,,Jeremy Sprinkle,
2015*,Arkansas,SEC,JR,TE,13,27,389,14.4,6,29.9,1,4,0,0.3,28,393,14.0,6,,Jeremy Sprinkle,4.0
2016*,Arkansas,SEC,SR,TE,13,33,380,11.5,4,29.2,0,0,0,0.0,33,380,11.5,4,,Jeremy Sprinkle,
2014*,Virginia Tech,ACC,FR,TE,13,45,526,11.7,7,40.5,7,20,0,1.5,52,546,10.5,7,,Bucky Hodges,2.9
2015*,Virginia Tech,ACC,SO,TE,13,40,530,13.3,6,40.8,5,27,1,2.1,45,557,12.4,7,,Bucky Hodges,5.4
2016*,Virginia Tech,ACC,JR,TE,14,48,691,14.4,7,49.4,9,42,0,3.0,57,733,12.9,7,,Bucky Hodges,4.7
2013*,Buffalo,MAC,FR,TE,12,17,147,8.6,2,12.3,0,0,0,0.0,17,147,8.6,2,,Mason Schreck,
2014,Buffalo,MAC,SO,TE,6,10,106,10.6,0,17.7,0,0,0,0.0,10,106,10.6,0,,Mason Schreck,
2015,Buffalo,MAC,JR,TE,9,21,209,10.0,0,23.2,0,0,0,0.0,21,209,10.0,0,,Mason Schreck,
2016,Buffalo,MAC,SR,TE,12,59,651,11.0,4,54.3,0,0,0,0.0,59,651,11.0,4,,Mason Schreck,
