Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2020,Kansas State,Big 12,FR,QB,9,90,168,53.6,1178,8,4.8,10,6.0,7.0,5.29,13.1,130.9,116.3,,Will Howard
2021*,Kansas State,Big 12,SO,QB,6,30,55,54.5,332,1,1.8,1,1.8,6.0,5.58,11.1,55.3,107.6,,Will Howard
2022*,Kansas State,Big 12,JR,QB,7,119,199,59.8,1633,15,7.5,4,2.0,8.2,8.81,13.7,233.3,149.6,,Will Howard
2023*,Kansas State,Big 12,SR,QB,12,219,357,61.3,2643,24,6.7,10,2.8,7.4,7.49,12.1,220.3,140.1,,Will Howard
2024*,Ohio State,Big Ten,SR,QB,16,309,423,73.0,4010,35,8.3,10,2.4,9.5,10.07,13.0,250.6,175.3,,Will Howard
2021,Duke,ACC,FR,QB,7,37,62,59.7,381,1,1.6,1,1.6,6.1,5.74,10.3,54.4,113.4,,Riley Leonard
2022*,Duke,ACC,SO,QB,13,250,392,63.8,2967,20,5.1,6,1.5,7.6,7.90,11.9,228.2,141.1,,Riley Leonard
2023*,Duke,ACC,JR,QB,7,95,165,57.6,1102,3,1.8,3,1.8,6.7,6.22,11.6,157.4,116.0,,Riley Leonard
2024*,Notre Dame,Ind,SR,QB,16,269,403,66.7,2861,21,5.2,8,2.0,7.1,7.25,10.6,178.8,139.6,,Riley Leonard
2019*,Wisconsin,Big Ten,FR,QB,2,9,10,90.0,73,0,0.0,0,0.0,7.3,7.30,8.1,36.5,151.3,,Graham Mertz
2020*,Wisconsin,Big Ten,FR,QB,7,118,193,61.1,1238,9,4.7,5,2.6,6.4,6.18,10.5,176.9,125.2,,Graham Mertz
2021*,Wisconsin,Big Ten,SO,QB,13,169,284,59.5,1958,10,3.5,11,3.9,6.9,5.86,11.6,150.6,121.3,,Graham Mertz
2022*,Wisconsin,Big Ten,JR,QB,12,164,286,57.3,2136,19,6.6,10,3.5,7.5,7.22,13.0,178.0,135.0,,Graham Mertz
2023,Florida,SEC,JR,QB,11,261,358,72.9,2903,20,5.6,3,0.8,8.1,8.85,11.1,263.9,157.8,,Graham Mertz
2024*,Florida,SEC,SR,QB,5,72,94,76.6,791,6,6.4,2,2.1,8.4,8.73,11.0,158.2,164.1,,Graham Mertz
2019*,Ohio,MAC,FR,QB,1,0,0,,0,0,,0,,,,,0.0,,,Kurtis Rourke
2020,Ohio,MAC,FR,QB,3,30,44,68.2,386,3,6.8,0,0.0,8.8,10.14,12.9,128.7,164.4,,Kurtis Rourke
2021,Ohio,MAC,SO,QB,10,169,259,65.3,1801,11,4.2,7,2.7,7.0,6.59,10.7,180.1,132.3,,Kurtis Rourke
2022*,Ohio,MAC,JR,QB,11,244,353,69.1,3257,25,7.1,4,1.1,9.2,10.13,13.3,296.1,167.7,,Kurtis Rourke
2023*,Ohio,MAC,SR,QB,11,195,307,63.5,2207,11,3.6,5,1.6,7.2,7.17,11.3,200.6,132.5,,Kurtis Rourke
2024,Indiana,Big Ten,SR,QB,12,222,320,69.4,3042,29,9.1,5,1.6,9.5,10.62,13.7,253.5,176.0,H-9,Kurtis Rourke
