Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2022*,Washington State,Pac-12,SO,QB,13,320,497,64.4,3232,23,4.6,9,1.8,6.5,6.61,10.1,248.6,130.7,,Cam Ward
2023,Washington State,Pac-12,JR,QB,12,323,485,66.6,3736,25,5.2,7,1.4,7.7,8.08,11.6,311.3,145.4,,Cam Ward
2024*,Miami (FL),ACC,SR,QB,13,305,454,67.2,4313,39,8.6,7,1.5,9.5,10.52,14.1,331.8,172.2,"H-4,AA",Cam Ward
2021,USC,Pac-12,FR,QB,6,117,189,61.9,1353,9,4.8,5,2.6,7.2,6.92,11.6,225.5,132.5,,Jaxson Dart
2022*,Ole Miss,SEC,SO,QB,13,226,362,62.4,2974,20,5.5,11,3.0,8.2,7.95,13.2,228.8,143.6,,Jaxson Dart
2023*,Ole Miss,SEC,JR,QB,13,233,358,65.1,3364,23,6.4,5,1.4,9.4,10.05,14.4,258.8,162.4,,Jaxson Dart
2024*,Ole Miss,SEC,SR,QB,13,276,398,69.3,4279,29,7.3,6,1.5,10.8,11.53,15.5,329.2,180.7,,Jaxson Dart
2021*,Alabama,SEC,FR,QB,4,3,7,42.9,41,1,14.3,0,0.0,5.9,8.71,13.7,10.3,139.2,,Jalen Milroe
2022*,Alabama,SEC,FR,QB,8,31,53,58.5,297,5,9.4,3,5.7,5.6,4.94,9.6,37.1,125.4,,Jalen Milroe
2023*,Alabama,SEC,SO,QB,13,187,284,65.8,2834,23,8.1,6,2.1,10.0,10.65,15.2,218.0,172.2,H-6,Jalen Milroe
2024*,Alabama,SEC,JR,QB,13,205,319,64.3,2844,16,5.0,11,3.4,8.9,8.37,13.9,218.8,148.8,,Jalen Milroe
2019*,UCF,American,FR,QB,13,236,398,59.3,3653,29,7.3,7,1.8,9.2,9.84,15.5,281.0,156.9,,Dillon Gabriel
2020*,UCF,American,SO,QB,10,248,413,60.0,3570,32,7.7,4,1.0,8.6,9.76,14.4,357.0,156.3,,Dillon Gabriel
2021*,UCF,American,JR,QB,3,70,102,68.6,814,9,8.8,3,2.9,8.0,8.42,11.6,271.3,158.9,,Dillon Gabriel
2022*,Oklahoma,Big 12,JR,QB,12,230,367,62.7,3168,25,6.8,6,1.6,8.6,9.26,13.8,264.0,154.4,,Dillon Gabriel
2023*,Oklahoma,Big 12,SR,QB,12,266,384,69.3,3660,30,7.8,6,1.6,9.5,10.39,13.8,305.0,172.0,,Dillon Gabriel
2024,Oregon,Big Ten,SR,QB,14,326,447,72.9,3857,30,6.7,6,1.3,8.6,9.37,11.8,275.5,164.9,H-3,Dillon Gabriel
2023,Colorado,Pac-12,JR,QB,11,298,430,69.3,3230,27,6.3,3,0.7,7.5,8.45,10.8,293.6,151.7,,Shedeur Sanders
2024*,Colorado,Big 12,SR,QB,13,353,477,74.0,4134,37,7.8,10,2.1,8.7,9.27,11.7,318.0,168.2,H-8,Shedeur Sanders
2021*,Ohio State,Big Ten,FR,QB,5,25,38,65.8,416,2,5.3,2,5.3,10.9,9.63,16.6,83.2,164.6,,Kyle McCord
2022*,Ohio State,Big Ten,SO,QB,7,16,20,80.0,190,1,5.0,0,0.0,9.5,10.50,11.9,27.1,176.3,,Kyle McCord
2023*,Ohio State,Big Ten,JR,QB,12,229,348,65.8,3170,24,6.9,6,1.7,9.1,9.71,13.8,264.2,161.6,,Kyle McCord
2024*,Syracuse,ACC,SR,QB,13,391,592,66.0,4779,34,5.7,12,2.0,8.1,8.31,12.2,367.6,148.8,H-10,Kyle McCord
