Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2022*,Michigan,Big Ten,FR,TE,14,16,235,14.7,2,16.8,1,-8,-8.0,0,-0.6,17,227,13.4,2,,Colston Loveland,,,,,,,,,,,,,
2023*,Michigan,Big Ten,SO,TE,15,45,649,14.4,4,43.3,0,0,,0,0.0,45,649,14.4,4,,Colston Loveland,,,,,,,,,,,,,
2024*,Michigan,Big Ten,JR,TE,10,56,582,10.4,5,58.2,1,-2,-2.0,0,-0.2,57,580,10.2,5,,Colston Loveland,,,,,,,,,,,,,
2020,Penn State,Big Ten,FR,TE,2,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Tyler Warren,,,,,,,,,,,,,
2021*,Penn State,Big Ten,FR,TE,13,5,61,12.2,1,4.7,6,6,1.0,2,0.5,11,67,6.1,3,,Tyler Warren,,,,,,,,,,,,,
2022*,Penn State,Big Ten,SO,TE,12,10,123,12.3,3,10.3,0,0,,0,0.0,10,123,12.3,3,,Tyler Warren,,,,,,,,,,,,,
2023*,Penn State,Big Ten,JR,TE,13,34,422,12.4,7,32.5,0,0,,0,0.0,34,422,12.4,7,,Tyler Warren,,,,,,,,,,,,,
2024*,Penn State,Big Ten,SR,TE,16,104,1233,11.9,8,77.1,26,218,8.4,4,13.6,130,1451,11.2,12,H-7,Tyler Warren,,,,,,,,,,,,,
2022*,LSU,SEC,FR,TE,14,38,414,10.9,3,29.6,0,0,,0,0.0,38,414,10.9,3,,Mason Taylor,,,,,,,,,,,,,
2023*,LSU,SEC,SO,TE,12,36,348,9.7,1,29.0,0,0,,0,0.0,36,348,9.7,1,,Mason Taylor,,,,,,,,,,,,,
2024*,LSU,SEC,JR,TE,12,55,546,9.9,2,45.5,0,0,,0,0.0,55,546,9.9,2,,Mason Taylor,,,,,,,,,,,,,
2021*,Oregon,Pac-12,FR,TE,14,17,141,8.3,2,10.1,0,0,,0,0.0,17,141,8.3,2,,Terrance Ferguson,,,,,,,,,,,,,
2022*,Oregon,Pac-12,SO,TE,13,32,391,12.2,5,30.1,0,0,,0,0.0,32,391,12.2,5,,Terrance Ferguson,,,,,,,,,,,,,
2023*,Oregon,Pac-12,JR,TE,14,42,414,9.9,6,29.6,0,0,,0,0.0,42,414,9.9,6,,Terrance Ferguson,,,,,,,,,,,,,
2024,Oregon,Big Ten,SR,TE,12,43,591,13.7,3,49.3,0,0,,0,0.0,43,591,13.7,3,,Terrance Ferguson,,,,,,,,,,,,,
2021,Miami (FL),ACC,FR,TE,12,5,86,17.2,1,7.2,0,0,,0,0.0,5,86,17.2,1,,Elijah Arroyo,,,,,,,,,,,,,
2022,Miami (FL),ACC,SO,TE,5,5,66,13.2,0,13.2,0,0,,0,0.0,5,66,13.2,0,,Elijah Arroyo,,,,,,,,,,,,,
2023*,Miami (FL),ACC,SO,TE,6,1,11,11.0,0,1.8,0,0,,0,0.0,1,11,11.0,0,,Elijah Arroyo,,,,,,,,,,,,,
2024*,Miami (FL),ACC,JR,TE,13,35,590,16.9,7,45.4,0,0,,0,0.0,35,590,16.9,7,,Elijah Arroyo,,,,,,,,,,,,,
