Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2017*,Alabama,SEC,FR,WR,14,12,229,19.1,6,16.4,0,0,,0,0.0,12,229,19.1,6,,Henry Ruggs III,,,,,,,,,,,,,,
2018*,Alabama,SEC,SO,WR,15,46,741,16.1,11,49.4,0,0,,0,0.0,46,741,16.1,11,,Henry Ruggs III,,,,,,,,,,,,,,
2019*,Alabama,SEC,JR,WR,12,40,746,18.7,7,62.2,2,75,37.5,1,6.3,42,821,19.5,8,,Henry Ruggs III,,,,,,,,,,,,,,
2017*,Alabama,SEC,FR,WR,14,14,264,18.9,2,18.9,0,0,,0,0.0,14,264,18.9,2,,Jerry Jeudy,,,,,,,,,,,,,,
2018*,Alabama,SEC,SO,WR,15,68,1315,19.3,14,87.7,0,0,,0,0.0,68,1315,19.3,14,AA,Jerry Jeudy,,,,,,,,,,,,,,
2019*,Alabama,SEC,JR,WR,13,77,1163,15.1,10,89.5,1,1,1.0,0,0.1,78,1164,14.9,10,,Jerry Jeudy,,,,,,,,,,,,,,
2017*,Oklahoma,Big 12,FR,WR,14,46,807,17.5,7,57.6,0,0,,0,0.0,46,807,17.5,7,,CeeDee Lamb,,,,,,,,,,,,,,
2018*,Oklahoma,Big 12,SO,WR,14,65,1158,17.8,11,82.7,0,0,,0,0.0,65,1158,17.8,11,,CeeDee Lamb,,,,,,,,,,,,,,
2019*,Oklahoma,Big 12,JR,WR,13,62,1327,21.4,14,102.1,9,20,2.2,1,1.5,71,1347,19.0,15,AA,CeeDee Lamb,,,,,,,,,,,,,,
2017*,Texas Christian,Big 12,FR,WR,14,33,576,17.5,8,41.1,8,65,8.1,0,4.6,41,641,15.6,8,,Jalen Reagor,,,,,,,,,,,,,,
2018*,Texas Christian,Big 12,SO,WR,13,72,1061,14.7,9,81.6,13,170,13.1,2,13.1,85,1231,14.5,11,,Jalen Reagor,,,,,,,,,,,,,,
2019,Texas Christian,Big 12,JR,WR,12,43,611,14.2,5,50.9,14,89,6.4,0,7.4,57,700,12.3,5,,Jalen Reagor,,,,,,,,,,,,,,
2017*,LSU,SEC,FR,WR,6,0,0,,0,0.0,1,4,4.0,0,0.7,1,4,4.0,0,,Justin Jefferson,,,,,,,,,,,,,,
2018*,LSU,SEC,SO,WR,13,54,875,16.2,6,67.3,5,26,5.2,0,2.0,59,901,15.3,6,,Justin Jefferson,,,,,,,,,,,,,,
2019*,LSU,SEC,JR,WR,15,111,1540,13.9,18,102.7,0,0,,0,0.0,111,1540,13.9,18,,Justin Jefferson,,,,,,,,,,,,,,
2018*,Arizona State,Pac-12,JR,WR,13,33,474,14.4,3,36.5,0,0,,0,0.0,33,474,14.4,3,,Brandon Aiyuk,,,,,,,,,,,,,,
2019*,Arizona State,Pac-12,SR,WR,12,65,1192,18.3,8,99.3,1,6,6.0,0,0.5,66,1198,18.2,8,,Brandon Aiyuk,,,,,,,,,,,,,,
2017*,Auburn,SEC,FR,WR,14,,,,,,,,,,,,,,,,Noah Igbinoghene,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2018*,Auburn,SEC,SO,WR,13,,,,,,,,,,,,,,,,Noah Igbinoghene,39,11,50,2,0.0,1,0,0.0,0,11,0,0,0,1
2019*,Auburn,SEC,JR,DB,13,,,,,,,,,,,,,,,,Noah Igbinoghene,28,14,42,1,0.0,0,0,,0,7,0,0,0,0
2017*,Clemson,ACC,FR,WR,13,17,345,20.3,2,26.5,0,0,,0,0.0,17,345,20.3,2,,Tee Higgins,,,,,,,,,,,,,,
2018*,Clemson,ACC,SO,WR,15,59,936,15.9,12,62.4,0,0,,0,0.0,59,936,15.9,12,,Tee Higgins,,,,,,,,,,,,,,
2019*,Clemson,ACC,JR,WR,15,59,1167,19.8,13,77.8,1,36,36.0,1,2.4,60,1203,20.1,14,,Tee Higgins,,,,,,,,,,,,,,
2016*,USC,Pac-12,FR,WR,13,6,82,13.7,0,6.3,0,0,,0,0.0,6,82,13.7,0,,Michael Pittman Jr.,,,,,,,,,,,,,,
2017*,USC,Pac-12,SO,WR,11,23,404,17.6,2,36.7,0,0,,0,0.0,23,404,17.6,2,,Michael Pittman Jr.,,,,,,,,,,,,,,
2018,USC,Pac-12,JR,WR,11,41,758,18.5,6,68.9,1,9,9.0,0,0.8,42,767,18.3,6,,Michael Pittman Jr.,,,,,,,,,,,,,,
2019*,USC,Pac-12,SR,WR,13,101,1275,12.6,11,98.1,0,0,,0,0.0,101,1275,12.6,11,,Michael Pittman Jr.,,,,,,,,,,,,,,
2017,Colorado,Pac-12,FR,WR,12,7,168,24.0,0,14.0,2,4,2.0,0,0.3,9,172,19.1,0,,Laviska Shenault Jr.,,,,,,,,,,,,,,
