Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Rushing Y/A
2016*,Penn State,Big Ten,FR,QB,7,2,3,66.7,36,0,0.0,0,0.0,12.0,12.00,18.0,5.1,167.5,,Tommy Stevens,,,,,,,,,,,,,,
2017*,Penn State,Big Ten,SO,QB,9,14,27,51.9,158,3,11.1,0,0.0,5.9,8.07,11.3,17.6,137.7,,Tommy Stevens,,,,,,,,,,,,,,
2018*,Penn State,Big Ten,JR,QB,7,8,11,72.7,110,1,9.1,1,9.1,10.0,7.73,13.8,15.7,168.5,,Tommy Stevens,,,,,,,,,,,,,,
2019*,Mississippi State,SEC,SR,QB,9,97,161,60.2,1155,11,6.8,5,3.1,7.2,7.14,11.9,128.3,136.8,,Tommy Stevens,,,,,,,,,,,,,,
2016*,Iowa,Big Ten,FR,QB,6,5,9,55.6,62,0,0.0,0,0.0,6.9,6.89,12.4,10.3,113.4,,Nate Stanley,,,,,,,,,,,,,,
2017*,Iowa,Big Ten,SO,QB,13,196,351,55.8,2437,26,7.4,6,1.7,6.9,7.66,12.4,187.5,135.2,,Nate Stanley,,,,,,,,,,,,,,
2018*,Iowa,Big Ten,JR,QB,13,235,396,59.3,2852,26,6.6,10,2.5,7.2,7.38,12.1,219.4,136.5,,Nate Stanley,,,,,,,,,,,,,,
2019*,Iowa,Big Ten,SR,QB,13,237,399,59.4,2951,16,4.0,7,1.8,7.4,7.41,12.5,227.0,131.2,,Nate Stanley,,,,,,,,,,,,,,
2016*,Navy,American,FR,QB,3,,,,,,,,,,,,,,,Malcolm Perry,0,0,,0,0.0,9,73,1,24.3,9,73,8.1,1,8.1
2017*,Navy,American,SO,QB,12,,,,,,,,,,,,,,,Malcolm Perry,13,303,23.3,2,25.3,138,1182,11,98.5,151,1485,9.8,13,8.6
2018,Navy,American,JR,QB,13,,,,,,,,,,,,,,,Malcolm Perry,9,167,18.6,1,12.8,172,1087,7,83.6,181,1254,6.9,8,6.3
2019*,Navy,American,SR,QB,13,,,,,,,,,,,,,,,Malcolm Perry,0,0,,0,0.0,295,2017,21,155.2,295,2017,6.8,21,6.8
