Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2017*,Oklahoma,Big 12,SO,WR,13,57,1095,19.2,7,84.2,1,0,0.0,0,0.0,58,1095,18.9,7,,Marquise Brown,,,,,,,,,,,,,,
2018*,Oklahoma,Big 12,JR,WR,14,75,1318,17.6,10,94.1,2,0,0.0,0,0.0,77,1318,17.1,10,,Marquise Brown,,,,,,,,,,,,,,
2016,Arizona State,Pac-12,FR,WR,12,58,659,11.4,5,54.9,3,69,23.0,2,5.8,61,728,11.9,7,,N'Keal Harry,,,,,,,,,,,,,,
2017*,Arizona State,Pac-12,SO,WR,13,82,1142,13.9,8,87.8,13,65,5.0,0,5.0,95,1207,12.7,8,,N'Keal Harry,,,,,,,,,,,,,,
2018*,Arizona State,Pac-12,JR,WR,12,73,1088,14.9,9,90.7,7,10,1.4,1,0.8,80,1098,13.7,10,,N'Keal Harry,,,,,,,,,,,,,,
2015,South Carolina,SEC,FR,WR,5,12,161,13.4,1,32.2,0,0,,0,0.0,12,161,13.4,1,,Deebo Samuel,,,,,,,,,,,,,,
2016*,South Carolina,SEC,SO,WR,10,59,783,13.3,1,78.3,15,98,6.5,6,9.8,74,881,11.9,7,,Deebo Samuel,,,,,,,,,,,,,,
2017*,South Carolina,SEC,JR,WR,3,15,250,16.7,3,83.3,2,30,15.0,1,10.0,17,280,16.5,4,,Deebo Samuel,,,,,,,,,,,,,,
2018*,South Carolina,SEC,SR,WR,12,62,882,14.2,11,73.5,8,26,3.3,0,2.2,70,908,13.0,11,,Deebo Samuel,,,,,,,,,,,,,,
2016,Ole Miss,SEC,FR,WR,12,29,412,14.2,2,34.3,0,0,,0,0.0,29,412,14.2,2,,A.J. Brown,,,,,,,,,,,,,,
2017,Ole Miss,SEC,SO,WR,12,75,1252,16.7,11,104.3,0,0,,0,0.0,75,1252,16.7,11,,A.J. Brown,,,,,,,,,,,,,,
2018,Ole Miss,SEC,JR,WR,12,85,1320,15.5,6,110.0,0,0,,0,0.0,85,1320,15.5,6,,A.J. Brown,,,,,,,,,,,,,,
2016*,Stanford,Pac-12,SO,WR,12,24,379,15.8,5,31.6,0,0,,0,0.0,24,379,15.8,5,,JJ Arcega-Whiteside,,,,,,,,,,,,,,
2017*,Stanford,Pac-12,JR,WR,12,48,781,16.3,9,65.1,0,0,,0,0.0,48,781,16.3,9,,JJ Arcega-Whiteside,,,,,,,,,,,,,,
2018*,Stanford,Pac-12,SR,WR,12,63,1059,16.8,14,88.3,0,0,,0,0.0,63,1059,16.8,14,,JJ Arcega-Whiteside,,,,,,,,,,,,,,
2016,Ole Miss,SEC,FR,WR,2,2,13,6.5,2,6.5,0,0,,0,0.0,2,13,6.5,2,,D.K. Metcalf,,,,,,,,,,,,,,
2017,Ole Miss,SEC,FR,WR,12,39,646,16.6,7,53.8,0,0,,0,0.0,39,646,16.6,7,,D.K. Metcalf,,,,,,,,,,,,,,
2018,Ole Miss,SEC,SO,WR,7,26,569,21.9,5,81.3,0,0,,0,0.0,26,569,21.9,5,,D.K. Metcalf,,,,,,,,,,,,,,
2015*,Toledo,MAC,FR,WR,11,14,237,16.9,3,21.5,0,0,,0,0.0,14,237,16.9,3,,Diontae Johnson,,,,,,,,,,,,,,
2016*,Toledo,MAC,,,1,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Diontae Johnson,,,,,,,,,,,,,,
2017*,Toledo,MAC,SO,WR,14,74,1278,17.3,13,91.3,2,9,4.5,0,0.6,76,1287,16.9,13,,Diontae Johnson,,,,,,,,,,,,,,
2018*,Toledo,MAC,JR,WR,13,49,761,15.5,8,58.5,2,17,8.5,0,1.3,51,778,15.3,8,,Diontae Johnson,,,,,,,,,,,,,,
2015*,Ohio State,Big Ten,SO,WR,12,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Terry McLaurin,,,,,,,,,,,,,,
2016*,Ohio State,Big Ten,SO,WR,13,11,114,10.4,2,8.8,0,0,,0,0.0,11,114,10.4,2,,Terry McLaurin,,,,,,,,,,,,,,
2017*,Ohio State,Big Ten,JR,WR,14,29,436,15.0,6,31.1,0,0,,0,0.0,29,436,15.0,6,,Terry McLaurin,,,,,,,,,,,,,,
2018*,Ohio State,Big Ten,SR,WR,14,35,701,20.0,11,50.1,0,0,,0,0.0,35,701,20.0,11,,Terry McLaurin,,,,,,,,,,,,,,
2016,Michigan State,Big Ten,FR,WR,9,,,,,,,,,,,,,,,,Justin Layne,11,7,18,2,0.0,1,43,43.0,1,1,0,0,0,0
2017*,Michigan State,Big Ten,SO,CB,13,,,,,,,,,,,,,,,,Justin Layne,24,16,40,1,0.0,1,0,0.0,0,8,0,0,0,1
2018*,Michigan State,Big Ten,JR,CB,12,,,,,,,,,,,,,,,,Justin Layne,44,28,72,3,0.5,1,6,6.0,0,15,0,0,0,0
2016,Notre Dame,Ind,SO,WR,11,6,81,13.5,1,7.4,0,0,,0,0.0,6,81,13.5,1,,Miles Boykin,,,,,,,,,,,,,,
2017*,Notre Dame,Ind,JR,WR,12,12,253,21.1,2,21.1,0,0,,0,0.0,12,253,21.1,2,,Miles Boykin,,,,,,,,,,,,,,
2018*,Notre Dame,Ind,SR,WR,13,59,872,14.8,8,67.1,0,0,,0,0.0,59,872,14.8,8,,Miles Boykin,,,,,,,,,,,,,,
2016,Iowa State,Big 12,FR,WR,11,9,134,14.9,2,12.2,0,0,,0,0.0,9,134,14.9,2,,Hakeem Butler,,,,,,,,,,,,,,
2017*,Iowa State,Big 12,SO,WR,13,41,697,17.0,7,53.6,0,0,,0,0.0,41,697,17.0,7,,Hakeem Butler,,,,,,,,,,,,,,
2018*,Iowa State,Big 12,JR,WR,13,60,1318,22.0,9,101.4,0,0,,0,0.0,60,1318,22.0,9,,Hakeem Butler,,,,,,,,,,,,,,
2015*,West Virginia,Big 12,FR,WR,13,7,116,16.6,1,8.9,0,0,,0,0.0,7,116,16.6,1,,Gary Jennings Jr,,,,,,,,,,,,,,
2016*,West Virginia,Big 12,SO,WR,13,10,165,16.5,2,12.7,0,0,,0,0.0,10,165,16.5,2,,Gary Jennings Jr,,,,,,,,,,,,,,
2017*,West Virginia,Big 12,JR,WR,13,97,1096,11.3,1,84.3,0,0,,0,0.0,97,1096,11.3,1,,Gary Jennings Jr,,,,,,,,,,,,,,
2018*,West Virginia,Big 12,SR,WR,11,54,917,17.0,13,83.4,0,0,,0,0.0,54,917,17.0,13,,Gary Jennings Jr,,,,,,,,,,,,,,
2016*,Georgia,SEC,FR,WR,11,12,238,19.8,2,21.6,3,41,13.7,0,3.7,15,279,18.6,2,,Riley Ridley,,,,,,,,,,,,,,
2017*,Georgia,SEC,SO,WR,14,14,218,15.6,2,15.6,1,5,5.0,0,0.4,15,223,14.9,2,,Riley Ridley,,,,,,,,,,,,,,
2018*,Georgia,SEC,JR,WR,14,44,570,13.0,9,40.7,0,0,,0,0.0,44,570,13.0,9,,Riley Ridley,,,,,,,,,,,,,,
2016*,Memphis,American,FR,WR,13,29,298,10.3,2,22.9,31,159,5.1,1,12.2,60,457,7.6,3,,Tony Pollard,,,,,,,,,,,,,,
2017*,Memphis,American,SO,RB,13,36,536,14.9,4,41.2,30,230,7.7,2,17.7,66,766,11.6,6,,Tony Pollard,,,,,,,,,,,,,,
2018*,Memphis,American,JR,WR,14,39,458,11.7,3,32.7,78,552,7.1,6,39.4,117,1010,8.6,9,,Tony Pollard,,,,,,,,,,,,,,
2015*,Houston,American,FR,WR,11,,,,,,,,,,,,,,,,Isaiah Johnson,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2016*,Houston,American,SO,WR,11,,,,,,,,,,,,,,,,Isaiah Johnson,4,0,4,0,0.0,0,0,,0,0,0,0,0,0
2017*,Houston,American,JR,CB,12,,,,,,,,,,,,,,,,Isaiah Johnson,34,11,45,0,0.0,2,49,24.5,0,7,0,0,0,0
2018*,Houston,American,SR,CB,11,,,,,,,,,,,,,,,,Isaiah Johnson,50,16,66,2,0.0,2,45,22.5,0,7,0,0,0,0
2015*,Clemson,ACC,FR,WR,15,33,492,14.9,5,32.8,0,0,,0,0.0,33,492,14.9,5,,Hunter Renfrow,,,,,,,,,,,,,,
2016*,Clemson,ACC,SO,WR,11,44,495,11.3,6,45.0,0,0,,0,0.0,44,495,11.3,6,,Hunter Renfrow,,,,,,,,,,,,,,
2017*,Clemson,ACC,JR,WR,14,60,602,10.0,3,43.0,0,0,,0,0.0,60,602,10.0,3,,Hunter Renfrow,,,,,,,,,,,,,,
2018*,Clemson,ACC,SR,WR,15,49,544,11.1,1,36.3,0,0,,0,0.0,49,544,11.1,1,,Hunter Renfrow,,,,,,,,,,,,,,
2016*,Auburn,SEC,FR,WR,13,15,292,19.5,1,22.5,0,0,,0,0.0,15,292,19.5,1,,Darius Slayton,,,,,,,,,,,,,,
2017*,Auburn,SEC,SO,WR,13,29,643,22.2,5,49.5,0,0,,0,0.0,29,643,22.2,5,,Darius Slayton,,,,,,,,,,,,,,
2018*,Auburn,SEC,JR,WR,12,35,670,19.1,5,55.8,0,0,,0,0.0,35,670,19.1,5,,Darius Slayton,,,,,,,,,,,,,,
2015,Old Dominion,CUSA,SO,WR,10,6,89,14.8,0,8.9,0,0,,0,0.0,6,89,14.8,0,,Travis Fulgham,,,,,,,,,,,,,,
2016*,Old Dominion,CUSA,SO,WR,13,29,478,16.5,8,36.8,0,0,,0,0.0,29,478,16.5,8,,Travis Fulgham,,,,,,,,,,,,,,
2017,Old Dominion,CUSA,JR,WR,12,30,394,13.1,1,32.8,0,0,,0,0.0,30,394,13.1,1,,Travis Fulgham,,,,,,,,,,,,,,
2018,Old Dominion,CUSA,SR,WR,12,63,1083,17.2,9,90.3,0,0,,0,0.0,63,1083,17.2,9,,Travis Fulgham,,,,,,,,,,,,,,
2014*,Maryland,Big Ten,FR,WR,8,11,158,14.4,2,19.8,0,0,,0,0.0,11,158,14.4,2,,Juwann Winfree,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Juwann Winfree,,,,,,,,,,,,,,
2017,Colorado,Pac-12,JR,DB,12,21,325,15.5,2,27.1,0,0,,0,0.0,21,325,15.5,2,,Juwann Winfree,,,,,,,,,,,,,,
2018,Colorado,Pac-12,SR,WR,8,28,324,11.6,2,40.5,0,0,,0,0.0,28,324,11.6,2,,Juwann Winfree,,,,,,,,,,,,,,
2015,Louisiana-Monroe,Sun Belt,FR,WR,12,63,698,11.1,7,58.2,3,5,1.7,0,0.4,66,703,10.7,7,,Marcus Green,,,,,,,,,,,,,,
2016,Louisiana-Monroe,Sun Belt,SO,WR,12,36,344,9.6,4,28.7,14,119,8.5,0,9.9,50,463,9.3,4,,Marcus Green,,,,,,,,,,,,,,
2017,Louisiana-Monroe,Sun Belt,JR,WR,12,54,829,15.4,5,69.1,14,175,12.5,0,14.6,68,1004,14.8,5,,Marcus Green,,,,,,,,,,,,,,
2018,Louisiana-Monroe,Sun Belt,SR,WR,12,50,855,17.1,8,71.3,20,193,9.7,1,16.1,70,1048,15.0,9,,Marcus Green,,,,,,,,,,,,,,
2016*,North Carolina State,ACC,FR,WR,13,27,462,17.1,5,35.5,0,0,,0,0.0,27,462,17.1,5,,Kelvin Harmon,,,,,,,,,,,,,,
2017*,North Carolina State,ACC,SO,WR,13,69,1017,14.7,4,78.2,0,0,,0,0.0,69,1017,14.7,4,,Kelvin Harmon,,,,,,,,,,,,,,
2018*,North Carolina State,ACC,JR,WR,12,81,1186,14.6,7,98.8,0,0,,0,0.0,81,1186,14.6,7,,Kelvin Harmon,,,,,,,,,,,,,,
2015*,Bowling Green,MAC,FR,WR,10,7,29,4.1,0,2.9,0,0,,0,0.0,7,29,4.1,0,,Scott Miller,,,,,,,,,,,,,,
2016,Bowling Green,MAC,SO,WR,12,74,968,13.1,10,80.7,0,0,,0,0.0,74,968,13.1,10,,Scott Miller,,,,,,,,,,,,,,
