Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2016*,Alabama,SEC,FR,RB,15,85,567,6.7,4,37.8,14,156,11.1,0,10.4,99,723,7.3,4,,Josh Jacobs,,,,,,,,,,,,,,
2017*,Alabama,SEC,SO,RB,12,46,284,6.2,1,23.7,14,168,12.0,2,14.0,60,452,7.5,3,,Josh Jacobs,,,,,,,,,,,,,,
2018*,Alabama,SEC,JR,RB,15,120,640,5.3,11,42.7,20,247,12.4,3,16.5,140,887,6.3,14,,Josh Jacobs,,,,,,,,,,,,,,
2016*,Penn State,Big Ten,FR,RB,13,25,184,7.4,1,14.2,2,24,12.0,1,1.8,27,208,7.7,2,,Miles Sanders,,,,,,,,,,,,,,
2017*,Penn State,Big Ten,SO,RB,12,31,191,6.2,2,15.9,6,30,5.0,0,2.5,37,221,6.0,2,,Miles Sanders,,,,,,,,,,,,,,
2018*,Penn State,Big Ten,JR,RB,13,220,1274,5.8,9,98.0,24,139,5.8,0,10.7,244,1413,5.8,9,,Miles Sanders,,,,,,,,,,,,,,
2015,Massachusetts,MAC,FR,RB,9,3,28,9.3,0,3.1,2,7,3.5,0,0.8,5,35,7.0,0,,Andy Isabella,,,,,,,,,,,,,,
2016,Massachusetts,Ind,SO,WR,12,12,100,8.3,0,8.3,62,801,12.9,7,66.8,74,901,12.2,7,,Andy Isabella,,,,,,,,,,,,,,
2017,Massachusetts,Ind,JR,WR,12,14,135,9.6,1,11.3,65,1020,15.7,10,85.0,79,1155,14.6,11,,Andy Isabella,,,,,,,,,,,,,,
2018,Massachusetts,Ind,SR,WR,12,11,79,7.2,1,6.6,102,1698,16.6,13,141.5,113,1777,15.7,14,AA,Andy Isabella,,,,,,,,,,,,,,
2014*,Tennessee,SEC,FR,RB,13,190,899,4.7,5,69.2,35,221,6.3,2,17.0,225,1120,5.0,7,,Jalen Hurd,,,,,,,,,,,,,,
2015*,Tennessee,SEC,SO,RB,13,277,1288,4.6,12,99.1,22,190,8.6,2,14.6,299,1478,4.9,14,,Jalen Hurd,,,,,,,,,,,,,,
2016*,Tennessee,SEC,JR,RB,7,122,451,3.7,3,64.4,10,81,8.1,2,11.6,132,532,4.0,5,,Jalen Hurd,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Jalen Hurd,,,,,,,,,,,,,,
2018*,Baylor,Big 12,SR,WR,12,48,209,4.4,3,17.4,69,946,13.7,4,78.8,117,1155,9.9,7,,Jalen Hurd,,,,,,,,,,,,,,
2016*,Memphis,American,FR,RB,13,87,482,5.5,5,37.1,20,237,11.9,3,18.2,107,719,6.7,8,,Darrell Henderson,,,,,,,,,,,,,,
2017*,Memphis,American,SO,RB,12,130,1154,8.9,9,96.2,24,226,9.4,2,18.8,154,1380,9.0,11,,Darrell Henderson,,,,,,,,,,,,,,
2018*,Memphis,American,JR,RB,13,214,1909,8.9,22,146.8,19,295,15.5,3,22.7,233,2204,9.5,25,"H-10,AA",Darrell Henderson,,,,,,,,,,,,,,
2016,Iowa State,Big 12,FR,RB,12,109,563,5.2,2,46.9,13,129,9.9,0,10.8,122,692,5.7,2,,David Montgomery,,,,,,,,,,,,,,
2017*,Iowa State,Big 12,SO,RB,13,258,1146,4.4,11,88.2,36,296,8.2,0,22.8,294,1442,4.9,11,,David Montgomery,,,,,,,,,,,,,,
2018*,Iowa State,Big 12,JR,RB,12,257,1216,4.7,13,101.3,22,157,7.1,0,13.1,279,1373,4.9,13,,David Montgomery,,,,,,,,,,,,,,
2016,Florida Atlantic,CUSA,FR,RB,12,152,1021,6.7,12,85.1,26,163,6.3,0,13.6,178,1184,6.7,12,,Devin Singletary,,,,,,,,,,,,,,
2017*,Florida Atlantic,CUSA,SO,RB,14,301,1920,6.4,32,137.1,19,198,10.4,1,14.1,320,2118,6.6,33,,Devin Singletary,,,,,,,,,,,,,,
2018,Florida Atlantic,CUSA,JR,RB,12,261,1348,5.2,22,112.3,6,36,6.0,0,3.0,267,1384,5.2,22,,Devin Singletary,,,,,,,,,,,,,,
2015*,Alabama,SEC,FR,RB,12,36,113,3.1,0,9.4,4,13,3.3,0,1.1,40,126,3.2,0,,Damien Harris,,,,,,,,,,,,,,
2016*,Alabama,SEC,SO,RB,15,120,790,6.6,1,52.7,14,99,7.1,2,6.6,134,889,6.6,3,,Damien Harris,,,,,,,,,,,,,,
2017*,Alabama,SEC,JR,RB,14,135,1000,7.4,11,71.4,12,91,7.6,0,6.5,147,1091,7.4,11,,Damien Harris,,,,,,,,,,,,,,
2018*,Alabama,SEC,SR,RB,15,150,876,5.8,9,58.4,22,204,9.3,0,13.6,172,1080,6.3,9,,Damien Harris,,,,,,,,,,,,,,
2016*,Boise State,MWC,FR,RB,13,67,328,4.9,4,25.2,5,54,10.8,0,4.2,72,382,5.3,4,,Alexander Mattison,,,,,,,,,,,,,,
2017*,Boise State,MWC,SO,RB,14,212,1086,5.1,12,77.6,28,284,10.1,1,20.3,240,1370,5.7,13,,Alexander Mattison,,,,,,,,,,,,,,
2018,Boise State,MWC,JR,RB,13,302,1415,4.7,17,108.8,27,173,6.4,0,13.3,329,1588,4.8,17,,Alexander Mattison,,,,,,,,,,,,,,
2015*,Stanford,Pac-12,FR,RB,14,29,226,7.8,2,16.1,15,250,16.7,1,17.9,44,476,10.8,3,,Bryce Love,,,,,,,,,,,,,,
2016*,Stanford,Pac-12,SO,RB,12,111,783,7.1,3,65.3,8,83,10.4,1,6.9,119,866,7.3,4,,Bryce Love,,,,,,,,,,,,,,
