Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
1,LeSean McCoy,RB1,1.0,,,1.4
2,Adrian Peterson,RB2,4.0,,,2.4
3,Jamaal Charles,RB3,2.0,,,2.4
4,Matt Forte,RB4,5.0,,,4.4
5,Eddie Lacy,RB5,8.0,,,6.4
6,Calvin Johnson,WR1,6.0,,,6.4
7,Peyton Manning,QB1,3.0,,,6.6
8,Marshawn Lynch,RB6,14.0,,,8.6
9,Jimmy Graham,TE1,10.0,,,9.2
10,Demaryius Thomas,WR2,11.0,,,10.8
11,Dez Bryant,WR3,15.0,,,12.6
12,Drew Brees,QB2,7.0,,,12.8
13,DeMarco Murray,RB7,12.0,,,13.6
14,Aaron Rodgers,QB3,9.0,,,14.6
15,Montee Ball,RB8,13.0,,,14.6
16,A.J. Green,WR4,17.0,,,14.6
17,Brandon Marshall,WR5,19.0,,,17.6
18,Arian Foster,RB9,24.0,,,18.4
19,Julio Jones,WR6,18.0,,,18.4
20,Giovani Bernard,RB10,16.0,,,19.8
21,Doug Martin,RB11,21.0,,,21.0
22,Jordy Nelson,WR7,22.0,,,21.8
23,Le'Veon Bell,RB12,25.0,,,23.4
24,Alfred Morris,RB13,23.0,,,24.4
25,Antonio Brown,WR8,26.0,,,25.0
26,Alshon Jeffery,WR9,29.0,,,25.6
27,Zac Stacy,RB14,28.0,,,27.8
28,Julius Thomas,TE2,27.0,,,28.8
29,Randall Cobb,WR10,31.0,,,29.4
30,Andre Ellington,RB15,30.0,,,30.6
31,Rob Gronkowski,TE3,32.0,,,32.4
32,Vincent Jackson,WR11,37.0,,,35.4
33,Reggie Bush,RB16,36.0,,,36.2
34,Keenan Allen,WR12,43.0,,,36.2
35,Larry Fitzgerald,WR13,35.0,,,36.4
36,Matthew Stafford LAR (),QB4,20.0,,,36.8
37,Andre Johnson,WR14,40.0,,,37.4
38,Andrew Luck,QB5,34.0,,,39.8
39,Ryan Mathews,RB17,44.0,,,41.0
40,C.J. Spiller,RB18,45.0,,,42.4
41,Victor Cruz,WR15,50.0,,,42.6
42,Roddy White,WR16,46.0,,,43.2
43,Pierre Garcon,WR17,49.0,,,43.6
44,Toby Gerhart,RB19,41.0,,,45.6
45,Vernon Davis,TE4,47.0,,,46.6
46,Cordarrelle Patterson PIT (12),RB20,52.0,,,46.8
47,Rashad Jennings,RB21,56.0,,,48.2
48,Michael Crabtree,WR18,38.0,,,48.6
49,Frank Gore,RB22,51.0,,,49.0
50,Percy Harvin,WR19,59.0,,,50.0
51,Tom Brady,QB6,33.0,,,52.6
52,DeSean Jackson,WR20,62.0,,,53.2
53,Nick Foles,QB7,48.0,,,57.2
54,Shane Vereen,RB23,39.0,,,57.8
55,Jason Witten,TE5,57.0,,,58.6
56,Seattle Seahawks DST (4),DST1,60.0,,,60.4
57,Michael Floyd,WR21,63.0,,,60.8
58,Jordan Cameron,TE6,67.0,,,60.8
59,Matt Ryan,QB8,42.0,,,62.4
60,Cam Newton,QB9,78.0,,,62.4
61,Ben Tate,RB24,66.0,,,64.2
62,Chris Johnson,RB25,61.0,,,64.4
63,Wes Welker,WR22,70.0,,,65.6
64,Torrey Smith,WR23,73.0,,,66.2
65,Joique Bell,RB26,53.0,,,66.6
66,T.Y. Hilton,WR24,75.0,,,67.0
67,Ray Rice,RB27,55.0,,,67.4
68,Bishop Sankey,RB28,54.0,,,67.4
69,Emmanuel Sanders,WR25,58.0,,,68.6
70,Julian Edelman,WR26,68.0,,,71.0
71,Robert Griffin III,QB10,91.0,,,76.2
72,Greg Olsen,TE7,83.0,,,76.6
73,Jeremy Maclin,WR27,77.0,,,76.6
74,Trent Richardson,RB29,69.0,,,76.8
75,Marques Colston,WR28,72.0,,,77.4
76,Colin Kaepernick,QB11,65.0,,,79.4
77,Mike Wallace,WR29,81.0,,,79.4
78,Dennis Pitta,TE8,76.0,,,81.6
79,Tony Romo,QB12,64.0,,,83.4
80,Kyle Rudolph,TE9,89.0,,,85.2
81,Maurice Jones-Drew,RB30,80.0,,,85.8
82,Golden Tate,WR30,71.0,,,85.8
83,Jordan Reed,TE10,88.0,,,86.8
84,Stephen Gostkowski,K1,97.0,,,87.2
85,Kendall Wright,WR31,82.0,,,87.6
86,Russell Wilson NYG (8),QB13,87.0,,,88.0
87,Terrance Williams,WR32,85.0,,,90.4
88,Eric Decker,WR33,96.0,,,90.8
89,Reggie Wayne,WR34,92.0,,,91.2
90,Pierre Thomas,RB31,79.0,,,91.8
91,Jay Cutler,QB14,74.0,,,92.4
92,Steven Jackson,RB32,102.0,,,94.2
93,Fred Jackson,RB33,90.0,,,100.6
94,Darren Sproles,RB34,100.0,,,101.2
95,Philip Rivers,QB15,86.0,,,101.2
96,Brandin Cooks NO (6),WR35,98.0,,,101.4
97,Knowshon Moreno,RB35,94.0,,,101.6
98,Carolina Panthers DST (12),DST2,107.0,,,79.3
99,San Francisco 49ers DST (8),DST3,101.0,,,79.5
100,Zach Ertz WAS (10),TE11,93.0,,,111.6
101,Los Angeles Rams DST (),DST4,99.0,,,91.5
102,Martellus Bennett,TE12,119.0,,,115.4
103,Stevan Ridley,RB36,84.0,,,95.0
104,Denver Broncos DST (4),DST5,104.0,,,96.5
105,Mike Evans TB (7),WR36,111.0,,,117.4
106,Kansas City Chiefs DST (6),DST6,122.0,,,97.8
107,Cincinnati Bengals DST (4),DST7,138.0,,,101.5
108,Sammy Watkins,WR37,95.0,,,101.5
109,Carlos Hyde,RB37,121.0,,,121.6
110,Justin Tucker,K2,133.0,,,102.3
111,New England Patriots DST (10),DST8,110.0,,,102.5
