Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
RB41,94,Tyjae Spears,TEN,107.54,76,480,58.58,97%
WR39,95,Jayden Reed,GB,109.75,61,480,76.53,95%
RB42,96,Rachaad White,TB,114.64,73,480,75.84,95%
TE7,97,Jonnu Smith,MIA,116.46,52,480,59.29,97%
WR40,98,Deebo Samuel Sr.,WAS,117.09,59,480,82.79,95%
RB43,99,Rico Dowdle,CAR,117.1,81,480,75.36,95%
WR41,100,Jauan Jennings,SF,120.98,65,480,89.16,94%
RB44,101,Ray Davis,BUF,124.19,88,480,80.04,95%
WR42,102,Khalil Shakir,BUF,125.1,66,480,88.23,94%
RB45,103,Trey Benson,ARI,125.55,87,480,76.84,95%
WR43,104,Ricky Pearsall,SF,125.65,71,480,90.71,93%
QB10,105,Jared Goff,DET,127.18,17,480,105.36,92%
RB46,106,Tyler Allgeier,ATL,127.67,85,480,85.01,94%
WR44,107,Matthew Golden,GB,135.42,79,480,105.32,91%
RB47,108,Bhayshul Tuten,JAC,137.23,85,480,95.45,92%
DST1,109,Denver Broncos,DEN,143.95,1,480,76.15,95%
RB48,110,Jaylen Wright,MIA,144.16,87,480,101.65,91%
TE8,111,Travis Kelce,KC,144.66,53,480,87.97,93%
TE9,112,David Njoku,CLE,148.56,57,480,86.21,93%
WR45,113,Jakobi Meyers,LV,149.93,81,480,117.36,88%
WR46,114,Stefon Diggs,NE,155.07,60,480,122.45,87%
DST2,115,Philadelphia Eagles,PHI,156.5,53,480,73.14,95%
TE10,116,Tucker Kraft,GB,158.7,55,480,102.53,91%
QB11,117,Justin Herbert,LAC,159.06,26,480,138.62,84%
WR47,118,Jalen McMillan,TB,160.79,85,480,127.61,86%
DST3,119,Pittsburgh Steelers,PIT,161.02,55,480,72.28,95%
RB49,120,Isaac Guerendo,SF,163.26,65,480,118.52,87%
DST4,121,Baltimore Ravens,BAL,164.12,55,480,71.9,95%
RB50,122,Blake Corum,LAR,168.74,91,480,124.54,86%
DST5,123,Kansas City Chiefs,KC,170.28,75,480,76.46,94%
DST6,124,Minnesota Vikings,MIN,170.81,69,480,77.52,94%
K1,125,Brandon Aubrey,DAL,173.8,34,480,88.82,92%
RB51,126,Austin Ekeler,WAS,178.09,91,480,127.57,84%
DST7,127,Detroit Lions,DET,178.98,77,480,85.43,92%
WR48,128,Cooper Kupp,SEA,180.1,80,480,138.98,82%
K2,129,Jake Bates,DET,182.81,39,480,86.48,92%
K3,130,Cameron Dicker,LAC,184.2,59,480,86.04,92%
QB12,131,Justin Fields,NYJ,185.18,58,480,157.67,78%
WR49,132,Darnell Mooney,ATL,185.73,82,480,144.17,80%
K4,133,Chris Boswell,PIT,187.6,75,480,87.79,92%
K5,134,Wil Lutz,DEN,190.85,74,480,88.74,92%
WR50,135,Luther Burden III,CHI,191.78,86,480,150.54,78%
WR51,136,Keon Coleman,BUF,192.98,96,480,148.23,79%
K6,137,Ka'imi Fairbairn,HOU,193.6,60,480,92.6,91%
RB52,138,Jaydon Blue,DAL,194.38,87,480,138.74,81%
K7,139,Evan McPherson,CIN,197.93,68,480,96.34,90%
WR52,140,Emeka Egbuka,TB,200.71,90,480,153.82,76%
RB53,141,Braelon Allen,NYJ,203.5,103,480,141.5,79%
DST8,142,New York Jets,NYJ,203.52,84,480,113.17,85%
DST9,143,Houston Texans,HOU,204.84,78,480,113.49,85%
WR53,144,Josh Downs,IND,206.21,78,480,155.77,75%
RB54,145,Jerome Ford,CLE,208.07,98,480,142.73,78%
TE11,146,Colston Loveland,CHI,209.27,68,480,144.06,78%
WR54,147,Rashid Shaheed,NO,210.24,100,480,156.92,74%
QB13,148,Caleb Williams,CHI,219.5,28,480,159.82,73%
TE12,149,Tyler Warren,IND,225.29,70,480,151.98,73%
TE13,150,Evan Engram,DEN,229.08,63,480,152.5,73%
K8,151,Chase McLaughlin,TB,230.12,88,480,123.08,81%
RB55,152,J.K. Dobbins,,237.46,81,480,156.01,70%
DST10,153,Buffalo Bills,BUF,243.89,80,480,138.73,74%
WR55,154,Michael Pittman Jr.,IND,244.53,74,480,166.28,66%
WR56,155,Christian Kirk,HOU,244.62,98,480,167.42,66%
RB56,156,Audric Estime,DEN,254.48,114,480,159.21,66%
RB57,157,Dylan Sampson,CLE,255.9,109,480,161.38,65%
QB14,158,Brock Purdy,SF,256.64,24,480,170.24,63%
