Position,Overall,Player,Team (Bye),Avg Pick,High,Low,Std Dev,% Drafted
RB140,411,Malik Davis,,479.83,377,480,4.24,0%
TE39,412,Tyler Conklin,LAC,479.83,378,480,4.2,0%
RB141,413,Dare Ogunbowale,HOU,479.83,379,480,4.15,0%
TE40,414,Noah Fant,SEA,479.83,380,480,4.11,0%
RB142,415,Keilan Robinson,JAC,479.83,381,480,4.07,0%
RB143,416,Cody Schrader,LAR,479.83,382,480,4.03,0%
RB144,417,Rasheen Ali,BAL,479.84,383,480,3.99,0%
RB145,418,Jeff Wilson Jr.,,479.84,384,480,3.95,0%
RB146,419,Chase Edmonds,,479.84,385,480,3.91,0%
RB147,420,D'Onta Foreman,,479.84,386,480,3.87,0%
RB148,421,JaMycal Hasty,,479.84,388,480,3.78,0%
QB40,422,Jameis Winston,NYG,479.85,390,480,3.7,0%
TE41,423,Dawson Knox,BUF,479.85,392,480,3.62,0%
TE42,424,Will Dissly,LAC,479.85,393,480,3.58,0%
QB41,425,Jalen Milroe,SEA,479.86,395,480,3.5,0%
TE43,426,Gunnar Helm,TEN,479.86,396,480,3.46,0%
TE44,427,Ben Sinnott,WAS,479.86,397,480,3.41,0%
WR144,428,Jonathan Mingo,DAL,479.86,398,480,3.37,0%
WR145,429,Chimere Dike,TEN,479.86,400,480,3.29,0%
TE45,430,Foster Moreau,NO,479.87,401,480,3.25,0%
QB42,431,Will Levis,TEN,479.87,402,480,3.21,0%
WR146,432,Van Jefferson,TEN,479.87,403,480,3.17,0%
TE46,433,Luke Musgrave,GB,479.87,404,480,3.13,0%
TE47,434,Michael Mayer,LV,479.87,406,480,3.04,0%
WR147,435,Julian Fleming,GB,479.88,407,480,3.0,0%
WR148,436,Jordan Watkins,SF,479.88,408,480,2.96,0%
WR149,437,JuJu Smith-Schuster,KC,479.88,410,480,2.88,0%
WR150,438,Kendrick Bourne,NE,479.88,411,480,2.84,0%
WR151,439,Zay Jones,ARI,479.88,412,480,2.8,0%
WR152,440,Nick Nash,ATL,479.89,413,480,2.76,0%
WR153,441,Jahan Dotson,PHI,479.89,414,480,2.71,0%
WR154,442,Arian Smith,NYJ,479.89,415,480,2.67,0%
WR155,443,Ricky White III,SEA,479.89,416,480,2.63,0%
TE48,444,Hunter Long,JAC,479.89,417,480,2.59,0%
WR156,445,Ja'Corey Brooks,WAS,479.9,418,480,2.55,0%
TE49,446,Mitchell Evans,CAR,479.9,419,480,2.51,0%
WR157,447,Treylon Burks,TEN,479.9,420,480,2.47,0%
WR158,448,Jake Bobo,SEA,479.9,421,480,2.43,0%
TE50,449,Luke Lachey,HOU,479.9,422,480,2.39,0%
WR159,450,Tyler Boyd,,479.9,423,480,2.34,0%
WR160,451,Johnny Wilson,PHI,479.91,424,480,2.3,0%
WR161,452,Kaden Prather,BUF,479.91,425,480,2.26,0%
TE51,453,Austin Hooper,NE,479.91,426,480,2.22,0%
WR162,454,Tyler Johnson,NYJ,479.91,427,480,2.18,0%
QB43,455,Aidan O'Connell,LV,479.91,428,480,2.14,0%
WR163,456,Nelson Agholor,,479.91,429,480,2.1,0%
WR164,457,Michael Gallup,WAS,479.92,430,480,2.06,0%
TE52,458,AJ Barner,SEA,479.92,431,480,2.02,0%
QB44,459,Dillon Gabriel,CLE,479.92,432,480,1.97,0%
WR165,460,Kalif Raymond,DET,479.92,433,480,1.93,0%
WR166,461,DJ Chark Jr.,,479.92,434,480,1.89,0%
QB45,462,Will Howard,PIT,479.92,435,480,1.85,0%
WR167,463,Hunter Renfrow,CAR,479.93,438,480,1.73,0%
WR168,464,Bub Means,NO,479.93,439,480,1.69,0%
QB46,465,Marcus Mariota,WAS,479.93,440,480,1.65,0%
WR169,466,Mecole Hardman Jr.,GB,479.93,441,480,1.6,0%
QB47,467,Deshaun Watson,CLE,479.94,443,480,1.52,0%
WR170,468,Bru McCoy,,479.94,447,480,1.36,0%
QB48,469,Joe Milton III,DAL,479.95,448,480,1.32,0%
DST29,470,Las Vegas Raiders,LV,479.95,451,480,1.19,0%
DST30,471,Jacksonville Jaguars,JAC,479.95,452,480,1.15,0%
DST31,472,Tennessee Titans,TEN,479.95,453,480,1.11,0%
DST32,473,Carolina Panthers,CAR,479.96,455,480,1.03,0%
WR171,474,Xavier Gipson,NYJ,479.96,459,480,0.86,0%
K24,475,Blake Grupe,NO,479.98,466,480,0.58,0%
K25,476,Jake Moody,SF,479.98,471,480,0.37,0%
K26,477,Cairo Santos,CHI,479.99,474,480,0.25,0%
K27,478,Graham Gano,NYG,479.99,475,480,0.21,0%
K28,479,Brandon McManus,GB,479.99,476,480,0.16,0%
K29,480,Nick Folk,,479.99,477,480,0.12,0%
K30,481,Dustin Hopkins,CLE,480.0,478,480,0.08,0%
K31,482,Chad Ryland,ARI,480.0,479,480,0.04,0%
K32,483,Greg Zuerlein,NYJ,480.0,480,480,0.0,0%
