Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
1,Christian McCaffrey SF (6) O,RB1,,1.0,,1.0
2,Dalvin Cook,RB2,,2.0,,2.0
3,Derrick Henry BAL (8),RB3,,3.0,,3.0
4,Alvin Kamara NO (6),RB4,,4.0,,4.0
5,Ezekiel Elliott,RB5,,5.0,,5.0
6,Nick Chubb,RB6,,6.0,,6.0
7,Aaron Jones Sr. MIN (7),RB7,,10.0,,8.3
8,Davante Adams LAR (11),WR1,,9.0,,8.3
9,Jonathan Taylor IND (14),RB8,,8.0,,8.5
10,Saquon Barkley PHI (14),RB9,,7.0,,10.0
11,Tyreek Hill MIA (14),WR2,,11.0,,11.0
12,Travis Kelce KC (12),TE1,,12.0,,11.3
13,Patrick Mahomes II KC (12),QB1,,15.0,,14.3
14,Najee Harris LAC (7),RB10,,13.0,,14.3
15,Austin Ekeler WAS (9),RB11,,14.0,,14.5
16,Stefon Diggs NE (14),WR3,,16.0,,16.3
17,Antonio Gibson NE (14),RB12,,21.0,,16.8
18,DK Metcalf PIT (7),WR4,,20.0,,18.5
19,Joe Mixon HOU (10),RB13,,19.0,,19.3
20,DeAndre Hopkins BAL (8),WR5,,17.0,,19.8
21,Calvin Ridley TEN (13),WR6,,18.0,,19.8
22,Clyde Edwards-Helaire NO (6),RB14,,22.0,,21.8
23,A.J. Brown PHI (14),WR7,,24.0,,25.8
24,Darren Waller,TE2,,28.0,,26.0
25,Justin Jefferson MIN (7),WR8,,31.0,,26.5
26,Josh Allen BUF (7),QB2,,32.0,,26.8
27,David Montgomery DET (9),RB15,,26.0,,27.8
28,Josh Jacobs GB (13),RB16,,27.0,,27.8
29,Chris Carson O,RB17,,29.0,,28.0
30,George Kittle SF (6),TE3,,23.0,,28.3
31,Keenan Allen,WR9,,25.0,,28.8
32,James Robinson O,RB18,,33.0,,32.8
33,Terry McLaurin WAS (9),WR10,,30.0,,33.5
34,Mike Evans TB (9),WR11,,34.0,,33.8
35,Miles Sanders DAL (7),RB19,,37.0,,35.5
36,CeeDee Lamb DAL (7),WR12,,39.0,,36.5
37,Kyler Murray ARI (12),QB3,,38.0,,36.8
38,Allen Robinson II,WR13,,35.0,,38.0
39,D'Andre Swift CHI (10),RB20,,36.0,,38.8
40,Lamar Jackson BAL (8),QB4,,42.0,,40.3
41,Chris Godwin TB (9) O,WR14,,41.0,,42.3
42,Robert Woods PIT (7) O,WR15,,45.0,,42.3
43,Julio Jones,WR16,,40.0,,43.8
44,Amari Cooper,WR17,,43.0,,45.3
45,Myles Gaskin,RB21,,51.0,,46.3
46,Aaron Rodgers,QB5,,53.0,,47.5
47,Adam Thielen CAR (13),WR18,,47.0,,47.5
48,Kyle Pitts ATL (6),TE4,,44.0,,50.8
49,Kareem Hunt KC (12),RB22,,46.0,,50.8
50,Russell Wilson NYG (10),QB6,,50.0,,51.8
51,Cooper Kupp SEA (9),WR19,,49.0,,52.8
52,Mike Davis,RB23,,62.0,,53.3
53,Dak Prescott DAL (7),QB7,,55.0,,53.8
54,Mark Andrews BAL (8),TE5,,52.0,,54.5
55,Tyler Lockett TEN (13),WR20,,54.0,,55.0
56,Raheem Mostert LV (8) O,RB24,,60.0,,55.0
57,DJ Moore CHI (10),WR21,,48.0,,55.5
58,Darrell Henderson Jr.,RB25,,61.0,,57.0
59,Justin Herbert LAC (7),QB8,,58.0,,57.5
60,Diontae Johnson CLE (13),WR22,,57.0,,59.3
61,Javonte Williams DAL (7),RB26,,69.0,,61.3
62,Chase Edmonds,RB27,,59.0,,62.0
63,Damien Harris,RB28,,71.0,,62.5
64,Gus Edwards O,RB29,,72.0,,64.0
65,T.J. Hockenson MIN (7) O,TE6,,56.0,,64.5
66,Brandon Aiyuk SF (6),WR23,,63.0,,64.8
67,Chase Claypool,WR24,,70.0,,68.0
68,Tom Brady,QB9,,73.0,,68.8
69,Odell Beckham Jr.,WR25,,65.0,,68.8
70,Melvin Gordon III,RB30,,67.0,,70.5
71,Ja'Marr Chase CIN (10),WR26,,75.0,,71.0
72,Tee Higgins CIN (10),WR27,,68.0,,71.0
73,Michael Thomas O,WR28,,64.0,,72.3
74,Kenny Golladay,WR29,,66.0,,76.0
75,Jerry Jeudy CLE (13),WR30,,76.0,,76.5
76,Ronald Jones II,RB31,,74.0,,76.8
77,JuJu Smith-Schuster KC (12),WR31,,77.0,,77.8
78,Trey Sermon PIT (7),RB32,,78.0,,78.8
79,Leonard Fournette,RB33,,81.0,,79.8
80,Courtland Sutton DEN (11),WR32,,80.0,,81.3
81,Matthew Stafford LAR (11),QB10,,87.0,,82.0
82,Logan Thomas O,TE7,,97.0,,84.0
83,DeVonta Smith PHI (14),WR33,,89.0,,84.0
84,Robbie Chosen,WR34,,85.0,,85.0
85,Ryan Tannehill,QB11,,91.0,,86.5
86,Robert Tonyan KC (12) O,TE8,,86.0,,88.0
87,Deebo Samuel Sr. WAS (9),WR35,,84.0,,88.5
88,Antonio Brown O,WR36,,96.0,,90.3
89,A.J. Dillon PHI (14),RB34,,93.0,,91.3
90,Zack Moss CIN (10),RB35,,88.0,,91.3
91,Tyler Boyd,WR37,,95.0,,91.8
92,James Conner ARI (12),RB36,,99.0,,92.5
93,Noah Fant SEA (9),TE9,,83.0,,94.8
94,DJ Chark Jr. O,WR38,,82.0,,96.3
95,Michael Carter ARI (12),RB37,,100.0,,96.5
96,Jalen Hurts PHI (14),QB12,,103.0,,97.0
97,Brandin Cooks NO (6),WR39,,101.0,,98.8
98,Jarvis Landry,WR40,,98.0,,98.8
99,Devin Singletary NYG (10),RB38,,113.0,,98.8
100,Dallas Goedert PHI (14),TE10,,79.0,,99.8
101,Rob Gronkowski,TE11,,92.0,,100.5
102,Corey Davis O,WR41,,107.0,,101.3
103,Los Angeles Rams DST (11),DST1,,102.0,,102.5
104,Laviska Shenault Jr. BUF (7),WR42,,105.0,,102.8
105,Sony Michel,RB39,,109.0,,106.3
106,Pittsburgh Steelers DST (7),DST2,,118.0,,107.0
107,Joe Burrow CIN (10),QB13,,120.0,,107.8
108,Tampa Bay Buccaneers DST (9),DST3,,90.0,,108.0
109,Kenyan Drake O,RB40,,110.0,,110.8
110,Michael Pittman Jr. IND (14),WR43,,121.0,,111.8
111,Jamaal Williams,RB41,,123.0,,113.8
112,David Johnson,RB42,,104.0,,115.0
113,Mike Gesicki CIN (10),TE12,,106.0,,115.8
114,Tyler Higbee LAR (11) O,TE13,,115.0,,116.8
115,Justin Tucker,K1,,94.0,,117.0
116,Jaylen Waddle MIA (14),WR44,,111.0,,117.0
117,Mike Williams LAC (7),WR45,,116.0,,118.0
118,Washington Commanders DST (9),DST4,,114.0,,119.0
119,Marquez Callaway,WR46,,136.0,,119.3
120,William Fuller V,WR47,,112.0,,120.0
121,Harrison Butker KC (12),K2,,108.0,,121.0
122,Baltimore Ravens DST (8),DST5,,117.0,,123.0
123,Mecole Hardman Jr. GB (13),WR48,,128.0,,124.0
124,Marquise Brown KC (12),WR49,,131.0,,126.5
125,Michael Gallup WAS (9) O,WR50,,126.0,,127.0
126,Tony Pollard TEN (13),RB43,,140.0,,128.8
127,Henry Ruggs III O,WR51,,144.0,,129.0
128,Trevor Lawrence JAC (7),QB14,,122.0,,129.8
129,Matt Ryan,QB15,,151.0,,130.3
130,Baker Mayfield TB (9) O,QB16,,139.0,,131.5
131,Buffalo Bills DST (7),DST6,,124.0,,133.5
132,Curtis Samuel BUF (7),WR52,,127.0,,136.5
133,Younghoe Koo ATL (6),K3,,119.0,,136.8
134,San Francisco 49ers DST (6),DST7,,129.0,,137.3
135,Darnell Mooney ATL (6),WR53,,142.0,,138.0
136,Nyheim Hines,RB44,,132.0,,138.0
137,Jonnu Smith MIA (14),TE14,,138.0,,138.3
138,Justin Fields NYJ (6),QB17,,143.0,,140.3
139,Marvin Jones Jr.,WR54,,153.0,,140.5
140,Alexander Mattison MIA (14),RB45,,161.0,,144.0
141,Cole Beasley,WR55,,166.0,,144.5
142,Trey Lance LAC (7),QB18,,147.0,,145.0
143,J.D. McKissic,RB46,,170.0,,146.5
144,Rhamondre Stevenson NE (14),RB47,,137.0,,148.0
145,Tyler Bass BUF (7),K4,,130.0,,148.8
146,Tevin Coleman,RB48,,160.0,,150.8
147,DeVante Parker,WR56,,163.0,,152.0
148,Jakobi Meyers LV (8),WR57,,156.0,,152.3
149,Indianapolis Colts DST (14),DST8,,162.0,,153.0
150,Kirk Cousins ATL (6),QB19,,165.0,,154.3
151,Jared Cook,TE15,,158.0,,154.5
152,Jameis Winston NYG (10) O,QB20,,157.0,,155.8
153,Ben Roethlisberger,QB21,,182.0,,156.0
154,New England Patriots DST (14),DST9,,152.0,,156.5
155,Phillip Lindsay,RB49,,125.0,,159.5
156,Latavius Murray,RB50,,154.0,,160.3
157,Rodrigo Blankenship,K5,,135.0,,164.3
158,Jason Sanders MIA (14),K6,,133.0,,167.3
159,Nelson Agholor,WR58,,167.0,,168.3
160,Russell Gage Jr. SF (6),WR59,,185.0,,171.0
161,Mac Jones SF (6),QB22,,171.0,,171.8
162,Denver Broncos DST (11),DST10,,134.0,,172.5
163,Tua Tagovailoa MIA (14),QB23,,190.0,,172.8
164,Ryan Succop,K7,,146.0,,173.5
165,Chuba Hubbard CAR (13),RB51,,141.0,,140.0
166,Greg Zuerlein,K8,,149.0,,176.5
167,Elijah Moore BUF (7),WR60,,145.0,,146.3
168,Ryan Fitzpatrick O,QB24,,193.0,,180.5
169,Mark Ingram II,RB52,,202.0,,183.8
170,James White O,RB53,,211.0,,183.8
171,Cleveland Browns DST (13),DST11,,148.0,,185.0
172,Hunter Henry NE (14),TE16,,150.0,,154.0
173,Zach Ertz WAS (9),TE17,,181.0,,155.0
174,Rashaad Penny,RB54,,169.0,,155.7
175,Miami Dolphins DST (14),DST12,,184.0,,188.0
176,Mason Crosby,K9,,179.0,,197.3
177,Kansas City Chiefs DST (12),DST13,,186.0,,197.3
178,Evan Engram DEN (11),TE18,,192.0,,169.7
179,Bryan Edwards,WR61,,180.0,,169.7
180,Pat Freiermuth PIT (7),TE19,,174.0,,170.3
181,Sterling Shepard TB (9) O,WR62,,214.0,,173.3
182,Gerald Everett,TE20,,175.0,,175.7
183,Giovani Bernard,RB55,,210.0,,180.3
184,Rondale Moore MIN (7),WR63,,183.0,,180.7
185,Robbie Gould,K10,,155.0,,210.8
186,Kenneth Gainwell PIT (7),RB56,,187.0,,181.7
187,Terrace Marshall Jr. PHI (14),WR64,,177.0,,181.7
188,Daniel Carlson LV (8),K11,,208.0,,206.5
189,Jason Myers SEA (9),K12,,168.0,,208.5
190,Derek Carr,QB25,,213.0,,184.3
191,Marlon Mack,RB57,,191.0,,186.3
192,Tony Jones Jr.,RB58,,199.0,,186.3
193,A.J. Green,WR65,,188.0,,187.7
194,Amon-Ra St. Brown DET (9),WR66,,176.0,,188.3
195,Randall Cobb,WR67,,159.0,,188.7
196,Gabe Davis,WR68,,212.0,,192.7
197,Matt Gay WAS (9),K13,,201.0,,216.5
198,Darrel Williams,RB59,,207.0,,193.7
199,Devontae Booker,RB60,,173.0,,197.0
200,Zach Wilson MIA (14),QB26,,178.0,,197.7
201,Anthony Firkser,TE21,,240.0,,200.7
202,Damien Williams,RB61,,239.0,,205.0
203,Matt Prater,K14,,164.0,,208.3
204,Deshaun Watson CLE (13),QB27,,195.0,,213.3
205,Ty'Son Williams,RB62,,198.0,,180.5
206,Marquez Valdes-Scantling SEA (9),WR69,,203.0,,215.7
207,Malcolm Brown,RB63,,235.0,,215.7
208,Brandon McManus GB (13),K15,,200.0,,217.3
209,Darrynton Evans BUF (7) O,RB64,,,,186.0
210,Minnesota Vikings DST (7),DST14,,172.0,,226.7
211,Jalen Reagor LAC (7),WR70,,196.0,,192.0
212,Austin Hooper NE (14),TE22,,189.0,,195.5
213,Rashod Bateman BAL (8),WR71,,217.0,,198.5
214,Ty Johnson BUF (7),RB65,,221.0,,202.5
215,Jamison Crowder,WR72,,248.0,,206.5
216,Wayne Gallman Jr.,RB66,,,,209.5
217,T.Y. Hilton,WR73,,197.0,,209.5
218,J.J. Taylor HOU (10),RB67,,,,211.0
219,Allen Lazard NYJ (6),WR74,,218.0,,212.5
220,Christian Kirk HOU (10),WR75,,245.0,,213.5
221,Seattle Seahawks DST (9),DST15,,233.0,,215.5
222,Green Bay Packers DST (13),DST16,,204.0,,216.0
223,Emmanuel Sanders,WR76,,215.0,,218.0
224,Wil Lutz DEN (11) O,K16,,,,218.5
225,Kadarius Toney,WR77,,232.0,,218.5
226,Arizona Cardinals DST (12),DST17,,226.0,,219.5
227,Salvon Ahmed IND (14),RB68,,246.0,,220.5
228,Carlos Hyde O,RB69,,209.0,,220.5
229,Todd Gurley II,RB70,,227.0,,220.5
230,Blake Jarwin,TE23,,216.0,,222.5
231,Cole Kmet CHI (10),TE24,,205.0,,223.0
232,Adam Trautman DEN (11),TE25,,219.0,,226.0
233,Carson Wentz,QB28,,244.0,,250.0
234,Tennessee Titans DST (13),DST18,,,,175.0
235,Anthony McFarland Jr.,RB71,,,,176.0
236,Tre'Quan Smith,WR78,,242.0,,230.5
237,Cordarrelle Patterson PIT (7),RB72,,225.0,,230.5
238,Justin Jackson,RB73,,,,231.5
239,O.J. Howard,TE26,,,,183.0
240,Joshua Palmer BUF (7),WR79,,228.0,,232.5
241,Tyrell Williams,WR80,,224.0,,233.5
242,Chicago Bears DST (10),DST19,,229.0,,234.5
243,Tarik Cohen,RB74,,250.0,,235.0
244,Boston Scott,RB75,,231.0,,236.5
245,Taysom Hill NO (6),TE27,,,,193.0
246,Jordan Akins,TE28,,,,194.0
247,Jaret Patterson LAC (7),RB76,,,,197.0
248,Elijah Mitchell KC (12),RB77,,,,199.0
249,Parris Campbell DAL (7),WR81,,243.0,,240.5
250,Nico Collins HOU (10),WR82,,,,201.0
251,Donovan Peoples-Jones NO (6),WR83,,,,203.0
252,Los Angeles Chargers DST (7),DST20,,206.0,,251.5
253,Benny Snell Jr.,RB78,,,,209.0
254,Javian Hawkins TEN (13),RB79,,,,210.0
255,Brian Hill,RB80,,,,211.0
256,Daniel Jones IND (14) O,QB29,,238.0,,246.5
257,Evan McPherson CIN (10),K17,,223.0,,247.5
258,Eric Ebron,TE29,,230.0,,248.0
259,Joshua Kelley,RB81,,,,218.0
260,Xavier Jones,RB82,,220.0,,305.0
261,Carolina Panthers DST (13),DST21,,222.0,,257.5
262,New Orleans Saints DST (6),DST22,,236.0,,252.5
263,Chris Herndon IV,TE30,,,,225.0
264,Darius Slayton NYG (10),WR84,,,,226.0
265,Justice Hill BAL (8) O,RB83,,,,227.0
266,Sam Darnold SEA (9),QB30,,234.0,,255.0
267,Juwan Johnson NO (6),TE31,,,,234.0
268,Jerick McKinnon,RB84,,237.0,,270.5
269,Byron Pringle,WR85,,,,239.0
270,Sammy Watkins,WR86,,241.0,,261.0
271,Tim Tebow,TE32,,,,244.0
272,Hayden Hurst,TE33,,,,245.0
273,Dawson Knox BUF (7),TE34,,,,247.0
274,Jimmy Graham,TE35,,,,249.0
275,Detrez Newsome,RB85,,249.0,,249.0
