Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
1,Saquon Barkley PHI (10),RB1,1.0,,,1.0
2,Christian McCaffrey SF (4),RB2,3.0,,,2.5
3,Alvin Kamara NO (9),RB3,2.0,,,2.5
4,Ezekiel Elliott,RB4,4.0,,,4.0
5,DeAndre Hopkins BAL (8),WR1,5.0,,,5.3
6,James Conner ARI (12),RB5,6.0,,,6.5
7,Le'Veon Bell,RB6,8.0,,,7.5
8,Davante Adams LAR (9),WR2,9.0,,,9.0
9,David Johnson,RB7,10.0,,,9.3
10,Nick Chubb,RB8,12.0,,,10.5
11,Todd Gurley II,RB9,15.0,,,11.8
12,Patrick Mahomes II KC (12),QB1,7.0,,,12.0
13,Michael Thomas,WR3,13.0,,,12.8
14,Julio Jones,WR4,11.0,,,13.0
15,Dalvin Cook,RB10,19.0,,,16.3
16,Tyreek Hill MIA (5),WR5,18.0,,,16.3
17,JuJu Smith-Schuster KC (12),WR6,14.0,,,17.0
18,Odell Beckham Jr.,WR7,20.0,,,17.0
19,Joe Mixon HOU (10),RB11,17.0,,,17.3
20,Travis Kelce KC (12),TE1,16.0,,,18.8
21,Leonard Fournette,RB12,21.0,,,21.5
22,Mike Evans TB (7) O,WR8,22.0,,,22.3
23,Antonio Brown,WR9,24.0,,,22.8
24,Adam Thielen CAR (7),WR10,25.0,,,25.5
25,Damien Williams,RB13,28.0,,,26.0
26,Keenan Allen,WR11,27.0,,,26.8
27,Kerryon Johnson,RB14,23.0,,,27.0
28,Aaron Jones Sr. MIN (12),RB15,33.0,,,28.0
29,Zach Ertz WAS (10),TE2,26.0,,,31.3
30,Chris Carson O,RB16,29.0,,,31.8
31,George Kittle SF (4),TE3,31.0,,,32.8
32,Josh Jacobs GB (11),RB17,32.0,,,33.0
33,Devonta Freeman,RB18,30.0,,,33.3
34,Amari Cooper,WR12,36.0,,,33.3
35,Stefon Diggs NE (10),WR13,35.0,,,34.8
36,Derrick Henry BAL (8),RB19,44.0,,,36.5
37,Deshaun Watson CLE (7),QB2,34.0,,,38.0
38,David Montgomery DET (5),RB20,37.0,,,39.0
39,Marlon Mack,RB21,43.0,,,39.0
40,Brandin Cooks NO (9),WR14,38.0,,,39.3
41,Mark Ingram II,RB22,42.0,,,42.5
42,Robert Woods PIT (7),WR15,41.0,,,43.3
43,Julian Edelman,WR16,40.0,,,44.0
44,Sony Michel,RB23,45.0,,,44.8
45,T.Y. Hilton,WR17,51.0,,,45.3
46,Tyler Lockett TEN (11),WR18,46.0,,,45.5
47,Aaron Rodgers,QB3,39.0,,,46.5
48,Melvin Gordon III,RB24,49.0,,,47.5
49,Kenny Golladay,WR19,47.0,,,48.5
50,Chris Godwin TB (7),WR20,50.0,,,49.0
51,Cooper Kupp SEA (11),WR21,48.0,,,50.5
52,Phillip Lindsay,RB25,53.0,,,51.5
53,Calvin Ridley TEN (11) O,WR22,55.0,,,54.8
54,Baker Mayfield TB (7),QB4,56.0,,,56.0
55,O.J. Howard,TE4,54.0,,,56.5
56,Tevin Coleman,RB26,62.0,,,57.0
57,Tyler Boyd,WR23,59.0,,,58.0
58,Austin Ekeler WAS (10),RB27,63.0,,,60.3
59,Mike Williams LAC (12),WR24,74.0,,,60.8
60,A.J. Green O,WR25,69.0,,,62.5
61,Evan Engram DEN (10) O,TE5,57.0,,,63.8
62,Matt Ryan,QB5,52.0,,,64.3
63,Alshon Jeffery O,WR26,68.0,,,64.5
64,James White,RB28,64.0,,,64.8
65,Josh Gordon,WR27,71.0,,,67.3
66,Hunter Henry NE (10),TE6,67.0,,,68.3
67,DJ Moore CHI (6),WR28,76.0,,,68.8
68,Miles Sanders DAL (8),RB29,73.0,,,69.0
69,Jarvis Landry,WR29,78.0,,,71.0
70,Duke Johnson Jr.,RB30,61.0,,,71.3
71,Drew Brees,QB6,65.0,,,72.3
72,Carson Wentz,QB7,72.0,,,72.5
73,Derrius Guice O,RB31,82.0,,,73.8
74,Kenyan Drake,RB32,58.0,,,74.0
75,Jared Cook,TE7,60.0,,,74.3
76,Tarik Cohen,RB33,77.0,,,74.5
77,Allen Robinson II,WR30,88.0,,,75.3
78,Robbie Chosen,WR31,83.0,,,77.3
79,Jared Goff DET (5),QB8,70.0,,,79.0
80,Dede Westbrook,WR32,75.0,,,80.0
81,William Fuller V,WR33,87.0,,,81.3
82,Russell Wilson NYG (11),QB9,84.0,,,83.0
83,Latavius Murray,RB34,91.0,,,85.3
84,Chicago Bears DST (6),DST1,85.0,,,89.0
85,Vance McDonald,TE8,89.0,,,89.3
86,Sammy Watkins,WR34,95.0,,,89.5
87,Jordan Howard,RB35,109.0,,,89.8
