Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
1,Christian McCaffrey SF (9),RB1,,1.0,2.0,1.5
2,Justin Jefferson MIN (13),WR1,,2.0,1.0,1.5
3,Austin Ekeler WAS (14),RB2,,3.0,4.0,3.5
4,Ja'Marr Chase CIN (7),WR2,,6.0,3.0,4.5
5,Travis Kelce KC (10),TE1,,4.0,6.0,5.0
6,Tyreek Hill MIA (10),WR3,,8.0,5.0,6.5
7,Bijan Robinson ATL (11),RB3,,5.0,8.0,6.5
8,Saquon Barkley PHI (10),RB4,,9.0,7.0,8.0
9,Nick Chubb O,RB5,,7.0,9.0,8.0
10,Stefon Diggs NE (11),WR4,,11.0,11.0,11.0
11,CeeDee Lamb DAL (7),WR5,,14.0,10.0,12.0
12,Patrick Mahomes II KC (10),QB1,,12.0,16.0,14.0
13,A.J. Brown PHI (10),WR6,,13.0,15.0,14.0
14,Derrick Henry BAL (13),RB6,,10.0,20.0,15.0
15,Josh Jacobs GB (6),RB7,,17.0,13.0,15.0
16,Tony Pollard TEN (7),RB8,,19.0,12.0,15.5
17,Davante Adams LAR (10),WR7,,16.0,18.0,17.0
18,Cooper Kupp SEA (5),WR8,,15.0,21.0,18.0
19,Amon-Ra St. Brown DET (9),WR9,,20.0,17.0,18.5
20,Josh Allen BUF (13),QB2,,18.0,19.0,18.5
21,Garrett Wilson NYJ (7),WR10,,24.0,14.0,19.0
22,Jalen Hurts PHI (10),QB3,,21.0,22.0,21.5
23,Najee Harris LAC (5),RB9,,22.0,26.0,24.0
24,Jaylen Waddle MIA (10),WR11,,23.0,25.0,24.0
25,Chris Olave NO (11),WR12,,27.0,23.0,25.0
26,Travis Etienne Jr. JAC (9),RB10,,25.0,27.0,26.0
27,DeVonta Smith PHI (10),WR13,,33.0,24.0,28.5
28,Mark Andrews BAL (13),TE2,,26.0,31.0,28.5
29,Rhamondre Stevenson NE (11),RB11,,29.0,28.0,28.5
30,Joe Mixon HOU (7),RB12,,28.0,32.0,30.0
31,Jahmyr Gibbs DET (9),RB13,,32.0,30.0,31.0
32,Lamar Jackson BAL (13),QB4,,30.0,35.0,32.5
33,Tee Higgins CIN (7),WR14,,31.0,36.0,33.5
34,Joe Burrow CIN (7) O,QB5,,34.0,34.0,34.0
35,Calvin Ridley TEN (7),WR15,,40.0,29.0,34.5
36,DK Metcalf PIT (6),WR16,,35.0,37.0,36.0
37,Deebo Samuel Sr. WAS (14),WR17,,36.0,41.0,38.5
38,Kenneth Walker III SEA (5),RB14,,39.0,38.0,38.5
39,Dameon Pierce HOU (7),RB15,,46.0,33.0,39.5
40,Aaron Jones Sr. MIN (13),RB16,,37.0,42.0,39.5
41,Justin Herbert LAC (5) O,QB6,,41.0,39.0,40.0
42,Amari Cooper,WR18,,44.0,40.0,42.0
43,Keenan Allen,WR19,,42.0,43.0,42.5
44,Justin Fields NYJ (7),QB7,,47.0,44.0,45.5
45,Breece Hall NYJ (7),RB17,,38.0,55.0,46.5
46,T.J. Hockenson MIN (13) O,TE3,,48.0,45.0,46.5
47,J.K. Dobbins O,RB18,,49.0,46.0,47.5
48,Miles Sanders DAL (7),RB19,,50.0,49.0,49.5
49,DJ Moore CHI (13),WR20,,52.0,50.0,51.0
50,George Kittle SF (9),TE4,,43.0,60.0,51.5
51,Alexander Mattison MIA (10),RB20,,56.0,47.0,51.5
52,Darren Waller,TE5,,55.0,51.0,53.0
53,Terry McLaurin WAS (14),WR21,,53.0,56.0,54.5
54,DeAndre Hopkins BAL (13),WR22,,51.0,59.0,55.0
55,Trevor Lawrence JAC (9),QB8,,57.0,53.0,55.0
56,Jonathan Taylor IND (11),RB21,,45.0,69.0,57.0
57,Cam Akers O,RB22,,54.0,61.0,57.5
58,Christian Watson GB (6),WR23,,62.0,54.0,58.0
59,Javonte Williams DAL (7),RB23,,67.0,57.0,62.0
60,James Cook BUF (13),RB24,,77.0,48.0,62.5
61,Rachaad White TB (5),RB25,,73.0,52.0,62.5
62,James Conner ARI (14),RB26,,59.0,66.0,62.5
63,Mike Williams LAC (5) O,WR24,,68.0,58.0,63.0
64,Alvin Kamara NO (11),RB27,,58.0,68.0,63.0
65,Dalvin Cook,RB28,,66.0,62.0,64.0
66,Drake London ATL (11),WR25,,64.0,64.0,64.0
67,Brandon Aiyuk SF (9),WR26,,65.0,65.0,65.0
68,D'Andre Swift CHI (13),RB29,,61.0,73.0,67.0
69,Chris Godwin TB (5),WR27,,71.0,63.0,67.0
70,Dallas Goedert PHI (10),TE6,,60.0,76.0,68.0
71,Kyle Pitts ATL (11),TE7,,63.0,75.0,69.0
72,Tyler Lockett TEN (7),WR28,,70.0,70.0,70.0
73,Christian Kirk HOU (7) O,WR29,,76.0,67.0,71.5
74,Isiah Pacheco KC (10),RB30,,69.0,74.0,71.5
75,George Pickens DAL (7),WR30,,78.0,72.0,75.0
76,David Montgomery DET (9),RB31,,74.0,77.0,75.5
77,Diontae Johnson CLE (5),WR31,,84.0,71.0,77.5
78,Mike Evans TB (5),WR32,,72.0,83.0,77.5
79,Jerry Jeudy CLE (5),WR33,,75.0,80.0,77.5
80,Michael Pittman Jr. IND (11),WR34,,80.0,78.0,79.0
81,A.J. Dillon PHI (10),RB32,,82.0,84.0,83.0
82,Deshaun Watson CLE (5) O,QB9,,81.0,87.0,84.0
83,Evan Engram DEN (9),TE8,,79.0,92.0,85.5
84,Jordan Addison MIN (13),WR35,,86.0,86.0,86.0
85,Marquise Brown KC (10) O,WR36,,83.0,90.0,86.5
86,Khalil Herbert IND (11),RB33,,95.0,79.0,87.0
87,Jahan Dotson PHI (10),WR37,,92.0,82.0,87.0
88,Dak Prescott DAL (7),QB10,,88.0,88.0,88.0
89,Antonio Gibson NE (11),RB34,,96.0,81.0,88.5
90,Pat Freiermuth PIT (6),TE9,,87.0,91.0,89.0
91,Jaxon Smith-Njigba SEA (5),WR38,,85.0,96.0,90.5
92,Brian Robinson Jr. WAS (14),RB35,,98.0,85.0,91.5
93,Tua Tagovailoa MIA (10),QB11,,93.0,99.0,96.0
94,David Njoku CLE (5),TE10,,90.0,105.0,97.5
95,Jamaal Williams,RB36,,100.0,95.0,97.5
96,Brandin Cooks NO (11),WR39,,103.0,94.0,98.5
97,Gabe Davis,WR40,,97.0,100.0,98.5
98,Zach Charbonnet SEA (5),RB37,,99.0,104.0,101.5
99,Aaron Rodgers O,QB12,,94.0,111.0,102.5
100,Courtland Sutton DEN (9),WR41,,119.0,89.0,104.0
101,Zay Flowers BAL (13),WR42,,104.0,106.0,105.0
102,San Francisco 49ers DST (9),DST1,,89.0,123.0,106.0
103,Michael Thomas,WR43,,105.0,109.0,107.0
104,Samaje Perine CIN (7),RB38,,115.0,102.0,108.5
