Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
1,Jonathan Taylor IND (14) O,RB1,,1.0,1.0,1.0
2,Christian McCaffrey SF (9),RB2,,3.0,2.0,2.5
3,Austin Ekeler WAS (14),RB3,,4.0,3.0,3.5
4,Derrick Henry BAL (10),RB4,,2.0,8.0,5.0
5,Dalvin Cook,RB5,,5.0,7.0,6.0
6,Cooper Kupp SEA (11) O,WR1,,7.0,5.0,6.0
7,Najee Harris LAC (8),RB6,,6.0,6.0,6.0
8,Justin Jefferson MIN (7),WR2,,9.0,4.0,6.5
9,Joe Mixon HOU (6),RB7,,8.0,11.0,9.5
10,Ja'Marr Chase CIN (10),WR3,,13.0,9.0,11.0
11,Alvin Kamara NO (14),RB8,,12.0,12.0,12.0
12,D'Andre Swift CHI (14),RB9,,15.0,10.0,12.5
13,Davante Adams LAR (7),WR4,,11.0,15.0,13.0
14,Nick Chubb,RB10,,10.0,19.0,14.5
15,Stefon Diggs NE (10),WR5,,16.0,13.0,14.5
16,Travis Kelce KC (8),TE1,,14.0,17.0,15.5
17,Saquon Barkley PHI (7),RB11,,18.0,14.0,16.0
18,Javonte Williams DAL (9) O,RB12,,22.0,16.0,19.0
19,Aaron Jones Sr. MIN (7),RB13,,17.0,23.0,20.0
20,CeeDee Lamb DAL (9),WR6,,19.0,21.0,20.0
21,Josh Allen BUF (7),QB1,,20.0,20.0,20.0
22,Deebo Samuel Sr. WAS (14),WR7,,23.0,18.0,20.5
23,Tyreek Hill MIA (11),WR8,,21.0,24.0,22.5
24,Leonard Fournette,RB14,,24.0,22.0,23.0
25,Mark Andrews BAL (10),TE2,,25.0,25.0,25.0
26,Mike Evans TB (11),WR9,,26.0,28.0,27.0
27,James Conner ARI (13),RB15,,28.0,26.0,27.0
28,Ezekiel Elliott,RB16,,27.0,27.0,27.0
29,A.J. Brown PHI (7),WR10,,29.0,30.0,29.5
30,Patrick Mahomes II KC (8),QB2,,30.0,31.0,30.5
31,Kyle Pitts ATL (14) O,TE3,,32.0,32.0,32.0
32,Keenan Allen,WR11,,31.0,34.0,32.5
33,Michael Pittman Jr. IND (14),WR12,,38.0,29.0,33.5
34,Justin Herbert LAC (8),QB3,,33.0,35.0,34.0
35,Tee Higgins CIN (10),WR13,,34.0,37.0,35.5
36,Travis Etienne Jr. JAC (11),RB17,,40.0,33.0,36.5
37,Cam Akers,RB18,,35.0,38.0,36.5
38,David Montgomery DET (6),RB19,,37.0,36.0,36.5
39,DJ Moore CHI (14),WR14,,43.0,39.0,41.0
40,George Kittle SF (9),TE4,,36.0,48.0,42.0
41,Lamar Jackson BAL (10),QB4,,41.0,44.0,42.5
42,Courtland Sutton DEN (9),WR15,,46.0,40.0,43.0
43,Mike Williams LAC (8),WR16,,44.0,43.0,43.5
44,Breece Hall NYJ (10) O,RB20,,39.0,49.0,44.0
45,Terry McLaurin WAS (14),WR17,,42.0,47.0,44.5
46,Diontae Johnson CLE (9),WR18,,49.0,45.0,47.0
47,Elijah Mitchell KC (8),RB21,,54.0,42.0,48.0
48,Josh Jacobs GB (14),RB22,,45.0,53.0,49.0
49,Darren Waller,TE5,,47.0,51.0,49.0
50,J.K. Dobbins,RB23,,51.0,52.0,51.5
51,A.J. Dillon PHI (7),RB24,,58.0,46.0,52.0
52,Jaylen Waddle MIA (11),WR19,,50.0,57.0,53.5
53,Kyler Murray ARI (13) O,QB5,,52.0,56.0,54.0
54,DK Metcalf PIT (9),WR20,,48.0,61.0,54.5
55,Jalen Hurts PHI (7),QB6,,61.0,50.0,55.5
56,Joe Burrow CIN (10),QB7,,56.0,63.0,59.5
57,Allen Robinson II O,WR21,,57.0,62.0,59.5
58,Antonio Gibson NE (10) O,RB25,,53.0,67.0,60.0
59,Amon-Ra St. Brown DET (6),WR22,,69.0,54.0,61.5
60,Dameon Pierce HOU (6) O,RB26,,83.0,41.0,62.0
61,Dalton Schultz HOU (6),TE6,,59.0,65.0,62.0
62,Brandin Cooks NO (14),WR23,,65.0,60.0,62.5
63,Marquise Brown KC (8),WR24,,62.0,64.0,63.0
64,Gabe Davis,WR25,,73.0,55.0,64.0
65,Chris Godwin TB (11),WR26,,63.0,66.0,64.5
66,Clyde Edwards-Helaire NO (14),RB27,,60.0,73.0,66.5
67,Jerry Jeudy CLE (9),WR27,,55.0,79.0,67.0
68,Darnell Mooney ATL (14) O,WR28,,77.0,58.0,67.5
69,Michael Thomas O,WR29,,66.0,71.0,68.5
70,Adam Thielen CAR (13),WR30,,70.0,69.0,69.5
71,Chase Edmonds,RB28,,82.0,59.0,70.5
72,JuJu Smith-Schuster KC (8),WR31,,67.0,74.0,70.5
73,Amari Cooper,WR32,,64.0,80.0,72.0
74,T.J. Hockenson MIN (7),TE7,,72.0,77.0,74.5
75,Tom Brady,QB8,,74.0,76.0,75.0
76,Russell Wilson NYG (9),QB9,,71.0,81.0,76.0
77,Rashaad Penny O,RB29,,87.0,68.0,77.5
