Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Rushing Y/A
2010*,Notre Dame,Ind,SO,TE,11,27,352,13.0,2,32.0,0,0,0,0.0,27,352,13.0,2,,Tyler Eifert,
2011*,Notre Dame,Ind,JR,TE,13,63,803,12.7,5,61.8,0,0,0,0.0,63,803,12.7,5,,Tyler Eifert,
2012*,Notre Dame,Ind,SR,TE,13,50,685,13.7,4,52.7,0,0,0,0.0,50,685,13.7,4,,Tyler Eifert,
2010*,Stanford,Pac-10,SO,TE,13,16,190,11.9,5,14.6,0,0,0,0.0,16,190,11.9,5,,Zach Ertz,
2011*,Stanford,Pac-12,JR,TE,10,27,346,12.8,4,34.6,0,0,0,0.0,27,346,12.8,4,,Zach Ertz,
2012*,Stanford,Pac-12,SR,TE,14,69,898,13.0,6,64.1,0,0,0,0.0,69,898,13.0,6,AA,Zach Ertz,
2010*,San Diego State,MWC,FR,TE,13,29,323,11.1,4,24.8,0,0,0,0.0,29,323,11.1,4,,Gavin Escobar,
2011*,San Diego State,MWC,SO,TE,13,51,780,15.3,7,60.0,0,0,0,0.0,51,780,15.3,7,,Gavin Escobar,
2012*,San Diego State,MWC,JR,TE,13,42,543,12.9,6,41.8,2,7,0,0.5,44,550,12.5,6,,Gavin Escobar,3.5
2009,Rice,CUSA,FR,TE,10,12,118,9.8,0,11.8,0,0,0,0.0,12,118,9.8,0,,Vance McDonald,
2010,Rice,CUSA,SO,TE,10,28,396,14.1,8,39.6,3,19,0,1.9,31,415,13.4,8,,Vance McDonald,6.3
2011,Rice,CUSA,JR,TE,12,43,532,12.4,5,44.3,1,13,0,1.1,44,545,12.4,5,,Vance McDonald,13.0
2012*,Rice,CUSA,SR,TE,10,36,458,12.7,2,45.8,3,20,0,2.0,39,478,12.3,2,,Vance McDonald,6.7
2009*,Cincinnati,Big East,FR,TE,11,1,3,3.0,0,0.3,8,47,2,4.3,9,50,5.6,2,,Travis Kelce,5.9
,,,,,,,,,,,,,,,,,,,,Travis Kelce,
2011*,Cincinnati,Big East,JR,TE,11,13,150,11.5,2,13.6,0,0,0,0.0,13,150,11.5,2,,Travis Kelce,
2012*,Cincinnati,Big East,SR,TE,13,45,722,16.0,8,55.5,0,0,0,0.0,45,722,16.0,8,,Travis Kelce,
2010*,Florida,SEC,FR,TE,12,6,79,13.2,1,6.6,77,328,5,27.3,83,407,4.9,6,,Jordan Reed,4.3
2011*,Florida,SEC,SO,TE,11,28,307,11.0,2,27.9,0,0,0,0.0,28,307,11.0,2,,Jordan Reed,
2012*,Florida,SEC,JR,TE,13,45,559,12.4,3,43.0,0,0,0,0.0,45,559,12.4,3,,Jordan Reed,
2009*,Michigan State,Big Ten,FR,TE,13,11,133,12.1,3,10.2,1,-2,0,-0.2,12,131,10.9,3,,Dion Sims,-2.0
,,,,,,,,,,,,,,,,,,,,Dion Sims,
2011*,Michigan State,Big Ten,SO,TE,14,12,99,8.3,3,7.1,0,0,0,0.0,12,99,8.3,3,,Dion Sims,
2012*,Michigan State,Big Ten,JR,TE,12,36,475,13.2,2,39.6,0,0,0,0.0,36,475,13.2,2,,Dion Sims,
2009,Rice,CUSA,SO,TE,12,7,122,17.4,1,10.2,0,0,0,0.0,7,122,17.4,1,,Luke Willson,
2010,Rice,CUSA,SO,TE,11,33,425,12.9,3,38.6,0,0,0,0.0,33,425,12.9,3,,Luke Willson,
2011,Rice,CUSA,JR,TE,11,29,313,10.8,3,28.5,0,0,0,0.0,29,313,10.8,3,,Luke Willson,
2012*,Rice,CUSA,SR,TE,11,9,126,14.0,2,11.5,0,0,0,0.0,9,126,14.0,2,,Luke Willson,
2010*,Tennessee,SEC,JR,TE,13,11,112,10.2,0,8.6,0,0,0,0.0,11,112,10.2,0,,Mychal Rivera,
2011,Tennessee,SEC,JR,TE,12,29,344,11.9,1,28.7,0,0,0,0.0,29,344,11.9,1,,Mychal Rivera,
2012,Tennessee,SEC,SR,TE,12,36,562,15.6,5,46.8,0,0,0,0.0,36,562,15.6,5,,Mychal Rivera,
2009*,Connecticut,Big East,SO,TE,11,23,272,11.8,0,24.7,0,0,0,0.0,23,272,11.8,0,,Ryan Griffin,
2010*,Connecticut,Big East,SO,TE,13,31,245,7.9,1,18.8,0,0,0,0.0,31,245,7.9,1,,Ryan Griffin,
2011,Connecticut,Big East,JR,TE,12,33,499,15.1,3,41.6,0,0,0,0.0,33,499,15.1,3,,Ryan Griffin,
2012,Connecticut,Big East,SR,TE,12,29,484,16.7,6,40.3,0,0,0,0.0,29,484,16.7,6,,Ryan Griffin,
2009*,Alabama,SEC,FR,TE,14,3,29,9.7,0,2.1,0,0,0,0.0,3,29,9.7,0,,Michael Williams,
2010*,Alabama,SEC,SO,TE,13,8,100,12.5,1,7.7,0,0,0,0.0,8,100,12.5,1,,Michael Williams,
2011*,Alabama,SEC,JR,TE,13,16,191,11.9,2,14.7,0,0,0,0.0,16,191,11.9,2,,Michael Williams,
2012*,Alabama,SEC,SR,TE,14,24,183,7.6,4,13.1,0,0,0,0.0,24,183,7.6,4,,Michael Williams,
2009*,Rutgers,Big East,FR,TE,12,5,108,21.6,0,9.0,0,0,0,0.0,5,108,21.6,0,,D.C. Jefferson,
2010,Rutgers,Big East,SO,TE,12,10,166,16.6,1,13.8,0,0,0,0.0,10,166,16.6,1,,D.C. Jefferson,
2011*,Rutgers,Big East,JR,TE,13,12,118,9.8,0,9.1,0,0,0,0.0,12,118,9.8,0,,D.C. Jefferson,
2012*,Rutgers,Big East,SR,TE,13,20,168,8.4,1,12.9,0,0,0,0.0,20,168,8.4,1,,D.C. Jefferson,
2008,Iowa State,Big 12,FR,TE,11,3,21,7.0,0,1.9,0,0,0,0.0,3,21,7.0,0,,Carter Bykowski,
,,,,,,,,,,,,,,,,,,,,Carter Bykowski,
