Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2009*,Florida State,ACC,FR,QB,7,69,106,65.1,817,2,1.9,6,5.7,7.7,5.54,11.8,116.7,124.7,,EJ Manuel
2010*,Florida State,ACC,SO,QB,10,65,93,69.9,861,4,4.3,4,4.3,9.3,8.18,13.2,86.1,153.3,,EJ Manuel
2011*,Florida State,ACC,JR,QB,12,203,311,65.3,2666,18,5.8,8,2.6,8.6,8.57,13.1,222.2,151.2,,EJ Manuel
2012*,Florida State,ACC,SR,QB,14,263,387,68.0,3397,23,5.9,10,2.6,8.8,8.80,12.9,242.6,156.1,,EJ Manuel
2009*,West Virginia,Big East,FR,QB,5,32,49,65.3,309,1,2.0,1,2.0,6.3,5.80,9.7,61.8,120.9,,Geno Smith
2010*,West Virginia,Big East,SO,QB,13,241,372,64.8,2763,24,6.5,7,1.9,7.4,7.87,11.5,212.5,144.7,,Geno Smith
2011*,West Virginia,Big East,JR,QB,13,346,526,65.8,4385,31,5.9,7,1.3,8.3,8.92,12.7,337.3,152.6,,Geno Smith
2012*,West Virginia,Big 12,SR,QB,13,369,518,71.2,4205,42,8.1,6,1.2,8.1,9.22,11.4,323.5,163.9,,Geno Smith
2009,North Carolina State,ACC,FR,QB,7,24,39,61.5,248,1,2.6,2,5.1,6.4,4.56,10.3,35.4,113.2,,Mike Glennon
2010*,North Carolina State,ACC,SO,QB,3,9,13,69.2,78,0,0.0,0,0.0,6.0,6.00,8.7,26.0,119.6,,Mike Glennon
2011*,North Carolina State,ACC,JR,QB,13,283,453,62.5,3054,31,6.8,12,2.6,6.7,6.92,10.8,234.9,136.4,,Mike Glennon
2012*,North Carolina State,ACC,SR,QB,13,330,564,58.5,4031,31,5.5,17,3.0,7.1,6.89,12.2,310.1,130.7,,Mike Glennon
2009*,USC,Pac-10,FR,QB,12,211,352,59.9,2735,15,4.3,14,4.0,7.8,6.83,13.0,227.9,131.3,,Matt Barkley
2010,USC,Pac-10,SO,QB,12,236,377,62.6,2791,26,6.9,12,3.2,7.4,7.35,11.8,232.6,141.2,,Matt Barkley
2011,USC,Pac-12,JR,QB,12,308,446,69.1,3528,39,8.7,7,1.6,7.9,8.95,11.5,294.0,161.2,H-6,Matt Barkley
2012*,USC,Pac-12,SR,QB,11,246,387,63.6,3273,36,9.3,15,3.9,8.5,8.57,13.3,297.5,157.6,,Matt Barkley
2009,Syracuse,Big East,SO,QB,9,36,68,52.9,422,3,4.4,1,1.5,6.2,6.43,11.7,46.9,116.7,,Ryan Nassib
2010*,Syracuse,Big East,JR,QB,13,202,358,56.4,2334,19,5.3,8,2.2,6.5,6.58,11.6,179.5,124.2,,Ryan Nassib
2011,Syracuse,Big East,SR,QB,12,259,415,62.4,2685,22,5.3,9,2.2,6.5,6.55,10.4,223.8,129.9,,Ryan Nassib
2012*,Syracuse,Big East,SR,QB,13,294,471,62.4,3749,26,5.5,10,2.1,8.0,8.11,12.8,288.4,143.3,,Ryan Nassib
2008,Arkansas,SEC,FR,QB,2,11,22,50.0,69,1,4.5,2,9.1,3.1,-0.05,6.3,34.5,73.2,,Tyler Wilson
2009*,Arkansas,SEC,FR,QB,5,22,36,61.1,218,2,5.6,2,5.6,6.1,4.67,9.9,43.6,119.2,,Tyler Wilson
2010*,Arkansas,SEC,SO,QB,6,34,51,66.7,453,4,7.8,3,5.9,8.9,7.80,13.3,75.5,155.4,,Tyler Wilson
2011*,Arkansas,SEC,JR,QB,13,277,438,63.2,3638,24,5.5,6,1.4,8.3,8.79,13.1,279.8,148.4,,Tyler Wilson
2012,Arkansas,SEC,SR,QB,11,249,401,62.1,3387,21,5.2,13,3.2,8.4,8.03,13.6,307.9,143.8,,Tyler Wilson
2009*,Oklahoma,Big 12,FR,QB,13,261,449,58.1,3198,26,5.8,14,3.1,7.1,6.88,12.3,246.0,130.8,,Landry Jones
2010*,Oklahoma,Big 12,SO,QB,14,405,617,65.6,4718,38,6.2,12,1.9,7.6,8.00,11.6,337.0,146.3,,Landry Jones
2011*,Oklahoma,Big 12,JR,QB,13,355,562,63.2,4463,29,5.2,15,2.7,7.9,7.77,12.6,343.3,141.6,,Landry Jones
2012*,Oklahoma,Big 12,SR,QB,13,367,555,66.1,4267,30,5.4,11,2.0,7.7,7.88,11.6,328.2,144.6,,Landry Jones
2009,Michigan,Big Ten,FR,QB,12,14,31,45.2,188,2,6.5,4,12.9,6.1,1.55,13.4,15.7,91.6,,Denard Robinson
2010*,Michigan,Big Ten,SO,QB,13,182,291,62.5,2570,18,6.2,11,3.8,8.8,8.37,14.1,197.7,149.6,H-6,Denard Robinson
2011*,Michigan,Big Ten,JR,QB,13,142,258,55.0,2173,20,7.8,15,5.8,8.4,7.36,15.3,167.2,139.7,,Denard Robinson
2012*,Michigan,Big Ten,SR,QB,11,89,167,53.3,1319,9,5.4,9,5.4,7.9,6.55,14.8,119.9,126.6,,Denard Robinson
2009,Miami (OH),MAC,FR,QB,11,247,401,61.6,2611,12,3.0,16,4.0,6.5,5.31,10.6,237.4,118.2,,Zac Dysert
2010*,Miami (OH),MAC,SO,QB,11,222,343,64.7,2406,13,3.8,12,3.5,7.0,6.20,10.8,218.7,129.2,,Zac Dysert
2011,Miami (OH),MAC,JR,QB,12,295,448,65.8,3513,23,5.1,11,2.5,7.8,7.76,11.9,292.8,143.7,,Zac Dysert
2012,Miami (OH),MAC,SR,QB,12,302,480,62.9,3483,25,5.2,12,2.5,7.3,7.17,11.5,290.3,136.1,,Zac Dysert
2008*,South Florida,Big East,FR,QB,2,4,5,80.0,86,0,0.0,0,0.0,17.2,17.20,21.5,43.0,224.5,,B.J. Daniels
2009*,South Florida,Big East,FR,QB,13,122,227,53.7,1983,14,6.2,9,4.0,8.7,8.19,16.3,152.5,139.5,,B.J. Daniels
2010*,South Florida,Big East,SO,QB,12,143,245,58.4,1685,11,4.5,13,5.3,6.9,5.39,11.8,140.4,120.3,,B.J. Daniels
2011,South Florida,Big East,JR,QB,11,215,365,58.9,2604,13,3.6,7,1.9,7.1,6.98,12.1,236.7,126.7,,B.J. Daniels
2012,South Florida,Big East,SR,QB,9,165,290,56.9,2075,14,4.8,10,3.4,7.2,6.57,12.6,230.6,126.0,,B.J. Daniels
2009,Duke,ACC,FR,QB,6,34,50,68.0,330,4,8.0,2,4.0,6.6,6.40,9.7,55.0,141.8,,Sean Renfree
2010,Duke,ACC,SO,QB,12,285,464,61.4,3131,14,3.0,17,3.7,6.7,5.70,11.0,260.9,120.7,,Sean Renfree
2011,Duke,ACC,JR,QB,12,282,434,65.0,2891,14,3.2,11,2.5,6.7,6.17,10.3,240.9,126.5,,Sean Renfree
2012*,Duke,ACC,SR,QB,12,297,441,67.3,3113,19,4.3,10,2.3,7.1,6.90,10.5,259.4,136.3,,Sean Renfree
