Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2017,Pitt,ACC,FR,QB,4,39,66,59.1,509,1,1.5,1,1.5,7.7,7.33,13.1,127.3,125.8,,Kenny Pickett
2018*,Pitt,ACC,SO,QB,14,180,310,58.1,1969,12,3.9,6,1.9,6.4,6.25,10.9,140.6,120.3,,Kenny Pickett
2019*,Pitt,ACC,JR,QB,12,289,469,61.6,3098,13,2.8,9,1.9,6.6,6.30,10.7,258.2,122.4,,Kenny Pickett
2020,Pitt,ACC,SR,QB,9,203,332,61.1,2408,13,3.9,9,2.7,7.3,6.82,11.9,267.6,129.6,,Kenny Pickett
2021*,Pitt,ACC,SR,QB,13,334,497,67.2,4319,42,8.5,7,1.4,8.7,9.75,12.9,332.2,165.3,H-3,Kenny Pickett
2018*,Cincinnati,American,FR,QB,13,194,311,62.4,2445,20,6.4,5,1.6,7.9,8.42,12.6,188.1,146.4,,Desmond Ridder
2019*,Cincinnati,American,SO,QB,13,179,325,55.1,2164,18,5.5,9,2.8,6.7,6.52,12.1,166.5,123.7,,Desmond Ridder
2020*,Cincinnati,American,JR,QB,10,186,281,66.2,2296,19,6.8,6,2.1,8.2,8.56,12.3,229.6,152.9,,Desmond Ridder
2021*,Cincinnati,American,SR,QB,14,251,387,64.9,3334,30,7.8,8,2.1,8.6,9.24,13.3,238.1,158.7,H-8,Desmond Ridder
2017*,Auburn,SEC,FR,QB,7,6,7,85.7,45,1,14.3,0,0.0,6.4,9.29,7.5,6.4,186.9,,Malik Willis
2018*,Auburn,SEC,SO,QB,8,5,7,71.4,24,0,0.0,0,0.0,3.4,3.43,4.8,3.0,100.2,,Malik Willis
,,,,,,,,,,,,,,,,,,,,Malik Willis
2020*,Liberty,Ind,JR,QB,10,170,265,64.2,2260,20,7.5,6,2.3,8.5,9.02,13.3,226.0,156.2,,Malik Willis
2021*,Liberty,Ind,JR,QB,13,207,339,61.1,2862,27,8.0,12,3.5,8.4,8.44,13.8,220.2,151.2,,Malik Willis
2018,Ole Miss,SEC,FR,QB,4,16,22,72.7,239,2,9.1,1,4.5,10.9,10.64,14.9,59.8,184.9,,Matt Corral
2019,Ole Miss,SEC,FR,QB,10,105,178,59.0,1362,6,3.4,3,1.7,7.7,7.57,13.0,136.2,131.0,,Matt Corral
2020*,Ole Miss,SEC,SO,QB,10,231,326,70.9,3337,29,8.9,14,4.3,10.2,10.08,14.4,333.7,177.6,,Matt Corral
2021*,Ole Miss,SEC,JR,QB,13,262,386,67.9,3349,20,5.2,5,1.3,8.7,9.13,12.8,257.6,155.3,H-7,Matt Corral
2021*,Western Kentucky,CUSA,SR,QB,14,475,687,69.1,5967,62,9.0,11,1.6,8.7,9.77,12.6,426.2,168.7,,Bailey Zappe
2019*,North Carolina,ACC,FR,QB,13,259,422,61.4,3641,38,9.0,7,1.7,8.6,9.68,14.1,280.1,160.2,,Sam Howell
2020*,North Carolina,ACC,SO,QB,12,237,348,68.1,3586,30,8.6,7,2.0,10.3,11.12,15.1,298.8,179.1,,Sam Howell
2021*,North Carolina,ACC,JR,QB,12,217,347,62.5,3056,24,6.9,9,2.6,8.8,9.02,14.1,254.7,154.2,,Sam Howell
2017*,Kansas State,Big 12,FR,QB,8,51,83,61.4,689,5,6.0,3,3.6,8.3,7.88,13.5,86.1,143.8,,Skylar Thompson
2018,Kansas State,Big 12,SO,QB,11,122,208,58.7,1391,9,4.3,4,1.9,6.7,6.69,11.4,126.5,125.3,,Skylar Thompson
2019*,Kansas State,Big 12,JR,QB,13,177,297,59.6,2315,12,4.0,5,1.7,7.8,7.85,13.1,178.1,135.0,,Skylar Thompson
2020,Kansas State,Big 12,SR,QB,3,40,64,62.5,626,4,6.3,0,0.0,9.8,11.03,15.7,208.7,165.3,,Skylar Thompson
2021*,Kansas State,Big 12,SR,QB,10,162,233,69.5,2113,12,5.2,4,1.7,9.1,9.33,13.0,211.3,159.3,,Skylar Thompson
2018*,Iowa State,Big 12,FR,QB,10,146,220,66.4,2250,16,7.3,7,3.2,10.2,10.25,15.4,225.0,169.9,,Brock Purdy
2019*,Iowa State,Big 12,SO,QB,13,312,475,65.7,3982,27,5.7,9,1.9,8.4,8.67,12.8,306.3,151.1,,Brock Purdy
2020*,Iowa State,Big 12,JR,QB,12,243,365,66.6,2750,19,5.2,9,2.5,7.5,7.47,11.3,229.2,142.1,,Brock Purdy
2021*,Iowa State,Big 12,SR,QB,13,292,407,71.7,3188,19,4.7,8,2.0,7.8,7.88,10.9,245.2,149.0,,Brock Purdy
