Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Kick Returns Ret,Kick Returns Yds,Kick Returns Y/Ret,Kick Returns KRTD,Punt Returns Ret,Punt Returns Yds,Punt Returns Y/Ret,Punt Returns PRTD,APYd,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2019*,Memphis,American,SO,WR,13,17,315,18.5,3,24.2,4,3,0.8,1,0.2,21,318,15.1,4,,Calvin Austin III,,,,,,,,,,,,,,,,,,,,,,,
2020*,Memphis,American,JR,WR,11,63,1053,16.7,11,95.7,2,14,7.0,0,1.3,65,1067,16.4,11,,Calvin Austin III,,,,,,,,,,,,,,,,,,,,,,,
2021,Memphis,American,SR,WR,12,74,1149,15.5,8,95.8,1,69,69.0,1,5.8,75,1218,16.2,9,,Calvin Austin III,,,,,,,,,,,,,,,,,,,,,,,
2018,Boise State,MWC,FR,WR,10,16,170,10.6,1,17.0,14,70,5.0,1,7.0,30,240,8.0,2,,Khalil Shakir,,,,,,,,,,,,,,,,,,,,,,,
2019*,Boise State,MWC,SO,WR,14,63,872,13.8,6,62.3,19,66,3.5,3,4.7,82,938,11.4,9,,Khalil Shakir,,,,,,,,,,,,,,,,,,,,,,,
2020,Boise State,MWC,JR,WR,7,52,719,13.8,6,102.7,17,148,8.7,0,21.1,69,867,12.6,6,,Khalil Shakir,,,,,,,,,,,,,,,,,,,,,,,
2021,Boise State,MWC,SR,WR,12,77,1117,14.5,7,93.1,21,130,6.2,0,10.8,98,1247,12.7,7,,Khalil Shakir,,,,,,,,,,,,,,,,,,,,,,,
2018*,Nevada,MWC,FR,WR,12,2,37,18.5,1,3.1,0,0,,0,0.0,2,37,18.5,1,,Cole Turner,,,,,,,,,,,,,,,,,,,,,,,
2019*,Nevada,MWC,SO,WR,13,4,51,12.8,0,3.9,0,0,,0,0.0,4,51,12.8,0,,Cole Turner,,,,,,,,,,,,,,,,,,,,,,,
2020*,Nevada,MWC,JR,TE,9,49,605,12.3,9,67.2,0,0,,0,0.0,49,605,12.3,9,,Cole Turner,,,,,,,,,,,,,,,,,,,,,,,
2021*,Nevada,MWC,SR,TE,11,62,677,10.9,10,61.5,0,0,,0,0.0,62,677,10.9,10,,Cole Turner,,,,,,,,,,,,,,,,,,,,,,,
2017,UTSA,CUSA,FR,WR,1,,,,,,,,,,,,,,,,Riq Woolen,,,,,,,,,,0,1,1,0,0.0,0,0,,0,0,0,0,0,0
2018,UTSA,CUSA,FR,WR,12,,,,,,,,,,,,,,,,Riq Woolen,,,,,,,,,,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2019,UTSA,CUSA,SO,WR,9,,,,,,,,,,,,,,,,Riq Woolen,,,,,,,,,,1,1,2,0,0.0,0,0,,0,0,0,0,0,0
2020*,UTSA,CUSA,JR,CB,11,,,,,,,,,,,,,,,,Riq Woolen,,,,,,,,,,20,15,35,3,1.5,1,0,0.0,0,4,0,0,0,0
2021*,UTSA,CUSA,SR,CB,9,,,,,,,,,,,,,,,,Riq Woolen,,,,,,,,,,17,8,25,3,0.0,1,0,0.0,0,5,0,0,0,0
