Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2018,Colorado State,MWC,FR,TE,12,7,89,12.7,1,7.4,2,3,1.5,0,0.3,9,92,10.2,1,,Trey McBride
2019,Colorado State,MWC,SO,TE,12,45,560,12.4,4,46.7,0,0,,0,0.0,45,560,12.4,4,,Trey McBride
2020,Colorado State,MWC,JR,TE,4,22,330,15.0,4,82.5,0,0,,0,0.0,22,330,15.0,4,,Trey McBride
2021,Colorado State,MWC,SR,TE,12,90,1121,12.5,1,93.4,1,69,69.0,1,5.8,91,1190,13.1,2,AA,Trey McBride
2018,Central Michigan,MAC,FR,TE,12,10,88,8.8,0,7.3,0,0,,0,0.0,10,88,8.8,0,,Bernhard Raimann
2019*,Central Michigan,MAC,SO,TE,14,10,76,7.6,0,5.4,0,0,,0,0.0,10,76,7.6,0,,Bernhard Raimann
2020,Central Michigan,MAC,JR,OL,6,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Bernhard Raimann
2021*,Central Michigan,MAC,JR,OL,12,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Bernhard Raimann
2018,UCLA,Pac-12,FR,TE,3,1,6,6.0,0,2.0,0,0,,0,0.0,1,6,6.0,0,,Greg Dulcich
2019,UCLA,Pac-12,FR,TE,11,8,105,13.1,1,9.5,0,0,,0,0.0,8,105,13.1,1,,Greg Dulcich
2020,UCLA,Pac-12,SO,TE,7,26,517,19.9,5,73.9,0,0,,0,0.0,26,517,19.9,5,,Greg Dulcich
2021,UCLA,Pac-12,JR,TE,12,42,725,17.3,5,60.4,0,0,,0,0.0,42,725,17.3,5,,Greg Dulcich
2018*,Ohio State,Big Ten,FR,TE,10,1,13,13.0,0,1.3,0,0,,0,0.0,1,13,13.0,0,,Jeremy Ruckert
2019*,Ohio State,Big Ten,SO,TE,14,14,142,10.1,4,10.1,0,0,,0,0.0,14,142,10.1,4,,Jeremy Ruckert
2020*,Ohio State,Big Ten,JR,TE,8,13,151,11.6,5,18.9,0,0,,0,0.0,13,151,11.6,5,,Jeremy Ruckert
2021*,Ohio State,Big Ten,SR,TE,12,26,309,11.9,3,25.8,0,0,,0,0.0,26,309,11.9,3,,Jeremy Ruckert
2018*,Washington,Pac-12,FR,TE,14,13,174,13.4,3,12.4,0,0,,0,0.0,13,174,13.4,3,,Cade Otton
2019*,Washington,Pac-12,SO,TE,13,32,344,10.8,2,26.5,0,0,,0,0.0,32,344,10.8,2,,Cade Otton
2020,Washington,Pac-12,JR,TE,4,18,258,14.3,3,64.5,0,0,,0,0.0,18,258,14.3,3,,Cade Otton
2021,Washington,Pac-12,JR,TE,8,28,250,8.9,1,31.3,0,0,,0,0.0,28,250,8.9,1,,Cade Otton
2018*,San Diego State,MWC,FR,TE,9,1,10,10.0,0,1.1,0,0,,0,0.0,1,10,10.0,0,,Daniel Bellinger
2019*,San Diego State,MWC,SO,TE,13,15,201,13.4,3,15.5,1,-6,-6.0,0,-0.5,16,195,12.2,3,,Daniel Bellinger
2020,San Diego State,MWC,JR,TE,8,21,203,9.7,0,25.4,0,0,,0,0.0,21,203,9.7,0,,Daniel Bellinger
