Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2019*,Baylor,Big 12,JR,RB,14,53,250,4.7,3,17.9,24,317,13.2,2,22.6,77,567,7.4,5,,Trestan Ebner
2020,Baylor,Big 12,SR,RB,9,50,107,2.1,1,11.9,26,299,11.5,3,33.2,76,406,5.3,4,,Trestan Ebner
2021*,Baylor,Big 12,SR,RB,14,148,799,5.4,2,57.1,28,284,10.1,2,20.3,176,1083,6.2,4,,Trestan Ebner
2017*,Michigan State,Big Ten,FR,RB,12,3,10,3.3,0,0.8,4,13,3.3,1,1.1,7,23,3.3,1,,Connor Heyward
2018*,Michigan State,Big Ten,SO,RB,13,118,529,4.5,5,40.7,32,249,7.8,0,19.2,150,778,5.2,5,,Connor Heyward
2019*,Michigan State,Big Ten,JR,RB,4,24,79,3.3,0,19.8,7,52,7.4,1,13.0,31,131,4.2,1,,Connor Heyward
2020,Michigan State,Big Ten,JR,RB,7,65,200,3.1,0,28.6,18,71,3.9,2,10.1,83,271,3.3,2,,Connor Heyward
2021*,Michigan State,Big Ten,SR,TE,13,1,7,7.0,0,0.5,35,326,9.3,2,25.1,36,333,9.3,2,,Connor Heyward
2017*,Duke,ACC,FR,RB,13,130,701,5.4,7,53.9,14,161,11.5,0,12.4,144,862,6.0,7,,Brittain Brown
2018*,Duke,ACC,SO,RB,9,80,369,4.6,3,41.0,1,44,44.0,1,4.9,81,413,5.1,4,,Brittain Brown
2019,Duke,ACC,JR,RB,3,12,56,4.7,0,18.7,2,13,6.5,0,4.3,14,69,4.9,0,,Brittain Brown
2020,UCLA,Pac-12,SR,RB,7,82,543,6.6,4,77.6,6,84,14.0,1,12.0,88,627,7.1,5,,Brittain Brown
2021,UCLA,Pac-12,SR,RB,10,102,615,6.0,7,61.5,18,129,7.2,0,12.9,120,744,6.2,7,,Brittain Brown
2018,Rutgers,Big Ten,FR,RB,12,111,551,5.0,3,45.9,2,11,5.5,0,0.9,113,562,5.0,3,,Isiah Pacheco
2019,Rutgers,Big Ten,SO,RB,11,169,729,4.3,7,66.3,13,83,6.4,0,7.5,182,812,4.5,7,,Isiah Pacheco
2020,Rutgers,Big Ten,JR,RB,9,116,515,4.4,3,57.2,19,130,6.8,1,14.4,135,645,4.8,4,,Isiah Pacheco
2021*,Rutgers,Big Ten,JR,RB,12,167,647,3.9,5,53.9,13,25,1.9,0,2.1,180,672,3.7,5,,Isiah Pacheco
2018*,Purdue,Big Ten,FR,RB,13,9,42,4.7,1,3.2,4,38,9.5,0,2.9,13,80,6.2,1,,Zander Horvath
2019,Purdue,Big Ten,SO,RB,11,79,377,4.8,2,34.3,17,142,8.4,1,12.9,96,519,5.4,3,,Zander Horvath
2020,Purdue,Big Ten,JR,RB,6,89,442,5.0,2,73.7,30,304,10.1,0,50.7,119,746,6.3,2,,Zander Horvath
2021*,Purdue,Big Ten,SR,RB,8,91,320,3.5,3,40.0,17,108,6.4,0,13.5,108,428,4.0,3,,Zander Horvath
