Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2019*,Iowa State,Big 12,FR,RB,12,186,897,4.8,9,74.8,23,252,11.0,1,21.0,209,1149,5.5,10,,Breece Hall
2020*,Iowa State,Big 12,SO,RB,12,279,1572,5.6,21,131.0,23,180,7.8,2,15.0,302,1752,5.8,23,"H-6,AA",Breece Hall
2021*,Iowa State,Big 12,JR,RB,12,253,1464,5.8,20,122.0,36,302,8.4,3,25.2,289,1766,6.1,23,"H-10,AA",Breece Hall
2019*,Wake Forest,ACC,FR,RB,13,98,579,5.9,4,44.5,3,17,5.7,0,1.3,101,596,5.9,4,,Kenneth Walker III
2020*,Wake Forest,ACC,SO,RB,8,119,579,4.9,13,72.4,3,30,10.0,0,3.8,122,609,5.0,13,,Kenneth Walker III
2021*,Michigan State,Big Ten,JR,RB,12,263,1636,6.2,18,136.3,13,89,6.8,1,7.4,276,1725,6.3,19,"H-6,AA,Camp",Kenneth Walker III
2018*,Georgia,SEC,FR,RB,13,41,284,6.9,2,21.8,8,89,11.1,0,6.8,49,373,7.6,2,,James Cook
2019*,Georgia,SEC,SO,RB,14,31,188,6.1,2,13.4,16,132,8.3,0,9.4,47,320,6.8,2,,James Cook
2020*,Georgia,SEC,JR,RB,8,45,303,6.7,3,37.9,16,225,14.1,2,28.1,61,528,8.7,5,,James Cook
2021*,Georgia,SEC,SR,RB,15,113,728,6.4,7,48.5,27,284,10.5,4,18.9,140,1012,7.2,11,,James Cook
2020,Arizona State,Pac-12,JR,RB,4,42,420,10.0,5,105.0,8,151,18.9,1,37.8,50,571,11.4,6,,Rachaad White
2021*,Arizona State,Pac-12,SR,RB,11,182,1006,5.5,15,91.5,43,456,10.6,1,41.5,225,1462,6.5,16,,Rachaad White
2019*,LSU,SEC,FR,RB,14,64,295,4.6,6,21.1,10,74,7.4,0,5.3,74,369,5.0,6,,Tyrion Davis-Price
2020,LSU,SEC,SO,RB,9,104,446,4.3,3,49.6,8,47,5.9,0,5.2,112,493,4.4,3,,Tyrion Davis-Price
2021*,LSU,SEC,JR,RB,12,211,1003,4.8,6,83.6,10,64,6.4,0,5.3,221,1067,4.8,6,,Tyrion Davis-Price
2017*,Alabama,SEC,FR,RB,11,24,165,6.9,2,15.0,0,0,,0,0.0,24,165,6.9,2,,Brian Robinson Jr.
2018*,Alabama,SEC,SO,RB,15,63,272,4.3,2,18.1,0,0,,0,0.0,63,272,4.3,2,,Brian Robinson Jr.
2019*,Alabama,SEC,JR,RB,13,96,441,4.6,5,33.9,11,124,11.3,0,9.5,107,565,5.3,5,,Brian Robinson Jr.
2020*,Alabama,SEC,SR,RB,13,91,483,5.3,6,37.2,6,26,4.3,0,2.0,97,509,5.2,6,,Brian Robinson Jr.
2021*,Alabama,SEC,SR,RB,14,271,1343,5.0,14,95.9,35,296,8.5,2,21.1,306,1639,5.4,16,,Brian Robinson Jr.
2018*,Florida,SEC,FR,RB,13,69,424,6.1,2,32.6,5,20,4.0,1,1.5,74,444,6.0,3,,Dameon Pierce
2019*,Florida,SEC,SO,RB,12,54,305,5.6,4,25.4,4,30,7.5,0,2.5,58,335,5.8,4,,Dameon Pierce
2020*,Florida,SEC,JR,RB,12,106,503,4.7,4,41.9,17,156,9.2,1,13.0,123,659,5.4,5,,Dameon Pierce
2021*,Florida,SEC,SR,RB,13,100,574,5.7,13,44.2,19,216,11.4,3,16.6,119,790,6.6,16,,Dameon Pierce
2019*,Georgia,SEC,FR,RB,13,78,408,5.2,3,31.4,2,20,10.0,0,1.5,80,428,5.4,3,,Zamir White
2020*,Georgia,SEC,SO,RB,10,144,779,5.4,11,77.9,6,37,6.2,0,3.7,150,816,5.4,11,,Zamir White
2021*,Georgia,SEC,JR,RB,15,160,856,5.4,11,57.1,9,75,8.3,0,5.0,169,931,5.5,11,,Zamir White
2019*,Texas A&M,SEC,FR,RB,13,174,946,5.4,10,72.8,29,203,7.0,0,15.6,203,1149,5.7,10,,Isaiah Spiller
2020*,Texas A&M,SEC,SO,RB,10,188,1036,5.5,9,103.6,20,193,9.7,0,19.3,208,1229,5.9,9,,Isaiah Spiller
2021,Texas A&M,SEC,JR,RB,12,179,1011,5.6,6,84.3,25,189,7.6,1,15.8,204,1200,5.9,7,,Isaiah Spiller
2018*,BYU,Ind,FR,RB,4,9,49,5.4,0,12.3,1,-3,-3.0,0,-0.8,10,46,4.6,0,,Tyler Allgeier
2019*,BYU,Ind,FR,LB,13,17,119,7.0,0,9.2,3,67,22.3,1,5.2,20,186,9.3,1,,Tyler Allgeier
2020*,BYU,Ind,SO,RB,11,150,1130,7.5,13,102.7,14,174,12.4,0,15.8,164,1304,8.0,13,,Tyler Allgeier
2021*,BYU,Ind,SO,RB,13,276,1606,5.8,23,123.5,28,199,7.1,0,15.3,304,1805,5.9,23,,Tyler Allgeier
2019,Ole Miss,SEC,FR,RB,12,81,512,6.3,5,42.7,6,60,10.0,0,5.0,87,572,6.6,5,,Snoop Conner
2020*,Ole Miss,SEC,SO,RB,10,93,421,4.5,8,42.1,12,83,6.9,0,8.3,105,504,4.8,8,,Snoop Conner
2021*,Ole Miss,SEC,JR,RB,13,130,647,5.0,13,49.8,14,82,5.9,0,6.3,144,729,5.1,13,,Snoop Conner
2018*,Alabama,SEC,FR,RB,5,7,37,5.3,0,7.4,0,0,,0,0.0,7,37,5.3,0,,Jerome Ford
2019*,Alabama,SEC,FR,RB,4,24,114,4.8,3,28.5,2,11,5.5,0,2.8,26,125,4.8,3,,Jerome Ford
2020*,Cincinnati,American,FR,RB,10,73,483,6.6,8,48.3,8,51,6.4,0,5.1,81,534,6.6,8,,Jerome Ford
2021*,Cincinnati,American,JR,RB,13,214,1319,6.2,19,101.5,21,220,10.5,1,16.9,235,1539,6.5,20,,Jerome Ford
2019*,Notre Dame,Ind,FR,RB,4,4,26,6.5,0,6.5,1,3,3.0,0,0.8,5,29,5.8,0,,Kyren Williams
2020*,Notre Dame,ACC,SO,RB,12,211,1125,5.3,13,93.8,35,313,8.9,1,26.1,246,1438,5.8,14,,Kyren Williams
2021*,Notre Dame,Ind,JR,RB,12,204,1002,4.9,14,83.5,42,359,8.5,3,29.9,246,1361,5.5,17,,Kyren Williams
2017,Tennessee,SEC,FR,RB,12,71,305,4.3,2,25.4,10,108,10.8,0,9.0,81,413,5.1,2,,Ty Chandler
2018,Tennessee,SEC,SO,RB,11,115,630,5.5,4,57.3,19,183,9.6,3,16.6,134,813,6.1,7,,Ty Chandler
2019*,Tennessee,SEC,JR,RB,13,135,655,4.9,3,50.4,13,63,4.8,0,4.8,148,718,4.9,3,,Ty Chandler
2020,Tennessee,SEC,SR,RB,10,100,456,4.6,4,45.6,16,111,6.9,0,11.1,116,567,4.9,4,,Ty Chandler
2021*,North Carolina,ACC,SR,RB,13,182,1092,6.0,13,84.0,15,216,14.4,1,16.6,197,1308,6.6,14,,Ty Chandler
2019,South Carolina,SEC,FR,RB,6,21,179,8.5,4,29.8,3,26,8.7,0,4.3,24,205,8.5,4,,Kevin Harris
2020,South Carolina,SEC,SO,RB,10,185,1138,6.2,15,113.8,21,159,7.6,1,15.9,206,1297,6.3,16,,Kevin Harris
2021*,South Carolina,SEC,JR,RB,12,152,659,4.3,4,54.9,11,89,8.1,0,7.4,163,748,4.6,4,,Kevin Harris
2018*,Missouri,SEC,FR,RB,12,89,437,4.9,2,36.4,12,130,10.8,0,10.8,101,567,5.6,2,,Tyler Badie
2019,Missouri,SEC,SO,RB,12,108,457,4.2,3,38.1,32,356,11.1,5,29.7,140,813,5.8,8,,Tyler Badie
2020,Missouri,SEC,JR,RB,10,48,242,5.0,4,24.2,28,333,11.9,2,33.3,76,575,7.6,6,,Tyler Badie
2021*,Missouri,SEC,SR,RB,12,268,1604,6.0,14,133.7,54,330,6.1,4,27.5,322,1934,6.0,18,,Tyler Badie
2018*,Texas,Big 12,FR,RB,13,142,708,5.0,3,54.5,27,170,6.3,2,13.1,169,878,5.2,5,,Keaontay Ingram
2019*,Texas,Big 12,SO,RB,13,144,853,5.9,7,65.6,29,242,8.3,3,18.6,173,1095,6.3,10,,Keaontay Ingram
2020*,Texas,Big 12,JR,RB,6,53,250,4.7,1,41.7,11,103,9.4,1,17.2,64,353,5.5,2,,Keaontay Ingram
2021,USC,Pac-12,SR,RB,10,156,911,5.8,5,91.1,22,156,7.1,0,15.6,178,1067,6.0,5,,Keaontay Ingram
2017,Baylor,Big 12,FR,RB,11,23,121,5.3,2,11.0,20,267,13.4,3,24.3,43,388,9.0,5,,Trestan Ebner
2018*,Baylor,Big 12,SO,RB,13,69,413,6.0,1,31.8,29,348,12.0,1,26.8,98,761,7.8,2,,Trestan Ebner
