Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD
2021*,Oklahoma,Big 12,FR,QB,11,136,211,64.5,1912,21,10.0,4,1.9,9.1,10.20,14.1,173.8,169.6,,Caleb Williams,,,,,,,,,,,,,,
2022*,USC,Pac-12,SO,QB,14,333,500,66.6,4537,42,8.4,5,1.0,9.1,10.30,13.6,324.1,168.5,"H-1,Maxwell,AA,Camp",Caleb Williams,,,,,,,,,,,,,,
2023*,USC,Pac-12,JR,QB,12,266,388,68.6,3633,30,7.7,5,1.3,9.4,10.33,13.7,302.8,170.1,,Caleb Williams,,,,,,,,,,,,,,
2019*,Arizona State,Pac-12,FR,QB,12,205,338,60.7,2943,17,5.0,2,0.6,8.7,9.45,14.4,245.3,149.2,,Jayden Daniels,,,,,,,,,,,,,,
2020,Arizona State,Pac-12,SO,QB,4,49,84,58.3,701,5,6.0,1,1.2,8.3,9.00,14.3,175.3,145.7,,Jayden Daniels,,,,,,,,,,,,,,
2021*,Arizona State,Pac-12,JR,QB,13,197,301,65.4,2380,10,3.3,10,3.3,7.9,7.08,12.1,183.1,136.2,,Jayden Daniels,,,,,,,,,,,,,,
2022*,LSU,SEC,SR,QB,14,266,388,68.6,2913,17,4.4,3,0.8,7.5,8.04,11.0,208.1,144.5,,Jayden Daniels,,,,,,,,,,,,,,
2023*,LSU,SEC,SR,QB,12,236,327,72.2,3812,40,12.2,4,1.2,11.7,13.55,16.2,317.7,208.0,"H-1,AA,Camp",Jayden Daniels,,,,,,,,,,,,,,
2021*,North Carolina,ACC,FR,QB,4,7,10,70.0,89,1,10.0,0,0.0,8.9,10.90,12.7,22.3,177.8,,Drake Maye,,,,,,,,,,,,,,
2022*,North Carolina,ACC,FR,QB,14,342,517,66.2,4321,38,7.4,7,1.4,8.4,9.22,12.6,308.6,157.9,H-10,Drake Maye,,,,,,,,,,,,,,
