Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD
2023*,North Carolina,ACC,SO,QB,12,269,425,63.3,3608,24,5.6,9,2.1,8.5,8.67,13.4,300.7,149.0,,Drake Maye,,,,,,,,,,,,,,
2018,Indiana,Big Ten,FR,QB,3,21,34,61.8,219,1,2.9,0,0.0,6.4,7.03,10.4,73.0,125.6,,Michael Penix,,,,,,,,,,,,,,
2019*,Indiana,Big Ten,FR,QB,6,110,160,68.8,1394,10,6.3,4,2.5,8.7,8.84,12.7,232.3,157.6,,Michael Penix,,,,,,,,,,,,,,
2020*,Indiana,Big Ten,SO,QB,6,124,220,56.4,1645,14,6.4,4,1.8,7.5,7.93,13.3,274.2,136.5,,Michael Penix,,,,,,,,,,,,,,
2021,Indiana,Big Ten,JR,QB,5,87,162,53.7,939,4,2.5,7,4.3,5.8,4.35,10.8,187.8,101.9,,Michael Penix,,,,,,,,,,,,,,
2022*,Washington,Pac-12,JR,QB,13,362,554,65.3,4641,31,5.6,8,1.4,8.4,8.85,12.8,357.0,151.3,H-8,Michael Penix,,,,,,,,,,,,,,
2023*,Washington,Pac-12,SR,QB,15,363,555,65.4,4903,36,6.5,11,2.0,8.8,9.24,13.5,326.9,157.1,"H-2,Maxwell",Michael Penix,,,,,,,,,,,,,,
2021*,Michigan,Big Ten,FR,QB,11,34,59,57.6,516,5,8.5,2,3.4,8.7,8.92,15.2,46.9,152.3,,J.J. McCarthy,,,,,,,,,,,,,,
2022*,Michigan,Big Ten,SO,QB,14,208,322,64.6,2719,22,6.8,5,1.6,8.4,9.11,13.1,194.2,155.0,,J.J. McCarthy,,,,,,,,,,,,,,
2023*,Michigan,Big Ten,JR,QB,15,240,332,72.3,2991,22,6.6,4,1.2,9.0,9.79,12.5,199.4,167.4,H-10,J.J. McCarthy,,,,,,,,,,,,,,
2019*,Auburn,SEC,FR,QB,13,217,377,57.6,2542,16,4.2,6,1.6,6.7,6.88,11.7,195.5,125.0,,Bo Nix,,,,,,,,,,,,,,
2020*,Auburn,SEC,SO,QB,11,214,357,59.9,2415,12,3.4,7,2.0,6.8,6.55,11.3,219.5,123.9,,Bo Nix,,,,,,,,,,,,,,
2021*,Auburn,SEC,JR,QB,10,197,323,61.0,2293,11,3.4,3,0.9,7.1,7.36,11.6,229.3,130.0,,Bo Nix,,,,,,,,,,,,,,
2022*,Oregon,Pac-12,SR,QB,13,294,409,71.9,3593,29,7.1,7,1.7,8.8,9.43,12.2,276.4,165.7,,Bo Nix,,,,,,,,,,,,,,
2023*,Oregon,Pac-12,SR,QB,14,364,470,77.4,4508,45,9.6,3,0.6,9.6,11.22,12.4,322.0,188.3,H-3,Bo Nix,,,,,,,,,,,,,,
2019,Nebraska,Big Ten,FR,QB,4,,,,,,,,,,,,,,,Luke McCaffrey,24,166,6.9,1,41.5,1,12,12.0,0,3.0,25,178,7.1,1
2020,Nebraska,Big Ten,FR,QB,7,,,,,,,,,,,,,,,Luke McCaffrey,65,364,5.6,3,52.0,1,5,5.0,0,0.7,66,369,5.6,3
2021,Rice,CUSA,FR,QB,9,,,,,,,,,,,,,,,Luke McCaffrey,41,132,3.2,2,14.7,0,0,,0,0.0,41,132,3.2,2
2022*,Rice,CUSA,SO,WR,11,,,,,,,,,,,,,,,Luke McCaffrey,12,148,12.3,1,13.5,58,723,12.5,6,65.7,70,871,12.4,7
2023*,Rice,American,JR,WR,13,,,,,,,,,,,,,,,Luke McCaffrey,15,117,7.8,0,9.0,71,992,14.0,13,76.3,86,1109,12.9,13
2019*,Oklahoma,Big 12,FR,QB,3,7,11,63.6,81,1,9.1,0,0.0,7.4,9.18,11.6,27.0,155.5,,Spencer Rattler,,,,,,,,,,,,,,
2020*,Oklahoma,Big 12,FR,QB,11,214,317,67.5,3031,28,8.8,7,2.2,9.6,10.33,14.2,275.5,172.6,,Spencer Rattler,,,,,,,,,,,,,,
2021*,Oklahoma,Big 12,SO,QB,9,140,187,74.9,1483,11,5.9,5,2.7,7.9,7.90,10.6,164.8,155.5,,Spencer Rattler,,,,,,,,,,,,,,
2022*,South Carolina,SEC,JR,QB,13,264,399,66.2,3026,18,4.5,12,3.0,7.6,7.13,11.5,232.8,138.7,,Spencer Rattler,,,,,,,,,,,,,,
2023,South Carolina,SEC,SR,QB,12,275,399,68.9,3186,19,4.8,8,2.0,8.0,8.04,11.6,265.5,147.7,,Spencer Rattler,,,,,,,,,,,,,,
2018,Louisville,ACC,FR,QB,3,4,14,28.6,71,1,7.1,1,7.1,5.1,3.29,17.8,23.7,80.5,,Jordan Travis,,,,,,,,,,,,,,
2019*,Florida State,ACC,FR,QB,4,6,11,54.5,79,0,0.0,0,0.0,7.2,7.18,13.2,19.8,114.9,,Jordan Travis,,,,,,,,,,,,,,
2020,Florida State,ACC,SO,QB,8,72,131,55.0,1056,6,4.6,6,4.6,8.1,6.92,14.7,132.0,128.6,,Jordan Travis,,,,,,,,,,,,,,
2021,Florida State,ACC,SO,QB,10,122,194,62.9,1539,15,7.7,6,3.1,7.9,8.09,12.6,153.9,148.9,,Jordan Travis,,,,,,,,,,,,,,
2022*,Florida State,ACC,JR,QB,13,226,353,64.0,3214,24,6.8,5,1.4,9.1,9.83,14.2,247.2,160.1,,Jordan Travis,,,,,,,,,,,,,,
2023*,Florida State,ACC,SR,QB,11,207,324,63.9,2756,20,6.2,2,0.6,8.5,9.46,13.3,250.5,154.5,H-5,Jordan Travis,,,,,,,,,,,,,,
2018*,Michigan,Big Ten,FR,QB,4,3,4,75.0,58,0,0.0,1,25.0,14.5,3.25,19.3,14.5,146.8,,Joe Milton,,,,,,,,,,,,,,
2019*,Michigan,Big Ten,SO,QB,4,3,7,42.9,59,1,14.3,1,14.3,8.4,4.86,19.7,14.8,132.2,,Joe Milton,,,,,,,,,,,,,,
2020,Michigan,Big Ten,JR,QB,6,80,141,56.7,1077,4,2.8,4,2.8,7.6,6.93,13.5,179.5,124.6,,Joe Milton,,,,,,,,,,,,,,
2021*,Tennessee,SEC,JR,QB,8,32,61,52.5,375,2,3.3,0,0.0,6.1,6.80,11.7,46.9,114.9,,Joe Milton,,,,,,,,,,,,,,
2022*,Tennessee,SEC,SR,QB,9,53,82,64.6,971,10,12.2,0,0.0,11.8,14.28,18.3,107.9,204.3,,Joe Milton,,,,,,,,,,,,,,
2023*,Tennessee,SEC,SR,QB,12,229,354,64.7,2813,20,5.6,5,1.4,7.9,8.44,12.3,234.4,147.3,,Joe Milton,,,,,,,,,,,,,,
2019,North Carolina State,ACC,FR,QB,8,101,210,48.1,1219,8,3.8,5,2.4,5.8,5.50,12.1,152.4,104.7,,Devin Leary,,,,,,,,,,,,,,
2020*,North Carolina State,ACC,SO,QB,4,66,110,60.0,890,8,7.3,2,1.8,8.1,8.73,13.5,222.5,148.3,,Devin Leary,,,,,,,,,,,,,,
2021,North Carolina State,ACC,SO,QB,12,283,431,65.7,3433,35,8.1,5,1.2,8.0,9.07,12.1,286.1,157.0,,Devin Leary,,,,,,,,,,,,,,
2022*,North Carolina State,ACC,JR,QB,6,118,193,61.1,1265,11,5.7,4,2.1,6.6,6.76,10.7,210.8,130.9,,Devin Leary,,,,,,,,,,,,,,
2023*,Kentucky,SEC,SR,QB,13,209,371,56.3,2746,25,6.7,12,3.2,7.4,7.29,13.1,211.2,134.3,,Devin Leary,,,,,,,,,,,,,,
2020*,Tulane,American,FR,QB,10,140,254,55.1,1806,20,7.9,8,3.1,7.1,7.27,12.9,180.6,134.5,,Michael Pratt,,,,,,,,,,,,,,
2021,Tulane,American,FR,QB,12,189,328,57.6,2381,21,6.4,8,2.4,7.3,7.44,12.6,198.4,134.8,,Michael Pratt,,,,,,,,,,,,,,
2022*,Tulane,American,JR,QB,13,215,338,63.6,3009,27,8.0,5,1.5,8.9,9.83,14.0,231.5,161.8,,Michael Pratt,,,,,,,,,,,,,,
2023*,Tulane,American,SR,QB,11,185,283,65.4,2406,22,7.8,5,1.8,8.5,9.26,13.0,218.7,158.9,,Michael Pratt,,,,,,,,,,,,,,
