Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2021*,Ohio State,Big Ten,FR,WR,13,11,139,12.6,3,10.7,0,0,,0,0.0,11,139,12.6,3,,Marvin Harrison Jr.,,,,,,,,,,,,,,
2022*,Ohio State,Big Ten,SO,WR,13,77,1263,16.4,14,97.2,2,32,16.0,0,2.5,79,1295,16.4,14,AA,Marvin Harrison Jr.,,,,,,,,,,,,,,
2023*,Ohio State,Big Ten,JR,WR,12,67,1211,18.1,14,100.9,2,26,13.0,1,2.2,69,1237,17.9,15,"H-4,AA",Marvin Harrison Jr.,,,,,,,,,,,,,,
2021*,LSU,SEC,FR,WR,11,28,417,14.9,4,37.9,4,23,5.8,0,2.1,32,440,13.8,4,,Malik Nabers,,,,,,,,,,,,,,
2022*,LSU,SEC,SO,WR,14,72,1017,14.1,3,72.6,1,5,5.0,0,0.4,73,1022,14.0,3,,Malik Nabers,,,,,,,,,,,,,,
2023*,LSU,SEC,JR,WR,13,89,1569,17.6,14,120.7,1,1,1.0,0,0.1,90,1570,17.4,14,AA,Malik Nabers,,,,,,,,,,,,,,
2020,Washington,Pac-12,FR,WR,4,6,72,12.0,0,18.0,3,-16,-5.3,0,-4.0,9,56,6.2,0,,Rome Odunze,,,,,,,,,,,,,,
2021,Washington,Pac-12,FR,WR,9,41,415,10.1,4,46.1,2,13,6.5,0,1.4,43,428,10.0,4,,Rome Odunze,,,,,,,,,,,,,,
2022*,Washington,Pac-12,SO,WR,12,75,1145,15.3,7,95.4,3,6,2.0,1,0.5,78,1151,14.8,8,,Rome Odunze,,,,,,,,,,,,,,
2023*,Washington,Pac-12,JR,WR,15,92,1640,17.8,13,109.3,2,37,18.5,1,2.5,94,1677,17.8,14,AA,Rome Odunze,,,,,,,,,,,,,,
2021*,LSU,SEC,FR,WR,12,28,359,12.8,2,29.9,2,6,3.0,0,0.5,30,365,12.2,2,,Brian Thomas,,,,,,,,,,,,,,
2022*,LSU,SEC,SO,WR,13,31,361,11.6,5,27.8,0,0,,0,0.0,31,361,11.6,5,,Brian Thomas,,,,,,,,,,,,,,
2023*,LSU,SEC,JR,WR,13,68,1177,17.3,17,90.5,1,-6,-6.0,0,-0.5,69,1171,17.0,17,,Brian Thomas,,,,,,,,,,,,,,
2021,Texas,Big 12,FR,WR,12,62,981,15.8,12,81.8,1,7,7.0,0,0.6,63,988,15.7,12,,Xavier Worthy,,,,,,,,,,,,,,
2022*,Texas,Big 12,SO,WR,13,60,760,12.7,9,58.5,2,14,7.0,0,1.1,62,774,12.5,9,,Xavier Worthy,,,,,,,,,,,,,,
2023*,Texas,Big 12,JR,WR,14,75,1014,13.5,5,72.4,4,35,8.8,0,2.5,79,1049,13.3,5,,Xavier Worthy,,,,,,,,,,,,,,
2019*,Arizona State,Pac-12,FR,WR,13,7,128,18.3,0,9.8,1,1,1.0,0,0.1,8,129,16.1,0,,Ricky Pearsall,,,,,,,,,,,,,,
2020,Arizona State,Pac-12,SO,WR,4,6,86,14.3,1,21.5,3,33,11.0,1,8.3,9,119,13.2,2,,Ricky Pearsall,,,,,,,,,,,,,,
2021*,Arizona State,Pac-12,JR,WR,13,48,580,12.1,4,44.6,6,44,7.3,1,3.4,54,624,11.6,5,,Ricky Pearsall,,,,,,,,,,,,,,
2022*,Florida,SEC,SR,WR,13,33,661,20.0,5,50.8,8,113,14.1,1,8.7,41,774,18.9,6,,Ricky Pearsall,,,,,,,,,,,,,,
2023,Florida,SEC,SR,WR,12,65,965,14.8,4,80.4,3,62,20.7,2,5.2,68,1027,15.1,6,,Ricky Pearsall,,,,,,,,,,,,,,
2019,South Carolina,SEC,FR,WR,11,9,80,8.9,1,7.3,0,0,,0,0.0,9,80,8.9,1,,Xavier Legette,,,,,,,,,,,,,,
2020,South Carolina,SEC,SO,WR,6,7,113,16.1,0,18.8,0,0,,0,0.0,7,113,16.1,0,,Xavier Legette,,,,,,,,,,,,,,
2021*,South Carolina,SEC,JR,WR,11,8,63,7.9,1,5.7,0,0,,0,0.0,8,63,7.9,1,,Xavier Legette,,,,,,,,,,,,,,
2022*,South Carolina,SEC,SR,WR,13,18,167,9.3,3,12.8,7,21,3.0,0,1.6,25,188,7.5,3,,Xavier Legette,,,,,,,,,,,,,,
2023,South Carolina,SEC,SR,WR,12,71,1255,17.7,7,104.6,9,-9,-1.0,0,-0.8,80,1246,15.6,7,,Xavier Legette,,,,,,,,,,,,,,
2021*,Michigan State,Big Ten,FR,WR,10,7,50,7.1,1,5.0,0,0,,0,0.0,7,50,7.1,1,,Keon Coleman,,,,,,,,,,,,,,
2022,Michigan State,Big Ten,SO,WR,12,58,798,13.8,7,66.5,0,0,,0,0.0,58,798,13.8,7,,Keon Coleman,,,,,,,,,,,,,,
2023*,Florida State,ACC,JR,WR,12,50,658,13.2,11,54.8,1,2,2.0,0,0.2,51,660,12.9,11,,Keon Coleman,,,,,,,,,,,,,,
2021*,Georgia,SEC,FR,WR,15,31,447,14.4,5,29.8,4,44,11.0,1,2.9,35,491,14.0,6,,Ladd McConkey,,,,,,,,,,,,,,
2022*,Georgia,SEC,SO,WR,15,58,762,13.1,7,50.8,7,134,19.1,2,8.9,65,896,13.8,9,,Ladd McConkey,,,,,,,,,,,,,,
2023*,Georgia,SEC,JR,WR,9,30,478,15.9,2,53.1,2,38,19.0,1,4.2,32,516,16.1,3,,Ladd McConkey,,,,,,,,,,,,,,
2020,Texas Tech,Big 12,FR,WR,10,28,264,9.4,2,26.4,0,0,,0,0.0,28,264,9.4,2,,Ja'Lynn Polk,,,,,,,,,,,,,,
2021,Washington,Pac-12,FR,WR,3,5,114,22.8,1,38.0,0,0,,0,0.0,5,114,22.8,1,,Ja'Lynn Polk,,,,,,,,,,,,,,
2022*,Washington,Pac-12,FR,WR,13,41,694,16.9,6,53.4,1,15,15.0,0,1.2,42,709,16.9,6,,Ja'Lynn Polk,,,,,,,,,,,,,,
2023*,Washington,Pac-12,SO,WR,15,69,1159,16.8,9,77.3,4,32,8.0,1,2.1,73,1191,16.3,10,,Ja'Lynn Polk,,,,,,,,,,,,,,
2019*,Michigan,Big Ten,FR,WR,13,,,,,,,,,,,,,,,,Mike Sainristil,1,0,1,0,0.0,0,0,,0,0,0,0,0,0
2020,Michigan,Big Ten,SO,WR,6,,,,,,,,,,,,,,,,Mike Sainristil,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
2021*,Michigan,Big Ten,JR,WR,14,,,,,,,,,,,,,,,,Mike Sainristil,5,0,5,0,0.0,0,0,,0,0,0,0,0,0
2022*,Michigan,Big Ten,SR,CB,14,,,,,,,,,,,,,,,,Mike Sainristil,38,20,58,7,2.0,1,8,8.0,0,7,0,0,0,0
2023*,Michigan,Big Ten,SR,DB,15,,,,,,,,,,,,,,,,Mike Sainristil,26,18,44,4,1.0,6,232,38.7,2,6,0,0,0,2
2021*,Georgia,SEC,FR,WR,15,29,426,14.7,4,28.4,0,0,,0,0.0,29,426,14.7,4,,Adonai Mitchell,,,,,,,,,,,,,,
2022*,Georgia,SEC,SO,WR,6,9,134,14.9,3,22.3,0,0,,0,0.0,9,134,14.9,3,,Adonai Mitchell,,,,,,,,,,,,,,
2023*,Texas,Big 12,JR,WR,14,55,845,15.4,11,60.4,2,1,0.5,0,0.1,57,846,14.8,11,,Adonai Mitchell,,,,,,,,,,,,,,
2020*,Western Kentucky,CUSA,FR,WR,9,6,65,10.8,0,7.2,0,0,,0,0.0,6,65,10.8,0,,Malachi Corley,,,,,,,,,,,,,,
2021*,Western Kentucky,CUSA,FR,WR,14,73,691,9.5,7,49.4,1,-6,-6.0,0,-0.4,74,685,9.3,7,,Malachi Corley,,,,,,,,,,,,,,
2022*,Western Kentucky,CUSA,SO,WR,14,101,1295,12.8,11,92.5,11,87,7.9,0,6.2,112,1382,12.3,11,,Malachi Corley,,,,,,,,,,,,,,
2023*,Western Kentucky,CUSA,JR,WR,12,79,984,12.5,11,82.0,4,11,2.8,0,0.9,83,995,12.0,11,,Malachi Corley,,,,,,,,,,,,,,
2020*,Georgia,SEC,FR,WR,10,27,404,15.0,3,40.4,4,50,12.5,0,5.0,31,454,14.6,3,,Jermaine Burton,,,,,,,,,,,,,,
2021*,Georgia,SEC,SO,WR,14,26,497,19.1,4,35.5,0,0,,0,0.0,26,497,19.1,4,,Jermaine Burton,,,,,,,,,,,,,,
2022*,Alabama,SEC,JR,WR,13,40,677,16.9,7,52.1,0,0,,0,0.0,40,677,16.9,7,,Jermaine Burton,,,,,,,,,,,,,,
2023*,Alabama,SEC,SR,WR,13,39,798,20.5,8,61.4,0,0,,0,0.0,39,798,20.5,8,,Jermaine Burton,,,,,,,,,,,,,,
2020,Michigan,Big Ten,FR,WR,6,9,122,13.6,1,20.3,1,9,9.0,0,1.5,10,131,13.1,1,,Roman Wilson,,,,,,,,,,,,,,
