Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2021*,Georgia,SEC,FR,TE,15,56,882,15.8,13,58.8,4,56,14.0,1,3.7,60,938,15.6,14,,Brock Bowers
2022*,Georgia,SEC,SO,TE,15,63,942,15.0,7,62.8,9,109,12.1,3,7.3,72,1051,14.6,10,,Brock Bowers
2023*,Georgia,SEC,JR,TE,10,56,714,12.8,6,71.4,6,28,4.7,1,2.8,62,742,12.0,7,AA,Brock Bowers
2020,Illinois,Big Ten,FR,TE,8,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Tip Reiman
2021,Illinois,Big Ten,FR,TE,11,3,43,14.3,1,3.9,0,0,,0,0.0,3,43,14.3,1,,Tip Reiman
2022*,Illinois,Big Ten,SO,TE,13,19,174,9.2,1,13.4,0,0,,0,0.0,19,174,9.2,1,,Tip Reiman
2023,Illinois,Big Ten,JR,TE,12,19,203,10.7,3,16.9,0,0,,0,0.0,19,203,10.7,3,,Tip Reiman
2021,Texas,Big 12,FR,TE,12,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Ja'Tavion Sanders
2022*,Texas,Big 12,SO,TE,13,54,613,11.4,5,47.2,0,0,,0,0.0,54,613,11.4,5,,Ja'Tavion Sanders
2023*,Texas,Big 12,JR,TE,14,45,682,15.2,2,48.7,1,12,12.0,0,0.9,46,694,15.1,2,,Ja'Tavion Sanders
2020,Penn State,Big Ten,FR,TE,7,4,56,14.0,0,8.0,0,0,,0,0.0,4,56,14.0,0,,Theo Johnson
2021*,Penn State,Big Ten,SO,TE,13,19,213,11.2,1,16.4,0,0,,0,0.0,19,213,11.2,1,,Theo Johnson
2022*,Penn State,Big Ten,SO,TE,11,20,328,16.4,4,29.8,0,0,,0,0.0,20,328,16.4,4,,Theo Johnson
2023*,Penn State,Big Ten,JR,TE,13,34,341,10.0,7,26.2,0,0,,0,0.0,34,341,10.0,7,,Theo Johnson
2019*,Michigan,Big Ten,FR,TE,11,1,10,10.0,0,0.9,0,0,,0,0.0,1,10,10.0,0,,Erick All
2020,Michigan,Big Ten,SO,TE,6,12,82,6.8,0,13.7,0,0,,0,0.0,12,82,6.8,0,,Erick All
2021*,Michigan,Big Ten,JR,TE,13,38,437,11.5,2,33.6,0,0,,0,0.0,38,437,11.5,2,,Erick All
2022*,Michigan,Big Ten,SR,TE,3,3,36,12.0,0,12.0,0,0,,0,0.0,3,36,12.0,0,,Erick All
2023*,Iowa,Big Ten,SR,TE,7,21,299,14.2,3,42.7,0,0,,0,0.0,21,299,14.2,3,,Erick All
2020*,Indiana,Big Ten,FR,TE,8,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,AJ Barner
2021,Indiana,Big Ten,SO,TE,12,14,162,11.6,1,13.5,0,0,,0,0.0,14,162,11.6,1,,AJ Barner
2022,Indiana,Big Ten,JR,TE,10,28,199,7.1,3,19.9,0,0,,0,0.0,28,199,7.1,3,,AJ Barner
2023*,Michigan,Big Ten,SR,TE,15,22,249,11.3,1,16.6,0,0,,0,0.0,22,249,11.3,1,,AJ Barner
2019*,Texas,Big 12,FR,TE,12,1,15,15.0,0,1.3,0,0,,0,0.0,1,15,15.0,0,,Jared Wiley
2020*,Texas,Big 12,SO,TE,9,9,166,18.4,1,18.4,0,0,,0,0.0,9,166,18.4,1,,Jared Wiley
2021,Texas,Big 12,JR,TE,11,9,67,7.4,2,6.1,0,0,,0,0.0,9,67,7.4,2,,Jared Wiley
2022*,Texas Christian,Big 12,SR,TE,15,24,245,10.2,4,16.3,0,0,,0,0.0,24,245,10.2,4,,Jared Wiley
2023,Texas Christian,Big 12,SR,TE,12,47,520,11.1,8,43.3,0,0,,0,0.0,47,520,11.1,8,,Jared Wiley
2022,Arizona,Pac-12,SO,TE,12,34,456,13.4,2,38.0,0,0,,0,0.0,34,456,13.4,2,,Tanner McLachlan
2023*,Arizona,Pac-12,JR,TE,13,45,528,11.7,4,40.6,0,0,,0,0.0,45,528,11.7,4,,Tanner McLachlan
2020,South Carolina,SEC,FR,TE,5,1,29,29.0,0,5.8,0,0,,0,0.0,1,29,29.0,0,,Jaheim Bell
2021*,South Carolina,SEC,SO,TE,13,30,497,16.6,5,38.2,7,40,5.7,0,3.1,37,537,14.5,5,,Jaheim Bell
2022*,South Carolina,SEC,JR,TE,12,25,231,9.2,2,19.3,73,261,3.6,3,21.8,98,492,5.0,5,,Jaheim Bell
2023*,Florida State,ACC,JR,TE,13,39,503,12.9,2,38.7,4,2,0.5,1,0.2,43,505,11.7,3,,Jaheim Bell
