Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2013*,Texas Tech,Big 12,FR,QB,8,218,340,64.1,2315,12,3.5,9,2.6,6.8,6.32,10.6,289.4,127.7,,Baker Mayfield
,,,,,,,,,,,,,,,,,,,,Baker Mayfield
2015*,Oklahoma,Big 12,SO,QB,13,269,395,68.1,3700,36,9.1,7,1.8,9.4,10.39,13.8,284.6,173.3,H-4,Baker Mayfield
2016*,Oklahoma,Big 12,JR,QB,13,254,358,70.9,3965,40,11.2,8,2.2,11.1,12.30,15.6,305.0,196.4,H-3,Baker Mayfield
2017*,Oklahoma,Big 12,SR,QB,14,285,404,70.5,4627,43,10.6,6,1.5,11.5,12.91,16.2,330.5,198.9,"H-1,Maxwell,AA,Camp",Baker Mayfield
2016*,USC,Pac-12,FR,QB,13,246,366,67.2,3086,31,8.5,9,2.5,8.4,9.02,12.5,237.4,161.1,,Sam Darnold
2017*,USC,Pac-12,SO,QB,14,303,480,63.1,4143,26,5.4,13,2.7,8.6,8.50,13.7,295.9,148.1,,Sam Darnold
2015,Wyoming,MWC,SO,QB,2,4,6,66.7,51,0,0.0,0,0.0,8.5,8.50,12.8,25.5,138.1,,Josh Allen
2016*,Wyoming,MWC,SO,QB,14,209,373,56.0,3203,28,7.5,15,4.0,8.6,8.28,15.3,228.8,144.9,,Josh Allen
2017*,Wyoming,MWC,JR,QB,11,152,270,56.3,1812,16,5.9,6,2.2,6.7,6.90,11.9,164.7,127.8,,Josh Allen
2015*,UCLA,Pac-12,FR,QB,13,292,487,60.0,3670,23,4.7,11,2.3,7.5,7.46,12.6,282.3,134.3,,Josh Rosen
2016,UCLA,Pac-12,SO,QB,6,137,231,59.3,1915,10,4.3,5,2.2,8.3,8.18,14.0,319.2,138.9,,Josh Rosen
2017*,UCLA,Pac-12,JR,QB,11,283,452,62.6,3756,26,5.8,10,2.2,8.3,8.46,13.3,341.5,147.0,,Josh Rosen
2015*,Louisville,ACC,FR,QB,12,135,247,54.7,1840,12,4.9,8,3.2,7.4,6.96,13.6,153.3,126.8,,Lamar Jackson
2016*,Louisville,ACC,SO,QB,13,230,409,56.2,3543,30,7.3,9,2.2,8.7,9.14,15.4,272.5,148.8,"H-1,Maxwell,AA,Camp",Lamar Jackson
2017*,Louisville,ACC,JR,QB,13,254,430,59.1,3660,27,6.3,10,2.3,8.5,8.72,14.4,281.5,146.6,H-3,Lamar Jackson
2014*,Oklahoma State,Big 12,FR,QB,3,49,86,57.0,853,6,7.0,4,4.7,9.9,9.22,17.4,284.3,154.0,,Mason Rudolph
2015*,Oklahoma State,Big 12,SO,QB,13,264,424,62.3,3770,21,5.0,9,2.1,8.9,8.93,14.3,290.0,149.1,,Mason Rudolph
2016*,Oklahoma State,Big 12,JR,QB,13,284,448,63.4,4091,28,6.3,4,0.9,9.1,9.98,14.4,314.7,158.9,,Mason Rudolph
2017*,Oklahoma State,Big 12,SR,QB,13,318,489,65.0,4904,37,7.6,9,1.8,10.0,10.71,15.4,377.2,170.6,H-7,Mason Rudolph
