Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2015*,Penn State,Big Ten,FR,RB,11,182,1076,5.9,7,97.8,20,161,8.1,1,14.6,202,1237,6.1,8,,Saquon Barkley
2016*,Penn State,Big Ten,SO,RB,14,272,1496,5.5,18,106.9,28,402,14.4,4,28.7,300,1898,6.3,22,,Saquon Barkley
2017*,Penn State,Big Ten,JR,RB,13,217,1271,5.9,18,97.8,54,632,11.7,3,48.6,271,1903,7.0,21,"H-4,AA",Saquon Barkley
2014*,San Diego State,MWC,FR,RB,13,2,22,11.0,0,1.7,0,0,,0,0.0,2,22,11.0,0,,Rashaad Penny
2015*,San Diego State,MWC,SO,RB,14,61,368,6.0,4,26.3,8,120,15.0,1,8.6,69,488,7.1,5,,Rashaad Penny
2016*,San Diego State,MWC,JR,RB,14,136,1018,7.5,11,72.7,15,224,14.9,3,16.0,151,1242,8.2,14,,Rashaad Penny
2017*,San Diego State,MWC,SR,RB,13,289,2248,7.8,23,172.9,19,135,7.1,2,10.4,308,2383,7.7,25,"H-5,AA",Rashaad Penny
2014*,Georgia,SEC,FR,RB,8,64,410,6.4,5,51.3,7,106,15.1,1,13.3,71,516,7.3,6,,Sony Michel
2015*,Georgia,SEC,SO,RB,13,219,1161,5.3,8,89.3,26,270,10.4,3,20.8,245,1431,5.8,11,,Sony Michel
2016*,Georgia,SEC,JR,RB,12,152,840,5.5,4,70.0,22,149,6.8,1,12.4,174,989,5.7,5,,Sony Michel
2017*,Georgia,SEC,SR,RB,14,156,1227,7.9,16,87.6,9,96,10.7,1,6.9,165,1323,8.0,17,,Sony Michel
2014*,Georgia,SEC,FR,RB,13,219,1547,7.1,14,119.0,18,213,11.8,2,16.4,237,1760,7.4,16,,Nick Chubb
2015*,Georgia,SEC,SO,RB,6,92,747,8.1,7,124.5,4,32,8.0,1,5.3,96,779,8.1,8,,Nick Chubb
2016*,Georgia,SEC,JR,RB,13,224,1130,5.0,8,86.9,5,86,17.2,1,6.6,229,1216,5.3,9,,Nick Chubb
2017*,Georgia,SEC,SR,RB,15,223,1345,6.0,15,89.7,4,30,7.5,0,2.0,227,1375,6.1,15,,Nick Chubb
2015*,USC,Pac-12,FR,RB,14,153,987,6.5,8,70.5,7,39,5.6,1,2.8,160,1026,6.4,9,,Ronald Jones II
2016*,USC,Pac-12,SO,RB,13,177,1082,6.1,12,83.2,11,76,6.9,1,5.8,188,1158,6.2,13,,Ronald Jones II
2017*,USC,Pac-12,JR,RB,13,261,1550,5.9,19,119.2,14,187,13.4,1,14.4,275,1737,6.3,20,,Ronald Jones II
2015*,Auburn,SEC,FR,RB,13,52,208,4.0,3,16.0,14,159,11.4,0,12.2,66,367,5.6,3,,Kerryon Johnson
2016*,Auburn,SEC,SO,RB,12,182,895,4.9,11,74.6,17,125,7.4,0,10.4,199,1020,5.1,11,,Kerryon Johnson
2017*,Auburn,SEC,JR,RB,12,285,1391,4.9,18,115.9,24,194,8.1,2,16.2,309,1585,5.1,20,H-9,Kerryon Johnson
2015*,LSU,SEC,FR,RB,12,51,436,8.5,3,36.3,5,20,4.0,0,1.7,56,456,8.1,3,,Derrius Guice
2016*,LSU,SEC,SO,RB,12,183,1387,7.6,15,115.6,9,106,11.8,1,8.8,192,1493,7.8,16,,Derrius Guice
2017*,LSU,SEC,JR,RB,12,237,1251,5.3,11,104.3,18,124,6.9,2,10.3,255,1375,5.4,13,,Derrius Guice
2014*,Oregon,Pac-12,FR,RB,15,252,1365,5.4,18,91.0,16,158,9.9,1,10.5,268,1523,5.7,19,,Royce Freeman
2015*,Oregon,Pac-12,SO,RB,13,283,1836,6.5,17,141.2,26,348,13.4,2,26.8,309,2184,7.1,19,,Royce Freeman
2016,Oregon,Pac-12,JR,RB,11,168,945,5.6,9,85.9,23,144,6.3,1,13.1,191,1089,5.7,10,,Royce Freeman
2017*,Oregon,Pac-12,SR,RB,12,244,1475,6.0,16,122.9,14,164,11.7,0,13.7,258,1639,6.4,16,,Royce Freeman
2015*,Miami (FL),ACC,FR,RB,13,129,450,3.5,9,34.6,22,293,13.3,1,22.5,151,743,4.9,10,,Mark Walton
2016*,Miami (FL),ACC,SO,RB,13,209,1117,5.3,14,85.9,27,240,8.9,1,18.5,236,1357,5.8,15,,Mark Walton
2017*,Miami (FL),ACC,JR,RB,5,56,428,7.6,3,85.6,7,91,13.0,0,18.2,63,519,8.2,3,,Mark Walton
2014,Southern Mississippi,CUSA,FR,RB,12,136,536,3.9,2,44.7,8,76,9.5,0,6.3,144,612,4.3,2,,Ito Smith
2015*,Southern Mississippi,CUSA,SO,RB,14,171,1128,6.6,10,80.6,49,515,10.5,3,36.8,220,1643,7.5,13,,Ito Smith
2016*,Southern Mississippi,CUSA,JR,RB,13,265,1459,5.5,17,112.2,43,459,10.7,2,35.3,308,1918,6.2,19,,Ito Smith
2017*,Southern Mississippi,CUSA,SR,RB,13,248,1413,5.7,13,108.7,40,396,9.9,2,30.5,288,1809,6.3,15,,Ito Smith
2014*,Arizona State,Pac-12,FR,RB,12,42,126,3.0,3,10.5,6,64,10.7,1,5.3,48,190,4.0,4,,Kalen Ballage
2015*,Arizona State,Pac-12,SO,RB,10,125,653,5.2,4,65.3,12,60,5.0,0,6.0,137,713,5.2,4,,Kalen Ballage
2016,Arizona State,Pac-12,JR,RB,12,126,536,4.3,14,44.7,44,469,10.7,1,39.1,170,1005,5.9,15,,Kalen Ballage
2017*,Arizona State,Pac-12,SR,RB,13,157,669,4.3,6,51.5,20,91,4.6,0,7.0,177,760,4.3,6,,Kalen Ballage
2014*,Ole Miss,SEC,FR,RB,13,52,361,6.9,1,27.8,1,6,6.0,0,0.5,53,367,6.9,1,,Jordan Wilkins
2015*,Ole Miss,SEC,SO,RB,13,72,379,5.3,4,29.2,5,75,15.0,0,5.8,77,454,5.9,4,,Jordan Wilkins
,,,,,,,,,,,,,,,,,,,,,Jordan Wilkins
2017,Ole Miss,SEC,SR,RB,12,155,1011,6.5,9,84.3,26,241,9.3,1,20.1,181,1252,6.9,10,,Jordan Wilkins
2015*,Tennessee,SEC,FR,RB,10,40,165,4.1,1,16.5,0,0,,0,0.0,40,165,4.1,1,,John Kelly
2016*,Tennessee,SEC,SO,RB,12,98,630,6.4,5,52.5,6,51,8.5,0,4.3,104,681,6.5,5,,John Kelly
2017,Tennessee,SEC,JR,RB,11,189,778,4.1,9,70.7,37,299,8.1,0,27.2,226,1077,4.8,9,,John Kelly
2013,Louisiana Tech,CUSA,FR,RB,1,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Boston Scott
2014*,Louisiana Tech,CUSA,FR,RB,1,1,3,3.0,0,3.0,0,0,,0,0.0,1,3,3.0,0,,Boston Scott
2015*,Louisiana Tech,CUSA,SO,RB,11,34,275,8.1,0,25.0,1,1,1.0,0,0.1,35,276,7.9,0,,Boston Scott
2016*,Louisiana Tech,CUSA,JR,RB,14,70,515,7.4,6,36.8,11,125,11.4,0,8.9,81,640,7.9,6,,Boston Scott
2017*,Louisiana Tech,CUSA,SR,RB,13,182,1040,5.7,8,80.0,20,181,9.1,1,13.9,202,1221,6.0,9,,Boston Scott
2014*,South Carolina,SEC,FR,RB,13,45,256,5.7,2,19.7,7,99,14.1,0,7.6,52,355,6.8,2,,David Williams
2015,South Carolina,SEC,SO,RB,12,86,299,3.5,0,24.9,11,93,8.5,0,7.8,97,392,4.0,0,,David Williams
2016*,South Carolina,SEC,JR,RB,13,56,239,4.3,3,18.4,9,72,8.0,0,5.5,65,311,4.8,3,,David Williams
2017,Arkansas,SEC,SR,RB,12,117,656,5.6,8,54.7,10,171,17.1,2,14.3,127,827,6.5,10,,David Williams
2015*,Alabama,SEC,FR,RB,7,18,104,5.8,1,14.9,0,0,,0,0.0,18,104,5.8,1,,Bo Scarbrough
2016*,Alabama,SEC,SO,RB,13,125,812,6.5,11,62.5,4,22,5.5,0,1.7,129,834,6.5,11,,Bo Scarbrough
2017*,Alabama,SEC,JR,RB,14,124,596,4.8,8,42.6,17,109,6.4,0,7.8,141,705,5.0,8,,Bo Scarbrough
2014,Northwestern,Big Ten,FR,RB,12,245,1187,4.8,10,98.9,22,201,9.1,1,16.8,267,1388,5.2,11,,Justin Jackson
2015*,Northwestern,Big Ten,SO,RB,13,312,1418,4.5,5,109.1,21,162,7.7,0,12.5,333,1580,4.7,5,,Justin Jackson
2016*,Northwestern,Big Ten,JR,RB,13,298,1524,5.1,15,117.2,35,219,6.3,0,16.8,333,1743,5.2,15,,Justin Jackson
2017*,Northwestern,Big Ten,SR,RB,13,287,1311,4.6,11,100.8,44,276,6.3,0,21.2,331,1587,4.8,11,,Justin Jackson
