Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2015,South Carolina,SEC,FR,TE,12,8,106,13.3,0,8.8,0,0,,0,0.0,8,106,13.3,0,,Hayden Hurst,,,,,,,,,,,,,
2016*,South Carolina,SEC,SO,TE,13,48,616,12.8,1,47.4,2,9,4.5,0,0.7,50,625,12.5,1,,Hayden Hurst,,,,,,,,,,,,,
2017*,South Carolina,SEC,JR,TE,13,44,559,12.7,2,43.0,9,30,3.3,1,2.3,53,589,11.1,3,,Hayden Hurst,,,,,,,,,,,,,
2014*,Penn State,Big Ten,FR,TE,12,11,114,10.4,0,9.5,0,0,,0,0.0,11,114,10.4,0,,Mike Gesicki,,,,,,,,,,,,,
2015*,Penn State,Big Ten,SO,TE,12,13,125,9.6,1,10.4,0,0,,0,0.0,13,125,9.6,1,,Mike Gesicki,,,,,,,,,,,,,
2016*,Penn State,Big Ten,JR,TE,14,48,679,14.1,5,48.5,0,0,,0,0.0,48,679,14.1,5,,Mike Gesicki,,,,,,,,,,,,,
2017*,Penn State,Big Ten,SR,TE,13,57,563,9.9,9,43.3,0,0,,0,0.0,57,563,9.9,9,,Mike Gesicki,,,,,,,,,,,,,
2016*,Indiana,Big Ten,JR,TE,13,3,28,9.3,0,2.2,0,0,,0,0.0,3,28,9.3,0,,Ian Thomas,,,,,,,,,,,,,
2017,Indiana,Big Ten,SR,TE,10,25,376,15.0,5,37.6,0,0,,0,0.0,25,376,15.0,5,,Ian Thomas,,,,,,,,,,,,,
2014*,Notre Dame,Ind,SO,TE,12,1,7,7.0,0,0.6,0,0,,0,0.0,1,7,7.0,0,,Durham Smythe,,,,,,,,,,,,,
2015*,Notre Dame,Ind,JR,TE,3,3,18,6.0,1,6.0,0,0,,0,0.0,3,18,6.0,1,,Durham Smythe,,,,,,,,,,,,,
2016,Notre Dame,Ind,SR,TE,11,9,112,12.4,4,10.2,0,0,,0,0.0,9,112,12.4,4,,Durham Smythe,,,,,,,,,,,,,
2017*,Notre Dame,Ind,SR,TE,13,15,244,16.3,1,18.8,0,0,,0,0.0,15,244,16.3,1,,Durham Smythe,,,,,,,,,,,,,
2015*,Stanford,Pac-12,SO,TE,14,10,121,12.1,1,8.6,0,0,,0,0.0,10,121,12.1,1,,Dalton Schultz,,,,,,,,,,,,,
2016*,Stanford,Pac-12,JR,TE,13,23,222,9.7,1,17.1,0,0,,0,0.0,23,222,9.7,1,,Dalton Schultz,,,,,,,,,,,,,
2017*,Stanford,Pac-12,SR,TE,13,22,212,9.6,3,16.3,0,0,,0,0.0,22,212,9.6,3,,Dalton Schultz,,,,,,,,,,,,,
2014*,Wisconsin,Big Ten,FR,TE,14,14,187,13.4,0,13.4,0,0,,0,0.0,14,187,13.4,0,,Troy Fumagalli,,,,,,,,,,,,,
2015*,Wisconsin,Big Ten,SO,TE,11,28,313,11.2,1,28.5,0,0,,0,0.0,28,313,11.2,1,,Troy Fumagalli,,,,,,,,,,,,,
2016*,Wisconsin,Big Ten,JR,TE,14,47,580,12.3,2,41.4,0,0,,0,0.0,47,580,12.3,2,,Troy Fumagalli,,,,,,,,,,,,,
2017*,Wisconsin,Big Ten,SR,TE,13,46,547,11.9,4,42.1,0,0,,0,0.0,46,547,11.9,4,,Troy Fumagalli,,,,,,,,,,,,,
2015*,Central Michigan,MAC,SO,TE,13,6,95,15.8,0,7.3,0,0,,0,0.0,6,95,15.8,0,,Tyler Conklin,,,,,,,,,,,,,
2016*,Central Michigan,MAC,JR,TE,13,42,560,13.3,6,43.1,0,0,,0,0.0,42,560,13.3,6,,Tyler Conklin,,,,,,,,,,,,,
2017*,Central Michigan,MAC,SR,TE,8,35,504,14.4,5,63.0,0,0,,0,0.0,35,504,14.4,5,,Tyler Conklin,,,,,,,,,,,,,
2014*,North Carolina State,ACC,FR,TE,13,6,96,16.0,1,7.4,15,143,9.5,1,11.0,21,239,11.4,2,,Jaylen Samuels,,,,,,,,,,,,,
2015*,North Carolina State,ACC,SO,TE,13,65,597,9.2,7,45.9,56,368,6.6,9,28.3,121,965,8.0,16,,Jaylen Samuels,,,,,,,,,,,,,
2016*,North Carolina State,ACC,JR,TE,13,55,565,10.3,7,43.5,33,189,5.7,6,14.5,88,754,8.6,13,,Jaylen Samuels,,,,,,,,,,,,,
2017*,North Carolina State,ACC,SR,TE,13,76,597,7.9,4,45.9,77,403,5.2,12,31.0,153,1000,6.5,16,,Jaylen Samuels,,,,,,,,,,,,,
2016*,Mississippi State,SEC,JR,TE,12,9,48,5.3,1,4.0,0,0,,0,0.0,9,48,5.3,1,,Jordan Thomas,,,,,,,,,,,,,
2017*,Mississippi State,SEC,SR,TE,13,22,263,12.0,3,20.2,0,0,,0,0.0,22,263,12.0,3,,Jordan Thomas,,,,,,,,,,,,,
2014*,Mississippi State,SEC,SO,TE,3,,,,,,,,,,,,,,,,Hunter Bradley,1,0,1,0,0.0,0,0,0,0,0,0,0,0
2015*,Mississippi State,SEC,JR,LS,12,,,,,,,,,,,,,,,,Hunter Bradley,3,0,3,0,0.0,0,0,0,0,0,0,0,0
2016*,Mississippi State,SEC,,,13,,,,,,,,,,,,,,,,Hunter Bradley,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2017*,Mississippi State,SEC,,,13,,,,,,,,,,,,,,,,Hunter Bradley,0,0,0,0,0.0,0,0,0,0,0,0,0,0
2014*,Florida State,ACC,FR,TE,2,1,7,7.0,0,3.5,0,0,,0,0.0,1,7,7.0,0,,Ryan Izzo,,,,,,,,,,,,,
2015*,Florida State,ACC,FR,TE,13,14,210,15.0,2,16.2,0,0,,0,0.0,14,210,15.0,2,,Ryan Izzo,,,,,,,,,,,,,
