Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2015,Maryland,Big Ten,FR,WR,12,25,357,14.3,3,29.8,1,9,9.0,0,0.8,26,366,14.1,3,,D.J. Moore,,,,,,,,,,,,,,
2016*,Maryland,Big Ten,SO,WR,13,41,637,15.5,6,49.0,11,55,5.0,0,4.2,52,692,13.3,6,,D.J. Moore,,,,,,,,,,,,,,
2017,Maryland,Big Ten,JR,WR,12,80,1033,12.9,8,86.1,5,61,12.2,1,5.1,85,1094,12.9,9,,D.J. Moore,,,,,,,,,,,,,,
2015*,Alabama,SEC,FR,WR,15,89,1045,11.7,7,69.7,1,2,2.0,0,0.1,90,1047,11.6,7,,Calvin Ridley,,,,,,,,,,,,,,
2016*,Alabama,SEC,SO,WR,15,72,769,10.7,7,51.3,5,21,4.2,1,1.4,77,790,10.3,8,,Calvin Ridley,,,,,,,,,,,,,,
2017*,Alabama,SEC,JR,WR,14,63,967,15.3,5,69.1,2,17,8.5,0,1.2,65,984,15.1,5,,Calvin Ridley,,,,,,,,,,,,,,
2014*,Washington,Pac-12,FR,WR,13,17,259,15.2,1,19.9,0,0,,0,0.0,17,259,15.2,1,,Dante Pettis,,,,,,,,,,,,,,
2015*,Washington,Pac-12,SO,WR,13,30,414,13.8,1,31.8,1,-8,-8.0,0,-0.6,31,406,13.1,1,,Dante Pettis,,,,,,,,,,,,,,
2016*,Washington,Pac-12,JR,WR,14,53,822,15.5,15,58.7,0,0,,0,0.0,53,822,15.5,15,,Dante Pettis,,,,,,,,,,,,,,
2017*,Washington,Pac-12,SR,WR,13,63,761,12.1,7,58.5,3,50,16.7,0,3.8,66,811,12.3,7,AA,Dante Pettis,,,,,,,,,,,,,,
2015*,Iowa,Big Ten,FR,WR,14,,,,,,,,,,,,,,,,Josh Jackson,8,0,8,0,0.0,0,0,,0,2,0,0,0,0
2016*,Iowa,Big Ten,SO,DB,12,,,,,,,,,,,,,,,,Josh Jackson,10,0,10,1,0.0,0,0,,0,4,0,0,0,0
2017*,Iowa,Big Ten,JR,DB,13,,,,,,,,,,,,,,,AA,Josh Jackson,34,14,48,1,0.0,8,168,21.0,2,18,0,0,0,1
2015*,Texas A&M,SEC,FR,WR,13,80,1009,12.6,7,77.6,11,54,4.9,0,4.2,91,1063,11.7,7,,Christian Kirk,,,,,,,,,,,,,,
2016*,Texas A&M,SEC,SO,WR,13,83,928,11.2,9,71.4,8,35,4.4,0,2.7,91,963,10.6,9,,Christian Kirk,,,,,,,,,,,,,,
2017*,Texas A&M,SEC,JR,WR,13,71,919,12.9,10,70.7,4,31,7.8,0,2.4,75,950,12.7,10,,Christian Kirk,,,,,,,,,,,,,,
2015*,Memphis,American,SO,WR,12,47,694,14.8,5,57.8,9,54,6.0,2,4.5,56,748,13.4,7,,Anthony Miller,,,,,,,,,,,,,,
2016*,Memphis,American,JR,WR,13,95,1434,15.1,14,110.3,12,69,5.8,1,5.3,107,1503,14.0,15,,Anthony Miller,,,,,,,,,,,,,,
