Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2012*,Michigan,Big Ten,FR,TE,13,15,234,15.6,5,18.0,0,0,,0,0.0,15,234,15.6,5,,Devin Funchess
2013*,Michigan,Big Ten,SO,TE,13,49,748,15.3,6,57.5,6,34,5.7,0,2.6,55,782,14.2,6,,Devin Funchess
2014,Michigan,Big Ten,JR,WR,11,62,733,11.8,4,66.6,2,-11,-5.5,0,-1.0,64,722,11.3,4,,Devin Funchess
2013*,Minnesota,Big Ten,FR,TE,13,25,417,16.7,5,32.1,1,7,7.0,0,0.5,26,424,16.3,5,,Maxx Williams
2014*,Minnesota,Big Ten,SO,TE,12,36,569,15.8,8,47.4,0,0,,0,0.0,36,569,15.8,8,,Maxx Williams
2011,Miami (FL),ACC,FR,TE,12,18,172,9.6,1,14.3,0,0,,0,0.0,18,172,9.6,1,,Clive Walford
2012,Miami (FL),ACC,SO,TE,12,25,451,18.0,4,37.6,0,0,,0,0.0,25,451,18.0,4,,Clive Walford
2013*,Miami (FL),ACC,JR,TE,12,34,454,13.4,2,37.8,0,0,,0,0.0,34,454,13.4,2,,Clive Walford
2014*,Miami (FL),ACC,SR,TE,12,44,676,15.4,7,56.3,0,0,,0,0.0,44,676,15.4,7,,Clive Walford
2012*,Rutgers,Big East,FR,TE,11,3,59,19.7,1,5.4,0,0,,0,0.0,3,59,19.7,1,,Tyler Kroft
2013*,Rutgers,American,SO,TE,13,43,573,13.3,4,44.1,0,0,,0,0.0,43,573,13.3,4,,Tyler Kroft
2014*,Rutgers,Big Ten,JR,TE,13,24,269,11.2,0,20.7,0,0,,0,0.0,24,269,11.2,0,,Tyler Kroft
