Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2013*,Florida State,ACC,FR,QB,14,257,384,66.9,4057,40,10.4,10,2.6,10.6,11.48,15.8,289.8,184.8,"H-1,AA,Camp",Jameis Winston
2014*,Florida State,ACC,SO,QB,13,305,467,65.3,3907,25,5.4,18,3.9,8.4,7.70,12.8,300.5,145.5,H-6,Jameis Winston
2012*,Oregon,Pac-12,FR,QB,13,230,336,68.5,2677,32,9.5,6,1.8,8.0,9.07,11.6,205.9,163.2,,Marcus Mariota
2013*,Oregon,Pac-12,SO,QB,13,245,386,63.5,3665,31,8.0,4,1.0,9.5,10.63,15.0,281.9,167.7,,Marcus Mariota
2014*,Oregon,Pac-12,JR,QB,15,304,445,68.3,4454,42,9.4,4,0.9,10.0,11.49,14.7,296.9,181.7,"H-1,Maxwell,AA,Camp",Marcus Mariota
2011,Colorado State,MWC,FR,QB,4,43,77,55.8,542,2,2.6,6,7.8,7.0,4.05,12.6,135.5,108.0,,Garrett Grayson
2012,Colorado State,MWC,SO,QB,6,78,138,56.5,946,7,5.1,3,2.2,6.9,6.89,12.1,157.7,126.5,,Garrett Grayson
2013*,Colorado State,MWC,JR,QB,14,297,478,62.1,3696,23,4.8,11,2.3,7.7,7.66,12.4,264.0,138.4,,Garrett Grayson
2014*,Colorado State,MWC,SR,QB,13,270,420,64.3,4006,32,7.6,7,1.7,9.5,10.31,14.8,308.2,166.2,,Garrett Grayson
2011,Oregon State,Pac-12,FR,QB,12,305,473,64.5,3328,16,3.4,18,3.8,7.0,6.00,10.9,277.3,127.1,,Sean Mannion
2012*,Oregon State,Pac-12,SO,QB,10,200,309,64.7,2446,15,4.9,13,4.2,7.9,6.99,12.2,244.6,138.8,,Sean Mannion
2013*,Oregon State,Pac-12,JR,QB,13,400,603,66.3,4662,37,6.1,15,2.5,7.7,7.84,11.7,358.6,146.6,,Sean Mannion
2014,Oregon State,Pac-12,SR,QB,12,282,453,62.3,3164,15,3.3,8,1.8,7.0,6.85,11.2,263.7,128.3,,Sean Mannion
2011*,Baylor,Big 12,FR,QB,6,3,4,75.0,43,0,0.0,0,0.0,10.8,10.75,14.3,7.2,165.3,,Bryce Petty
2012*,Baylor,Big 12,SO,QB,6,7,10,70.0,97,1,10.0,0,0.0,9.7,11.70,13.9,16.2,184.5,,Bryce Petty
2013*,Baylor,Big 12,JR,QB,13,250,403,62.0,4200,32,7.9,3,0.7,10.4,11.67,16.8,323.1,174.3,H-7,Bryce Petty
2014*,Baylor,Big 12,SR,QB,12,270,428,63.1,3855,29,6.8,7,1.6,9.0,9.63,14.3,321.3,157.8,H-10,Bryce Petty
2011*,Oklahoma,Big 12,FR,QB,7,1,4,25.0,8,0,0.0,1,25.0,2.0,-9.25,8.0,1.1,-8.2,,Blake Bell
2012*,Oklahoma,Big 12,SO,QB,13,9,16,56.3,107,0,0.0,0,0.0,6.7,6.69,11.9,8.2,112.4,,Blake Bell
2013*,Oklahoma,Big 12,JR,QB,11,140,233,60.1,1648,12,5.2,5,2.1,7.1,7.14,11.8,149.8,132.2,,Blake Bell
2014*,Oklahoma,Big 12,SR,TE,12,0,0,,0,0,,0,,,,,0.0,,,Blake Bell
2012*,UCLA,Pac-12,FR,QB,14,318,478,66.5,3740,29,6.1,11,2.3,7.8,8.00,11.8,267.1,147.7,,Brett Hundley
2013*,UCLA,Pac-12,SO,QB,13,248,371,66.8,3071,24,6.5,9,2.4,8.3,8.48,12.4,236.2,152.9,,Brett Hundley
2014*,UCLA,Pac-12,JR,QB,13,271,392,69.1,3155,22,5.6,5,1.3,8.0,8.60,11.6,242.7,152.7,,Brett Hundley
2011*,Iowa,Big Ten,SO,QB,9,3,6,50.0,30,0,0.0,0,0.0,5.0,5.00,10.0,3.3,92.0,,A.J. Derby
,,,,,,,,,,,,,,,,,,,,A.J. Derby
2013,Arkansas,SEC,JR,QB,5,19,36,52.8,178,1,2.8,1,2.8,4.9,4.25,9.4,35.6,97.9,,A.J. Derby
2014*,Arkansas,SEC,SR,TE,11,0,0,,0,0,,0,,,,,0.0,,,A.J. Derby
2011*,Northwestern,Big Ten,FR,QB,8,16,26,61.5,256,3,11.5,1,3.8,9.8,10.42,16.0,32.0,174.6,,Trevor Siemian
2012*,Northwestern,Big Ten,SO,QB,13,128,218,58.7,1312,6,2.8,3,1.4,6.0,5.95,10.3,100.9,115.6,,Trevor Siemian
2013,Northwestern,Big Ten,JR,QB,12,178,298,59.7,2149,11,3.7,9,3.0,7.2,6.59,12.1,179.1,126.4,,Trevor Siemian
2014,Northwestern,Big Ten,SR,QB,11,228,392,58.2,2214,7,1.8,11,2.8,5.6,4.74,9.7,201.3,105.9,,Trevor Siemian
