Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2020*,Texas,Big 12,FR,RB,9,86,703,8.2,4,78.1,15,196,13.1,2,21.8,101,899,8.9,6,,Bijan Robinson
2021,Texas,Big 12,SO,RB,10,195,1127,5.8,11,112.7,26,295,11.3,4,29.5,221,1422,6.4,15,,Bijan Robinson
2022*,Texas,Big 12,JR,RB,12,258,1580,6.1,18,131.7,19,314,16.5,2,26.2,277,1894,6.8,20,"H-9,AA",Bijan Robinson
2020,Georgia Tech,ACC,FR,RB,7,89,460,5.2,4,65.7,24,303,12.6,3,43.3,113,763,6.8,7,,Jahmyr Gibbs
2021,Georgia Tech,ACC,FR,RB,12,143,746,5.2,4,62.2,36,470,13.1,2,39.2,179,1216,6.8,6,,Jahmyr Gibbs
2022*,Alabama,SEC,JR,RB,12,151,926,6.1,7,77.2,44,444,10.1,3,37.0,195,1370,7.0,10,,Jahmyr Gibbs
2019*,Michigan,Big Ten,FR,RB,13,149,726,4.9,11,55.8,8,30,3.8,0,2.3,157,756,4.8,11,,Zach Charbonnet
2020,Michigan,Big Ten,SO,RB,5,19,124,6.5,1,24.8,6,41,6.8,0,8.2,25,165,6.6,1,,Zach Charbonnet
2021,UCLA,Pac-12,JR,RB,12,203,1137,5.6,13,94.8,24,197,8.2,0,16.4,227,1334,5.9,13,,Zach Charbonnet
2022*,UCLA,Pac-12,SR,RB,10,195,1359,7.0,14,135.9,37,321,8.7,0,32.1,232,1680,7.2,14,,Zach Charbonnet
2020,Texas Christian,Big 12,FR,RB,9,54,388,7.2,2,43.1,1,-4,-4.0,0,-0.4,55,384,7.0,2,,Kendre Miller
2021,Texas Christian,Big 12,SO,RB,10,83,623,7.5,7,62.3,12,117,9.8,1,11.7,95,740,7.8,8,,Kendre Miller
2022*,Texas Christian,Big 12,JR,RB,14,224,1399,6.2,17,99.9,16,116,7.3,0,8.3,240,1515,6.3,17,,Kendre Miller
2019*,Tulane,American,FR,RB,5,32,192,6.0,1,38.4,5,133,26.6,1,26.6,37,325,8.8,2,,Tyjae Spears
2020*,Tulane,American,FR,RB,3,37,274,7.4,2,91.3,2,30,15.0,0,10.0,39,304,7.8,2,,Tyjae Spears
2021,Tulane,American,FR,RB,12,129,863,6.7,9,71.9,19,145,7.6,0,12.1,148,1008,6.8,9,,Tyjae Spears
2022*,Tulane,American,JR,RB,14,229,1581,6.9,19,112.9,22,256,11.6,2,18.3,251,1837,7.3,21,,Tyjae Spears
2020*,Texas A&M,SEC,FR,RB,8,43,364,8.5,4,45.5,5,97,19.4,1,12.1,48,461,9.6,5,,De'Von Achane
2021,Texas A&M,SEC,SO,RB,12,130,910,7.0,9,75.8,24,261,10.9,1,21.8,154,1171,7.6,10,,De'Von Achane
2022,Texas A&M,SEC,JR,RB,10,196,1102,5.6,8,110.2,36,196,5.4,3,19.6,232,1298,5.6,11,,De'Von Achane
2020*,Auburn,SEC,FR,RB,10,138,834,6.0,5,83.4,11,84,7.6,0,8.4,149,918,6.2,5,,Tank Bigsby
2021*,Auburn,SEC,SO,RB,13,224,1102,4.9,10,84.8,21,184,8.8,0,14.2,245,1286,5.2,10,,Tank Bigsby
2022,Auburn,SEC,JR,RB,12,179,970,5.4,10,80.8,30,180,6.0,0,15.0,209,1150,5.5,10,,Tank Bigsby
2020,Pitt,ACC,FR,RB,7,28,95,3.4,1,13.6,2,11,5.5,1,1.6,30,106,3.5,2,,Israel Abanikanda
2021*,Pitt,ACC,SO,RB,13,123,651,5.3,7,50.1,24,197,8.2,1,15.2,147,848,5.8,8,,Israel Abanikanda
2022*,Pitt,ACC,JR,RB,11,239,1431,6.0,20,130.1,12,146,12.2,1,13.3,251,1577,6.3,21,,Israel Abanikanda
2018*,Pitt,ACC,FR,RB,15,71,352,5.0,0,23.5,10,75,7.5,0,5.0,81,427,5.3,0,,Chase Brown
2019*,Illinois,Big Ten,SO,RB,4,3,18,6.0,0,4.5,0,0,,0,0.0,3,18,6.0,0,,Chase Brown
2020,Illinois,Big Ten,SO,RB,8,104,540,5.2,3,67.5,7,64,9.1,0,8.0,111,604,5.4,3,,Chase Brown
2021,Illinois,Big Ten,SO,RB,10,170,1005,5.9,5,100.5,14,142,10.1,0,14.2,184,1147,6.2,5,,Chase Brown
2022*,Illinois,Big Ten,JR,RB,12,328,1643,5.0,10,136.9,27,240,8.9,3,20.0,355,1883,5.3,13,,Chase Brown
2019*,Tennessee,SEC,FR,RB,13,101,539,5.3,4,41.5,13,115,8.8,1,8.8,114,654,5.7,5,,Eric Gray
2020,Tennessee,SEC,SO,RB,9,157,772,4.9,4,85.8,30,254,8.5,2,28.2,187,1026,5.5,6,,Eric Gray
2021*,Oklahoma,Big 12,JR,RB,13,78,412,5.3,2,31.7,23,229,10.0,2,17.6,101,641,6.3,4,,Eric Gray
2022*,Oklahoma,Big 12,SR,RB,12,213,1366,6.4,11,113.8,33,229,6.9,0,19.1,246,1595,6.5,11,,Eric Gray
2019,Northwestern,Big Ten,FR,RB,5,46,286,6.2,4,57.2,0,0,,0,0.0,46,286,6.2,4,,Evan Hull
2020*,Northwestern,Big Ten,FR,RB,9,25,209,8.4,2,23.2,6,41,6.8,0,4.6,31,250,8.1,2,,Evan Hull
2021,Northwestern,Big Ten,SO,RB,12,196,1009,5.1,7,84.1,33,264,8.0,2,22.0,229,1273,5.6,9,,Evan Hull
2022,Northwestern,Big Ten,JR,RB,12,221,913,4.1,5,76.1,55,546,9.9,2,45.5,276,1459,5.3,7,,Evan Hull
2018*,Kentucky,SEC,FR,RB,2,2,43,21.5,0,21.5,0,0,,0,0.0,2,43,21.5,0,,Chris Rodriguez
2019*,Kentucky,SEC,FR,RB,13,71,533,7.5,6,41.0,1,2,2.0,0,0.2,72,535,7.4,6,,Chris Rodriguez
2020*,Kentucky,SEC,SO,RB,9,119,785,6.6,11,87.2,1,12,12.0,0,1.3,120,797,6.6,11,,Chris Rodriguez
2021*,Kentucky,SEC,JR,RB,13,225,1379,6.1,9,106.1,13,61,4.7,3,4.7,238,1440,6.1,12,,Chris Rodriguez
2022*,Kentucky,SEC,SR,RB,8,175,904,5.2,6,113.0,5,41,8.2,0,5.1,180,945,5.3,6,,Chris Rodriguez
2020,Kansas State,Big 12,FR,RB,10,123,642,5.2,7,64.2,25,434,17.4,2,43.4,148,1076,7.3,9,,Deuce Vaughn
2021*,Kansas State,Big 12,SO,RB,13,235,1404,6.0,18,108.0,49,468,9.6,4,36.0,284,1872,6.6,22,AA,Deuce Vaughn
2022*,Kansas State,Big 12,JR,RB,14,293,1558,5.3,9,111.3,42,378,9.0,3,27.0,335,1936,5.8,12,AA,Deuce Vaughn
2020,Texas Christian,Big 12,FR,RB,9,54,415,7.7,4,46.1,8,76,9.5,0,8.4,62,491,7.9,4,,Zach Evans
2021,Texas Christian,Big 12,SO,RB,6,92,648,7.0,5,108.0,10,130,13.0,1,21.7,102,778,7.6,6,,Zach Evans
2022*,Ole Miss,SEC,JR,RB,12,144,936,6.5,9,78.0,12,119,9.9,1,9.9,156,1055,6.8,10,,Zach Evans
2020,UAB,CUSA,FR,RB,6,47,439,9.3,4,73.2,0,0,,0,0.0,47,439,9.3,4,,DeWayne McBride
2021*,UAB,CUSA,SO,RB,13,204,1371,6.7,13,105.5,3,19,6.3,0,1.5,207,1390,6.7,13,,DeWayne McBride
2022*,UAB,CUSA,JR,RB,11,233,1713,7.4,19,155.7,2,10,5.0,0,0.9,235,1723,7.3,19,,DeWayne McBride
2019*,Central Michigan,MAC,FR,RB,4,19,89,4.7,0,22.3,0,0,,0,0.0,19,89,4.7,0,,Lew Nichols
2020,Central Michigan,MAC,FR,RB,6,78,507,6.5,4,84.5,10,109,10.9,1,18.2,88,616,7.0,5,,Lew Nichols
2021*,Central Michigan,MAC,FR,RB,13,341,1848,5.4,16,142.2,40,338,8.5,2,26.0,381,2186,5.7,18,,Lew Nichols
2022,Central Michigan,MAC,SO,RB,9,176,616,3.5,6,68.4,21,128,6.1,0,14.2,197,744,3.8,6,,Lew Nichols
2019*,Georgia,SEC,FR,RB,11,25,174,7.0,2,15.8,1,3,3.0,0,0.3,26,177,6.8,2,,Kenny McIntosh
2020*,Georgia,SEC,SO,RB,8,47,251,5.3,1,31.4,10,111,11.1,0,13.9,57,362,6.4,1,,Kenny McIntosh
2021*,Georgia,SEC,JR,RB,14,58,328,5.7,3,23.4,22,242,11.0,2,17.3,80,570,7.1,5,,Kenny McIntosh
2022*,Georgia,SEC,SR,RB,15,150,829,5.5,10,55.3,43,505,11.7,2,33.7,193,1334,6.9,12,,Kenny McIntosh
