Season,Team,Conf,Class,Pos,G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player,Tackles Solo,Tackles Ast,Tackles Comb,Tackles TFL,Tackles Sk,Def Interceptions Int,Def Interceptions Yds,Def Interceptions Avg,Def Interceptions IntTD,Def Interceptions PD,Fumbles FR,Fumbles Yds,Fumbles FRTD,Fumbles FF
2018*,Penn State,Big Ten,FR,TE,1,1,8,8.0,0,8.0,0,0,,0,0.0,1,8,8.0,0,,Zack Kuntz,,,,,,,,,,,,,,
2019*,Penn State,Big Ten,SO,TE,13,2,18,9.0,0,1.4,0,0,,0,0.0,2,18,9.0,0,,Zack Kuntz,,,,,,,,,,,,,,
2020,Penn State,Big Ten,SO,TE,7,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Zack Kuntz,,,,,,,,,,,,,,
2021*,Old Dominion,CUSA,SO,TE,13,73,692,9.5,5,53.2,0,0,,0,0.0,73,692,9.5,5,,Zack Kuntz,,,,,,,,,,,,,,
2022,Old Dominion,Sun Belt,JR,TE,5,12,144,12.0,2,28.8,0,0,,0,0.0,12,144,12.0,2,,Zack Kuntz,,,,,,,,,,,,,,
2018*,Oklahoma,Big 12,FR,TE,13,1,29,29.0,0,2.2,0,0,,0,0.0,1,29,29.0,0,,Brayden Willis,,,,,,,,,,,,,,
2019*,Oklahoma,Big 12,SO,FB,14,11,168,15.3,3,12.0,2,-1,-0.5,0,-0.1,13,167,12.8,3,,Brayden Willis,,,,,,,,,,,,,,
2020*,Oklahoma,Big 12,JR,HB,5,9,110,12.2,1,22.0,0,0,,0,0.0,9,110,12.2,1,,Brayden Willis,,,,,,,,,,,,,,
2021*,Oklahoma,Big 12,SR,TE,13,15,177,11.8,2,13.6,0,0,,0,0.0,15,177,11.8,2,,Brayden Willis,,,,,,,,,,,,,,
2022*,Oklahoma,Big 12,SR,TE,13,39,514,13.2,7,39.5,10,26,2.6,0,2.0,49,540,11.0,7,,Brayden Willis,,,,,,,,,,,,,,
