,Name,POS,Age,HT,WT,Exp,College,Team
,Jake Matthews70,OT,33,"6' 5""",309 lbs,11,Texas A&M,ATL
,Kaleb McGary76,OT,30,"6' 6""",306 lbs,5,Washington,ATL
,Jack Nelson69,OT,23,"6' 7""",316 lbs,R,Wisconsin,ATL
,Storm Norton77,OT,30,"6' 7""",317 lbs,5,Toledo,ATL
,Brandon Parker75,OT,29,"6' 7""",305 lbs,7,North Carolina A&T,ATL
,Tyrone Wheatley Jr.74,OT,28,"6' 6""",320 lbs,2,Morgan State,ATL
,Elijah Wilkinson71,OT,30,"6' 4""",329 lbs,8,Massachusetts,ATL
,Jordan Williams,OT,--,"6' 6""",315 lbs,R,Georgia Tech,ATL
,Kilian Zierer77,OT,27,"6' 7""",312 lbs,2,Auburn,ATL
,Lamar Jackson8,QB,28,"6' 2""",205 lbs,7,Louisville,BAL
,Devin Leary13,QB,25,"6' 1""",216 lbs,R,Kentucky,BAL
,Cooper Rush,QB,31,"6' 3""",225 lbs,7,Central Michigan,BAL
,Rasheen Ali26,RB,24,"5' 11""",212 lbs,R,Marshall,BAL
,Derrick Henry22,RB,31,"6' 2""",247 lbs,9,Alabama,BAL
,Justice Hill43,RB,27,"5' 10""",195 lbs,6,Oklahoma State,BAL
,Marcus Major,RB,--,"6' 0""",220 lbs,R,Minnesota,BAL
,Keaton Mitchell34,RB,23,"5' 8""",191 lbs,2,East Carolina,BAL
,Sone Ntoh,RB,--,"5' 11""",235 lbs,R,Monmouth,BAL
,Patrick Ricard42,FB,30,"6' 3""",300 lbs,8,Maine,BAL
,Jahmal Banks,WR,--,"6' 4""",220 lbs,R,Nebraska,BAL
,Rashod Bateman7,WR,25,"6' 1""",195 lbs,4,Minnesota,BAL
,Malik Cunningham12,WR,26,"6' 1""",186 lbs,2,Louisville,BAL
,Zay Flowers4,WR,24,"5' 9""",175 lbs,2,Boston College,BAL
,Xavier Guillory,WR,--,"6' 2""",200 lbs,R,Arizona State,BAL
,DeAndre Hopkins,WR,32,"6' 1""",218 lbs,12,Clemson,BAL
,Keith Kirkwood87,WR,31,"6' 3""",210 lbs,5,Temple,BAL
,Anthony Miller6,WR,30,"5' 11""",190 lbs,6,Memphis,BAL
,Dayton Wade82,WR,24,"5' 9""",184 lbs,R,Ole Miss,BAL
,Devontez Walker81,WR,23,"6' 1""",198 lbs,R,North Carolina,BAL
,Tylan Wallace16,WR,26,"5' 11""",202 lbs,4,Oklahoma State,BAL
,LaJohntay Wester,WR,23,"5' 11""",167 lbs,R,Colorado,BAL
,Mark Andrews89,TE,29,"6' 5""",250 lbs,7,Oklahoma,BAL
,Charlie Kolar88,TE,26,"6' 6""",267 lbs,3,Iowa State,BAL
,Isaiah Likely80,TE,25,"6' 4""",247 lbs,3,Coastal Carolina,BAL
,Zaire Mitchell-Paden84,TE,25,"6' 5""",257 lbs,1,Florida Atlantic,BAL
,Sam Pitz,TE,--,"6' 6""",245 lbs,R,Minnesota Duluth,BAL
,Tyler Linderbaum64,C,25,"6' 2""",314 lbs,3,Iowa,BAL
,Nick Samac61,C,23,"6' 4""",314 lbs,R,Michigan State,BAL
,Ben Cleveland66,G,26,"6' 6""",360 lbs,4,Georgia,BAL
,Darrian Dalcourt76,G,24,"6' 3""",320 lbs,R,Alabama,BAL
,Garrett Dellinger,G,23,"6' 5""",322 lbs,R,LSU,BAL
,Andrew Vorhees72,G,26,"6' 6""",320 lbs,1,USC,BAL
