,Name,POS,Age,HT,WT,Exp,College,Team
,Jack Conklin78,OT,30,"6' 6""",308 lbs,9,Michigan State,CLE
,Dawand Jones79,OT,23,"6' 8""",374 lbs,2,Ohio State,CLE
,Cornelius Lucas,OT,33,"6' 8""",327 lbs,10,Kansas State,CLE
,Roy Mbaeteka61,OT,25,"6' 8""",330 lbs,1,--,CLE
,Justin Osborne,OT,--,"6' 5""",299 lbs,R,SMU,CLE
,Julian Pearl60,OT,25,"6' 6""",325 lbs,R,Illinois,CLE
,Lorenzo Thompson69,OT,24,"6' 6""",305 lbs,R,Rhode Island,CLE
,Dartanyan Tinsley,OT,--,"6' 4""",320 lbs,R,Cincinnati,CLE
,Will Grier16,QB,30,"6' 1""",220 lbs,6,West Virginia,DAL
,Joe Milton III,QB,25,"6' 5""",246 lbs,R,Tennessee,DAL
,Dak Prescott4,QB,31,"6' 2""",238 lbs,9,Mississippi State,DAL
,Jaydon Blue,RB,21,"6' 0""",200 lbs,R,Texas,DAL
,Hunter Luepke40,RB,25,"6' 1""",238 lbs,2,North Dakota State,DAL
,Phil Mafah,RB,22,"6' 1""",230 lbs,R,Clemson,DAL
,Miles Sanders6,RB,28,"5' 11""",210 lbs,6,Penn State,DAL
,Deuce Vaughn42,RB,23,"5' 6""",176 lbs,2,Kansas State,DAL
,Javonte Williams,RB,25,"5' 10""",220 lbs,4,North Carolina,DAL
,Jalen Brooks83,WR,25,"6' 2""",205 lbs,2,South Carolina,DAL
,Parris Campbell,WR,27,"6' 0""",208 lbs,7,Ohio State,DAL
,Ryan Flournoy80,WR,25,"6' 1""",200 lbs,R,Southeast Missouri State,DAL
,Kelvin Harmon84,WR,28,"6' 2""",215 lbs,2,NC State,DAL
,Traeshon Holden,WR,--,"6' 3""",205 lbs,R,Oregon,DAL
,Josh Kelly,WR,--,"6' 1""",195 lbs,R,Texas Tech,DAL
,CeeDee Lamb88,WR,26,"6' 2""",200 lbs,5,Oklahoma,DAL
,Jonathan Mingo81,WR,24,"6' 2""",220 lbs,2,Ole Miss,DAL
,Jalen Moreno-Cropper16,WR,24,"6' 0""",172 lbs,1,Fresno State,DAL
,George Pickens,WR,24,"6' 3""",200 lbs,3,Georgia,DAL
,Jalen Tolbert1,WR,26,"6' 1""",195 lbs,3,South Alabama,DAL
,KaVontae Turpin9,WR,28,"5' 9""",153 lbs,3,TCU,DAL
,Rivaldo Fairweather,TE,--,"6' 4""",252 lbs,R,Auburn,DAL
,Princeton Fant85,TE,26,"6' 2""",235 lbs,1,Tennessee,DAL
,Jake Ferguson87,TE,26,"6' 5""",244 lbs,3,Wisconsin,DAL
,Tyler Neville,TE,--,"6' 4""",248 lbs,R,Virginia,DAL
,Luke Schoonmaker86,TE,26,"6' 5""",250 lbs,2,Michigan,DAL
,Brevyn Spann-Ford89,TE,25,"6' 7""",270 lbs,R,Minnesota,DAL
,John Stephens Jr.81,TE,25,"6' 5""",221 lbs,2,Louisiana,DAL
,Brock Hoffman67,C,25,"6' 4""",302 lbs,2,Virginia Tech,DAL
,T.J. Bass66,G,26,"6' 4""",325 lbs,2,Oregon,DAL
,Cooper Beebe56,G,23,"6' 4""",335 lbs,R,Kansas State,DAL
,Tyler Booker,G,21,"6' 5""",325 lbs,R,Alabama,DAL
,Saahdiq Charles,G,25,"6' 4""",321 lbs,5,LSU,DAL
,Robert Jones,G,26,"6' 4""",325 lbs,4,Middle Tennessee,DAL
,Tyler Smith73,G,24,"6' 6""",332 lbs,3,Tulsa,DAL
,Hakeem Adeniji,OT,27,"6' 4""",315 lbs,5,Kansas,DAL
,Ajani Cornelius,OT,22,"6' 5""",315 lbs,R,Oregon,DAL
,Tyler Guyton60,OT,23,"6' 7""",322 lbs,R,Oklahoma,DAL
,Asim Richards76,OT,24,"6' 4""",307 lbs,2,North Carolina,DAL
,Dakoda Shepley65,OT,30,"6' 5""",290 lbs,2,British Columbia,DAL
,Terence Steele78,OT,27,"6' 6""",310 lbs,5,Texas Tech,DAL
,Nathan Thomas62,OT,23,"6' 4""",331 lbs,R,Louisiana,DAL
,Matt Waletzko79,OT,25,"6' 8""",305 lbs,3,North Dakota,DAL
,Sam Ehlinger,QB,26,"6' 2""",225 lbs,4,Texas,DEN
,Bo Nix10,QB,25,"6' 2""",217 lbs,R,Oregon,DEN
,Jarrett Stidham8,QB,28,"6' 3""",215 lbs,5,Auburn,DEN
,Tyler Badie28,RB,25,"5' 8""",197 lbs,1,Missouri,DEN
,Audric Estime23,RB,21,"5' 11""",227 lbs,R,Notre Dame,DEN
,RJ Harvey,RB,24,"5' 9""",208 lbs,R,UCF,DEN
,Jaleel McLaughlin38,RB,24,"5' 7""",187 lbs,2,Youngstown State,DEN
,Blake Watson25,RB,25,"5' 9""",195 lbs,R,Memphis,DEN
,Michael Burton20,FB,33,"6' 0""",247 lbs,10,Rutgers,DEN
,Michael Bandy83,WR,27,"5' 10""",190 lbs,3,San Diego,DEN
,Pat Bryant,WR,22,"6' 3""",200 lbs,R,Illinois,DEN
,Joaquin Davis,WR,--,"6' 4""",195 lbs,R,North Carolina Central,DEN
,Troy Franklin16,WR,22,"6' 3""",180 lbs,R,Oregon,DEN
,Courtney Jackson,WR,--,"5' 11""",189 lbs,R,Arkansas State,DEN
,Marvin Mims Jr.19,WR,23,"5' 11""",182 lbs,2,Oklahoma,DEN
,Jerjuan Newton,WR,--,"5' 11""",192 lbs,R,Toledo,DEN
,A.T. Perry87,WR,25,"6' 5""",205 lbs,2,Wake Forest,DEN
,Trent Sherfield Sr.11,WR,29,"6' 1""",206 lbs,7,Vanderbilt,DEN
,Courtland Sutton14,WR,29,"6' 4""",216 lbs,7,SMU,DEN
,Devaughn Vele17,WR,27,"6' 5""",210 lbs,R,Utah,DEN
,Kyrese White,WR,--,"5' 10""",185 lbs,R,Utah State,DEN
,Nate Adkins45,TE,25,"6' 3""",252 lbs,2,South Carolina,DEN
,Evan Engram,TE,30,"6' 3""",240 lbs,8,Ole Miss,DEN
,Cole Fotheringham,TE,27,"6' 4""",243 lbs,4,Utah,DEN
,Lucas Krull85,TE,26,"6' 6""",260 lbs,2,Pittsburgh,DEN
,Caleb Lohner,TE,24,"6' 7""",250 lbs,R,Utah,DEN
,Adam Trautman82,TE,28,"6' 5""",253 lbs,5,Dayton,DEN
,Alex Forsyth54,C,26,"6' 4""",312 lbs,2,Oregon,DEN
,Joe Michalski,C,--,"6' 5""",305 lbs,R,Oklahoma State,DEN
,Luke Wattenberg60,C,27,"6' 5""",300 lbs,3,Washington,DEN
,Clay Webb,C,25,"6' 3""",310 lbs,R,Jacksonville State,DEN
,Nick Gargiulo66,G,24,"6' 5""",310 lbs,R,South Carolina,DEN
,Quinn Meinerz77,G,26,"6' 3""",320 lbs,4,Wisconsin-Whitewater,DEN
,Ben Powers74,G,28,"6' 4""",310 lbs,6,Oklahoma,DEN
,Calvin Throckmorton76,G,28,"6' 5""",311 lbs,4,Oregon,DEN
,Xavier Truss,G,--,"6' 7""",320 lbs,R,Georgia,DEN
,Garett Bolles72,OT,32,"6' 5""",300 lbs,8,Utah,DEN
,Marques Cox,OT,--,"6' 5""",318 lbs,R,Kentucky,DEN
,Frank Crum73,OT,24,"6' 7""",315 lbs,R,Wyoming,DEN
,Mike McGlinchey69,OT,30,"6' 8""",315 lbs,7,Notre Dame,DEN
,Alex Palczewski63,OT,25,"6' 6""",314 lbs,2,Illinois,DEN
,Matt Peart79,OT,27,"6' 7""",318 lbs,5,UConn,DEN
,Will Sherman,OT,25,"6' 4""",300 lbs,1,Colorado,DEN
,Kyle Allen,QB,29,"6' 3""",210 lbs,7,Houston,DET
,Jared Goff16,QB,30,"6' 4""",217 lbs,9,California,DET
,Hendon Hooker2,QB,27,"6' 3""",220 lbs,2,Tennessee,DET
,Jahmyr Gibbs0,RB,23,"5' 9""",200 lbs,2,Alabama,DET
,Justin Jackson38,RB,29,"6' 0""",199 lbs,6,Northwestern,DET
,David Montgomery5,RB,27,"5' 11""",224 lbs,6,Iowa State,DET
,Craig Reynolds13,RB,28,"5' 11""",216 lbs,3,Kutztown,DET
,Kye Robichaux,RB,--,"6' 0""",217 lbs,R,Boston College,DET
,Anthony Tyus III,RB,--,"6' 1""",226 lbs,R,Ohio,DET
,Sione Vaki33,RB,23,"5' 11""",213 lbs,R,Utah,DET
,Ronnie Bell10,WR,25,"6' 0""",190 lbs,2,Michigan,DET
,Jakobie Keeney-James,WR,--,"6' 1""",197 lbs,R,Massachusetts,DET
,Tom Kennedy85,WR,28,"5' 10""",195 lbs,3,Bryant,DET
,Dominic Lovett,WR,22,"5' 10""",187 lbs,R,Georgia,DET
,Jackson Meeks,WR,22,"6' 2""",210 lbs,R,Syracuse,DET
,Tim Patrick12,WR,31,"6' 5""",210 lbs,7,Utah,DET
,Kalif Raymond11,WR,30,"5' 8""",180 lbs,8,Holy Cross,DET
,Amon-Ra St. Brown14,WR,25,"6' 0""",202 lbs,4,USC,DET
,Isaac TeSlaa,WR,23,"6' 4""",217 lbs,R,Arkansas,DET
,Jameson Williams1,WR,24,"6' 1""",180 lbs,3,Alabama,DET
,Zach Horton,TE,--,"6' 4""",252 lbs,R,Indiana,DET
,Sam LaPorta87,TE,24,"6' 3""",245 lbs,2,Iowa,DET
,Brock Wright89,TE,26,"6' 5""",250 lbs,4,Notre Dame,DET
,Kenny Yeboah88,TE,26,"6' 4""",250 lbs,4,Ole Miss,DET
,Shane Zylstra84,TE,28,"6' 4""",244 lbs,3,Minnesota State,DET
,Kingsley Eguakun65,C,24,"6' 3""",312 lbs,R,Florida,DET
,Frank Ragnow77,C,28,"6' 5""",310 lbs,7,Arkansas,DET
,Kayode Awosika74,G,26,"6' 3""",315 lbs,3,Buffalo,DET
,Miles Frazier,G,23,"6' 5""",325 lbs,R,LSU,DET
,Graham Glasgow60,G,32,"6' 6""",315 lbs,9,Michigan,DET
,Christian Mahogany73,G,24,"6' 3""",319 lbs,R,Boston College,DET
,Netane Muti52,G,26,"6' 3""",315 lbs,4,Fresno State,DET
,Michael Niese62,G,27,"6' 5""",295 lbs,1,Temple,DET
,Tate Ratledge,G,24,"6' 6""",320 lbs,R,Georgia,DET
,Taylor Decker68,OT,30,"6' 7""",318 lbs,9,Ohio State,DET
,Jamarco Jones72,OT,28,"6' 4""",305 lbs,6,Ohio State,DET
,Giovanni Manu59,OT,24,"6' 7""",354 lbs,R,British Columbia,DET
,Mason Miller,OT,--,"6' 7""",305 lbs,R,North Dakota State,DET
,Penei Sewell58,OT,24,"6' 5""",335 lbs,4,Oregon,DET
,Dan Skipper70,OT,30,"6' 9""",330 lbs,5,Arkansas,DET
,Colby Sorsdal75,OT,25,"6' 6""",315 lbs,2,William & Mary,DET
,Sean Clifford6,QB,26,"6' 2""",218 lbs,2,Penn State,GNB
,Taylor Elgersma,QB,--,"6' 5""",227 lbs,R,Wilfred Laurier,GNB
,Jordan Love10,QB,26,"6' 4""",219 lbs,5,Utah State,GNB
,Malik Willis2,QB,25,"6' 1""",225 lbs,3,Liberty,GNB
,Chris Brooks30,RB,25,"6' 1""",219 lbs,2,BYU,GNB
,Josh Jacobs8,RB,27,"5' 10""",223 lbs,6,Alabama,GNB
,Amar Johnson,RB,--,"5' 10""",205 lbs,R,South Dakota State,GNB
,MarShawn Lloyd32,RB,24,"5' 9""",220 lbs,R,USC,GNB
,Jalen White,RB,--,"6' 1""",220 lbs,R,Georgia Southern,GNB
,Emanuel Wilson31,RB,26,"5' 10""",226 lbs,2,Fort Valley State,GNB
,Romeo Doubs87,WR,25,"6' 2""",204 lbs,3,Nevada,GNB
,Julian Fleming,WR,--,"6' 2""",206 lbs,R,Penn State,GNB
,Matthew Golden,WR,21,"6' 0""",195 lbs,R,Texas,GNB
,Mecole Hardman,WR,27,"5' 10""",187 lbs,7,Georgia,GNB
,Malik Heath18,WR,25,"6' 2""",213 lbs,2,Ole Miss,GNB
,Julian Hicks81,WR,25,"6' 2""",201 lbs,R,UAlbany,GNB
,Cornelius Johnson83,WR,24,"6' 3""",212 lbs,R,Michigan,GNB
,Bo Melton80,WR,25,"5' 11""",189 lbs,1,Rutgers,GNB
,Jayden Reed11,WR,25,"5' 11""",187 lbs,2,Michigan State,GNB
,Christian Watson9,WR,26,"6' 4""",208 lbs,3,North Dakota State,GNB
,Dontayvion Wicks13,WR,23,"6' 1""",206 lbs,2,Virginia,GNB
,Savion Williams,WR,23,"6' 5""",225 lbs,R,TCU,GNB
,John FitzPatrick86,TE,25,"6' 7""",262 lbs,3,Georgia,GNB
,Tucker Kraft85,TE,24,"6' 5""",259 lbs,2,South Dakota State,GNB
,Johnny Lumpkin86,TE,27,"6' 5""",264 lbs,1,Louisiana,GNB
,Luke Musgrave88,TE,24,"6' 6""",253 lbs,2,Oregon State,GNB
,Ben Sims89,TE,24,"6' 5""",250 lbs,2,Baylor,GNB
,Messiah Swinson48,TE,25,"6' 7""",259 lbs,R,Arizona State,GNB
,Trey Hill,C,25,"6' 4""",319 lbs,4,Georgia,GNB
,Jacob Monk62,C,23,"6' 3""",308 lbs,R,Duke,GNB
,Aaron Banks,G,27,"6' 5""",325 lbs,4,Notre Dame,GNB
,Tyler Cooper,G,--,"6' 6""",310 lbs,4,Minnesota,GNB
,Elgton Jenkins74,G,29,"6' 5""",311 lbs,6,Mississippi State,GNB
,Donovan Jennings67,G,25,"6' 4""",323 lbs,R,South Florida,GNB
,J.J. Lippe,G,--,"6' 5""",311 lbs,R,Northern Illinois,GNB
,Sean Rhyan75,G,24,"6' 5""",321 lbs,3,UCLA,GNB
,Zach Tom50,G,26,"6' 4""",304 lbs,3,Wake Forest,GNB
,Brant Banks,OT,25,"6' 7""",318 lbs,R,Rice,GNB
,Anthony Belton,OT,24,"6' 6""",336 lbs,R,NC State,GNB
,Travis Glover79,OT,24,"6' 6""",317 lbs,R,Georgia State,GNB
,Jordan Morgan77,OT,23,"6' 5""",311 lbs,R,Arizona,GNB
,Kadeem Telfort76,OT,26,"6' 7""",322 lbs,1,UAB,GNB
,Rasheed Walker63,OT,25,"6' 6""",324 lbs,3,Penn State,GNB
,John Williams,OT,--,"6' 5""",320 lbs,R,Cincinnati,GNB
,Graham Mertz,QB,24,"6' 3""",216 lbs,R,Florida,HOU
,Davis Mills10,QB,26,"6' 4""",225 lbs,4,Stanford,HOU
,Kedon Slovis16,QB,24,"6' 2""",223 lbs,R,BYU,HOU
,C.J. Stroud7,QB,23,"6' 3""",218 lbs,2,Ohio State,HOU
,British Brooks44,RB,25,"5' 11""",225 lbs,R,North Carolina,HOU
,Jawhar Jordan22,RB,25,"5' 10""",186 lbs,R,Louisville,HOU
,Woody Marks,RB,24,"5' 10""",208 lbs,R,USC,HOU
,Joe Mixon28,RB,28,"6' 1""",220 lbs,8,Oklahoma,HOU
,Dare Ogunbowale33,RB,31,"5' 10""",205 lbs,6,Wisconsin,HOU
,Dameon Pierce31,RB,25,"5' 10""",215 lbs,3,Florida,HOU
,J.J. Taylor26,RB,27,"5' 6""",185 lbs,3,Arizona,HOU
,Jakob Johnson,FB,30,"6' 3""",255 lbs,7,Tennessee,HOU
,Braxton Berrios0,WR,29,"5' 9""",185 lbs,7,Miami,HOU
,Nico Collins12,WR,26,"6' 4""",222 lbs,4,Michigan,HOU
,Tank Dell3,WR,25,"5' 10""",165 lbs,2,Houston,HOU
,Jayden Higgins,WR,22,"6' 4""",215 lbs,R,Iowa State,HOU
,Xavier Hutchinson19,WR,24,"6' 3""",210 lbs,2,Iowa State,HOU
,Daniel Jackson,WR,--,"6' 0""",195 lbs,R,Minnesota,HOU
,Xavier Johnson89,WR,26,"6' 1""",204 lbs,R,Ohio State,HOU
,Johnny Johnson III88,WR,26,"6' 1""",199 lbs,1,Oregon,HOU
,Christian Kirk13,WR,28,"5' 11""",200 lbs,7,Texas A&M,HOU
,John Metchie III8,WR,24,"6' 0""",195 lbs,2,Alabama,HOU
,Jaylin Noel,WR,22,"5' 11""",200 lbs,R,Iowa State,HOU
,Justin Watson,WR,29,"6' 2""",215 lbs,7,Pennsylvania,HOU
,Jared Wayne14,WR,24,"6' 3""",210 lbs,1,Pittsburgh,HOU
,Brevin Jordan9,TE,24,"6' 3""",245 lbs,4,Miami,HOU
,Luke Lachey,TE,23,"6' 6""",247 lbs,R,Iowa,HOU
,Dalton Schultz86,TE,28,"6' 5""",242 lbs,7,Stanford,HOU
,Irv Smith Jr.83,TE,26,"6' 2""",242 lbs,6,Alabama,HOU
,Cade Stover87,TE,24,"6' 4""",251 lbs,R,Ohio State,HOU
,Jake Andrews,C,25,"6' 3""",308 lbs,2,Troy,HOU
,Eli Cox,C,--,"6' 4""",309 lbs,R,Kentucky,HOU
,Jarrett Patterson54,C,25,"6' 4""",310 lbs,2,Notre Dame,HOU
,Juice Scruggs70,C,25,"6' 3""",310 lbs,2,Penn State,HOU
,Jerome Carvin61,G,24,"6' 3""",308 lbs,1,Tennessee,HOU
,LaDarius Henderson77,G,23,"6' 4""",309 lbs,R,Michigan,HOU
,Ed Ingram,G,26,"6' 3""",307 lbs,3,LSU,HOU
,Laken Tomlinson,G,33,"6' 3""",323 lbs,11,Duke,HOU
,Trent Brown,OT,32,"6' 8""",380 lbs,10,Florida,HOU
,Austin Deculus75,OT,26,"6' 5""",321 lbs,3,LSU,HOU
,Aireontae Ersery,OT,23,"6' 6""",330 lbs,R,Minnesota,HOU
,Blake Fisher57,OT,22,"6' 6""",312 lbs,R,Notre Dame,HOU
,Tytus Howard71,OT,28,"6' 5""",322 lbs,6,Alabama State,HOU
,Cam Robinson,OT,29,"6' 6""",335 lbs,8,Alabama,HOU
,Jaylon Thomas72,OT,25,"6' 5""",311 lbs,1,SMU,HOU
,Zach Thomas74,OT,26,"6' 5""",300 lbs,3,San Diego State,HOU
,Jason Bean8,QB,25,"6' 2""",196 lbs,R,Kansas,IND
,Daniel Jones,QB,27,"6' 5""",230 lbs,6,Duke,IND
,Riley Leonard,QB,22,"6' 4""",216 lbs,R,Notre Dame,IND
,Anthony Richardson5,QB,22,"6' 4""",244 lbs,2,Florida,IND
,Salvon Ahmed36,RB,26,"5' 11""",196 lbs,5,Washington,IND
,Ulysses Bentley IV,RB,--,"5' 10""",200 lbs,R,Ole Miss,IND
,DJ Giddens,RB,21,"6' 1""",212 lbs,R,Kansas State,IND
,Tyler Goodson31,RB,24,"5' 9""",197 lbs,2,Iowa,IND
,Khalil Herbert,RB,27,"5' 9""",212 lbs,4,Virginia Tech,IND
,Jonathan Taylor28,RB,26,"5' 10""",226 lbs,5,Wisconsin,IND
,Ajou Ajou,WR,23,"6' 3""",218 lbs,R,Garden City CC KS,IND
,Josh Downs1,WR,23,"5' 9""",171 lbs,2,North Carolina,IND
,Ashton Dulin16,WR,27,"6' 2""",215 lbs,6,Malone,IND
,Anthony Gould6,WR,24,"5' 8""",174 lbs,R,Oregon State,IND
,Tyler Kahmann,WR,--,"6' 3""",206 lbs,R,Emporia State,IND
,Adonai Mitchell10,WR,22,"6' 2""",205 lbs,R,Texas,IND
,D.J. Montgomery2,WR,28,"6' 1""",201 lbs,3,Austin Peay,IND
,Coleman Owen,WR,--,"5' 11""",191 lbs,R,Ohio,IND
,Landon Parker,WR,--,"6' 3""",205 lbs,R,Troy,IND
,Alec Pierce14,WR,25,"6' 3""",211 lbs,3,Cincinnati,IND
,Michael Pittman Jr.11,WR,27,"6' 4""",223 lbs,5,USC,IND
,Blayne Taylor,WR,--,"6' 5""",215 lbs,R,Abilene Christian,IND
,Laquon Treadwell17,WR,29,"6' 2""",215 lbs,9,Ole Miss,IND
,Mo Alie-Cox81,TE,31,"6' 5""",267 lbs,7,VCU,IND
,Will Mallory86,TE,25,"6' 4""",239 lbs,2,Miami,IND
,Maximilian Mang,TE,--,"6' 7""",267 lbs,R,Syracuse,IND
,Sean McKeon49,TE,27,"6' 5""",255 lbs,5,Michigan,IND
,Drew Ogletree85,TE,26,"6' 5""",260 lbs,3,Youngstown State,IND
,Albert Okwuegbunam Jr.84,TE,27,"6' 5""",258 lbs,5,Missouri,IND
,Tyler Warren,TE,22,"6' 6""",257 lbs,R,Penn State,IND
,Jelani Woods80,TE,26,"6' 7""",253 lbs,3,Virginia,IND
,Wesley French62,C,28,"6' 4""",307 lbs,3,Western Michigan,IND
,Danny Pinter63,C,28,"6' 4""",301 lbs,5,Ball State,IND
,Tanor Bortolini60,G,22,"6' 4""",303 lbs,R,Wisconsin,IND
,Quenton Nelson56,G,29,"6' 5""",330 lbs,7,Notre Dame,IND
,Josh Sills66,G,26,"6' 6""",325 lbs,3,Oklahoma State,IND
,Dalton Tucker68,G,25,"6' 6""",307 lbs,R,Marshall,IND
,Marshall Foerner,OT,24,"6' 7""",305 lbs,R,Minnesota State,IND
,Blake Freeland73,OT,24,"6' 7""",302 lbs,2,BYU,IND
,Matt Goncalves71,OT,24,"6' 6""",317 lbs,R,Pittsburgh,IND
,Bernhard Raimann79,OT,27,"6' 6""",303 lbs,3,Central Michigan,IND
,Braden Smith72,OT,29,"6' 6""",312 lbs,7,Auburn,IND
,Luke Tenuta76,OT,25,"6' 8""",314 lbs,R,Virginia Tech,IND
,Jalen Travis,OT,23,"6' 7""",340 lbs,R,Iowa State,IND
,Jack Wilson,OT,--,"6' 11""",310 lbs,R,Minnesota,IND
,Seth Henigan,QB,22,"6' 3""",215 lbs,R,Memphis,JAX
,Trevor Lawrence16,QB,25,"6' 6""",220 lbs,4,Clemson,JAX
,Nick Mullens,QB,30,"6' 0""",210 lbs,6,Southern Miss,JAX
,John Wolford,QB,29,"6' 1""",218 lbs,5,Wake Forest,JAX
,LeQuint Allen36,RB,20,"6' 0""",201 lbs,R,Syracuse,JAX
,Tank Bigsby4,RB,22,"6' 0""",213 lbs,2,Auburn,JAX
,Travis Etienne Jr.1,RB,26,"5' 10""",215 lbs,4,Clemson,JAX
,Ja'Quinden Jackson,RB,--,"6' 2""",233 lbs,R,Arkansas,JAX
,Keilan Robinson31,RB,25,"5' 8""",191 lbs,R,Texas,JAX
,Bhayshul Tuten33,RB,22,"5' 11""",209 lbs,R,Virginia Tech,JAX
,Chandler Brayboy,WR,--,"6' 1""",199 lbs,R,Elon,JAX
,Dyami Brown2,WR,25,"6' 0""",195 lbs,4,North Carolina,JAX
,Cameron Camper,WR,--,"6' 3""",203 lbs,R,Boise State,JAX
,Joshua Cephus80,WR,24,"6' 2""",193 lbs,R,UTSA,JAX
,Travis Hunter12,WR,21,"6' 1""",185 lbs,R,Colorado,JAX
,J.J. Jones,WR,--,"6' 2""",210 lbs,R,North Carolina,JAX
,Eli Pancol,WR,--,"6' 3""",205 lbs,R,Duke,JAX
,Louis Rees-Zammit84,WR,24,"6' 2""",209 lbs,R,--,JAX
,Brian Thomas Jr.7,WR,22,"6' 4""",205 lbs,R,LSU,JAX
,Austin Trammell86,WR,26,"5' 10""",185 lbs,3,Rice,JAX
,Parker Washington11,WR,23,"5' 10""",212 lbs,2,Penn State,JAX
,David White Jr.86,WR,24,"6' 4""",200 lbs,R,Western Carolina,JAX
,Shawn Bowman49,TE,24,"6' 4""",249 lbs,R,Rutgers,JAX
,John Copenhaver,TE,--,"6' 3""",240 lbs,R,North Carolina,JAX
,Patrick Herbert,TE,--,"6' 5""",255 lbs,R,Oregon,JAX
,Hunter Long,TE,26,"6' 5""",243 lbs,4,Boston College,JAX
,Johnny Mundt,TE,30,"6' 4""",233 lbs,7,Oregon,JAX
,Patrick Murtagh88,TE,25,"6' 6""",250 lbs,R,--,JAX
,Brenton Strange85,TE,24,"6' 3""",247 lbs,2,Penn State,JAX
,Luke Fortner79,C,26,"6' 6""",307 lbs,3,Kentucky,JAX
,Robert Hainsey,C,26,"6' 4""",306 lbs,4,Notre Dame,JAX
,Jonah Monheim60,C,22,"6' 5""",310 lbs,R,USC,JAX
,Ezra Cleveland76,G,27,"6' 6""",311 lbs,5,Boise State,JAX
,Dennis Daley78,G,28,"6' 6""",326 lbs,6,South Carolina,JAX
,Chuma Edoga71,G,27,"6' 3""",308 lbs,6,USC,JAX
,Patrick Mekari65,G,27,"6' 4""",305 lbs,6,California,JAX
,Wyatt Milum64,G,23,"6' 6""",317 lbs,R,West Virginia,JAX
,Sal Wormley,G,--,"6' 3""",335 lbs,R,Penn State,JAX
,Javon Foster62,OT,25,"6' 5""",313 lbs,R,Missouri,JAX
,Anton Harrison77,OT,23,"6' 5""",315 lbs,2,Oklahoma,JAX
,Cooper Hodges75,OT,24,"6' 3""",311 lbs,2,App State,JAX
,Fred Johnson,OT,27,"6' 7""",326 lbs,6,Florida,JAX
,Walker Little72,OT,26,"6' 7""",325 lbs,4,Stanford,JAX
,Cole Van Lanen70,OT,27,"6' 4""",312 lbs,4,Wisconsin,JAX
,Patrick Mahomes15,QB,29,"6' 2""",225 lbs,8,Texas Tech,KAN
,Gardner Minshew,QB,28,"6' 1""",225 lbs,6,Washington State,KAN
,Chris Oladokun19,QB,27,"6' 1""",213 lbs,1,South Dakota State,KAN
,Bailey Zappe,QB,26,"6' 1""",215 lbs,3,Western Kentucky,KAN
,Kareem Hunt29,RB,29,"5' 10""",216 lbs,8,Toledo,KAN
,Keaontay Ingram38,RB,25,"6' 0""",220 lbs,3,USC,KAN
,Elijah Mitchell25,RB,27,"5' 10""",200 lbs,4,Louisiana,KAN
,Isiah Pacheco10,RB,26,"5' 10""",216 lbs,3,Rutgers,KAN
,Brashard Smith,RB,22,"5' 10""",196 lbs,R,SMU,KAN
,Carson Steele42,RB,22,"6' 0""",228 lbs,R,UCLA,KAN
,Elijah Young,RB,--,"5' 10""",198 lbs,R,Western Kentucky,KAN
,Elijhah Badger,WR,--,"6' 1""",192 lbs,R,Florida,KAN
,Hollywood Brown5,WR,27,"5' 9""",180 lbs,6,Oklahoma,KAN
,Jason Brownlee89,WR,26,"6' 3""",202 lbs,2,Southern Miss,KAN
,Jimmy Holiday,WR,23,"6' 1""",211 lbs,R,Louisiana Tech,KAN
,Skyy Moore24,WR,24,"5' 10""",195 lbs,3,Western Michigan,KAN
,Nikko Remigio81,WR,25,"5' 9""",187 lbs,1,Fresno State,KAN
,Rashee Rice4,WR,25,"6' 1""",204 lbs,2,SMU,KAN
,Justyn Ross82,WR,25,"6' 4""",210 lbs,3,Clemson,KAN
,Jalen Royals,WR,22,"6' 0""",205 lbs,R,Utah State,KAN
,JuJu Smith-Schuster9,WR,28,"6' 1""",215 lbs,8,USC,KAN
,Tyquan Thornton,WR,24,"6' 2""",182 lbs,3,Baylor,KAN
,Xavier Worthy1,WR,22,"5' 11""",165 lbs,R,Texas,KAN
,Jake Briningstool,TE,--,"6' 6""",240 lbs,R,Clemson,KAN
,Noah Gray83,TE,26,"6' 3""",240 lbs,4,Duke,KAN
,Travis Kelce87,TE,35,"6' 5""",250 lbs,12,Cincinnati,KAN
,Robert Tonyan,TE,31,"6' 5""",240 lbs,7,Indiana State,KAN
,Jared Wiley12,TE,24,"6' 6""",249 lbs,R,TCU,KAN
,Creed Humphrey52,C,25,"6' 4""",302 lbs,4,Oklahoma,KAN
,Hunter Nourzad60,C,24,"6' 3""",317 lbs,R,Penn State,KAN
,Mike Caliendo66,G,27,"6' 4""",301 lbs,2,Western Michigan,KAN
,C.J. Hanson61,G,24,"6' 5""",300 lbs,R,Holy Cross,KAN
,Jaylon Moore76,G,27,"6' 4""",311 lbs,4,Western Michigan,KAN
,Trey Smith65,G,25,"6' 6""",321 lbs,4,Tennessee,KAN
,Ethan Driskell75,OT,24,"6' 8""",313 lbs,R,Marshall,KAN
,Chukwuebuka Godrick72,OT,24,"6' 5""",293 lbs,1,--,KAN
,Wanya Morris64,OT,24,"6' 6""",307 lbs,2,Oklahoma,KAN
,Josh Simmons,OT,22,"6' 5""",310 lbs,R,Ohio State,KAN
