Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD
2013,California,Pac-12,FR,QB,12,320,531,60.3,3508,18,3.4,10,1.9,6.6,6.44,11.0,292.3,123.2,,Jared Goff,,,,,,,,,,,,,,
2014,California,Pac-12,SO,QB,12,316,509,62.1,3973,35,6.9,7,1.4,7.8,8.56,12.6,331.1,147.6,,Jared Goff,,,,,,,,,,,,,,
2015*,California,Pac-12,JR,QB,13,341,529,64.5,4719,43,8.1,13,2.5,8.9,9.44,13.8,363.0,161.3,,Jared Goff,,,,,,,,,,,,,,
2013,Memphis,American,FR,QB,12,203,349,58.2,2056,9,2.6,10,2.9,5.9,5.12,10.1,171.3,110.4,,Paxton Lynch,,,,,,,,,,,,,,
2014*,Memphis,American,SO,QB,13,259,413,62.7,3031,22,5.3,9,2.2,7.3,7.42,11.7,233.2,137.6,,Paxton Lynch,,,,,,,,,,,,,,
2015*,Memphis,American,JR,QB,13,296,443,66.8,3776,28,6.3,4,0.9,8.5,9.38,12.8,290.5,157.5,,Paxton Lynch,,,,,,,,,,,,,,
2013,Penn State,Big Ten,FR,QB,12,231,392,58.9,2955,20,5.1,10,2.6,7.5,7.41,12.8,246.3,134.0,,Christian Hackenberg,,,,,,,,,,,,,,
2014*,Penn State,Big Ten,SO,QB,13,270,484,55.8,2977,12,2.5,15,3.1,6.2,5.25,11.0,229.0,109.4,,Christian Hackenberg,,,,,,,,,,,,,,
2015*,Penn State,Big Ten,JR,QB,13,192,359,53.5,2525,16,4.5,6,1.7,7.0,7.17,13.2,194.2,123.9,,Christian Hackenberg,,,,,,,,,,,,,,
2011*,Ohio State,Big Ten,FR,QB,12,85,157,54.1,1159,13,8.3,4,2.5,7.4,7.89,13.6,96.6,138.4,,Braxton Miller,,,,,,,,,,,,,,
2012,Ohio State,Big Ten,SO,QB,12,148,254,58.3,2039,15,5.9,6,2.4,8.0,8.15,13.8,169.9,140.5,H-5,Braxton Miller,,,,,,,,,,,,,,
2013*,Ohio State,Big Ten,JR,QB,12,162,255,63.5,2094,24,9.4,7,2.7,8.2,8.86,12.9,174.5,158.1,H-9,Braxton Miller,,,,,,,,,,,,,,
2014*,Ohio State,Big Ten,SR,QB,1,0,0,,0,0,,0,,,,,0.0,,,Braxton Miller,,,,,,,,,,,,,,
2015*,Ohio State,Big Ten,SR,WR,13,1,1,100.0,3,0,0.0,0,0.0,3.0,3.00,3.0,0.2,125.2,,Braxton Miller,,,,,,,,,,,,,,
2011*,Florida,SEC,FR,QB,8,18,39,46.2,206,2,5.1,4,10.3,5.3,1.69,11.4,25.8,86.9,,Jacoby Brissett,,,,,,,,,,,,,,
2012*,Florida,SEC,SO,QB,5,23,35,65.7,249,1,2.9,0,0.0,7.1,7.69,10.8,49.8,134.9,,Jacoby Brissett,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Jacoby Brissett,,,,,,,,,,,,,,
2014*,North Carolina State,ACC,JR,QB,13,221,370,59.7,2606,23,6.2,5,1.4,7.0,7.68,11.8,200.5,136.7,,Jacoby Brissett,,,,,,,,,,,,,,
2015*,North Carolina State,ACC,SR,QB,13,237,395,60.0,2662,20,5.1,6,1.5,6.7,7.07,11.2,204.8,130.3,,Jacoby Brissett,,,,,,,,,,,,,,
2012*,USC,Pac-12,FR,QB,10,2,2,100.0,9,0,0.0,0,0.0,4.5,4.50,4.5,0.9,137.8,,Cody Kessler,,,,,,,,,,,,,,
2013*,USC,Pac-12,SO,QB,14,236,361,65.4,2968,20,5.5,7,1.9,8.2,8.46,12.6,212.0,148.8,,Cody Kessler,,,,,,,,,,,,,,
2014*,USC,Pac-12,JR,QB,13,315,452,69.7,3826,39,8.6,5,1.1,8.5,9.69,12.1,294.3,167.1,,Cody Kessler,,,,,,,,,,,,,,
2015*,USC,Pac-12,SR,QB,14,298,446,66.8,3536,29,6.5,7,1.6,7.9,8.52,11.9,252.6,151.7,,Cody Kessler,,,,,,,,,,,,,,
2012*,Michigan State,Big Ten,SO,QB,3,9,17,52.9,94,1,5.9,1,5.9,5.5,4.06,10.4,31.3,107.0,,Connor Cook,,,,,,,,,,,,,,
2013*,Michigan State,Big Ten,SO,QB,14,223,380,58.7,2755,22,5.8,6,1.6,7.3,7.70,12.4,196.8,135.5,,Connor Cook,,,,,,,,,,,,,,
2014*,Michigan State,Big Ten,JR,QB,13,212,365,58.1,3214,24,6.6,8,2.2,8.8,9.13,15.2,247.2,149.4,,Connor Cook,,,,,,,,,,,,,,
2015*,Michigan State,Big Ten,SR,QB,13,229,408,56.1,3131,24,5.9,7,1.7,7.7,8.08,13.7,240.8,136.6,H-9,Connor Cook,,,,,,,,,,,,,,
2012*,Mississippi State,SEC,FR,QB,12,18,29,62.1,194,4,13.8,0,0.0,6.7,9.45,10.8,16.2,163.8,,Dak Prescott,,,,,,,,,,,,,,
2013*,Mississippi State,SEC,SO,QB,11,156,267,58.4,1940,10,3.7,7,2.6,7.3,6.84,12.4,176.4,126.6,,Dak Prescott,,,,,,,,,,,,,,
2014*,Mississippi State,SEC,JR,QB,13,244,396,61.6,3449,27,6.8,11,2.8,8.7,8.82,14.1,265.3,151.7,H-8,Dak Prescott,,,,,,,,,,,,,,
2015*,Mississippi State,SEC,SR,QB,13,316,477,66.2,3793,29,6.1,5,1.0,8.0,8.70,12.0,291.8,151.0,,Dak Prescott,,,,,,,,,,,,,,
2013*,Ohio State,Big Ten,FR,QB,3,1,2,50.0,3,0,0.0,0,0.0,1.5,1.50,3.0,1.0,62.6,,Cardale Jones,,,,,,,,,,,,,,
2014*,Ohio State,Big Ten,SO,QB,10,49,79,62.0,746,5,6.3,2,2.5,9.4,9.57,15.2,74.6,157.2,,Cardale Jones,,,,,,,,,,,,,,
2015*,Ohio State,Big Ten,JR,QB,10,110,176,62.5,1460,8,4.5,5,2.8,8.3,7.93,13.3,146.0,141.5,,Cardale Jones,,,,,,,,,,,,,,
2012*,Stanford,Pac-12,FR,QB,10,109,152,71.7,1096,9,5.9,3,2.0,7.2,7.51,10.1,109.6,147.9,,Kevin Hogan,,,,,,,,,,,,,,
2013*,Stanford,Pac-12,SO,QB,14,180,295,61.0,2630,20,6.8,10,3.4,8.9,8.75,14.6,187.9,151.5,,Kevin Hogan,,,,,,,,,,,,,,
2014*,Stanford,Pac-12,JR,QB,13,232,352,65.9,2792,19,5.4,8,2.3,7.9,7.99,12.0,214.8,145.8,,Kevin Hogan,,,,,,,,,,,,,,
2015*,Stanford,Pac-12,SR,QB,14,206,304,67.8,2867,27,8.9,8,2.6,9.4,10.02,13.9,204.8,171.0,,Kevin Hogan,,,,,,,,,,,,,,
2012*,Navy,Ind,FR,QB,13,,,,,,,,,,,,,,,Keenan Reynolds,162,649,4.0,10,49.9,0,0,,0,0.0,162,649,4.0,10
2013*,Navy,Ind,SO,QB,13,,,,,,,,,,,,,,,Keenan Reynolds,300,1346,4.5,31,103.5,0,0,,0,0.0,300,1346,4.5,31
2014*,Navy,Ind,JR,QB,11,,,,,,,,,,,,,,,Keenan Reynolds,250,1191,4.8,23,108.3,0,0,,0,0.0,250,1191,4.8,23
2015*,Navy,American,SR,QB,13,,,,,,,,,,,,,,H-5,Keenan Reynolds,265,1373,5.2,24,105.6,1,47,47.0,0,3.6,266,1420,5.3,24
2012,Indiana,Big Ten,FR,QB,7,51,82,62.2,632,7,8.5,1,1.2,7.7,8.87,12.4,90.3,152.7,,Nate Sudfeld,,,,,,,,,,,,,,
2013,Indiana,Big Ten,SO,QB,12,194,322,60.2,2523,21,6.5,9,2.8,7.8,7.88,13.0,210.3,142.0,,Nate Sudfeld,,,,,,,,,,,,,,
2014,Indiana,Big Ten,JR,QB,7,101,167,60.5,1151,6,3.6,3,1.8,6.9,6.80,11.4,164.4,126.6,,Nate Sudfeld,,,,,,,,,,,,,,
2015*,Indiana,Big Ten,SR,QB,12,247,412,60.0,3573,27,6.6,7,1.7,8.7,9.22,14.5,297.8,151.0,,Nate Sudfeld,,,,,,,,,,,,,,
2013*,Iowa,Big Ten,SO,QB,13,204,346,59.0,2383,18,5.2,13,3.8,6.9,6.24,11.7,183.3,126.5,,Jake Rudock,,,,,,,,,,,,,,
