Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2014,Eastern Michigan,MAC,JR,RB,12,61,295,4.8,1,24.6,20,148,7.4,2,12.3,81,443,5.5,3,,Darius Jackson
2015,Eastern Michigan,MAC,SR,RB,12,208,1078,5.2,14,89.8,21,201,9.6,2,16.8,229,1279,5.6,16,,Darius Jackson
2013*,Washington,Pac-12,FR,RB,11,47,332,7.1,4,30.2,1,5,5.0,1,0.5,48,337,7.0,5,,Dwayne Washington
2014*,Washington,Pac-12,SO,HB,13,132,697,5.3,9,53.6,15,91,6.1,0,7.0,147,788,5.4,9,,Dwayne Washington
2015*,Washington,Pac-12,JR,RB,8,47,282,6.0,4,35.3,25,315,12.6,3,39.4,72,597,8.3,7,,Dwayne Washington
2012,California,Pac-12,FR,RB,12,6,109,18.2,1,9.1,0,0,,0,0.0,6,109,18.2,1,,Daniel Lasco
2013,California,Pac-12,SO,RB,8,67,317,4.7,2,39.6,11,78,7.1,0,9.8,78,395,5.1,2,,Daniel Lasco
2014,California,Pac-12,JR,RB,12,210,1115,5.3,12,92.9,33,356,10.8,2,29.7,243,1471,6.1,14,,Daniel Lasco
2015*,California,Pac-12,SR,RB,10,65,331,5.1,3,33.1,4,24,6.0,0,2.4,69,355,5.1,3,,Daniel Lasco
2012*,Georgia,SEC,FR,RB,14,117,759,6.5,8,54.2,11,91,8.3,1,6.5,128,850,6.6,9,,Keith Marshall
2013*,Georgia,SEC,SO,RB,5,56,246,4.4,1,49.2,8,111,13.9,1,22.2,64,357,5.6,2,,Keith Marshall
2014*,Georgia,SEC,JR,RB,3,12,24,2.0,0,8.0,1,-5,-5.0,0,-1.7,13,19,1.5,0,,Keith Marshall
2015*,Georgia,SEC,SR,RB,11,68,350,5.1,3,31.8,4,28,7.0,1,2.5,72,378,5.3,4,,Keith Marshall
2012*,Clemson,ACC,FR,RB,8,26,119,4.6,0,14.9,3,9,3.0,0,1.1,29,128,4.4,0,,Zac Brooks
2013*,Clemson,ACC,SO,RB,9,48,246,5.1,2,27.3,6,83,13.8,1,9.2,54,329,6.1,3,,Zac Brooks
,,,,,,,,,,,,,,,,,,,,,Zac Brooks
2015*,Clemson,ACC,SR,RB,14,41,234,5.7,3,16.7,9,113,12.6,2,8.1,50,347,6.9,5,,Zac Brooks
