Season,Team,Conf,Class,Pos,G,Rushing Att,Rushing Yds,Rushing Y/A,Rushing TD,Rushing Y/G,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving Y/G,Scrimmage Plays,Scrimmage Yds,Scrimmage Avg,Scrimmage TD,Awards,Player
2013*,Ohio State,Big Ten,FR,RB,7,30,262,8.7,2,37.4,3,23,7.7,1,3.3,33,285,8.6,3,,Ezekiel Elliott
2014*,Ohio State,Big Ten,SO,RB,15,273,1878,6.9,18,125.2,28,220,7.9,0,14.7,301,2098,7.0,18,,Ezekiel Elliott
2015*,Ohio State,Big Ten,JR,RB,13,289,1821,6.3,23,140.1,27,206,7.6,0,15.8,316,2027,6.4,23,H-8,Ezekiel Elliott
2013*,Alabama,SEC,FR,RB,10,35,382,10.9,3,38.2,1,61,61.0,1,6.1,36,443,12.3,4,,Derrick Henry
2014*,Alabama,SEC,SO,RB,14,172,990,5.8,11,70.7,5,133,26.6,2,9.5,177,1123,6.3,13,,Derrick Henry
2015*,Alabama,SEC,JR,RB,15,395,2219,5.6,28,147.9,11,91,8.3,0,6.1,406,2310,5.7,28,"H-1,Maxwell,AA,Camp",Derrick Henry
2012*,Alabama,SEC,FR,RB,12,42,281,6.7,5,23.4,0,0,,0,0.0,42,281,6.7,5,,Kenyan Drake
2013*,Alabama,SEC,,RB,11,92,694,7.5,8,63.1,12,135,11.3,1,12.3,104,829,8.0,9,,Kenyan Drake
2014*,Alabama,SEC,JR,RB,5,22,112,5.1,4,22.4,5,159,31.8,2,31.8,27,271,10.0,6,,Kenyan Drake
2015*,Alabama,SEC,SR,RB,13,77,408,5.3,1,31.4,29,276,9.5,1,21.2,106,684,6.5,2,,Kenyan Drake
2011*,Oklahoma,Big 12,FR,RB,8,46,219,4.8,0,27.4,0,0,,0,0.0,46,219,4.8,0,,Brandon Williams
,,,,,,,,,,,,,,,,,,,,,Brandon Williams
2013*,Texas A&M,SEC,SO,RB,9,44,269,6.1,1,29.9,5,17,3.4,1,1.9,49,286,5.8,2,,Brandon Williams
2014*,Texas A&M,SEC,JR,RB,13,87,379,4.4,3,29.2,9,65,7.2,0,5.0,96,444,4.6,3,,Brandon Williams
2015*,Texas A&M,SEC,SR,RB,13,1,3,3.0,0,0.2,1,3,3.0,0,0.2,2,6,3.0,0,,Brandon Williams
2011,San Jose State,WAC,FR,RB,12,29,107,3.7,1,8.9,3,17,5.7,0,1.4,32,124,3.9,1,,Tyler Ervin
2012*,San Jose State,WAC,SO,DB,9,45,205,4.6,1,22.8,10,126,12.6,1,14.0,55,331,6.0,2,,Tyler Ervin
2013,San Jose State,MWC,JR,RB,1,2,2,1.0,0,2.0,0,0,,0,0.0,2,2,1.0,0,,Tyler Ervin
2014,San Jose State,MWC,SR,RB,12,158,888,5.6,4,74.0,29,306,10.6,1,25.5,187,1194,6.4,5,,Tyler Ervin
2015*,San Jose State,MWC,SR,RB,13,294,1601,5.4,13,123.2,45,334,7.4,2,25.7,339,1935,5.7,15,,Tyler Ervin
2012,Louisiana Tech,WAC,FR,RB,12,200,1194,6.0,27,99.5,10,35,3.5,1,2.9,210,1229,5.9,28,,Kenneth Dixon
2013,Louisiana Tech,CUSA,SO,RB,10,151,917,6.1,4,91.7,14,85,6.1,1,8.5,165,1002,6.1,5,,Kenneth Dixon
2014*,Louisiana Tech,CUSA,JR,RB,14,253,1299,5.1,22,92.8,30,385,12.8,6,27.5,283,1684,6.0,28,,Kenneth Dixon
2015*,Louisiana Tech,CUSA,SR,RB,11,197,1070,5.4,19,97.3,34,467,13.7,7,42.5,231,1537,6.7,26,,Kenneth Dixon
2014*,Utah,Pac-12,JR,RB,13,292,1512,5.2,10,116.3,43,306,7.1,2,23.5,335,1818,5.4,12,,Devontae Booker
2015*,Utah,Pac-12,SR,RB,10,268,1261,4.7,11,126.1,37,318,8.6,0,31.8,305,1579,5.2,11,,Devontae Booker
2011,Texas Tech,Big 12,FR,RB,12,77,366,4.8,3,30.5,19,109,5.7,0,9.1,96,475,4.9,3,,DeAndre Washington
,,,,,,,,,,,,,,,,,,,,,DeAndre Washington
2013*,Texas Tech,Big 12,SO,RB,12,107,450,4.2,4,37.5,34,269,7.9,0,22.4,141,719,5.1,4,,DeAndre Washington
2014,Texas Tech,Big 12,JR,RB,12,188,1103,5.9,2,91.9,30,328,10.9,2,27.3,218,1431,6.6,4,,DeAndre Washington
2015*,Texas Tech,Big 12,SR,RB,13,233,1492,6.4,14,114.8,41,385,9.4,2,29.6,274,1877,6.9,16,,DeAndre Washington
2013*,UCLA,Pac-12,FR,RB,13,134,573,4.3,6,44.1,24,296,12.3,0,22.8,158,869,5.5,6,,Paul Perkins
2014*,UCLA,Pac-12,SO,RB,13,251,1575,6.3,9,121.2,26,201,7.7,2,15.5,277,1776,6.4,11,,Paul Perkins
2015*,UCLA,Pac-12,JR,RB,13,237,1343,5.7,14,103.3,30,242,8.1,1,18.6,267,1585,5.9,15,,Paul Perkins
2013,UAB,CUSA,FR,RB,11,145,881,6.1,2,80.1,4,83,20.8,1,7.5,149,964,6.5,3,,Jordan Howard
2014,UAB,CUSA,SO,RB,12,306,1587,5.2,13,132.3,9,72,8.0,1,6.0,315,1659,5.3,14,,Jordan Howard
2015*,Indiana,Big Ten,JR,RB,9,196,1213,6.2,9,134.8,11,106,9.6,1,11.8,207,1319,6.4,10,,Jordan Howard
2013,West Virginia,Big 12,FR,RB,12,39,221,5.7,1,18.4,11,132,12.0,0,11.0,50,353,7.1,1,,Wendell Smallwood
2014*,West Virginia,Big 12,SO,RB,13,148,722,4.9,2,55.5,31,326,10.5,0,25.1,179,1048,5.9,2,,Wendell Smallwood
2015*,West Virginia,Big 12,JR,RB,13,238,1519,6.4,9,116.8,26,160,6.2,0,12.3,264,1679,6.4,9,,Wendell Smallwood
2012,Arkansas,SEC,FR,RB,11,45,231,5.1,0,21.0,8,208,26.0,2,18.9,53,439,8.3,2,,Jonathan Williams
2013,Arkansas,SEC,SO,RB,12,150,900,6.0,4,75.0,7,72,10.3,2,6.0,157,972,6.2,6,,Jonathan Williams
2014*,Arkansas,SEC,JR,RB,13,211,1190,5.6,12,91.5,11,65,5.9,2,5.0,222,1255,5.7,14,,Jonathan Williams
2015*,Arkansas,SEC,SR,RB,1,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Jonathan Williams
2013,Arkansas,SEC,FR,RB,12,190,1026,5.4,4,85.5,11,63,5.7,0,5.3,201,1089,5.4,4,,Alex Collins
2014*,Arkansas,SEC,SO,RB,13,204,1100,5.4,12,84.6,3,9,3.0,0,0.7,207,1109,5.4,12,,Alex Collins
2015*,Arkansas,SEC,JR,RB,13,271,1577,5.8,20,121.3,13,95,7.3,0,7.3,284,1672,5.9,20,,Alex Collins
2012*,Nebraska,Big Ten,FR,RB,11,3,6,2.0,0,0.5,2,13,6.5,0,1.2,5,19,3.8,0,,Andy Janovich
2013*,Nebraska,Big Ten,SO,FB,1,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,Andy Janovich
2014*,Nebraska,Big Ten,JR,FB,13,0,0,,0,0.0,1,16,16.0,0,1.2,1,16,16.0,0,,Andy Janovich
2015*,Nebraska,Big Ten,SR,FB,13,42,265,6.3,3,20.4,2,58,29.0,0,4.5,44,323,7.3,3,,Andy Janovich
2013,Florida,SEC,FR,RB,9,111,508,4.6,4,56.4,5,37,7.4,0,4.1,116,545,4.7,4,,Kelvin Taylor
2014*,Florida,SEC,SO,RB,12,116,565,4.9,6,47.1,2,-8,-4.0,0,-0.7,118,557,4.7,6,,Kelvin Taylor
2015*,Florida,SEC,JR,RB,14,259,1035,4.0,13,73.9,17,150,8.8,0,10.7,276,1185,4.3,13,,Kelvin Taylor
2012,Eastern Michigan,MAC,FR,RB,12,3,12,4.0,0,1.0,0,0,,0,0.0,3,12,4.0,0,,Darius Jackson
2013,Eastern Michigan,MAC,SO,RB,7,49,201,4.1,2,28.7,3,26,8.7,0,3.7,52,227,4.4,2,,Darius Jackson
